,city,country,commitment_type,commitment,ghg_subtype,baseline_year,baseline_year_emissions,target_year,target_year_emissions,percent_reduction,emissions_reduction_by_target_year
174,"City of Malang, Indonesia",Indonesia,Energy efficiency target,0% Energy efficiency improvement by 2017The City of Malang committed to increase its energy efficiency in Primary energy and Local Government energy consumption by 0% by 2017 compared to 2015 levels. This target will be achieved in Transport sectors0% Energy efficiency improvement by 2018The City of Malang committed to increase its energy efficiency in Primary energy and Local Government energy consumption by 0% by 2018 compared to 2016 levels. This target will be achieved in Electricity sectors,,,,,,,
175,"City of Probolinggo, Indonesia",Indonesia,GHG emission reduction target," The City of Probolinggo has committed to reduce its Local Government emissions by 12% by 2020 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Transport, Agriculture, forest and other land use (AFOLU) and Waste management sectors.",Local Government,2010,338240.0,2020,338240.0,,40588.0
176,"City of Probolinggo, Indonesia",Indonesia,Renewable energy target,1% Energy efficiency improvement by 2020The City of Probolinggo committed to increase its energy efficiency in Final energy and Local Government energy consumption by 1% by 2020 compared to 2010 levels. Final energy energy consumption: 171113864. 0 MwhThis target will be achieved in Electricity and Transport sectors2% Energy efficiency improvement by 2020The City of Probolinggo committed to increase its energy efficiency in Final energy and Local Government energy consumption by 2% by 2020 compared to 2010 levels. This target will be achieved in Electricity and Transport sectors,,,,,,,
177,"City of Semarang, Indonesia",Indonesia,GHG emission reduction target, The City of Semarang has committed to reduce its Community emissions by 4% by 2020 compared to Baseline scenario (BAU) reduction target emission level.,Community,2010,,2020,,4.0,
178,"City of Semarang, Indonesia",Indonesia,GHG emission reduction target, The City of Semarang has committed to reduce its Local Government emissions by 4% by 2020 compared to Baseline scenario (BAU) reduction target emission level.,Local Government,2010,,2020,,4.0,
179,"Special Capital Region of Jakarta, Indonesia",Indonesia,GHG emission reduction target," The Special Capital Region of Jakarta has committed to reduce its Community emissions by 30% by 2030 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Community,2005,,2030,,30.0,
180,"Special Capital Region of Jakarta, Indonesia",Indonesia,GHG emission reduction target," The Special Capital Region of Jakarta has committed to reduce its Local Government emissions by 30% by 2030 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy, Transport, Waste management, Industrial processes and product use (IPPU) and Agriculture, forest and other land use (AFOLU) sectors.",Local Government,2005,288125800.0,2030,288125800.0,30.0,86437740.0
181,"Special Capital Region of Jakarta, Indonesia",Indonesia,Renewable energy target,"The Special Capital Region of Jakarta committed to increase its share of renewable energy in final energy mix in Local Government by 0% by 2030Current share of renewable energy in final energy mix: 0. 0002% 2019The target is going to be reached by activities in Electricity sectors. The Special Capital Region of Jakarta committed to increase its Share of renewable energy in primary energy mix in Local Government by 0% by 2030Current Share of renewable energy in primary energy mix: 0. 0002% 2019The target is going to be reached by activities in Electricity, Heating & cooling and Transport sectors. The Special Capital Region of Jakarta committed to increase its share of renewable energy in final energy mix in Local Government by 0% by 2030Current share of renewable energy in final energy mix: 0. 0002% 2019The target is going to be reached by activities in Electricity sectors.",,,,,,,
182,"Special Capital Region of Jakarta, Indonesia",Indonesia,Energy efficiency target,7% Energy efficiency improvement by 2030The Special Capital Region of Jakarta committed to increase its energy efficiency in Primary energy and Community energy consumption by 7% by 2030 compared to 2010 levels. This target will be achieved in Electricity sectors 0% Energy efficiency improvement by 2030The Special Capital Region of Jakarta committed to increase its energy efficiency in Primary energy and Local Government energy consumption by 0% by 2030 compared to 2012 levels. This target will be achieved in Electricity and Heating & cooling sectors0% Energy efficiency improvement by 2030The Special Capital Region of Jakarta committed to increase its energy efficiency in Final energy and Local Government energy consumption by 0% by 2030 compared to 2010 levels. This target will be achieved in Electricity sectors,,,,,,,
183,"Jerusalem Municipality, Israel",Israel,GHG emission reduction target, The Jerusalem Municipality has committed to reduce its Community emissions by 20% by 2020 compared to 2007 emission level.,Community,2007,,2020,,20.0,
184,"City of Bologna, Italy",Italy,GHG emission reduction target," The City of Bologna has committed to reduce its Community emissions by 20% by 2020 compared to 2005 emission level. The target is going to be reached by activities in Stationary energy, Transport and Agriculture, forest and other land use (AFOLU) sectors.",Community,2005,2283548.0,2020,1826838.0,,456709.0
185,"City of Forlì, Italy",Italy,GHG emission reduction target, The City of Forlì has committed to reduce its Community emissions by 25% by 2020 compared to 2000 emission level.,Community,2000,,2020,,25.0,
186,"Metropolitan City of Florence, Italy",Italy,GHG emission reduction target, The Metropolitan City of Florence has committed to reduce its Community emissions by 50% by 2050 compared to 2005 emission level.,Community,2005,,2050,,50.0,
187,"Metropolitan City of Florence, Italy",Italy,GHG emission reduction target, The Metropolitan City of Florence has committed to reduce its Local Government emissions by 50% by 2020 compared to 2005 emission level.,Local Government,2005,,2020,,50.0,
188,"Metropolitan City of Turin, Italy",Italy,GHG emission reduction target, The Metropolitan City of Turin has committed to reduce its Community emissions by 20% by 2020 compared to 1990 emission level.,Community,1990,,2020,,20.0,
189,"Municipality of Ancona, Italy",Italy,GHG emission reduction target, The Municipality of Ancona has committed to reduce its Community emissions by 20% by 2020 compared to 2005 emission level.,Community,2005,,2020,,20.0,
190,"Municipality of Ancona, Italy",Italy,GHG emission reduction target, The Municipality of Ancona has committed to reduce its Local Government emissions by 20% by 2020 compared to 2005 emission level.,Local Government,2005,,2020,,20.0,
191,"Municipality of Villa di Serio, Italy",Italy,GHG emission reduction target, The Municipality of Villa di Serio has committed to reduce its Community emissions by 20% by 2020 compared to 2005 emission level.,Community,2005,,2020,,20.0,
192,"Province of Siena, Italy",Italy,GHG emission reduction target, The Province of Siena has committed to reduce its Community emissions by 100% by 2015 compared to Baseline scenario (BAU) reduction target emission level.,Community,2006,,2015,,100.0,
193,"Province of Siena, Italy",Italy,GHG emission reduction target, The Province of Siena has committed to reduce its Local Government emissions by 100% by 2015 compared to Baseline scenario (BAU) reduction target emission level.,Local Government,2006,,2015,,100.0,
194,"Adachi City, Japan",Japan,GHG emission reduction target, The Adachi City has committed to reduce its Community emissions by 9% by 2016 compared to 2007 emission level.,Community,2007,,2016,,9.0,
195,"Aichi Prefecture, Japan",Japan,GHG emission reduction target, The Aichi Prefecture has committed to reduce its Community emissions by 15% by 2020 compared to 1990 emission level.,Community,1990,77011.0,2020,65459.0,,11551.0
196,"Aichi Prefecture, Japan",Japan,GHG emission reduction target, The Aichi Prefecture has committed to reduce its Local Government emissions by 5% by 2020 compared to 2014 emission level.,Local Government,2014,147814.0,2020,140423.0,,7390.0
197,"Aichi Prefecture, Japan",Japan,Renewable energy target,6% Energy efficiency improvement by 2020The Aichi Prefecture committed to increase its energy efficiency in Final energy and Local Government energy consumption by 6% by 2020 compared to 2014 levels. Final energy energy consumption: 586060. 35 Mwh,,,,,,,
198,"Akashi City, Japan",Japan,GHG emission reduction target, The Akashi City has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level.,Community,1990,,2020,,25.0,
199,"Akita City, Japan",Japan,GHG emission reduction target, The Akita City has committed to reduce its Community emissions by 40% by 2050 compared to 1990 emission level.,Community,1990,,2050,,40.0,
200,"Akita City, Japan",Japan,GHG emission reduction target, The Akita City has committed to reduce its Local Government emissions by 4% by 2016 compared to 2012 emission level.,Local Government,2012,,2016,,4.0,
201,"Akita Prefecture, Japan",Japan,GHG emission reduction target, The Akita Prefecture has committed to reduce its Community emissions by 11% by 2020 compared to 1990 emission level.,Community,1990,,2020,,11.0,
202,"Amami City, Japan",Japan,GHG emission reduction target, The Amami City has committed to reduce its Local Government emissions by 9% by 2012 compared to 2006 emission level.,Local Government,2006,,2012,,9.0,
203,"Aomori Prefecture, Japan",Japan,GHG emission reduction target, The Aomori Prefecture has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level.,Community,1990,,2020,,25.0,
204,"Aomori Prefecture, Japan",Japan,GHG emission reduction target, The Aomori Prefecture has committed to reduce its Local Government emissions by 5% by 2014 compared to 2009 emission level.,Local Government,2009,,2014,,5.0,
205,"Atsugi City, Japan",Japan,GHG emission reduction target, The Atsugi City has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level.,Community,1990,,2020,,25.0,
206,"Chiba Prefecture, Japan",Japan,GHG emission reduction target, The Chiba Prefecture has committed to reduce its Community emissions by 1% by 2013 compared to 1990 emission level.,Community,1990,,2013,,1.0,
207,"Chigasaki City, Japan",Japan,GHG emission reduction target, The Chigasaki City has committed to reduce its Community emissions by 10% by 2012 compared to 2004 emission level.,Community,2004,,2012,,10.0,
208,"Chigasaki City, Japan",Japan,GHG emission reduction target, The Chigasaki City has committed to reduce its Local Government emissions by 8% by 2010 compared to 2005 emission level.,Local Government,2005,,2010,,8.0,
209,"Chiyoda City, Japan",Japan,GHG emission reduction target, The Chiyoda City has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level.,Community,1990,,2020,,25.0,
210,"Chiyoda City, Japan",Japan,GHG emission reduction target, The Chiyoda City has committed to reduce its Local Government emissions by 29% by 2017 compared to 2009 emission level.,Local Government,2009,,2017,,29.0,
211,"Chuo City, Japan",Japan,GHG emission reduction target, The Chuo City has committed to reduce its Community emissions by 5% by 2012 compared to 1990 emission level.,Community,1990,,2012,,5.0,
212,"Chuo City, Japan",Japan,GHG emission reduction target, The Chuo City has committed to reduce its Local Government emissions by 3% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,3.0,
213,"Edogawa City, Japan",Japan,GHG emission reduction target, The Edogawa City has committed to reduce its Community emissions by 14% by 2017 compared to 2004 emission level.,Community,2004,,2017,,14.0,
214,"Ehime Prefecture, Japan",Japan,GHG emission reduction target, The Ehime Prefecture has committed to reduce its Community emissions by 70% by 2050 compared to 1990 emission level.,Community,1990,,2050,,70.0,
215,"Ehime Prefecture, Japan",Japan,GHG emission reduction target, The Ehime Prefecture has committed to reduce its Local Government emissions by 6% by 2013 compared to 2008 emission level.,Local Government,2008,,2013,,6.0,
216,"Fuji City, Japan",Japan,GHG emission reduction target, The Fuji City has committed to reduce its Community emissions by 23% by 2020 compared to 1990 emission level.,Community,1990,,2020,,23.0,
217,"Fuji City, Japan",Japan,GHG emission reduction target, The Fuji City has committed to reduce its Local Government emissions by 10% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,10.0,
218,"Fujinomiya City, Japan",Japan,GHG emission reduction target, The Fujinomiya City has committed to reduce its Community emissions by 10% by 2015 compared to 2004 emission level.,Community,2004,,2015,,10.0,
219,"Fujinomiya City, Japan",Japan,GHG emission reduction target, The Fujinomiya City has committed to reduce its Local Government emissions by 10% by 2011 compared to 2003 emission level.,Local Government,2003,,2011,,10.0,
220,"Fujisawa City, Japan",Japan,GHG emission reduction target, The Fujisawa City has committed to reduce its Community emissions by 40% by 2022 compared to 1990 emission level.,Community,1990,,2022,,40.0,
221,"Fukui Prefecture, Japan",Japan,GHG emission reduction target, The Fukui Prefecture has committed to reduce its Community emissions by 3% by 2010 compared to 1990 emission level.,Community,1990,,2010,,3.0,
222,"Fukui Prefecture, Japan",Japan,GHG emission reduction target, The Fukui Prefecture has committed to reduce its Local Government emissions by 5% by 2010 compared to 2004 emission level.,Local Government,2004,,2010,,5.0,
223,"Funabashi City, Japan",Japan,GHG emission reduction target, The Funabashi City has committed to reduce its Community emissions by 1% by 2012 compared to 1990 emission level.,Community,1990,,2012,,1.0,
224,"Funabashi City, Japan",Japan,GHG emission reduction target, The Funabashi City has committed to reduce its Local Government emissions by 5% by 2014 compared to 2009 emission level.,Local Government,2009,,2014,,5.0,
225,"Gifu Prefecture, Japan",Japan,GHG emission reduction target, The Gifu Prefecture has committed to reduce its Community emissions by 80% by 2050 compared to 1990 emission level.,Community,1990,,2050,,80.0,
226,"Gifu Prefecture, Japan",Japan,GHG emission reduction target, The Gifu Prefecture has committed to reduce its Local Government emissions by 7% by 2015 compared to 2010 emission level.,Local Government,2010,,2015,,7.0,
227,"Gunma Prefecture, Japan",Japan,GHG emission reduction target, The Gunma Prefecture has committed to reduce its Community emissions by 28% by 2020 compared to 2007 emission level.,Community,2007,,2020,,28.0,
228,"Gunma Prefecture, Japan",Japan,GHG emission reduction target, The Gunma Prefecture has committed to reduce its Local Government emissions by 26% by 2020 compared to 2007 emission level.,Local Government,2007,,2020,,26.0,
229,"Hakodate City, Japan",Japan,GHG emission reduction target, The Hakodate City has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level.,Community,1990,,2020,,25.0,
230,"Hakodate City, Japan",Japan,GHG emission reduction target, The Hakodate City has committed to reduce its Local Government emissions by 10% by 2011 compared to 2005 emission level.,Local Government,2005,,2011,,10.0,
231,"Himeji City, Japan",Japan,GHG emission reduction target, The Himeji City has committed to reduce its Community emissions by 81% by 2050 compared to 2007 emission level.,Community,2007,,2050,,81.0,
232,"Himeji City, Japan",Japan,GHG emission reduction target, The Himeji City has committed to reduce its Local Government emissions by 16% by 2011 compared to 1999 emission level.,Local Government,1999,,2011,,16.0,
233,"Hirakata City, Japan",Japan,GHG emission reduction target, The Hirakata City has committed to reduce its Community emissions by 17% by 2012 compared to 2005 emission level.,Community,2005,,2012,,17.0,
234,"Hirakata City, Japan",Japan,GHG emission reduction target, The Hirakata City has committed to reduce its Local Government emissions by 17% by 2012 compared to 2005 emission level.,Local Government,2005,,2012,,17.0,
235,"Hiroshima City, Japan",Japan,GHG emission reduction target, The Hiroshima City has committed to reduce its Community emissions by 70% by 2050 compared to 1990 emission level.,Community,1990,,2050,,70.0,
236,"Hiroshima City, Japan",Japan,GHG emission reduction target, The Hiroshima City has committed to reduce its Local Government emissions by 8% by 2010 compared to 2004 emission level.,Local Government,2004,,2010,,8.0,
237,"Hiroshima City, Japan",Japan,Renewable energy target,The Hiroshima City committed to increase its Share of renewable energy in primary energy mix in Community by 50% by 2030The target is going to be reached by activities in Electricity sector.,,,,,,,
238,"Hiroshima Prefecture, Japan",Japan,GHG emission reduction target, The Hiroshima Prefecture has committed to reduce its Local Government emissions by 5% by 2010 compared to 2003 emission level.,Local Government,2003,,2010,,5.0,
239,"Hokkaido Prefecture, Japan",Japan,GHG emission reduction target, The Hokkaido Prefecture has committed to reduce its Local Government emissions by 11% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,11.0,
240,"Hyogo Prefecture, Japan",Japan,GHG emission reduction target, The Hyogo Prefecture has committed to reduce its Community emissions by 6% by 2010 compared to 1990 emission level.,Community,1990,,2010,,6.0,
241,"Hyogo Prefecture, Japan",Japan,GHG emission reduction target, The Hyogo Prefecture has committed to reduce its Local Government emissions by 6% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,6.0,
242,"Iida City, Japan",Japan,GHG emission reduction target, The Iida City has committed to reduce its Community emissions by 70% by 2050 compared to 1990 emission level.,Community,1990,,2050,,70.0,
243,"Iida City, Japan",Japan,GHG emission reduction target, The Iida City has committed to reduce its Local Government emissions by 2% by 2011 compared to 2007 emission level.,Local Government,2007,,2011,,2.0,
244,"Ishikawa Prefecture, Japan",Japan,GHG emission reduction target, The Ishikawa Prefecture has committed to reduce its Community emissions by 7% by 2010 compared to 2001 emission level.,Community,2001,,2010,,7.0,
245,"Ishikawa Prefecture, Japan",Japan,GHG emission reduction target, The Ishikawa Prefecture has committed to reduce its Local Government emissions by 8% by 2010 compared to 2003 emission level.,Local Government,2003,,2010,,8.0,
246,"Itabashi City, Japan",Japan,GHG emission reduction target, The Itabashi City has committed to reduce its Community emissions by 2% by 2020 compared to Baseline scenario (BAU) reduction target emission level.,Community,1990,,2020,,2.0,
247,"Kagawa Prefecture, Japan",Japan,GHG emission reduction target, The Kagawa Prefecture has committed to reduce its Community emissions by 8% by 2015 compared to 1990 emission level.,Community,1990,,2015,,8.0,
248,"Kakogawa City, Japan",Japan,GHG emission reduction target, The Kakogawa City has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level.,Community,1990,,2020,,25.0,
249,"Kakogawa City, Japan",Japan,GHG emission reduction target, The Kakogawa City has committed to reduce its Local Government emissions by 24% by 2015 compared to 2004 emission level.,Local Government,2004,,2015,,24.0,
250,"Kanagawa Prefecture, Japan",Japan,GHG emission reduction target, The Kanagawa Prefecture has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level.,Community,1990,,2020,,25.0,
251,"Kanagawa Prefecture, Japan",Japan,GHG emission reduction target, The Kanagawa Prefecture has committed to reduce its Local Government emissions by 13% by 2020 compared to 2008 emission level.,Local Government,2008,,2020,,13.0,
252,"Kasumigaura City, Japan",Japan,GHG emission reduction target, The Kasumigaura City has committed to reduce its Local Government emissions by 4% by 2011 compared to 2005 emission level.,Local Government,2005,,2011,,4.0,
253,"Kawagoe City, Japan",Japan,GHG emission reduction target, The Kawagoe City has committed to reduce its Community emissions by 0% by 2012 compared to 1990 emission level.,Community,1990,,2012,,0.0,
254,"Kawagoe City, Japan",Japan,GHG emission reduction target, The Kawagoe City has committed to reduce its Local Government emissions by 27% by 2050 compared to 2000 emission level.,Local Government,2000,,2050,,27.0,
255,"Kawaguchi City, Japan",Japan,GHG emission reduction target, The Kawaguchi City has committed to reduce its Community emissions by 60% by 2050 compared to 2008 emission level.,Community,2008,,2050,,60.0,
256,"Kawaguchi City, Japan",Japan,GHG emission reduction target, The Kawaguchi City has committed to reduce its Local Government emissions by 8% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,8.0,
257,"Kawasaki City, Japan",Japan,GHG emission reduction target, The Kawasaki City has committed to reduce its Community emissions by 25% by 2020 compared to Baseline scenario (BAU) reduction target emission level.,Community,1990,,2020,,25.0,
258,"Kawasaki City, Japan",Japan,GHG emission reduction target," The Kawasaki City has committed to reduce its Local Government emissions by 20% by 2020 compared to 2008 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Local Government,2008,390778.0,2020,312622.0,25.0,78155.0
259,"Kawasaki City, Japan",Japan,Renewable energy target,The Kawasaki City committed to increase its Installed capacity of Renewable energy in Community to 110 MW by 2020Current Installed capacity of Renewable energy: 3. 07 MW 2019The target is going to be reached by activities in Electricity and Heating & cooling sector.,,,,,,,
260,"Kita City, Japan",Japan,GHG emission reduction target, The Kita City has committed to reduce its Community emissions by 3% by 2017 compared to 1990 emission level.,Community,1990,,2017,,3.0,
261,"Kitakyushu City, Japan",Japan,GHG emission reduction target," The Kitakyushu City has committed to reduce its Community emissions by 50% by 2050 compared to 2005 emission level. The target is going to be reached by activities in Stationary energy, Industrial processes and product use (IPPU), Transport, Agriculture, forest and other land use (AFOLU) and Waste management sectors.",Community,2005,19243000.0,2050,9621500.0,,9621500.0
262,"Kitakyushu City, Japan",Japan,GHG emission reduction target, The Kitakyushu City has committed to reduce its Local Government emissions by 65% by 2050 compared to 2005 emission level.,Local Government,2005,355280.0,2050,124348.0,,230932.0
263,"Kitakyushu City, Japan",Japan,Renewable energy target,"8% Energy efficiency improvement by 2020The Kitakyushu City committed to increase its energy efficiency in Final energy and Community energy consumption by 8% by 2020 compared to 2005 levels. This target will be achieved in Electricity, Transport, Heating & cooling and Industry sectors",,,,,,,
264,"Kitamoto City, Japan",Japan,GHG emission reduction target, The Kitamoto City has committed to reduce its Local Government emissions by 4% by 2013 compared to 2007 emission level.,Local Government,2007,,2013,,4.0,
265,"Kobe City, Japan",Japan,GHG emission reduction target, The Kobe City has committed to reduce its Local Government emissions by 30% by 2020 compared to 1990 emission level.,Local Government,1990,,2020,,30.0,
266,"Kochi Prefecture, Japan",Japan,GHG emission reduction target, The Kochi Prefecture has committed to reduce its Community emissions by 31% by 2020 compared to 1990 emission level.,Community,1990,,2020,,31.0,
267,"Kochi Prefecture, Japan",Japan,GHG emission reduction target, The Kochi Prefecture has committed to reduce its Local Government emissions by 10% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,10.0,
268,"Kochi-konan City, Japan",Japan,GHG emission reduction target, The Kochi-konan City has committed to reduce its Community emissions by 4% by 2030 compared to 2006 emission level.,Community,2006,,2030,,4.0,
269,"Kochi-konan City, Japan",Japan,GHG emission reduction target, The Kochi-konan City has committed to reduce its Local Government emissions by 5% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,5.0,
270,"Kofu City, Japan",Japan,GHG emission reduction target, The Kofu City has committed to reduce its Local Government emissions by 3% by 2015 compared to 2012 emission level.,Local Government,2012,,2015,,3.0,
271,"Komoro City, Japan",Japan,GHG emission reduction target, The Komoro City has committed to reduce its Local Government emissions by 6% by 2012 compared to 1990 emission level.,Local Government,1990,,2012,,6.0,
272,"Koriyama City, Japan",Japan,GHG emission reduction target, The Koriyama City has committed to reduce its Community emissions by 25% by 2020 compared to 2007 emission level.,Community,2007,,2020,,25.0,
273,"Koriyama City, Japan",Japan,GHG emission reduction target, The Koriyama City has committed to reduce its Local Government emissions by 7% by 2017 compared to 2010 emission level.,Local Government,2010,,2017,,7.0,
274,"Koto City, Japan",Japan,GHG emission reduction target, The Koto City has committed to reduce its Community emissions by 20% by 2020 compared to 2005 emission level.,Community,2005,,2020,,20.0,
275,"Koto City, Japan",Japan,GHG emission reduction target, The Koto City has committed to reduce its Local Government emissions by 15% by 2025 compared to 2007 emission level.,Local Government,2007,,2025,,15.0,
276,"Kumamoto City, Japan",Japan,GHG emission reduction target, The Kumamoto City has committed to reduce its Community emissions by 80% by 2050 compared to 2007 emission level.,Community,2007,,2050,,80.0,
277,"Kumamoto City, Japan",Japan,GHG emission reduction target, The Kumamoto City has committed to reduce its Local Government emissions by 16% by 2014 compared to 2009 emission level.,Local Government,2009,,2014,,16.0,
278,"Kurashiki City, Japan",Japan,GHG emission reduction target, The Kurashiki City has committed to reduce its Community emissions by 12% by 2020 compared to 2007 emission level.,Community,2007,,2020,,12.0,
279,"Kurashiki City, Japan",Japan,GHG emission reduction target, The Kurashiki City has committed to reduce its Local Government emissions by 30% by 2020 compared to 2007 emission level.,Local Government,2007,,2020,,30.0,
280,"Kushiro City, Japan",Japan,GHG emission reduction target, The Kushiro City has committed to reduce its Community emissions by 11% by 2020 compared to 1990 emission level.,Community,1990,,2020,,11.0,
281,"Kushiro City, Japan",Japan,GHG emission reduction target, The Kushiro City has committed to reduce its Local Government emissions by 1% by 2012 compared to 2007 emission level.,Local Government,2007,,2012,,1.0,
282,"Kyoto City, Japan",Japan,GHG emission reduction target, The Kyoto City has committed to reduce its Community emissions by 40% by 2030 compared to 1990 emission level.,Community,1990,,2030,,40.0,
283,"Kyoto City, Japan",Japan,GHG emission reduction target, The Kyoto City has committed to reduce its Local Government emissions by 25% by 2020 compared to 2004 emission level.,Local Government,2004,,2020,,25.0,
284,"Kyoto Prefecture, Japan",Japan,GHG emission reduction target, The Kyoto Prefecture has committed to reduce its Community emissions by 80% by 2050 compared to 1990 emission level.,Community,1990,,2050,,80.0,
285,"Maebashi City, Japan",Japan,GHG emission reduction target, The Maebashi City has committed to reduce its Local Government emissions by 3% by 2011 compared to 2005 emission level.,Local Government,2005,,2011,,3.0,
286,"Matsuyama City, Japan",Japan,GHG emission reduction target, The Matsuyama City has committed to reduce its Community emissions by 60% by 2050 compared to 1990 emission level.,Community,1990,,2050,,60.0,
287,"Meguro City, Japan",Japan,GHG emission reduction target, The Meguro City has committed to reduce its Community emissions by 5% by 2012 compared to 2004 emission level.,Community,2004,,2012,,5.0,
288,"Meguro City, Japan",Japan,GHG emission reduction target, The Meguro City has committed to reduce its Local Government emissions by 6% by 2013 compared to 2005 emission level.,Local Government,2005,,2013,,6.0,
289,"Mie Prefecture, Japan",Japan,GHG emission reduction target, The Mie Prefecture has committed to reduce its Community emissions by 3% by 2010 compared to 1990 emission level.,Community,1990,,2010,,3.0,
290,"Mie Prefecture, Japan",Japan,GHG emission reduction target, The Mie Prefecture has committed to reduce its Local Government emissions by 4% by 2010 compared to 2003 emission level.,Local Government,2003,,2010,,4.0,
291,"Minato City, Japan",Japan,GHG emission reduction target, The Minato City has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level.,Community,1990,,2020,,25.0,
292,"Minato City, Japan",Japan,GHG emission reduction target, The Minato City has committed to reduce its Local Government emissions by 10% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,10.0,
293,"Mito City, Japan",Japan,GHG emission reduction target, The Mito City has committed to reduce its Local Government emissions by 10% by 2011 compared to 2005 emission level.,Local Government,2005,,2011,,10.0,
294,"Miyagi Prefecture, Japan",Japan,GHG emission reduction target, The Miyagi Prefecture has committed to reduce its Community emissions by 2% by 2010 compared to 1990 emission level.,Community,1990,,2010,,2.0,
295,"Miyagi Prefecture, Japan",Japan,GHG emission reduction target, The Miyagi Prefecture has committed to reduce its Local Government emissions by 5% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,5.0,
296,"Miyazaki City, Japan",Japan,GHG emission reduction target, The Miyazaki City has committed to reduce its Local Government emissions by 4% by 2012 compared to 2004 emission level.,Local Government,2004,,2012,,4.0,
297,"Miyoshi City, Japan",Japan,GHG emission reduction target, The Miyoshi City has committed to reduce its Community emissions by 25% by 2020 compared to 2008 emission level.,Community,2008,,2020,,25.0,
298,"Musashino City, Japan",Japan,GHG emission reduction target, The Musashino City has committed to reduce its Community emissions by 11% by 2015 compared to 1990 emission level.,Community,1990,,2015,,11.0,
299,"Musashino City, Japan",Japan,GHG emission reduction target, The Musashino City has committed to reduce its Local Government emissions by 4% by 2016 compared to 2010 emission level.,Local Government,2010,,2016,,4.0,
300,"Nagahama City, Japan",Japan,GHG emission reduction target, The Nagahama City has committed to reduce its Community emissions by 80% by 2050 compared to 1990 emission level.,Community,1990,,2050,,80.0,
301,"Nagahama City, Japan",Japan,GHG emission reduction target, The Nagahama City has committed to reduce its Local Government emissions by 20% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,20.0,
302,"Nagareyama City, Japan",Japan,GHG emission reduction target, The Nagareyama City has committed to reduce its Community emissions by 20% by 2020 compared to 2007 emission level.,Community,2007,,2020,,20.0,
303,"Nagareyama City, Japan",Japan,GHG emission reduction target, The Nagareyama City has committed to reduce its Local Government emissions by 10% by 2014 compared to 2008 emission level.,Local Government,2008,,2014,,10.0,
304,"Nagasaki Prefecture, Japan",Japan,GHG emission reduction target, The Nagasaki Prefecture has committed to reduce its Local Government emissions by 10% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,10.0,
305,"Nagoya City, Japan",Japan,GHG emission reduction target, The Nagoya City has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level.,Community,1990,,2020,,25.0,
306,"Nagoya City, Japan",Japan,GHG emission reduction target, The Nagoya City has committed to reduce its Local Government emissions by 17% by 2020 compared to 2009 emission level.,Local Government,2009,,2020,,17.0,
307,"Nakano City, Japan",Japan,GHG emission reduction target, The Nakano City has committed to reduce its Community emissions by 15% by 2019 compared to 2005 emission level.,Community,2005,,2019,,15.0,
308,"Nara City, Japan",Japan,GHG emission reduction target, The Nara City has committed to reduce its Community emissions by 80% by 2050 compared to 1990 emission level.,Community,1990,,2050,,80.0,
309,"Nerima City, Japan",Japan,GHG emission reduction target, The Nerima City has committed to reduce its Community emissions by 8% by 2012 compared to 2000 emission level.,Community,2000,,2012,,8.0,
310,"Nerima City, Japan",Japan,GHG emission reduction target, The Nerima City has committed to reduce its Local Government emissions by 4% by 2014 compared to 2009 emission level.,Local Government,2009,,2014,,4.0,
311,"Nihonmatsu City, Japan",Japan,GHG emission reduction target, The Nihonmatsu City has committed to reduce its Local Government emissions by 6% by 2012 compared to 2006 emission level.,Local Government,2006,,2012,,6.0,
312,"Niigata City, Japan",Japan,GHG emission reduction target, The Niigata City has committed to reduce its Community emissions by 80% by 2050 compared to 2005 emission level.,Community,2005,,2050,,80.0,
313,"Niigata City, Japan",Japan,GHG emission reduction target, The Niigata City has committed to reduce its Local Government emissions by 7% by 2012 compared to 2005 emission level.,Local Government,2005,,2012,,7.0,
