,city,country,description,name,start year,status,type
845,"District of Delta, BC, Canada",Canada,"Neighbourhood zero emission vehicles (NZEVs) are low weight (less than 1,361 kg), designed for travel on four wheels, powered by an electric motor that produces no emissions, and do not use fuel as an on-board source of energy. These low speed electric vehicles are federally regulated to travel at a maximum speed of 40 km/h on a paved, level surface.","Neighbourhood Zero Emission bylaw - District of Delta, BC",2009,Completed,Regulatory
846,"District of Delta, BC, Canada",Canada,"In February 2009, Delta installed a solar hot water system on the roof of the Municipal Hall.  It is estimated that over 60% of the Municipal Hall’s hot water requirements are being met through the use of the solar hot water system.","Municipal Hall solar hot water system - District of Delta, BC",2009,Completed,Technical/Infrastructure investment
847,"District of Delta, BC, Canada",Canada,The Corporation of Delta supports the delivery of two theatrical productions which educate and entertain elementary school children about climate change.,"Elementary school climate change plays - District of Delta, BC",2009,In operation,Education/Awareness Raising
848,"District of Delta, BC, Canada",Canada,An energy audit and efficiency study of Delta's major civic facilities was commissioned in 2009. The results of this study were used to inform the 5 year capital and maintenance plan so that energy efficiency upgrades could be made. One example of a project was a continuous optimization program for Municipal Hall.,"Energy audit & efficiency study - District of Delta, BC",2009,Completed,Policy/Strategies/Action Plans
849,"District of Delta, BC, Canada",Canada,"Emissivity is best defined as the ability of a surface to radiate heat.  Low E ceilings specifically deal with radiation heat transfer to the ice surface.  In most community ice arenas, the radiant heat load is the single largest source of heat which the refrigeration system must remove to keep the ice at its desired temperature.  By installing a Low E ceiling, the radiation from the ceiling is reduced to 3% of its maximum value, thereby reducing the radiant heat load by about 95% and the overall refrigeration heat load by 23-38%.  This results in considerable electrical cost savings in operating the refrigeration plants.","Low E-ceiling installations - District of Delta, BC",2007,Completed,Technical/Infrastructure investment
850,"District of Delta, BC, Canada",Canada,"LED lighting was installed at Tilbury Ice arena and at the North Delta Recreation Centre parking lot, resulting in significant energy savings at both facilities.","LED Lighting Installation - District of Delta, BC",2007,Completed,Technical/Infrastructure investment
851,"District of Delta, BC, Canada",Canada,"Every year a number of events are held to educate staff about energy efficiency, local food production, car sharing and sustainability.","Staff education - District of Delta, BC",2007,In operation,Education/Awareness Raising
852,"District of Delta, BC, Canada",Canada,"The Green Can Program provides curbside collection of residential green waste and food waste. To promote green waste diversion from the landfill, the cost of backyard composters and kitchen containers is subsidized for residents. Free gardening workshops are offered to promote backyard composting, and the Green Can Program is promoted at community events. Waste reduction workshops are delivered to local schools, with a new special focus on green waste. Public municipal facilities are leading the way with in-house recycling stations that include food waste.","Green Waste Collection - District of Delta, BC",2007,Completed,Policy/Strategies/Action Plans
853,"District of Delta, BC, Canada",Canada,Upgrades to existing HVAC systems were completed at several municipal buildings in order to reduce GHG emissions.,"Heating, Ventilation, and Air Conditioning System Upgrades - District of Delta, BC",2007,In operation,Technical/Infrastructure investment
854,"District of Delta, BC, Canada",Canada,"An anaerobic digester was fully commissioned at Seabreeze Farms that generates renewable natural gas, which is injected into the FortisBC natural gas system. The process uses all of the manure and farm waste produced by the dairy farm, allowing the farmers to recover water and valuable nutrients like phosphorus and nitrogen. After processing in the digester, the remaining material, known as digestate, is odourless and can be used on the fields to fertilize crops either as a dry solid or liquid “tea.” The dried digestate is worked into the soil in the spring, replacing the need to spread raw manure. Drawing off the methane for biogas production eliminates the characteristic manure odour, and capturing phosphorus prevents excess nutrient build up in the soil or run-off from the fields. In the summer, the liquid digestate is particularly useful as fresh water resources become increasingly scarce.","Anaerobic Digester - District of Delta, BC",2007,Completed,Technical/Infrastructure investment
855,"District of Delta, BC, Canada",Canada,"The Climate Change Showdown is an interactive environmental workshop and contest for students in grades 4 to 7. In each 90-minute workshop, Environmental Educators use storytelling, a fun DVD and games to build on students’ knowledge of climate change. This program is delivered by the British Columbia Sustainable Energy Association. Following the workshop, students take home a four-week contest that encourages families to make easy but important changes to their energy consumption. Students and their families are challenged to initiate life-long behaviour changes.
After four weeks, the contests are collected and the results are converted into measurable greenhouse gas reductions. Students and classes with the most GHG savings win prizes in their region, such as bicycles, science games, and acknowledgement of their achievements at City Council meetings in their community. Delta schools participate in 10-15 Climate Change Showdown workshops each year. In 2015, a Delta school was the winner of the Climate Change Showdown.","Climate Change Showdown - District of Delta, BC",2007,Completed,Policy/Strategies/Action Plans
856,"District of Delta, BC, Canada",Canada,"The Delta Adaptation Strategy is the result of efforts made by provincial government, Delta Farmers' Institute, local farmers and industry association representatives. The purpose of the Strategy is to outline priority adaptation efforts for farmers, Delta, and the Province. Since the completion of the Strategy in the fall of 2013, BC Agriculture & Food Climate Action Initiative staff have secured $250,000 of the Provincial-Federal Growing Forward 2 Agreement to support implementation of priority actions as outlined in the Strategy. Work was lead by the Agriculture & Food Climate Action Initiative and the Delta Farmers' Institute with assistance from the working group comprised of select stakeholders. Year 1 projects included: a south of the Fraser study on the economic, agronomic and food production impacts of a storm surge flood event;a provincial-led on-farm emergency planning and mitigation measures program; applied on-farm drainage management options; and a communications strategy which aims to promote farming in Delta and provide information about the potential impacts of climate change to farming. Year 2 projects included: a workshop-style forum to share the study findings of Year 1 and discuss options to address identified vulnerabilities to coastal flooding, a pilot working with 5-10 producers to develop flooding preparedness and mitigation plans; and development of educational resources. Year 3 activities included: initiating a communications strategy; completing an on-farm flood hazard mitigation planning pilot exercise; and undertaking a salinity study.","Agricultural Adaptation Plan for Delta Producers  - District of Delta, BC",2007,In operation,Technical/Infrastructure investment
857,"District of Delta, BC, Canada",Canada,The Voluntary Water Meter program is for single family dwellings. Homeowners who wish to have a water meter on their service may apply for a free installation from the Corporation of Delta.,"Voluntary water meter program - District of Delta, BC",2007,In operation,Policy/Strategies/Action Plans
858,"District of Delta, BC, Canada",Canada,"The Delta Tree Protection and Regulation Bylaw was adopted in 2015. The earlier tree protection bylaw, adopted in 2006, was reviewed in 2014 to determine how the bylaw could be improved to better protect trees. Highlights of the 2015 bylaw improvements include a title revision to emphasise protection rather than cutting of trees, removal of the maximum tree cutting permit fee so that developers pay their fair share, enhancing enforcement, permit display requirement, increasing the waiting time between tree cutting permits for a given property, and requiring five replacement trees for every tree cut without a permit.","Stronger Tree Protection Bylaw - District of Delta, BC",2007,Completed,Organizational / Governance
859,"District of Delta, BC, Canada",Canada,"The Invasive Plant Strategy was completed in 2015. Highlights of the strategy include prevention, mapping and inventory, early detection & rapid response, regulations, monitoring & replanting, education, and collaboration. By implementing strategy recommendations, as well as continuing the proactive and aggressive approach Delta is currently taking to manage invasive animals and plants, staff and residents may protect and conserve local biodiversity, the ecological viability of watercourses and natural areas, the recreational uses of Delta parks, and prevent damage to private property. It is expected that this strategy will be revised approximately every five years or as new information becomes available.","Invasive Plant Strategy - District of Delta, BC",2007,Completed,Organizational / Governance
860,"District of Delta, BC, Canada",Canada,Planning and installing green infrastructure like rain gardens and permeable paving is an ongoing project in Delta. Reducing the total impervious area within the community reduces energy spent on treating storm water. The installation of green infrastructure is also an adaptation measure as it mitigates the impacts of large storm events.,"Green infrastructure & Rain Garden Program - District of Delta, BC",2007,In operation,Technical/Infrastructure investment
861,"District of North Cowichan, Canada",Canada,"The North Cowichan Climate Action and Energy Plan (CAEP) provides strategic direction and an economic framework for both the Municipality and the community, building a strong partnership to address climate change.  The CAEP is an integrated mitigation and adaptation plan, and one that involved many innovative forms of community engagement.   The CAEP contains a target of a 33% reduction in GHG emissions by 2025 and an 80% reduction by 2050.  The CAEP recommended the creation of a revolving fund for climate action initiatives and this was created with a 0.5% increase to the property tax levy adopted in 2013.",Climate Action and Energy Plan Mitigation Actions - District of North Cowichan,2013,In operation,Policy/Strategies/Action Plans
862,"District of Saanich, Canada",Canada,Saanich pooled fleet vehicles with the first 4 vehicles switched to EVs. The EVs are used 85% of the time in the pooled fleet.,EV Pooled Fleet - District of Saanich,2013,Completed,Technical/Infrastructure investment
863,"District of Saanich, Canada",Canada,"Installed 12 EV stations in key locations throughout the community to support the adoption of electric vehicles, including way-finding signage. Uptake will be evaluated April 1, 2014",Community Electric Vehicle Charging Stations - District of Saanich,2012,Completed,Technical/Infrastructure investment
864,"District of Saanich, Canada",Canada,Grants to support community developed and implemented GHG reductions. Community based action is hard to quantify.,Saanich Community Sustainability Grants - District of Saanich,2012,In operation,Public Participation/Stakeholder engagement
865,"District of Saanich, Canada",Canada,Program's goal is too engage residents to take action and provide the tools they need to do so.,Carbon Champions Program - District of Saanich,2011,In operation,Education/Awareness Raising
866,"District of Saanich, Canada",Canada,Removing high carbon intensity heating oil systems from smaller buildings. Another 50 tonnes will be removed by the end of 2015..,Heating Oil Removal in Operations - District of Saanich,2010,In operation,Technical/Infrastructure investment
867,"District of Saanich, Canada",Canada,Free low-flow showerheads were provided to residents to reduce hot water consumption. Project was piloted in Saanich and is now used Province wide. Significant water savings were also achieved.,TapbyTap Showerhead Exchange Program - District of Saanich,2010,Completed,Public Participation/Stakeholder engagement
868,"District of Saanich, Canada",Canada,Plan provides complete approach to mitigation of GHG emissions in municipal operations and for the community.,Saanich Climate Action Plan - District of Saanich,2010,In operation,Policy/Strategies/Action Plans
869,"District of Saanich, Canada",Canada,Replaced propane system.,Electric Ice Resurfacer - District of Saanich,2010,Completed,Technical/Infrastructure investment
870,"District of Saanich, Canada",Canada,"Carbon calculator provides residents with tool to determine carbon footprint and donate to a carbon offsetting alternative. Local residents have donated to the
Saanich Community Carbon Fund to
support climate action school curriculum
projects. Two local middle schools,
Lansdowne and Arbutus Global, joined in
WildBC’s year long program, Science In
Action, with a focus on climate change
and sustainable action projects. Student
learning was supported through teacher
training and curriculum resources. Fund can also now be used to help plant trees in Saanich.",Community Carbon Calculator and Fund Project - District of Saanich,2009,In operation,Public Participation/Stakeholder engagement
871,"District of Saanich, Canada",Canada,Improvements to building and heating system.,Fleet Centre Heating Improvements - District of Saanich,2009,Completed,Technical/Infrastructure investment
872,"District of Saanich, Canada",Canada,Provided hot water to recreation centre showers.,Solar Hot Water System at Gordon Head Recreaction Centre - District of Saanich,2008,Completed,Technical/Infrastructure investment
873,"District of Saanich, Canada",Canada,"Our most significant initiative, the Carbon Fund is a leading edge alternative to purchasing carbon offsets. In this model, carbon accounting is completely integrated into our budgeting process and departments are responsible for their own footprint and contribute to the Fund each year based on their emissions. They can then access this fund for GHG reducing projects. Our community has decided to use these funds to invest in the carbon resiliency of our municipality instead of sending the money to offsetting projects.",Saanich Carbon Fund - District of Saanich,2007,In operation,Fiscal / Financial mechanism
874,"District of Saanich, Canada",Canada,"A combination of right-sizing vehicles, integrated hybrid and electric vehicles and behaviour change.",E3 Fleet Program Initiatives - District of Saanich,2006,In operation,Technical/Infrastructure investment
875,"District of Saanich, Canada",Canada,,Greener Garbage - New Kitchen Scraps (Compost) Collection Service - District of Saanich,,Completed,Technical/Infrastructure investment
876,"District of Saanich, Canada",Canada,,(Pending for 2016) Installation of low carbon boiler system at Gordon Head Recreation Centre - District of Saanich,,In operation,Technical/Infrastructure investment
877,"District of Saanich, Canada",Canada,"The Municipality updates the Official Community Plan approximately every 10 years. However, the 2008 version is unique because of its extensive commitment to sustainability and climate action. The plan includes specific objectives and policies regarding planning and land use management through a sustainability lens. Specifically, the Plan encourages a focus on increasing density in ""centres and villages"" in response to earlier residential housing sprawl. The plan also provides a range of other commitments related to climate changes (GHG targets) and the natural environment. Attachment not working, document can be found here: http://www.saanich.ca/living/community/ocp/ocp_adopted_jul808_amended_aug1715.pdf",Sustainable Saanich Official Community Plan - District of Saanich,,Completed,Policy/Strategies/Action Plans
878,"District of Saanich, Canada",Canada,,(Pending for 2016) Assess the Feasibility of 100% RE in Municipal Buildings by 2025 - District of Saanich,,In operation,Policy/Strategies/Action Plans
879,"Metro Vancouver, BC, Canada",Canada,"As the authority responsible for the region’s trunk sewer
network and wastewater treatment system, Metro Vancouver
has developed an Interim Sewer Heat Strategy to enable
access to sewage heat for district energy systems. The intent
is to provide clear direction to public and private entities
interested in using sewer heat in place of natural gas for
heating while a more detailed long-term sewer heat policy
framework is being developed. The interim strategy allows
Metro Vancouver staff to conduct further technical analysis
and engage with stakeholders on issues such as governance,
ownership rights, liability, etc.","Interim Sewer Heat Strategy - Metro Vancouver, BC",2011,Completed,Technical/Infrastructure investment
880,"Metro Vancouver, BC, Canada",Canada,,"Energy Audits of Metro Vancouver Housing Facilities - Metro Vancouver, BC",2010,Completed,Assessment/Research
881,"Metro Vancouver, BC, Canada",Canada,,"Coquitlam Landfill Gas Capture - Metro Vancouver, BC",2010,In operation,Technical/Infrastructure investment
882,"Metro Vancouver, BC, Canada",Canada,,"Training for Small and Medium Enterprises in GHG Management - Metro Vancouver, BC",2010,In operation,Education/Awareness Raising
883,"Metro Vancouver, BC, Canada",Canada,"The project is a pilot study to assess whether the use of a solar hot water system in a commercial high rise building is a technically and economically effective way to reduce energy use and greenhouse gas emissions.  For the study, natural gas and water consumption meters were installed.  A data logger was also installed to help identify potential operational improvements.  A 2-year monitoring and verification program was also included as part of the agreement with the system designer / installer.

The system is used to heat domestic hot water supplied to washroom sinks, reducing natural gas purchases.  The system components include 80 evacuated collector tubes in racks, two 880 litre solar storage tanks, a double wall heat-exchanger and a Resol differential temperature controller.  The tubes and racks cover a 20m2 area.

A unique drain-back design provides freeze- and overheating-protection for the system. When the temperature is too low or too high for the system to operate safely and effectively, the system simply shuts off and the heat transfer water inside gravity-drains to a tank, where it is re-circulated when normal operating temperatures are reached.  Other systems typically add a food-grade glycol to the heat transfer fluid for freeze protection, which causes a slight efficiency loss in the system and also adds a maintenance requirement and cost.  A cooling fan can be used to dissipate heat to protect against overheating.  However, the heat is lost. 
 ","Solar Hot Water Installation at Head Office - Metro Vancouver, BC",2009,Completed,Technical/Infrastructure investment
884,"Metro Vancouver, BC, Canada",Canada,,"Low Carbon Vehicle Purchases for Corporate Fleet - Metro Vancouver, BC",2008,In operation,Organizational / Governance
885,"Town of Ajax, Canada",Canada,"Integrated with the Town of Ajax's first Integrated Community Sustainability Plan, the Community Local Action Plan defines how The Town of Ajax is going to reduce GHG emissions by 6% by 2020.",Community Local Action Plan - Town of Ajax,2013,,Policy/Strategies/Action Plans
886,"Town of Ajax, Canada",Canada,The Corporate Local Action plan defines how the Town of Ajax will decrease it's corporate greenhouse gas emission by 20% by 2020. The Local Action Plan is integrated with the Town's first Integrated Community Sustainability Plan,Corporate Local Action Plan - Town of Ajax,2013,In operation,Policy/Strategies/Action Plans
887,"Town of Caledon, Canada",Canada,"The Town recently updated both the Corporate Energy and Environmental Plans to challenge the Town against other municipal best practices and maintain the Town’s environmental leadership. While updating both plans, staff engaged over 80 staff and 40 residents in a world café style discussion to gain input on actions that should be included in both plans. Over 60 actions have been included in both plans to reduce the Town's environmental footprint, and help achieve the Town’s energy reduction target of 9% below 2012 levels by 2019. The Town has also committed to regular reporting on the progress of these plans.",Corporate Energy and Environmental Strategic Plan Update - Town of Caledon,2014,In operation,Policy/Strategies/Action Plans
888,"Town of Caledon, Canada",Canada,"The Town established “A Guide to Eco-Business Zone Planning & Development” in partnership with the Toronto and Region Conservation Authority. This document was designed to act as a staff guide to implement Eco-Business zones in new employment areas. These guidelines were the result of developer and staff workshops and extensive consultation with the TRCA’s review team, and Regional staff. The intent with this guide is to ensure the appropriate policies, procedures and standards are in place to create more sustainable lands.",A Guide to Eco Business Zone Planning and Development - Town of Caledon,2014,Completed,Policy/Strategies/Action Plans
889,"Town of Caledon, Canada",Canada,"The Town of Caledon adopted an outdoor Street Lighting Standard because of the continuous improvements to light emitting diode (LED) technology, and the varied economic, environmental and public safety benefits. This standard requires that all new streetlights put in the Town (Residential, Commercial and Industrial) have to use LED lighting technology. Additionally, the Town is currently looking into the business case of retrofitting all existing cobra head street lights to LED technology. There are also currently many facility LED street light and parking lot installations throughout the Town.",Outdoor LED Lighting Standard - Town of Caledon,2013,Completed,Policy/Strategies/Action Plans
890,"Town of Caledon, Canada",Canada,"Lighting Retrofits with more efficient technologies was identified as an action under the Town’s Corporate Energy Management Plan. Two arena facilities had an older more energy intensive lighting system consisting of metal halides. The Town decided to retrofit these with more efficient T5 High output lights due to their increased energy efficiency, lifespan, and improved quality of light. The project experienced significant success in maintaining momentum in the Corporate Energy Management Plan, with many positive staff and patron comments regarding the improved light quality.",Facility Lighting Retrofits - Town of Caledon,2013,Completed,Technical/Infrastructure investment
891,"Town of Caledon, Canada",Canada,"The Town developed a Corporate Green Building Standard requiring that all future facilities and major renovations achieve Leadership in Energy and Environmental Design (LEED) Silver designation (an international building accreditation program). The Town also requires additional non-LEED credits including alternative fuel vehicles, storm water design, water efficiency and enhanced commissioning to ensure environmentally sustainable building design principles through the planning, development, and lifecycle of all future facility construction and expansion projects. The Town built its first LEED Facility in 2012, an Ontario Provincial Police station, in keeping with many of the Standard's requirements.",Corporate Green Building Standard - Town of Caledon,2012,Completed,Policy/Strategies/Action Plans
892,"Town of Caledon, Canada",Canada,"Town Hall underwent a recommissionming exercise, which is a commissioning exercise to existing buildings. This exercise was initiated in response to the Town's Corporate Energy Management Plan, and the Mayors MegaWatt Challenge (A national challenge to reduce Town Hall Energy use). This process improved operational activities, reduced energy use and GHG emissions, and improved staff comfort and understanding of the building operations. The results from this initiative was so successful, the Town has initiated a similar exercise at another facility, Caledon Centre for Recreation and Wellness, where energy savings and improved building operations are already experienced.",Recommissioning - Town of Caledon,2012,Completed,Technical/Infrastructure investment
893,"Town of Caledon, Canada",Canada,"The Peel Climate Change Strategy was initiated in 2009, and finalized in 2011. This Strategy was built through a unique partnership between the Region, Partner Municipalities (including Caledon), and Conservation Authorities, who all have a role in implementing the Plan. The Strategy was developed in 3 phases (1) Summarizing potential Climate Change impacts and risks to the Region (2) A Mitigation Strategy that analyzes partner ghg inventories, summarizes mitigation best practices and recommends a baseline and target (3) Climate Change Strategy which contains a vision, goals, targets, actions and implementation priorities. The partners meet quarterly to discuss the Strategy’s progress.",Region of Peel Climate Change Strategy - Town of Caledon,2011,In operation,Policy/Strategies/Action Plans
894,"Town of Caledon, Canada",Canada,"As part of the Partners for Climate Protection program, the Town developed a Community Climate Change Plan. This Plan, driven by a Community Working Group,  suggested actions that focused on ghg emissions reduction. Three public consultation sessions were held to gather input on the actions, which are Council endorsed. These actions focus on renewable energy, waste reduction, low impact development and sustainable agriculture. To assist with Plan implementation, the Town has recently hired a Climate Change Coordinator.  This Plan received a Credit Valley Conservation Award of Distinction 2011 and was a finalist for the Ontario Power Authority Community Conservation Award.",Caledon Community Climate Change Action Plan - Town of Caledon,2011,In operation,Policy/Strategies/Action Plans
895,"Town of Caledon, Canada",Canada,"Town Council approved 3 solar microfit ground mount projects in 2011.  These projects addressed key actions in both Corporate Environment and Energy Plans.  They also tie into the Province's Feed-In-Tariff program and contract, which requires the Town to make all generated ""green"" electricity available to the electricity grid.  The revenue generated through this program is re-invested into other Town energy conservation programs.",3 Solar Micro-Fit Projects - Town of Caledon,2011,Completed,Technical/Infrastructure investment
896,"Town of Caledon, Canada",Canada,The Town installed a solar wall on one of its largest recreation facility energy users in 2010.  This was partially funded with provincial and federal grants.  The project was to provide the pool area with fresh solar heated air with the intent to reduce the facility's natural gas consumption.,Solar wall installation - Town of Caledon,2009,Completed,Technical/Infrastructure investment
897,"Town of Caledon, Canada",Canada,"Initiated in 2008, the Green Development Program is unique amongst municipalities since it provides development charge discounts for pre-qualified green technologies or LEED (Leadership in Energy and Environmental Design) Certification at industrial or commercial buildings.  This required the Town to amend its Development Charge By-Law.  To date, the program has had one successful applicant, ProLogis Canada Inc. who achieved LEED-CS (Core and Shell) silver rating, amongst the first industrial buildings to achieve this rating in Canada.",Green Development Program  - Town of Caledon,2009,,Technical/Infrastructure investment
898,"Town of Caledon, Canada",Canada,"With the adoption of the Environmental Progress Action Plan (EPAP) in 2005, the Town committed to regular biannual reporting on the progress of the Plan. The reporting was completed in 2007, 2009 and 2011. The 2011 Environmental Action Report concluded the 2005 EPAP, and outlined quantitative and qualitative results of the Town's environmental work. In 2014, the Town initiated an update of both strategic ""green"" plans: the EPAP and  Corporate Energy Management Plan.  The Town has committed again to regular reporting on the progress of both Plans.",Environmental Progress Reporting - Town of Caledon,2007,Completed,Policy/Strategies/Action Plans
899,"Town of Caledon, Canada",Canada,"In 2006, the Town was the first Ontario municipality to ""bullfrog power"" its Town Hall.  This purchase helped the Town address its greenhouse gas reduction target.  Town staff were challenged in generating Town Hall energy savings to help offset the premium associated with the green electricity purchase.  The Town expanded its green electricity purchase in 2008 to permit all facilities in the Caledon East campus to be powered by zero-emission; low impact hydro and switched retailers- Direct Energy.  The Town currently purchases green electricity for the Town's new LEED certified OPP detachment.",Green Electricity Purchase - Town of Caledon,2006,Completed,Policy/Strategies/Action Plans
900,"Town of Caledon, Canada",Canada,"The Town established the Community Green Fund in 2006 to assist local Caledon, not-for-profit or volunteer groups to leverage provincial, federal or other funds to carry out important environmental work. Community groups apply annually outlining their project scope and associated environmental benefits. As of 2013, the Town granted a total of $143, 312 supporting 32 community projects. Due to the program's success, the Town also established a School Green Fund program in 2012 for local schools. As of 2013, this program has funded approximately $20, 000 supporting 11 projects.",Community Green Fund - Town of Caledon,2006,In operation,Fiscal / Financial mechanism
901,"Municipality of Independencia, Chile",Chile,"Independencia es una de las comunas de la Región Metropolitana que tiene mayor tasa de viajes no motorizados, llegando a un 56,3% de personas que se mueve a pie o en bicicleta (noticiaindependencia.pdf), a su vez es la tercera comuna con mayor número de población adulto mayor, representando el 23,7% del total de la población comunal, quienes sufren graves accidentes debido al mal estado de las veredas.  Ante esta situación nos impulsamos en mejorar la calidad de vida de los vecinos, con un enfoque fundamental en la Caminabilidad, mejorando accesibilidad, integrando la cicloinclusión, desarrollando rutas seguras  de desplazamiento hacia establecimientos educacionales y paraderos de transporte público, comercio amigo, mejora de Luminaria, instalación de estaciones comunitarias inteligentes (paneles solares para carga de autos compartidos, wifi,etc), arbolado, mejora de espacios públicos y su utilización eficiente destacando el Eje de movilidad Urbana de avenida Independencia, un corredor que  integra transporte urbano con la nueva línea 3 del metro y una moderna ciclovía,  logrando nuestro objetivo de ser una Comuna sustentable, limpia, inclusiva, educada y eficiente energéticamente, Una de las iniciativas de la Municipalidad parala inclusión de movilidad y educación ambioental será la construcción del Parque para la Sustentabilidad, el cual contara con un Jardín infantil, punto limpio, huertos urbanos, centro de valorización energética, áreas verdes y espacios de recreación destinados a fomentar el desarrollo de la educación ambiental mediante un sistema integrado de tecnologías y prácticas ambientales relacionadas entre sí, capaces de complementarse en un modelo de manejo sustentable, integral y capaz de minimizar los impactos sobre el medio ambiente local. (EcoparqueyMovilidad.pdf).",Comuna Sustentable  - Municipality of Independencia,,Under construction / set up,Technical / Infrastructural
902,"Municipality of Lautaro, Chile",Chile,Esta ordenanza permitirá sancionar acciones y/o actos que vayan en desmedro del medio ambiente y  de la sana convivencia.,Ordenanza Municipal de Medio Ambiente - Municipality of Lautaro,2012,In operation,Regulatory
903,"Municipality of Lautaro, Chile",Chile,"El proyecto consiste en la instalación de dos puntos limpios urbanos, constituidos por un mobiliario urbano con identificación y
rotulación de los contenedores e información para su correcta utilización. Ademas, corresponderá a una refugio tipo peatonal que
permitirá incorporarlo al mobiliario urbano considerando terminaciones arquitectónicas y de paisajismo propias de la comuna.
Dentro de este punto limpio se incorporaran 2 contenedores tipo campana de fibra de vidrio de 3 m3 de capacidad cada una con sus
respectivos colores identificatorios a nivel internacional y su cancamo de izaje, para los residuos reciclables del tipo papel y cartón y
plásticos.
El modelo de gestión de estos puntos limpios sera de carácter tripartito, es decir, Municipio - Organización Comunal y un poder
comprador (privado). El municipio tendrá el rol de asegurar el correcto ornato del área de emplazamiento, asegurando en todo
momento al limpieza del punto limpio. La comunidad tendrá la misión de difundir, educar y concientizar a la comunidad, ademas, de
realizar el contacto con el poder comprador para obtener parte del beneficio económico de la actividad y por ultimo el poder
comprador tendrá la misión de garantizar el cierre del ciclo de minimizacion de los residuos.
La ubicación de estos puntos limpios, estarán determinados por la cercanía a conglomerados habitacionales importantes,
accesibilidad vial y peatonal y un área de emplazamiento adecuada; De esta manera se seleccionaron dos puntos para la ubicación
de los puntos limpios, el primero ubicado en la plaza de la villa Araucanía que corresponde a un lugar central de 7 agrupaciones
habitacionales,aledaño a la mas importante via de transito que presenta el sector.El segundo punto se ubicara en la intersección de
los bandejones central de la AV.Brasil y P.Aguirre Cerda, que corresponde a un lugar de alta actividades de esparcimiento a nivel
comunal y ademas cercano a 3 agrupaciones habitacionales muy importantes de la comuna.",Plan Piloto de Minimizacion - Municipality of Lautaro,2012,In operation,Assessment/Research
904,"Municipality of Lautaro, Chile",Chile,"El proyecto considerara concientizar a los trabajadores del municipio en el uso eficiente de la energía, para lo cual se han capacitado a un profesional que se encargara de desarrollar talleres prácticos que apunten a un uso eficiente de la energía tanto en la oficina como en el hogar",Plan de Eficiencia Energetica  Municipal - Municipality of Lautaro,2012,In operation,Policy/Strategies/Action Plans
905,"Municipality of Lautaro, Chile",Chile,"The municipal government decided to participate in a threeway
partnership between the Ministry of the Environment,
Frontel (a private electrical distribution company) and the
Lautaro local government to carry out a five-month campaign
that asked the community via television and radio to
set aside their batteries until a July submission date when
Frontel took on final disposal of nearly 800 kg at a safe
landfill. The batteries were received at a ceremony in the
community’s main plaza.",Battery Recycling Campaign - Municipality of Lautaro,2012,Completed,Education/Awareness Raising
906,"Municipality of Lautaro, Chile",Chile,"El proyecto contempla el cierre del vertedero, en un plazo de 3 años, el cual controlara emisiones de lixiviados y biogas, para posteriormente re-insertar el terreno a la sociedad para ser utilizado como un  parque.",Cierre Vertedero Municipal - Municipality of Lautaro,2012,In operation,Technical/Infrastructure investment
907,"Municipality of Lautaro, Chile",Chile,"This project arose from a cooperation agreement signed
between the Corporación de Defensa de la Flora y la Fauna
(CODEFF), the municipal government of Lautaro and
Cristalerías Toro. The agreement led to twelve community
glass recycling campaigns deployed at strategic points that
allowed for the largest possible collection of glass quantities.
Cristalerías Toro reclaims the glass to turn it into new
bottles; part of recycling proceeds go to benefit CODEFF.
Being able to recycle three essential energy- and natural-resources-
consumption components (plastic, paper and glass)
reduces atmospheric carbon emissions.",Glass Recycling in Lautaro - Municipality of Lautaro,2012,In operation,Technical/Infrastructure investment
908,"Municipality of Lautaro, Chile",Chile,"Se busca la firma de un convenio de cooperación, entre la municipalidad y alguna de las universidades regionales, que permitan realizar un catastro de las emisiones de CO2 de la comuna, y asi de esta manera poseer una herramienta base que permita cuantificar de manera mas precisa las reducciones de CO2 que realizara la comuna en las diversas actividades que se ejecuten.",Convenio de Cooperación Universidad Regional - Municipality of Lautaro,2012,In operation,Regulatory
909,"Municipality of Lautaro, Chile",Chile,"This campaign’s mission is to bring together organizations
and individuals who get increasingly involved in south
Chile’s atmospheric cleanup via education and the application
of measures that favor responsible energy selection and
alternative heating systems. Part of the campaign included
publicity and awareness activities aimed at students in the
community’s educational installations to create awareness
from an early age with regard to the use of firewood as a
main heating element.",Nuevo Aire Campaign - Municipality of Lautaro,2012,Completed,Education/Awareness Raising
910,"Municipality of Lautaro, Chile",Chile,"Esta acción que se viene desarrollando desde el año 2010, dice relación con dos estudio uno de localización de sitios aptos para la construcción de un relleno sanitario con altos estándares constructivos, y otro estudio que identificara la mejor alternativa de tratamiento de los residuos que llegaran al relleno sanitario. Esta iniciativa posee una visión  regional y asociativa.",Estudios de Gestion Integral de Residuos - Municipality of Lautaro,2011,In operation,Assessment/Research
911,"Municipality of Lautaro, Chile",Chile,"Esta iniciativa busca la independencia energética en el sector rural, mayoritariamente en comunidades indígenas donde el acceso a energía para preparar su alimentación o calefacción es difícil de obtener, lo que ha llevado a una deforestación progresiva.",Independencia energetica rural - Municipality of Lautaro,2010,In operation,Technical/Infrastructure investment
