,area (km2),city,country,gdp,population,target
317,311.59,"Maebashi City, Japan",Japan,N/A,339701,Reduce 3% GHG emissions
318,429.0,"Matsuyama City, Japan",Japan,N/A,514559,N/A
319,15.0,"Meguro City, Japan",Japan,N/A,277171,Reduce 5% GHG emissions
320,5777.0,"Mie Prefecture, Japan",Japan,N/A,1855177,Reduce 3% GHG emissions
321,20.0,"Minato City, Japan",Japan,N/A,243094,Reduce 10% GHG emissions
322,217.0,"Mito City, Japan",Japan,N/A,270859,Reduce 10% GHG emissions
323,7286.0,"Miyagi Prefecture, Japan",Japan,N/A,2337514,Reduce 2% GHG emissions
324,645.0,"Miyazaki City, Japan",Japan,N/A,399834,Reduce 4% GHG emissions
325,778.0,"Miyoshi City, Japan",Japan,N/A,58170,Reduce 25% GHG emissions
326,11.0,"Musashino City, Japan",Japan,N/A,142108,Reduce 11% GHG emissions
327,539.0,"Nagahama City, Japan",Japan,N/A,122280,Reduce 20% GHG emissions
328,35.0,"Nagareyama City, Japan",Japan,N/A,166493,Reduce 10% GHG emissions
329,4106.0,"Nagasaki Prefecture, Japan",Japan,N/A,1426594,Reduce 10% GHG emissions
330,326.0,"Nagoya City, Japan",Japan,N/A,2268217,Reduce 25% GHG emissions
331,39.0,"Naha City, Japan",Japan,N/A,315954,N/A
332,16.0,"Nakano City, Japan",Japan,N/A,322731,Reduce 15% GHG emissions
333,277.0,"Nara City, Japan",Japan,N/A,364937,N/A
334,48.0,"Nerima City, Japan",Japan,N/A,713995,Reduce 8% GHG emissions
335,25.0,"Neyagawa City, Japan",Japan,N/A,241702,N/A
336,345.0,"Nihonmatsu City, Japan",Japan,N/A,56386,Reduce 6% GHG emissions
337,726.0,"Niigata City, Japan",Japan,N/A,804193,Reduce 7% GHG emissions
338,12582.5,"Niigata Prefecture, Japan",Japan,N/A,2371574,Reduce 12% GHG emissions
339,100.0,"Nishinomiya, Japan",Japan,N/A,483598,Reduce 3% GHG emissions
340,114.0,"Odawara City, Japan",Japan,N/A,194672,Reduce 25% GHG emissions
341,6340.0,"Oita Prefecture, Japan",Japan,N/A,1177900,Reduce 6% GHG emissions
342,790.0,"Okayama City, Japan",Japan,N/A,701923,Reduce 10% GHG emissions
343,387.0,"Okazaki City, Japan",Japan,N/A,375321,Reduce 6% GHG emissions
344,2276.0,"Okinawa Prefecture, Japan",Japan,N/A,1413583,N/A
345,1898.0,"Osaka Prefecture, Japan",Japan,N/A,8864228,Reduce 9% GHG emissions
346,59.0,"Ota City, Japan",Japan,N/A,676458,Reduce 6% GHG emissions
347,464.0,"Otsu City, Japan",Japan,N/A,342394,Reduce 5% GHG emissions
348,329.0,"Sagamihara City, Japan",Japan,N/A,719677,Reduce 6% GHG emissions
349,217.0,"Saitama City, Japan",Japan,N/A,1259858,N/A
350,3797.0,"Saitama Prefecture, Japan",Japan,N/A,7237734,Reduce 18% GHG emissions
351,150.0,"Sakai City, Japan",Japan,N/A,840862,N/A
352,1121.26,"Sapporo City, Japan",Japan,6.5 Trillion,1953784,Reduce 80% GHG emissions
353,426.0,"Sasebo City, Japan",Japan,N/A,256776,N/A
354,78585.0,"Sendai City, Japan",Japan,N/A,1073242,Reduce 14% GHG emissions
355,58.0,"Setagaya City, Japan",Japan,N/A,837185,N/A
356,15.0,"Settsu City, Japan",Japan,N/A,84278,Reduce 5% GHG emissions
357,15.0,"Shibuya City, Japan",Japan,N/A,208371,Reduce 20% GHG emissions
358,4017.0,"Shiga Prefecture, Japan",Japan,N/A,1402132,Reduce 9% GHG emissions
359,6708.0,"Shimane Prefecture, Japan",Japan,N/A,696521,Reduce 6% GHG emissions
360,644.0,"Shimokawa Town, Japan",Japan,N/A,3836,Reduce 25% GHG emissions
361,716.0,"Shimonoseki City, Japan",Japan,N/A,280386,Reduce 10% GHG emissions
362,18.0,"Shinjuku City, Japan",Japan,N/A,337556,Reduce 14% GHG emissions
363,1412.0,"Shizuoka City, Japan",Japan,N/A,719329,Reduce 5% GHG emissions
364,7780.0,"Shizuoka Prefecture, Japan",Japan,N/A,3774471,Reduce 5% GHG emissions
365,36.0,"Suita City, Japan",Japan,N/A,356751,Reduce 25% GHG emissions
366,14.0,"Sumida City, Japan",Japan,N/A,254175,Reduce 8% GHG emissions
367,10.0,"Taito City, Japan",Japan,N/A,186276,Reduce 5% GHG emissions
368,102.0,"Takarazuka City, Japan",Japan,N/A,222198,Reduce 6% GHG emissions
369,105.0,"Takatsuki City, Japan",Japan,N/A,353881,Reduce 5% GHG emissions
370,72.0,"Tokorozawa City, Japan",Japan,N/A,342939,Reduce 10% GHG emissions
371,192.0,"Tokushima City, Japan",Japan,N/A,263372,Reduce 6% GHG emissions
372,2122.0,"Tokyo Metropolitan Government, Japan",Japan,93 Trillion,13286735,Reduce 25% GHG emissions
373,766.0,"Tottori City, Japan",Japan,N/A,192800,Reduce 15% GHG emissions
374,3507.0,"Tottori Prefecture, Japan",Japan,N/A,573467,Reduce 8% GHG emissions
375,1241.0,"Toyama City, Japan",Japan,1.9 Trillion,418179,Reduce 30% GHG emissions
376,4248.0,"Toyama Prefecture, Japan",Japan,N/A,1082763,Reduce 6% GHG emissions
377,37.0,"Toyonaka City, Japan",Japan,N/A,388633,Reduce 30% GHG emissions
378,284.0,"Tsukuba City, Japan",Japan,N/A,217315,Reduce 20% GHG emissions
379,288.0,"Ube City, Japan",Japan,N/A,179000,Reduce 25% GHG emissions
380,417.0,"Utsunomiya City, Japan",Japan,N/A,518200,Reduce 0% GHG emissions
381,4726.0,"Wakayama Prefecture, Japan",Japan,N/A,979354,Reduce 7% GHG emissions
382,9323.0,"Yamagata Prefecture, Japan",Japan,N/A,1129441,Reduce 7% GHG emissions
383,1023.0,"Yamaguchi City, Japan",Japan,N/A,198971,Reduce 3% GHG emissions
384,6114.0,"Yamaguchi Prefecture, Japan",Japan,N/A,1451338,Reduce 17% GHG emissions
385,4465.0,"Yamanashi Prefecture, Japan",Japan,N/A,845956,Reduce 10% GHG emissions
386,42.0,"Yao City, Japan",Japan,N/A,271454,Reduce 7% GHG emissions
387,435.0,"Yokohama City, Japan",Japan,12 Trillion,3731096,Reduce 4% GHG emissions
388,101.0,"Yokosuka City, Japan",Japan,N/A,414960,Reduce 20% GHG emissions
389,801.92,"Greater Amman Municipality, Jordan",Jordan,11 Billion,3970000,N/A
390,635.84,"Alor Gajah Municipal Council, Malaysia",Malaysia,N/A,198400,Reduce 40% GHG emissions
391,366.0,"City of Kota Kinabalu, Malaysia",Malaysia,11 Billion,553900,Reduce 40% GHG emissions
392,144.61,"Hang Tuah Jaya Municipal Council, Malaysia",Malaysia,41 Thousand,165645,Reduce 40% GHG emissions
393,634.151,"Jasin Municipal Council, Malaysia",Malaysia,29 Million,141000,Reduce 40% GHG emissions
394,243.0,"Kuala Lumpur City Hall, Malaysia",Malaysia,160 Million,1790000,N/A
395,369.48,"Kuching North City Council, Malaysia",Malaysia,100 Million,217566,Reduce 201% GHG emissions
396,277.0,"Melaka Historic City Council, Malaysia",Malaysia,29 Million,471349,N/A
397,293.0,"Penang Island City Council, Malaysia",Malaysia,670 Million,750000,Reduce 201% GHG emissions
398,97.0,"Petaling Jaya City Council, Malaysia",Malaysia,230 Million,638516,Reduce 40% GHG emissions
399,738.0,"Seberang Perai Municipal Council, Malaysia",Malaysia,N/A,1016000,Reduce 40% GHG emissions
400,290.3,"Shah Alam City Council, Malaysia",Malaysia,N/A,635550,Reduce 40% GHG emissions
401,3265.453,"Guadalajara Metropolitan Area, Mexico",Mexico,640 Billion,4865122,N/A
402,22.21,"Muncipality of Banderilla, Mexico",Mexico,N/A,24822,N/A
403,385.0,"Municipality of Aguascalientes, Mexico",Mexico,8.3 Million,934424,Reduce 20% GHG emissions
404,125.0,"Municipality of Amacuzac, Mexico",Mexico,N/A,17021,N/A
405,71.0,"Municipality of Atlatlahucan, Mexico",Mexico,N/A,14708,N/A
406,31.0,"Municipality of Atotonilco de Tula, Mexico",Mexico,N/A,31078,Reduce 10% GHG emissions
407,173.0,"Municipality of Axochiapan, Mexico",Mexico,N/A,30576,N/A
408,7162.0,"Municipality of Bacalar, Mexico",Mexico,N/A,32000,Reduce 40% GHG emissions
409,9219.3,"Municipality of Chihuahua, Mexico",Mexico,350 Thousand,819543,N/A
410,647.33,"Municipality of Cozumel, Mexico",Mexico,N/A,100000,N/A
411,7861.0,"Municipality of Cuatro Ciénagas de Carranza, Mexico",Mexico,N/A,12154,N/A
412,153.0,"Municipality of Cuautla, Mexico",Mexico,N/A,154358,N/A
413,151.0,"Municipality of Guadalajara, Mexico",Mexico,N/A,1495189,N/A
414,168.2,"Municipality of Hermosillo, Mexico",Mexico,15 Billion,784342,N/A
415,143.0,"Municipality of Jojutla, Mexico",Mexico,N/A,53351,N/A
416,98.0,"Municipality of Jonacatepec, Mexico",Mexico,N/A,13623,N/A
417,1219.67,"Municipality of León de los Aldamas, Mexico",Mexico,1.8 Thousand,1436733,N/A
418,53.283,"Municipality of Los Mochis, Mexico",Mexico,140 Thousand,256613,Reduce 15% GHG emissions
419,58.0,"Municipality of Mazatepec, Mexico",Mexico,N/A,9456,N/A
420,858.41,"Municipality of Mérida, Mexico",Mexico,82 Billion,970377,Reduce 0% GHG emissions
421,156.63,"Municipality of Naucalpan de Juárez, Mexico",Mexico,N/A,872,N/A
422,85.0,"Municipality of Oaxaca de Juárez, Mexico",Mexico,N/A,300050,N/A
423,534.32,"Municipality of Puebla de Zaragoza, Mexico",Mexico,5,1539819,Reduce 9% GHG emissions
424,690.0,"Municipality of Queretaro, Mexico",Mexico,240 Thousand,874637,N/A
425,746.0,"Municipality of Salamanca, Mexico",Mexico,20 Billion,260732,N/A
426,484.0,"Municipality of San Cristóbal de las Casas, Mexico",Mexico,N/A,185917,N/A
427,270.0,"Municipality of San Pedro Tlaquepaque, Mexico",Mexico,N/A,575942,Reduce 10% GHG emissions
428,6966.2,"Municipality of Sierra Mojada, Mexico",Mexico,N/A,5245,N/A
429,1326.0,"Municipality of Tecalitlan, Mexico",Mexico,N/A,16847,N/A
430,243.0,"Municipality of Tepoztlán, Mexico",Mexico,N/A,41629,N/A
431,399.0,"Municipality of Tlacotepec de Benito Juarez, Mexico",Mexico,N/A,48268,N/A
432,83.48,"Municipality of Tlalnepantla de Baz, Mexico",Mexico,N/A,664225,N/A
433,452.37,"Municipality of Toluca de Lerdo, Mexico",Mexico,250 Million,819661,Reduce 2% GHG emissions
434,334.61,"Municipality of Tuxtla Gutiérrez, Mexico",Mexico,43 Thousand,553374,N/A
435,54.86,"Municipality of Villa de Zaachila, Mexico",Mexico,N/A,13959,N/A
436,118.45,"Municipality of Xalapa-Enríquez, Mexico",Mexico,N/A,525147,N/A
437,203.0,"Municipality of Yautepec de Zaragoza, Mexico",Mexico,N/A,97827,N/A
438,173.88,"Municipality of Yurécuaro, Mexico",Mexico,N/A,30487,N/A
439,893.15,"Municipality of Zapopan, Mexico",Mexico,N/A,1155790,Reduce 15% GHG emissions
440,1485.0,"México City Government, Mexico",Mexico,2.1 Billion,8851080,Reduce 10% GHG emissions
441,82820.0,"Oriental Region, Morocco",Morocco,N/A,2314346,Reduce 20% GHG emissions
442,117.0,"Quelimane Municipal Council, Mozambique",Mozambique,N/A,192876,N/A
443,5142.17,"City of Windhoek, Namibia",Namibia,36 Thousand,325858,N/A
444,3314.0,"Dunedin City Council, New Zealand",New Zealand,5.8 Billion,125200,N/A
445,326.0,"Palmerston North City Council, New Zealand",New Zealand,N/A,84300,Reduce 50% GHG emissions
446,2615.0,"Rotorua Lakes Council, New Zealand",New Zealand,2.8 Billion,71700,N/A
447,290.11,"Wellington City Council, New Zealand",New Zealand,N/A,203800,Reduce 80% GHG emissions
448,179.0,"Amuwo-Odofin Local Government Area, Nigeria",Nigeria,N/A,386060,N/A
449,17698.0,"Delta State Government, Nigeria",Nigeria,17 Billion,6710214,N/A
450,272.0,"Arendal Municipality, Norway",Norway,N/A,41655,Reduce 90% GHG emissions
451,276.0,"Kristiansand Municipality, Norway",Norway,N/A,85681,Reduce 20% GHG emissions
452,70.0,"Lørenskog Municipality, Norway",Norway,N/A,33308,Reduce 10% GHG emissions
453,480.76,"Oslo Municipality, Norway",Norway,N/A,647676,Reduce 100% GHG emissions
454,1553.0,"Ringerike Municipality, Norway",Norway,N/A,28060,N/A
455,304.0,"Sandnes Municipality, Norway",Norway,N/A,78624,Reduce 40% GHG emissions
456,71.0,"Stavanger Municipality, Norway",Norway,N/A,130426,Reduce 20% GHG emissions
457,3530.0,"Karachi City District, Pakistan",Pakistan,110,16051521,Reduce 40% GHG emissions
458,40.0,"District Municipality of Chaclacayo, Peru",Peru,N/A,39686,N/A
459,150.11,"District Municipality of Chancay, Peru",Peru,N/A,63378,N/A
460,9.0,"District Municipality of Miraflores, Peru",Peru,24 Thousand,85065,Reduce 1% GHG emissions
461,2672.0,"Lima Province, Peru",Peru,0.03,9752000,N/A
462,36268.49,"Municipalidad Provincial de Tambopata, Peru",Peru,N/A,99405,N/A
463,41.72,"Municipalidad de Santiago de Surco, Peru",Peru,5.9,499210,Reduce 0% GHG emissions
464,3.61,"Municipality of Magdelena Del Mar, Peru",Peru,1.6 Billion,54746,Reduce 25% GHG emissions
465,11.0,"Municipality of San Isidro, Lima, Peru",Peru,660 Thousand,58056,Reduce 3% GHG emissions
466,21196.88,"Municipality of Tahuamanu, Peru",Peru,N/A,13011,N/A
467,23.14,"City Government of Marikina, Philippines",Philippines,N/A,543307,N/A
468,2193.4,"City Government of Puerto Princesa, Philippines",Philippines,N/A,255116,N/A
469,285.414,"City of Batangas, Philippines",Philippines,N/A,329874,Reduce 25% GHG emissions
470,58.289,"City of Borongan, Philippines",Philippines,N/A,64457,N/A
471,578.51,"City of Cagayan de Oro, Philippines",Philippines,490 Billion,602088,N/A
472,274.0,"City of Catbalogan, Philippines",Philippines,36 Thousand,94317,N/A
473,204.371,"City of Legazpi, Philippines",Philippines,N/A,196639,N/A
474,247.0,"City of Ligao, Philippines",Philippines,N/A,104914,N/A
475,22.0,"City of Makati, Philippines",Philippines,200 Thousand,529039,Reduce 115000% GHG emissions
476,102.0,"City of Naga, Camarines Sur, Philippines",Philippines,N/A,196003,Reduce 5% GHG emissions
477,47.0,"City of Parañaque, Philippines",Philippines,0,588126,N/A
478,172.0,"City of Quezon City, Philippines",Philippines,18 Billion,3066600,Reduce 91943% GHG emissions
479,172.0,"City of San Carlos, Philippines",Philippines,18 Billion,3066600,Reduce 91943% GHG emissions
480,172.0,"City of Zamboanga, Philippines",Philippines,18 Billion,3066600,Reduce 91943% GHG emissions
481,172.0,"LGU of San Jose del Monte City, Philippines",Philippines,18 Billion,3066600,Reduce 91943% GHG emissions
482,34.32,"Pasig City Government, Philippines",Philippines,N/A,772695,Reduce 10% GHG emissions
483,34.32,"Tagum City, Philippines",Philippines,N/A,772695,Reduce 10% GHG emissions
484,274.7,"Tarlac City Local Government, Philippines",Philippines,N/A,342493,N/A
485,517.24,"City of Warsaw, Poland",Poland,210 Billion,1740119,Reduce 0% GHG emissions
486,292.86,"Municipality of Wroclaw, Poland",Poland,41 Billion,631263,Reduce 21% GHG emissions
487,70.2,"Municipality of Almada, Portugal",Portugal,2.1 Million,173298,Reduce 22% GHG emissions
488,958.0,"Municipality of Lisbon, Portugal",Portugal,N/A,2666000,N/A
489,46.0,"Municipality of Oeiras, Portugal",Portugal,N/A,172120,Reduce 20% GHG emissions
490,58.46,"Anyang City, Republic of Korea",Republic of Korea,N/A,614687,N/A
491,542.25,"Asan City, Republic of Korea",Republic of Korea,25 Trillion,308007,Reduce 20% GHG emissions
492,8204.0,"Chungcheongnam Provincial Government, Republic of Korea",Republic of Korea,N/A,2063050,Reduce 30% GHG emissions
493,747.12,"City of Changwon, Republic of Korea",Republic of Korea,28 Billion,1070199,Reduce 30% GHG emissions
494,20.8,"Dobong-gu Municipal Government, Republic of Korea",Republic of Korea,N/A,348625,N/A
495,24.58,"Gangdong-gu Municipal Government, Republic of Korea",Republic of Korea,0,481332,Reduce 22% GHG emissions
496,1040.0,"Gangneung City, Republic of Korea",Republic of Korea,N/A,219274,Reduce 21% GHG emissions
497,16874.0,"Gangwon Provincial Government, Republic of Korea",Republic of Korea,N/A,1558885,Reduce 30% GHG emissions
498,501.24,"Gwangju Metropolitan City, Republic of Korea",Republic of Korea,N/A,1477780,Reduce 12% GHG emissions
499,10172.0,"Gyeonggi Provincial Government, Republic of Korea",Republic of Korea,N/A,12549000,N/A
500,19029.0,"Gyeongsangbuk Provincial Government, Republic of Korea",Republic of Korea,N/A,2669440,N/A
501,10537.0,"Gyeongsangnam Provincial Government, Republic of Korea",Republic of Korea,10 Billion,3428000,N/A
502,1849.0,"Jeju Special Self-Governing Provincial Government, Republic of Korea",Republic of Korea,8.6 Million,604670,Reduce 41% GHG emissions
503,12226.0,"Jeollanam Provincial Government, Republic of Korea",Republic of Korea,N/A,1903220,Reduce 31% GHG emissions
504,42.76,"Osan City, Republic of Korea",Republic of Korea,N/A,193892,N/A
505,1463.65,"Pyeongchang County Government, Republic of Korea",Republic of Korea,12 Billion,43666,Reduce 30% GHG emissions
506,465.23,"Sejong Special Self-governing City, Republic of Korea",Republic of Korea,N/A,194173,N/A
507,24.57,"Seongbuk-gu Municipal Government, Republic of Korea",Republic of Korea,N/A,457570,N/A
508,605.21,"Seoul Metropolitan Government, Republic of Korea",Republic of Korea,590 Thousand,10383651,Reduce 25% GHG emissions
509,121.0,"Suwon City, Republic of Korea",Republic of Korea,24 Trillion,1147246,Reduce 40% GHG emissions
510,1057.14,"Ulsan Metropolitan City, Republic of Korea",Republic of Korea,N/A,1163690,Reduce 30% GHG emissions
511,820.94,"Wanju County Government, Republic of Korea",Republic of Korea,N/A,90295,N/A
512,872.43,"Wonju City, Republic of Korea",Republic of Korea,5.6 Trillion,326321,Reduce 26% GHG emissions
513,N/A,"Yeosu City, Republic of Korea",Republic of Korea,N/A,273925,Reduce 30% GHG emissions
514,41.0,"Municipality of Pitesti, Romania",Romania,N/A,155383,N/A
515,787633.0,"Government of Khabarovsk Krai, Russia",Russia,N/A,1338626,Reduce 25% GHG emissions
516,530.0,"Musanze District Government, Rwanda",Rwanda,N/A,368264,N/A
517,1741.0,"Nyagatare District Government, Rwanda",Rwanda,N/A,466944,N/A
518,134.0,"Nyarugenge District Government, Rwanda",Rwanda,N/A,284561,N/A
519,719.0,"Government of Singapore, Singapore",Singapore,390 Billion,5535000,Reduce 36% GHG emissions
520,2536.0,"Buffalo City Metropolitan Municipality, South Africa",South Africa,3.3 Billion,797556,Reduce 10% GHG emissions
521,2445.0,"Cape Town Metropolitan Municipality, South Africa",South Africa,390 Billion,4012441,Reduce 13% GHG emissions
522,1645.0,"City of Johannesburg Metropolitan Municipality, South Africa",South Africa,46 Billion,4940000,Reduce 40% GHG emissions
523,1975.0,"Ekurhuleni Metropolitan Municipality, South Africa",South Africa,26 Billion,3178470,Reduce 1% GHG emissions
524,5191.0,"George Local Municipality, South Africa",South Africa,N/A,193672,N/A
525,735.0,"KwaDukuza Local Municipality, South Africa",South Africa,35 Billion,238587,Reduce 42% GHG emissions
526,5394.0,"Mbombela Local Municipality, South Africa",South Africa,N/A,588794,N/A
527,1343.0,"Mogale City Local Municipality, South Africa",South Africa,N/A,362423,N/A
528,634.0,"Msunduzi Local Municipality, South Africa",South Africa,180 Billion,618536,N/A
529,1959.0,"Nelson Mandela Bay Metropolitan Municipality, South Africa",South Africa,42 Billion,1152115,N/A
530,3145.0,"Sol Plaatje Local Municipality, South Africa",South Africa,N/A,248041,N/A
531,3976.0,"Steve Tshwete Local Municipality, South Africa",South Africa,N/A,229831,N/A
532,6298.0,"Tshwane Metropolitan Municipality, South Africa",South Africa,24 Billion,2900000,Reduce 50% GHG emissions
533,2291.0,"eThekwini Metropolitan Municipality, South Africa",South Africa,290 Billion,3765088,Reduce 27% GHG emissions
534,793.0,"uMhlathuze Local Municipality, South Africa",South Africa,N/A,334459,N/A
535,38.0,"Municipality of A Coruña, Spain",Spain,8.2 Billion,247482,N/A
536,96.36,"Municipality of Amurrio, Spain",Spain,450 Million,10260,Reduce 20% GHG emissions
537,9.1,"Municipality of Areatza, Spain",Spain,14 Million,1214,Reduce 20% GHG emissions
538,22.8,"Municipality of Balmaseda, Spain",Spain,140 Million,7655,Reduce 29% GHG emissions
539,102.16,"Municipality of Barcelona, Spain",Spain,61 Billion,1611822,Reduce 40% GHG emissions
540,41.5,"Municipality of Bilbao, Spain",Spain,11 Billion,346574,Reduce 20% GHG emissions
541,1255.24,"Municipality of Córdoba, Spain",Spain,N/A,328704,Reduce 21% GHG emissions
542,10.79,"Municipality of Durango, Spain",Spain,630 Million,29031,Reduce 12% GHG emissions
543,32.26,"Municipality of Errenteria, Spain",Spain,680 Million,39381,Reduce 20% GHG emissions
544,88.02,"Municipality of Granada, Spain",Spain,N/A,237818,Reduce 20% GHG emissions
545,41.84,"Municipality of Legazpi, Spain",Spain,240 Million,8485,Reduce 1% GHG emissions
546,605.77,"Municipality of Madrid, Spain",Spain,100 Billion,3207247,Reduce 35% GHG emissions
547,885.0,"Municipality of Murcia, Spain",Spain,2.6 Million,438246,Reduce 20% GHG emissions
548,398.25,"Municipality of Málaga, Spain",Spain,N/A,567433,N/A
549,208.63,"Municipality of Palma, Spain",Spain,10 Billion,398162,Reduce 23% GHG emissions
550,271.77,"Municipality of Soria, Spain",Spain,24 Thousand,39753,N/A
551,37.39,"Municipality of Tolosa, Spain",Spain,470 Million,19175,Reduce 20% GHG emissions
552,32.49,"Municipality of Torrejón de Ardoz, Spain",Spain,120 Million,130679,N/A
553,134.65,"Municipality of Valencia, Spain",Spain,N/A,792303,Reduce 20% GHG emissions
554,276.81,"Municipality of Vitoria-Gasteiz, Spain",Spain,7.7 Billion,244634,Reduce 27% GHG emissions
555,7733.0,"Provincial Government of Barcelona, Spain",Spain,N/A,5540925,N/A
556,462.09,"City of Gothenburg, Sweden",Sweden,37 Billion,547005,Reduce 80% GHG emissions
557,332.0,"City of Malmö, Sweden",Sweden,130 Billion,328494,Reduce 40% GHG emissions
558,214.0,"City of Stockholm, Sweden",Sweden,1.3 Trillion,914909,Reduce 100% GHG emissions
559,1250.49,"Eskilstuna Municipality, Sweden",Sweden,0,67359,Reduce 25% GHG emissions
560,3199.84,"Gävle Municipality, Sweden",Sweden,N/A,98524,Reduce 100% GHG emissions
561,2161.0,"Haninge Municipality, Sweden",Sweden,N/A,82676,Reduce 90% GHG emissions
562,423.97,"Helsingborg Municipality, Sweden",Sweden,390 Thousand,136002,Reduce 85% GHG emissions
563,140.63,"Huddinge Municipality, Sweden",Sweden,5.6 Billion,104353,N/A
564,1517.74,"Karlstad Municipality, Sweden",Sweden,37 Billion,88509,Reduce 25% GHG emissions
565,1818.0,"Kristianstad Municipality, Sweden",Sweden,27 Billion,83191,Reduce 40% GHG emissions
566,439.0,"Lund Municipality, Sweden",Sweden,55 Billion,118542,Reduce 100% GHG emissions
567,1807.16,"Piteå Municipality, Sweden",Sweden,12 Billion,41438,Reduce 50% GHG emissions
568,350.26,"Sigtuna Municipality, Sweden",Sweden,N/A,44786,N/A
569,57.98,"Sollentuna Municipality, Sweden",Sweden,23 Billion,69525,Reduce 20tCO2e GHG emissions
570,2497.51,"Säffle Municipality, Sweden",Sweden,N/A,15303,Reduce 70% GHG emissions
571,694.24,"Södertälje Municipality, Sweden",Sweden,64 Billion,92490,Reduce 65% GHG emissions
572,427.72,"Trollhättan Municipality, Sweden",Sweden,3.9 Billion,56950,N/A
573,71.22,"Täby Municipality, Sweden",Sweden,19 Thousand,67519,Reduce 100tCO2e GHG emissions
574,5214.0,"Umeå Municipality, Sweden",Sweden,4.8 Billion,120058,Reduce 100% GHG emissions
575,83.81,"Upplands Väsby Municipality, Sweden",Sweden,3.9 Trillion,41883,Reduce 50% GHG emissions
576,2234.0,"Uppsala Municipality, Sweden",Sweden,93 Billion,217000,Reduce 110% GHG emissions
577,1137.84,"Västerås Municipality, Sweden",Sweden,50 Million,147420,Reduce 80% GHG emissions
578,1914.0,"Växjö Municipality, Sweden",Sweden,31 Billion,89500,Reduce 100% GHG emissions
579,441.0,"Vårgårda Municipality, Sweden",Sweden,4.1 Billion,11115,N/A
580,1620.0,"Örebro Municipality, Sweden",Sweden,56 Billion,146631,Reduce 40% GHG emissions
581,2501.08,"Östersund Municipality, Sweden",Sweden,N/A,49806,N/A
582,208.0,"Arusha City Council, Tanzania",Tanzania,120 Million,416442,N/A
583,23.0,"Bagamoyo District Council, Tanzania",Tanzania,N/A,311740,N/A
584,1506.0,"Buhigwe District Council, Tanzania",Tanzania,N/A,254342,N/A
585,1653.0,"Bukoba District Council, Tanzania",Tanzania,N/A,418493,N/A
586,8055.0,"Bukombe District Council, Tanzania",Tanzania,N/A,224542,N/A
587,1393.0,"Dar Es Salaam City Council, Tanzania",Tanzania,N/A,4364541,Reduce 60% GHG emissions
588,1851.0,"Gairo District Council, Tanzania",Tanzania,N/A,193011,N/A
589,8860.0,"Ikungi District Council, Tanzania",Tanzania,410,272959,N/A
590,365.0,"Ilala District Council, Tanzania",Tanzania,N/A,1220611,N/A
591,1880.0,"Ileje District Council, Tanzania",Tanzania,N/A,124451,N/A
592,4486.0,"Iramba District Council, Tanzania",Tanzania,N/A,236282,N/A
593,537.0,"Kinondoni Municipal Council, Tanzania",Tanzania,N/A,1775049,N/A
594,5028.0,"Kisarawe District Council, Tanzania",Tanzania,N/A,101598,N/A
595,12944.0,"Kiteto District Council, Tanzania",Tanzania,N/A,244669,N/A
596,3958.0,"Kongwa District Council, Tanzania",Tanzania,N/A,309973,N/A
597,755.0,"Kyela District Council, Tanzania",Tanzania,N/A,221490,N/A
598,1063.0,"Lindi Municipal Council, Tanzania",Tanzania,N/A,78600,N/A
599,1529.0,"Magu District Council, Tanzania",Tanzania,N/A,299759,N/A
600,28933.0,"Manyoni District Council, Tanzania",Tanzania,N/A,296763,N/A
601,735.0,"Masasi Town Council, Tanzania",Tanzania,N/A,102696,N/A
602,3666.0,"Maswa District Council, Tanzania",Tanzania,N/A,344125,N/A
603,2813.0,"Mbeya District Council, Tanzania",Tanzania,N/A,305319,N/A
604,3858.0,"Mbozi District Council, Tanzania",Tanzania,N/A,446339,N/A
605,3120.0,"Mkalama District Council, Tanzania",Tanzania,N/A,188733,N/A
606,2827.0,"Mkuranga District Council, Tanzania",Tanzania,N/A,222921,N/A
607,6992.0,"Monduli District Council, Tanzania",Tanzania,N/A,158929,N/A
608,288.0,"Morogoro Municipal Council, Tanzania",Tanzania,N/A,315866,N/A
609,63.0,"Moshi Municipal Council, Tanzania",Tanzania,N/A,184292,Reduce 60% GHG emissions
610,7455.0,"Mpwapwa District Council, Tanzania",Tanzania,N/A,305056,N/A
611,170.0,"Mtwara Municipal Council, Tanzania",Tanzania,N/A,108299,N/A
612,1070.0,"Musoma District Council, Tanzania",Tanzania,N/A,178356,N/A
613,9823.0,"Nkasi District Council, Tanzania",Tanzania,N/A,281200,N/A
614,3569.0,"Shiyanga District Council, Tanzania",Tanzania,N/A,334417,N/A
615,1217.0,"Siha District Council, Tanzania",Tanzania,N/A,116313,N/A
616,1461.0,"Tabora Municipal Council, Tanzania",Tanzania,N/A,226999,N/A
617,254.0,"Ushetu Division Council, Tanzania",Tanzania,N/A,273075,N/A
618,10.0,"Bangchak Sub District Municipality, Thailand",Thailand,82 Thousand,8997,Reduce 5% GHG emissions
619,1568.74,"Bangkok Metropolitan Administration, Thailand",Thailand,N/A,8280925,N/A
620,40.22,"Chiang Mai City Municipality, Thailand",Thailand,N/A,174235,Reduce 10% GHG emissions
621,60.85,"Chiang Rai City Municipality, Thailand",Thailand,98 Thousand,64817,N/A
