,action,city,country,description,start year,status,type
306,"35 Taichung City Transportation, Human Resource, Tools Mobilizing Preparation Action Plan - Taichung City Government","Taichung City Government, Chinese Taipei",Chinese Taipei,"Adapting to emergencies, and prioritizing personnel salvage as main target, Taichung City Public Transportation Office signed “Taichung City Theme Bus Program” with bus owners. When disasters hit, citizens can ask for contracting buses to support traveler transporting from Taichung City Emergency Management Center, Emergency Management Center of Taichung Transportation Bureau, or Taichung City Public Transportation Office.",,In operation,Technical/Infrastructure investment
307,Enhance the event of a disaster response mechanism - Tainan City Government,"Tainan City Government, Chinese Taipei",Chinese Taipei,"Tainan regimen APP as architecture , integration of disaster prevention information.",2014,In operation,Policy/Strategies/Action Plans
308,"Review land slope and flood disaster potential areas of use , to reduce the impact of disasters on land - Tainan City Government","Tainan City Government, Chinese Taipei",Chinese Taipei,"1.For fragile geology massive landslides in the area or had occurred , limiting the use of land
2.Strengthen the flood prone area development control",2014,In operation,Policy/Strategies/Action Plans
309,Construction planning and building design should consider the urban heat island and global warming trend - Tainan City Government,"Tainan City Government, Chinese Taipei",Chinese Taipei,"1.Green Building Guidance and Promotion
2.Counseling existing buildings to improve energy efficiency , reduce building heat load",2014,In operation,Policy/Strategies/Action Plans
310,"Reduce riverbed exposed , strengthen the dust suppression - Tainan City Government","Tainan City Government, Chinese Taipei",Chinese Taipei,"1.The implementation of the air quality monitoring , strengthening the riverbed exposed condition inspections conducted Prevention Method
2.The study of fine suspended particles (PM2.5) and Pollution Sources",2014,In operation,Policy/Strategies/Action Plans
311,Reward Green Energy Industry Development and Promotion - Tainan City Government,"Tainan City Government, Chinese Taipei",Chinese Taipei,"1.counseling industry product carbon labeling , carbon footprint , enhance corporate carbon emissions management and carbon reduction ideas.
2.The introduction of electric vehicles , and provide subsidies and taxes relief measures.",2014,In operation,Policy/Strategies/Action Plans
312,Promote the use of various types of renewable energy diversification - Tainan City Government,"Tainan City Government, Chinese Taipei",Chinese Taipei,"Promotion of solar photovoltaic , livestock methane and other renewable energy power generation.",2014,In operation,Policy/Strategies/Action Plans
313,Maintain habitat environment and establishment of nature reserves - Tainan City Government,"Tainan City Government, Chinese Taipei",Chinese Taipei,"Combining agricultural production to create a habitat environment , conservation of biological diversity both can do to regulate the climate , etc. , flood and educational function.",2014,In operation,
314,Enhance road damage backup and recovery - Tainan City Government,"Tainan City Government, Chinese Taipei",Chinese Taipei,Hillside slope treatment and disaster reconstruction project.,2014,In operation,Policy/Strategies/Action Plans
315,Strengthen bridges regular inspection and response mechanism - Tainan City Government,"Tainan City Government, Chinese Taipei",Chinese Taipei,Build real-time monitoring notification system.,2014,In operation,Policy/Strategies/Action Plans
316,Strengthen disaster preparedness training exercises and advocacy to improve the efficiency of rescue - Tainan City Government,"Tainan City Government, Chinese Taipei",Chinese Taipei,Tainan handle tube raft operators and related professional education and training water training.,2014,In operation,Policy/Strategies/Action Plans
317,Strengthening Soil and Water Conservation - Tainan City Government,"Tainan City Government, Chinese Taipei",Chinese Taipei,StrengthenPotential landslides and streams and streams of governance.,2014,In operation,Policy/Strategies/Action Plans
318,Overall review of the detention space and energy distribution of the adequacy urban planning - Tainan City Government,"Tainan City Government, Chinese Taipei",Chinese Taipei,Waterfront land zoning set buffer zones detention.,2014,In operation,Policy/Strategies/Action Plans
319,Increase urban green cover rate - Tainan City Government,"Tainan City Government, Chinese Taipei",Chinese Taipei,Green cover ratio and the proportion of green open space should be increased each year to cope with temperatures rising trend,2014,In operation,
320,Enhance industrial water efficiency - Tainan City Government,"Tainan City Government, Chinese Taipei",Chinese Taipei,The new industrial zone settings campus water purification system.,2014,In operation,
321,Strengthen disaster relief resources and disaster monitoring and early warning information - Tainan City Government,"Tainan City Government, Chinese Taipei",Chinese Taipei,"1.Start Advance deployment , integration of disaster relief resources to implement the evacuation and relief missions.
2.The combination of civil resources to expand citizen participation in disaster prevention and rescue work.",2014,In operation,Policy/Strategies/Action Plans
322,"The total combined flood control measures, View land use regulation mechanism of water retention and flooding - Tainan City Government","Tainan City Government, Chinese Taipei",Chinese Taipei,Green building guidance and promotion.,2014,In operation,Policy/Strategies/Action Plans
323,Overall target and framework for flooding protection - Taipei City Government,"Taipei City Government, Chinese Taipei",Chinese Taipei,,2050,Completed,Policy/Strategies/Action Plans
324,Taipei City Urban renewalautonomous regulation - Taipei City Government,"Taipei City Government, Chinese Taipei",Chinese Taipei,,2050,In operation,Regulatory
325,Taipei city heat island effect mitigation plan - Taipei City Government,"Taipei City Government, Chinese Taipei",Chinese Taipei,,2050,In operation,Policy/Strategies/Action Plans
326,Taipei city Typhoon and flooding crisis emergency plan - Taipei City Government,"Taipei City Government, Chinese Taipei",Chinese Taipei,,2050,In operation,Policy/Strategies/Action Plans
327,Taipei city green building reward plan - Taipei City Government,"Taipei City Government, Chinese Taipei",Chinese Taipei,,2050,In operation,Education/Awareness Raising
328,"Develop "" climate change adaptation autonomous regulations of Taipei ."" - Taipei City Government","Taipei City Government, Chinese Taipei",Chinese Taipei,"There will be 23 regulations. The city government need to have a fully investigation against the city's land use, biological indicators, ecologically sensitive land, environment vulnerability, disaster buffers area. And conduct research and regularly on urban planning, land living facility utilization and pipeline facilities, whether for mitigation of climate impact review.
In addition, the Taipei City Government also requires the building of community facilities should be a priority to use energy-saving equipment, also closed at midnight unnecessary exterior lights.
In transportation sector, to reduce greenhouse gas emissions from motor vehicles, government also need to announce subsidy for citizen to replace old model motorbike. There will be more emphasis on pedestrian priority designated lanes, bicycle lanes and low-carbon transport parking spaces infrastructure.",,In operation,Policy/Strategies/Action Plans
329,Promoting disaster prevention type of urban renewal - Taipei City Government,"Taipei City Government, Chinese Taipei",Chinese Taipei,Promoting a research on disaster prevention type of urban renewal for Taipei.,,,Assessment/Research
330,Green Building  autonomous regulation - Taipei City Government,"Taipei City Government, Chinese Taipei",Chinese Taipei,"Taipei green building density tops of Taiwan. By compulsory rules, new constructions contain green building design and plan
. After completion, if the building fails to comply with Green Building Standard, manufacturer’s performance bond will be confiscated.",,Completed,Regulatory
331,CO2 Monitoring - Capital District of Bogotá,"Capital District of Bogotá, Colombia",Colombia,"The project involves installation of a new CO2 sensor in
Bogotá to monitor and control CO2 levels in reported ppm
via the District Secretariat for the Environment Air-Quality
Monitoring Network. The investment includes purchase
of the CO2 sensor and operative costs incurred during the
monitoring period.",2012,In operation,Assessment/Research
332,Resilient people - Capital District of Bogotá,"Capital District of Bogotá, Colombia",Colombia,"3,232 resettled families
90,000 people linked to organizational risk management processes.
2,500,000 people sensitized on risks and climate change
Creation and implementation of the Traveling School of Risk Management
Conformation of the Social Network on Risk Management",,In operation,Technical/Infrastructure investment
333,Bogota River  Recovery - Capital District of Bogotá,"Capital District of Bogotá, Colombia",Colombia,"Target quality agreement 043 - 2006 for Class IV and above for tributaries, which means quality to agricultural uses at least.",,In operation,Technical/Infrastructure investment
334,Water governance Program for the recovery of water sources in the city (water spaces program) - Capital District of Bogotá,"Capital District of Bogotá, Colombia",Colombia,"This program considers an integral vision of the Bogota River basin, its tributaries and other water sources, in a system that integrates surface water, groundwater, climate and other variables of natural hydric cycle.",,In operation,Policy/Strategies/Action Plans
335,Sustainable Urban Drainage System SUDS  - Capital District of Bogotá,"Capital District of Bogotá, Colombia",Colombia,"The Sustainable Drainage System is the set of elements made up of infrastructure and natural, altered or artificial landscapes and / or underground areas, where rainwater flows through the urban territory under a controlled manner. The District Institute of Risk Management and Climate Change - IDIGER is responsible for formulating the Strategic Transformation Plan (currently under construction) 
1. Development of sustainable projects for communities that reduce risk through collective adaptive water management infrastructure.
2. Integration and exploitation of the drainage system, from renaturation ecological connectivity, and improving water quality in the water system
3. Recognition of Sustainable Drainage System as an element of public property and its use by society.",,In operation,Technical/Infrastructure investment
336,Planting and maintenance of urban trees - Capital District of Bogotá,"Capital District of Bogotá, Colombia",Colombia,"The planting of 86,000 new trees in the urban areas of the city, as well as the periodic maintenance of the existing trees, will be carried out in order to guarantee the carbon stored and the increase of the annual carbon capture by the urban wood of the city. This program will have the support of different district entities for its execution",,In operation,Action plan
337,"Consolidation of the largest urban forest in Latin America ""Regional forest reserve in the North of Bogota, Thomas van der Hammen"" - Capital District of Bogotá","Capital District of Bogotá, Colombia",Colombia,"The city and the region are proposed to form the largest urban forest in Latin America, the forest reserve Thomas van der Hammen, which corresponds to 1.395,16 hectares in the North of the city.",,In operation,Policy/Strategies/Action Plans
338,Adoption of good productive practices that contribute to the adaptation and reduction of vulnerability to climate change and the promotion of sustainable development - Capital District of Bogotá,"Capital District of Bogotá, Colombia",Colombia,"Good practice actions will be carried out on 500 farms, with agricultural production systems, located primarily in micro-watershed area, for this purpose will be the environmental ordering of farms to ensure the protection of rural environmental services and goods, conservation of areas, increased biodiversity, water resource conservation, native genetic material and the reuse of waste within the system.",,In operation,Action plan
339,Land use planning for adaptation to climate change - Capital District of Bogotá,"Capital District of Bogotá, Colombia",Colombia,"In 2014 was proposed, the exceptional modification of the land use plannig for the adaptation of Bogotá to the climate change (Decree 364 of 2013). This plan sets the regulation of city land uses, which seeks to protect the ecological main structure, densify  the city, avoid the conurbation with neighboring municipalities and prevent disasters resulting from floods by variability and climate change.",,In operation,Regulatory
340,"Bogota Climate Action Plan, 2015-2038 with 2050 vision - Capital District of Bogotá","Capital District of Bogotá, Colombia",Colombia,"In 2015, Bogotá developed its climate action plan for 2015 to 2038 period, with a long-term vision until 2050. This plan includes mitigation of Greenhouse Gases and adaptation of the city to the climate change strategies.",,Completed,Policy/Strategies/Action Plans
341,Bogota Climate Summit - Capital District of Bogotá,"Capital District of Bogotá, Colombia",Colombia,"Consolidate cities as protagonists on the global action of climate change.
Consolidate cities position to COP 21 in Paris
Assess the progress made since the UN Climate Summit (Compact of Mayors / Local Action Plan to 10 years for Climate Change
Advocate for the integration of climate change agendas, resilience, risk management, and water, analyzing the results of the Sendai Conference and the Seventh World Water Forum
Generate inputs for the location of the Post-2015 and Habitat Agenda III on climate change, resilience and water
Uphold the ODS # 11 »Make cities and human settlements including, safe, resilient and sustainable",,Completed,Public Participation/Stakeholder engagement
342,"Conservation of the paramos ""Chingaza – Sumapaz – Guerrero"" and the eastern hills from Bogotá. - Capital District of Bogotá","Capital District of Bogotá, Colombia",Colombia,"The project aims to conserve, restore and make sustainable use of the territory between the paramos of Chingaza, Sumapaz y Guerrero and eastern hills and its influence area, through the implementation of actions that promote economic, social and environmental sustainability.
It is a project developed by different governmental institutions, co-financed by the nation.
The recovery of the paramo system and their connectivity to the eastern hills, favors the production of water for the city.
The project will benefit directly to approximately 385.000 people inhabiting the area of the project with community strengthening actions, sustainable alternatives of production, increase competitiveness, improve the quality of life of rural communities, improving the environment, recovery and conservation of strategic ecosystems for conservation of water resources, mitigation and adaptation to climate change.",,In operation,Policy/Strategies/Action Plans
343,Restoration of the ecological main structure as strategy for the adaptation to climate change - Capital District of Bogotá,"Capital District of Bogotá, Colombia",Colombia,"The recovery of the ecological main structure of Bogotá and its region has been understood in the master city plan “Bogota Humana” and in the Action Climate Plan of Bogotá, as one of the most important strategies to order the city around the hydric resource and adapt to climate change. This strategy comprises different actions:
-Conversion of 12.340 hectares of farming to sustainable productive systems area.
-Conservation of 69.914,12 hectares of high Andean forest and paramo areas.
-Forestry in 4.273,77 hectares of parks, pathways and ecological connectors and planting 22 million trees to the year 2050.
-Recovery of 3.403,18 hectares of areas of the Bogota River, canals and water corridors 
-Ecological restoration and productive reconversion in 22.490 hectares in the ecological main structure
-Participatory restoration on 4.503,74 acres of high Andean and Andean forest in the ecological main structure.
-Participatory restoration and conversion to sustainable systems in 17.688,3 hectares of paramo and subparamo in the ecological main structure",,In operation,Policy/Strategies/Action Plans
344,Bogota Climate Change  campaign - Capital District of Bogotá,"Capital District of Bogotá, Colombia",Colombia,"Climate change campaign is mainly informative, pedagogical and for public sensibilization, to generate initiatives, actions and behaviors that contribute to achieve the mitigation and adaptation goals, advancing to higher levels of resilience.",,In operation,Public Participation/Stakeholder engagement
345,Community and social participation for risk management - City of Bucaramanga,"City of Bucaramanga, Colombia",Colombia,The city is well aware of the importance of understanding that risk management involves knowledge of threats and weaknesses as well as prevention and disaster response. Taking this into account the environmental authority in 2011 trained 171 citizens in these subjects.,2011,Completed,Education/Awareness Raising
346,Rural Productive and Environmental Territorial Planning - City of Puerto Leguízamo,"City of Puerto Leguízamo, Colombia",Colombia,"The process is still starting and there have been carried out meetings to define a territorial planning strategy with the land owners to support and increase productivity according to the amazon ecosystem, through conservation of priority areas such as wetlands. As outcome of this process we formulate agreements to seek these goals in rural areas.",2012,In operation,Policy/Strategies/Action Plans
347,Amazon agrosystems implementation by productive diversification strategies  in different administrative divisions - City of Puerto Leguízamo,"City of Puerto Leguízamo, Colombia",Colombia,This strategy aims to change from moculture to polyculture according to the amazon ecosystem; this action is formulated in the development plan to improve crops in terms of sustainability and productivity.,2012,In operation,Policy/Strategies/Action Plans
348,Economic conversion  - City of Puerto Leguízamo,"City of Puerto Leguízamo, Colombia",Colombia,"Economic conversion is a program created in the Development Plan of the municipality and aims to join forces on changing cultural habits in reference to farming activities, especially  extensive farming, by improving technologies, maintaining the profitability of the business and reducing deforestation.",2012,In operation,Policy/Strategies/Action Plans
349,Formulation of the Natural Resources Management Strategic Plan for the boundary integration zone - City of Puerto Leguízamo,"City of Puerto Leguízamo, Colombia",Colombia,"This Project seeks to facilitate collaboration in the natural resources management between Colombia, Peru and Ecuador in the Amazon region to strengthen and complement each other and carry out a collective development",2012,In operation,Policy/Strategies/Action Plans
350,Acquisition of wooded areas located near water sources   - City of Puerto Leguízamo,"City of Puerto Leguízamo, Colombia",Colombia,This Project is about to be developed and aims to buy lands located in strategic areas of water resources for their protection and conservation,2012,In operation,Policy/Strategies/Action Plans
351,Green and Sustainable Rural Areas - City of Puerto Leguízamo,"City of Puerto Leguízamo, Colombia",Colombia,"This is an environmental education program that encourages people in rural areas to carry out sustainable actions such as waste management, reduce deforestation and water pollution.",2012,In operation,Education/Awareness Raising
352,Third campaign for gathering WEEE electronics - City of San Jerónimo de Montería,"City of San Jerónimo de Montería, Colombia",Colombia,"The objective of this action is to have a third campaign for gathering electronics classified as WEEE (Waste Electric and Electronical Equipment) in order to protect the environment and public health and for their proper recycling, reconditioning and/or recuperation of the materials that for the WEEE",2014,Completed,
353,Climate Change Departmental Forum - City of San Jerónimo de Montería,"City of San Jerónimo de Montería, Colombia",Colombia,"Under the administrative agreement 002-13, signed by the Universidad Pontificia Bolivariana and Corporación Autónoma Regional de los Valles del Sinú y del San Jorge CVS, will be held the First Departmental Forum of Climate Change (Córdoba), on October 10, 2013. Both entities want to promote ""Scientific and technological services for the development of climate change adaptation strategies, and risks minimization in the department of Cordoba"", in order to create opportunities for academic discussion that will potentiate the knowledge about risk management and climate change adaptation.",2013,In operation,Public Participation/Stakeholder engagement
354,Re-locating families from high risk zones. - City of San Jerónimo de Montería,"City of San Jerónimo de Montería, Colombia",Colombia,With this action different families that live in high risk areas and don't have economic means are being re-located. The whole project intends to re-locate up to 3000 families in total.,2013,In operation,Organizational / Governance
355,Municipal Plan for Risk Management - City of San Jerónimo de Montería,"City of San Jerónimo de Montería, Colombia",Colombia,"Municipal Plan for Risk Management, created in 2012. This plan characterises the risks that the city is vulnerable to, and also presents 6 ways to manage them",2012,Completed,Policy/Strategies/Action Plans
356,Relocation of people from high risk areas - City of San Jerónimo de Montería,"City of San Jerónimo de Montería, Colombia",Colombia,"In Colombia, the forced displacement, poorly executed territorial planning and other social and political phenomenon, have caused the location of communities in high risk areas, where they are constantly affected by natural disasters associated to climate change. To prevent further entrance of people in these areas and improve the quality of life of the ones already placed in these zones, the city planes to establish control and surveillance measures and execute a Relocation Program to reduce the people’s vulnerability to natural disasters associated to climate change.",2012,In operation,Technical / Infrastructural
357,Storm drain Master Plan - City of San Jerónimo de Montería,"City of San Jerónimo de Montería, Colombia",Colombia,"The project pretends to rehabilitate and optimize the storm sewer system in its hydraulic and environmental functions to reduce flooding risk and its negative impacts on the people of Montería. The actions that will be undertaken include improvement of infrastructure, increase of capacity and recovery of natural drainage conditions, among others.",2011,In operation,Policy/Strategies/Action Plans
358,Parks Master Plan - City of San Jerónimo de Montería,"City of San Jerónimo de Montería, Colombia",Colombia,"Since 2009 the city of Monteria embraced the challenge to make public space a part of the competitiveness strategy, this requires to formulate a Parks Master Plan to address the intervention, rehabilitation and construction of parks in the urban area, this is an ambitious task that aims to provide well-being to all Monteria’s citizens through quality, security, easy access and sustainability of public space. The intervention includes the construction and rehabilitation of a total area of 320.000 m2 and planting 2000 new trees. The entire project will allow the capture of 1.500 tons of CO2 between 2011 and 2019.",2011,In operation,Policy/Strategies/Action Plans
359,Action plan for the dry season - City of San Jerónimo de Montería,"City of San Jerónimo de Montería, Colombia",Colombia,"An action plan was developed in order to prevent risks and damages during the dry season due to the effects of climate change. Also, to prevent forest fires.",,Completed,
360,Action plan for winter season - City of San Jerónimo de Montería,"City of San Jerónimo de Montería, Colombia",Colombia,An action plan was developed in order to prevent risks and damages during the winter season due to the effects of climate change.,,Completed,Policy/Strategies/Action Plans
361,Valuation and generation of environmental good and services  - Municipality of Armenia,"Municipality of Armenia, Colombia",Colombia,"The main objectives of this action are to consolidate and develop three projects of environmental infrastructure which are: 1) recover 4 lineal metres of trails per year. 2) Develop one study and design for the management and development of the Project bio park ""La Secreta"". 3) Consolidate and incorporate to the norm and design studies an environmental component for the corridor ""Avenida Centenario"". 
On the other hand, with this action recovery and conservation processes for a biological corridor will be developed, more specifically for this: 1) Socialize 4 agreements fot the recovery and conservation of the biological corridor No. 1 per year. 2) Organize 4 civic-environmental training days for the recovery and appropiation of the biological corridor No. 1.
Moreover, another objective of this action is to implement a Management Plan for the conservation of the coffee cultural landscape of the Municipality of Armenia.
Finally this action has as an objetive as well to spread 100% of a Manual  for Urban Tree and the Mangement of silviculture for the territory of the municipality and implement it as an instrument for environmental planning.",,In operation,Policy/Strategies/Action Plans
362,Water resource as the linchpin of the territory - Municipality of Armenia,"Municipality of Armenia, Colombia",Colombia,"The objectives of this action are: 1) Acquire prioritized properties for the conservation of the water resources on those areas that influence the supply sources  of the municipal aqueduct, also manage the properties according to existing property management plans for the river basin of the Quindio River. 2) Implement a pilot project fot eh recovery of the water quality for the municipality of Armenia. 3) Recover 4 hectares of ecosystems on forest protected areas that are priority to the municipality of Armenia. 4) Promote a campaign for water saving and efficient use on the 100% of the territory of the municipality.",,In operation,Policy/Strategies/Action Plans
363,Integral management of urban and rural micro-basins  - Municipality of Armenia,"Municipality of Armenia, Colombia",Colombia,"The objectives of this action are: 1) to mitigate environmental impacts on the water resources and its associated ecosystems. 2) Monitor water quality on the receiving, procesing and distributing sources. 3) Prioritize the integral management of micro-basins. 
By doing this the administration intends to guarantee the continuity of public services for the citizens of the Municipality of Armenia.",,In operation,Policy/Strategies/Action Plans
364,"Environmental Bio-park ""La Secreta"" - Municipality of Armenia","Municipality of Armenia, Colombia",Colombia,"The objectives of this action are:
1. Establish the natural and environmental estate as a generator of environmental services 
2. Strengthen the ecological structure as an environmental platform and ordering for the territory.
This action will have impact on the urban development by: 1) Increasing public space by 1.4 to 2.7 m2 per habitant. 2) Giving continuity to the biological corridor ""La Florida"". 3) Create a space of meeting and social recognizing. 
This action will also have regional impact by: 1)Protecting the main water source for the region. 2) Serves as an environmental educational program for cutlure of conservation and valuing natural landscapes. 3) This park is a key part of the Regional Project Theme Park ""Las aguas del río Quindío"". 4) Allows continuity to the riverbank.",,In operation,Policy/Strategies/Action Plans
365,Expansion of water service and infrastructure - Municipality of Armenia,"Municipality of Armenia, Colombia",Colombia,This program seeks to: 1) extend and improve the sewage network on developmen priority areas. 2) develop studies and designs for building the aqueduct on different zones of Armenia and near areas. 3) Extend the coverage to potential users on subnormal and expansion zones determined by the Plan of Territorial Ordering (POT). 4) Implement non conventionalalternatives for contrsuting the sewage network. 5) Implement and adjust the plan for decontamination of residual waters for the Municipality of Armenia. 6) Identify investements or actions necessary for implementing altenatives for rural sanitation 7) Implementing non conventional alternatives for TAR residual water treatment 8) Follow up and control to users of environmental or sanitary interest in order to verify complying of the requirements for the discharges to the sewer system.,,In operation,Policy/Strategies/Action Plans
366,Emergencies and disasters - Municipality of Armenia,"Municipality of Armenia, Colombia",Colombia,"The objective of this action is to improve the capacity of response of the health services network of the Municipality for when there are emergencies and disasters. This will be done by: 1) Implementing a project ""Safe Hospital"" with the health network ESE. 2) Identifying risks on the services netowrk for attention in emergencies or disasters. 3) Designing, according to the characteristics of the services network, the expansion sites in case of emergencies. 4) Communicating to the community organizations the services available in case of disaster. 5) Elaborating the component of pre-hospitalary attention for the Municipality of Armenia.",,In operation,Policy/Strategies/Action Plans
367,Integral Management of Risk - Municipality of Armenia,"Municipality of Armenia, Colombia",Colombia,"The objective of this action is to update the inventory of high risk rural and urban zones by updating the inventories of high risk and most vulnerable settlements. This will be done by using cartography, inventorying properties and houses and articulating it to the Geographical Information Systemsin order to develop mitigation projects and re-settlement of houses.",,In operation,Assessment/Research
368,Replacing and rehabilitating infraestructure for public services - Municipality of Armenia,"Municipality of Armenia, Colombia",Colombia,"With this action what is going to be done is: 1) Replace parts of the network form the sewage system by prioritizing them 2) Install 100% of equipment for measuring the flow 3) Maintaing functioning 100% of the electric circuits of the water pump for cleaning the sand cleaners 5) Advance in the development of actions for covering the cover un tunels form prioritized sectors. 6) Reduce internal losses 7) Adecuate conventional filters 8) rehabilitate the system for the instruments of treatment plants. 9) Implement a program of recolection, storage, elimination and delivery of chemical residues.",,In operation,Technical/Infrastructure investment
369,Efficient use of water and water saving - Municipality of Armenia,"Municipality of Armenia, Colombia",Colombia,"With this program what the administration intends to do is to articulate 100%  (currently 70%) of all the relevant actors involved into actions towards the efficient use of water resources. Also, design plans oriented to control and minimize the impact of operating systems over the water supply and environmental goods (associated to water resourses). On the other hand, with this action the objective is to work on the reduction of losses from the operating systems for the service provided by decreasing the IANC (Index of Non Counted Water) from 36% to 28%. Moreover, this action will support and execute techinal and financially conservation, restoration and/or maintenance actions in the High river basin of the Quindio River articulating them to tha management plans. 
Additionally, with this program there will be carried out awareness and training  processes on Education Institutes of the Municipality of Armenia through the Program ""Programa de Ahorro y Uso Eficiente Agua - PAUEA"". Also campaigns on strengthening environmental education will be developed for users and employees of the Public Service Provider ""EPA ESP""",,In operation,Policy/Strategies/Action Plans
370,Promoting self-control and monitoring of risk - Municipality of Armenia,"Municipality of Armenia, Colombia",Colombia,"With this action what is intented to do is to maintain a scheme for monitoring, evaluating and follow up that contributes to the permanent development of the Internal Control System of the Municipal Administration. By promoting self-control and risk monitoring. 
The administration intends to improve the efficiency level of the MECI (Integrated Management Quality System) from 93% to 95% in their four year administration period.",,In operation,Policy/Strategies/Action Plans
371,Strengthening the Municipal Environmental Management System (SIGAM) - Municipality of Armenia,"Municipality of Armenia, Colombia",Colombia,With this action the Municipallity intends to articulate 100% of the administration's dependencies to the SIGAM and achieve participation in 100% of the subregional and regional Environmental Planning processes. Also it seeks to implement and strengthen in 25 companies per year the environmental management processes through the Enterprise Environmental Management Manual.,,In operation,Organizational / Governance
372,Civic Environmental Culture for life - Municipality of Armenia,"Municipality of Armenia, Colombia",Colombia,The main objective of this action is that with it the Municipality intends to develop a program for training promoters and watchmen to strengthen and consolidate an environmental culture among the citizens. Specifically the Municipality is going to train one group of environmental promoters and one group of environmental watchmen per year.,,In operation,Education/Awareness Raising
373,Recovering the botanical garden - Municipality of Barranquilla,"Municipality of Barranquilla, Colombia",Colombia,"The main objective of this action is to recover the botanical garden located at the center of Barranquilla, by converting 61000 m2 in the center of the natural landscape of the city for all citizens to enjoy. Currently it is an abandoned and insecure space for the citizens. This area represents a natural reserve of great ecological value due to its richness in fauna, flora and crystal water streams that will be recovered.",,In operation,Policy/Strategies/Action Plans
374,Check Planning Instruments and Risk Maps - Municipality of Barranquilla,"Municipality of Barranquilla, Colombia",Colombia,"In order to assess the city’s vulnerability to disasters they are going to check the instruments of Planning and Risk Maps by elaborating the diagnosis and detailed maps of risks and vulnerability, also updating and adjusting as necessary the contingency and management of risk plans and developing a management plan for risk of disasters.",,In operation,Policy/Strategies/Action Plans
375,Purification of the Eastern River basin  - Municipality of Barranquilla,"Municipality of Barranquilla, Colombia",Colombia,"The main objective of this action is to end contamination on the eastern basin of the Madgalena River by building 10 km of pipelines, 2 pumping stations, 1 lifting station and 1 pre-treatment plant in order to pour the water pre-treated to the Magdalena River, and this way eliminating the pouring of domestic residual waters. Doing this the streams systems will be able to recover their environmental recovery.",,In operation,Technical/Infrastructure investment
376,Awareness on water resource and parks recovery - Municipality of Barranquilla,"Municipality of Barranquilla, Colombia",Colombia,The main objective of this action is to create awareness among the community for the improvement and environmental recovery of water systems and public parks of the city. This will be done by creating a sense of belonging and of taking care of the infraestructure of the water systems and public parks with activities at the streams and at parks,,In operation,Education/Awareness Raising
377,Monitoring air quality and noise leves - Municipality of Barranquilla,"Municipality of Barranquilla, Colombia",Colombia,"The city is going to control air quality and noise by updating their noise maps, the expected result is to have a  monitoring system that helps with the complying of regulations about noise pollution. Also, what is going to be done is to provide the city with a monitoring system for air quality in order to comply with regulations regarding air quality as well.",,In operation,Policy/Strategies/Action Plans
378,Channeling Streams - Municipality of Barranquilla,"Municipality of Barranquilla, Colombia",Colombia,"The main objective of this action is to channel 17 km of streams on the localities of Suroriente, Metropolitana and Suroccidente. In order to mitigate the risk of floodings and improving quality of life for for than 25 neighbourhoods and 300.000 citizens.",,In operation,Technical/Infrastructure investment
379,Urban Stormwater drainage - Municipality of Barranquilla,"Municipality of Barranquilla, Colombia",Colombia,"With this action the city wants to improve the actual state of its draining system, since it’s the cause for many accidents because of the strength of the water when it rains and flows freely through the vehicle lanes and also this affects the city’s mobility. This will be improved by developing/complementing diagnosis studies to find solutions, also formulating Master Plans for designing the infrastructure of the solutions for priority basins and finally implementing the constructions that are priority according to the administration.",,In operation,Policy/Strategies/Action Plans
380,Guidelines to incentive environmental responsibility to the visitors of Corales del Rosario y San Bernardo Natural National Park  - Municipality of Cartagena de Indias,"Municipality of Cartagena de Indias, Colombia",Colombia,"The objective of this action is to elaborate didactical information that is going to be handed to the visitors of the National Natural Park Corales de Rosario and San Bernardo to encourage environmental responsibility in the protected area. The specific actions include developing the environmental guidelines to know when visiting the park, making an informative folio, having visual aids on the spot of embarking towards the park, include the guidelines in the webpages of the district, Corpoturismo and National Parks and asking visitors about their knowledge of the guidelines during their visit.",2013,In operation,Education/Awareness Raising
381,"Delimitation of the wetland swamp ""La Virgen"" as an input for the environmental ordering and management of future climatic phenomenon  - Municipality of Cartagena de Indias","Municipality of Cartagena de Indias, Colombia",Colombia,"The objective of this action is to give to the corresponding authorities the proposal for the delimitation of La Virgen swamp so it is used as a tool for the territorial ordering and the management of risks and disasters due to climate change. This will be done by elaborating technical studies that allow to establish the functional limit , also to identify decision making criteria and its implications taking into account four factors: actor analysis, institutions and governance, ecosystemic servies and trade-off, benefits that the ecosystem offers in terms of protection.",2013,In operation,Regulatory
382,Rural Adaptation based in communities - Municipality of Cartagena de Indias,"Municipality of Cartagena de Indias, Colombia",Colombia,The objective of this action is to develop a project model of climate adapted housing in insular areas. This will be done by promoting de development of this type of housing that respects the environment applying criteria of environmental sustainability and generating politics of integration and mitigation to climate change in the insular territory of Cartagena.,2013,In operation,Policy/Strategies/Action Plans
383,"Climate change as a cross-curricular theme in Praes, Praus and Procedas - Municipality of Cartagena de Indias","Municipality of Cartagena de Indias, Colombia",Colombia,The objective of this action is to include Climate Change as a principal theme in the educational programs for schools and citizens.,2013,In operation,Policy/Strategies/Action Plans
