,city,country,commitment_type,commitment,ghg_subtype,baseline_year,baseline_year_emissions,target_year,target_year_emissions,percent_reduction,emissions_reduction_by_target_year
443,"Coimbatore City Municipal Corporation, India",India,Energy efficiency target,"0% Energy efficiency improvement by 2020The Coimbatore City Municipal Corporation committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2020 compared to 2010 levels. This target will be achieved in Electricity, Heating & cooling and Industry sectors",,,,,,,
448,"Greater Hyderabad Municipal Corporation, India",India,Renewable energy target,The Greater Hyderabad Municipal Corporation committed to increase its Installed capacity of Renewable energy in Local Government to 5 MW by 2019The target is going to be reached by activities in Electricity sectors.,,,,,,,
456,"Kochi Municipal Corporation, India",India,Renewable energy target,"The Kochi Municipal Corporation committed to increase its Share of renewable energy in primary energy mix in Community by 5% by 2020The target is going to be reached by activities in Electricity, Heating & cooling and Industry sector.",,,,,,,
457,"Kochi Municipal Corporation, India",India,Energy efficiency target,5% Energy efficiency improvement by 2020The Kochi Municipal Corporation committed to increase its energy efficiency in Final energy and Community energy consumption by 5% by 2020 compared to 2014 levels. Final energy energy consumption: 1856000. 0 Mwh,,,,,,,
462,"Nashik City Corporation, India",India,GHG emission reduction target, The Nashik City Corporation has committed to reduce its Community emissions by 62% by 2022 compared to 2013 emission level.,Community,2013,,2022,,62.0,
465,"Panaji City Municipal Corporation, India",India,Renewable energy target,"The Panaji City Municipal Corporation committed to increase its share of renewable energy in final energy mix in Community by 5% by 2020The target is going to be reached by activities in Electricity, Heating & cooling, Industry and Stationary Energy sectors.",,,,,,,
466,"Panaji City Municipal Corporation, India",India,Energy efficiency target,0% Energy efficiency improvement by 2018The Panaji City Municipal Corporation committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2018 compared to 2013 levels. Final energy energy consumption: 331942. 31 MwhThis target will be achieved in Electricity and Heating & cooling sectors,,,,,,,
467,"Patna Municipal Corporation, India",India,Renewable energy target,The Patna Municipal Corporation committed to increase its Installed capacity of Renewable energy in Local Government to 6 MW by 2022The target is going to be reached by activities in Electricity sector.,,,,,,,
468,"Patna Municipal Corporation, India",India,Energy efficiency target,30% Energy efficiency improvement by 2022The Patna Municipal Corporation committed to increase its energy efficiency in Final energy and Community energy consumption by 30% by 2022 compared to 2017 levels. This target will be achieved in Electricity sectors,,,,,,,
471,"Pune Municipal Corporation, India",India,GHG emission reduction target, The Pune Municipal Corporation has committed to reduce its Local Government emissions by 10% by 2022 compared to Baseline scenario (BAU) reduction target emission level.,Local Government,2017,,2022,,10.0,
474,"Rajkot Municipal Corporation, India",India,GHG emission reduction target," The Rajkot Municipal Corporation has committed to reduce its Community emissions by 25% by 2020 compared to 2012 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Community,2012,1704380.0,2020,1278285.0,,426095.0
475,"Rajkot Municipal Corporation, India",India,Renewable energy target,The Rajkot Municipal Corporation committed to increase its share of renewable energy in final energy mix in Community by 0% by 2020The target is going to be reached by activities in Electricity and Industry sectors. The Rajkot Municipal Corporation committed to increase its share of renewable energy in final energy mix in Community by 0% by 2020The target is going to be reached by activities in Electricity and Industry sectors.,,,,,,,
476,"Rajkot Municipal Corporation, India",India,Energy efficiency target,0% Energy efficiency improvement by 2013The Rajkot Municipal Corporation committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2013 compared to 2008 levels. This target will be achieved in Electricity and Industry sectors0% Energy efficiency improvement by 2020The Rajkot Municipal Corporation committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2020 compared to 2012 levels. Final energy energy consumption: 4637388. 52 MwhThis target will be achieved in Electricity and Industry sectors,,,,,,,
477,"Shimla Municipal Corporation, India",India,Renewable energy target,"The Shimla Municipal Corporation committed to increase its share of renewable energy in final energy mix in Community by 5% by 2018The target is going to be reached by activities in Electricity, Heating & cooling, Industry and Stationary Energy sectors.",,,,,,,
478,"Shimla Municipal Corporation, India",India,Energy efficiency target,"0% Energy efficiency improvement by 2018The Shimla Municipal Corporation committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2018 compared to 2010 levels. Final energy energy consumption: 383720. 45 MwhThis target will be achieved in Electricity, Heating & cooling and Industry sectors",,,,,,,
479,"Surat Municipal Corporation, India",India,Renewable energy target,"The Surat Municipal Corporation committed to increase its share of renewable energy in final energy mix in Community by 43% by 2011Current share of renewable energy in final energy mix: 41. 1% 2018The target is going to be reached by activities in Electricity, Heating & cooling and Industry sectors. The Surat Municipal Corporation committed to increase its share of renewable energy in final energy mix in Community by 43% by 2011Current share of renewable energy in final energy mix: 41. 1% 2018The target is going to be reached by activities in Electricity, Heating & cooling and Industry sectors.",,,,,,,
480,"Surat Municipal Corporation, India",India,Energy efficiency target,"0% Energy efficiency improvement by 2016The Surat Municipal Corporation committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2016 compared to 2011 levels. Final energy energy consumption: 21350630. 0 MwhThis target will be achieved in Electricity, Heating & cooling and Industry sectors0% Energy efficiency improvement by 2016The Surat Municipal Corporation committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2016 compared to 2011 levels. This target will be achieved in Electricity, Heating & cooling and Industry sectors",,,,,,,
483,"Vadodara Municipal Corporation, India",India,Renewable energy target,The Vadodara Municipal Corporation committed to increase its Installed capacity of Renewable energy in Local Government to 2 MW by 2018Current Installed capacity of Renewable energy: 2. 78 MW 2018The target is going to be reached by activities in Electricity sector.,,,,,,,
484,"Vadodara Municipal Corporation, India",India,Energy efficiency target,66% Energy efficiency improvement by 2018The Vadodara Municipal Corporation committed to increase its energy efficiency in Final energy and Local Government energy consumption by 66% by 2018 compared to 2016 levels. Final energy energy consumption: 21. 02 MwhThis target will be achieved in Electricity sectors,,,,,,,
485,"City of Balikpapan, Indonesia",Indonesia,GHG emission reduction target," The City of Balikpapan has committed to reduce its Community emissions by 19% by 2020 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy, Industrial processes and product use (IPPU), Transport, Agriculture, forest and other land use (AFOLU) and Waste management sectors.",Community,2010,954593.0,2020,954593.0,,181372.0
490,"City of Bandung, Indonesia",Indonesia,GHG emission reduction target, The City of Bandung has committed to reduce its Community emissions by 30% by 2030 compared to Baseline scenario (BAU) reduction target emission level.,Community,2013,,2030,,30.0,
492,"City of Bandung, Indonesia",Indonesia,Energy efficiency target,"0% Energy efficiency improvement by 2018The City of Bandung committed to increase its energy efficiency in Primary energy and Local Government energy consumption by 0% by 2018 compared to 2015 levels. Primary energy energy consumption: 350. 0 MwhThis target will be achieved in Electricity, Heating & cooling and Transport sectors",,,,,,,
493,"City of Bekasi, Indonesia",Indonesia,Renewable energy target,The City of Bekasi committed to increase its Installed capacity of Renewable energy in Local Government to 0 MW by 2018The target is going to be reached by activities in Electricity sector.,,,,,,,
494,"City of Bekasi, Indonesia",Indonesia,Energy efficiency target,0% Energy efficiency improvement by 2018The City of Bekasi committed to increase its energy efficiency in Final energy and Local Government energy consumption by 0% by 2018 compared to 2017 levels. This target will be achieved in Electricity sectors,,,,,,,
495,"City of Bogor, Indonesia",Indonesia,Renewable energy target,The City of Bogor committed to increase its Share of renewable energy in primary energy mix in Local Government by 0% by 2030The target is going to be reached by activities in Transport sectors. The City of Bogor committed to increase its Installed capacity of Renewable energy in Local Government to 0 MW by 2030The target is going to be reached by activities in Electricity sectors.,,,,,,,
496,"City of Bogor, Indonesia",Indonesia,Energy efficiency target,0% Energy efficiency improvement by The City of Bogor committed to increase its energy efficiency in Final energy and Local Government energy consumption by 0% by  compared to 2015 levels. This target will be achieved in Electricity sectors,,,,,,,
497,"City of Malang, Indonesia",Indonesia,GHG emission reduction target," The City of Malang has committed to reduce its Local Government emissions by 24% by 2025 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy, Transport, Agriculture, forest and other land use (AFOLU) and Waste management sectors.",Local Government,2017,,2025,,24.0,
498,"City of Malang, Indonesia",Indonesia,Renewable energy target,The City of Malang committed to increase its consumption of energy from renewable energy sources in Local Government by 0 MWh by 2020Current consumption of energy from renewable energy source:  MWh The target is going to be reached by activities in Transport sector.,,,,,,,
499,"City of Malang, Indonesia",Indonesia,Energy efficiency target,0% Energy efficiency improvement by 2017The City of Malang committed to increase its energy efficiency in Primary energy and Local Government energy consumption by 0% by 2017 compared to 2015 levels. This target will be achieved in Transport sectors0% Energy efficiency improvement by 2018The City of Malang committed to increase its energy efficiency in Primary energy and Local Government energy consumption by 0% by 2018 compared to 2016 levels. This target will be achieved in Electricity sectors,,,,,,,
500,"City of Probolinggo, Indonesia",Indonesia,GHG emission reduction target," The City of Probolinggo has committed to reduce its Local Government emissions by 12% by 2020 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Transport, Agriculture, forest and other land use (AFOLU) and Waste management sectors.",Local Government,2010,338240.0,2020,338240.0,,40588.0
502,"City of Probolinggo, Indonesia",Indonesia,Energy efficiency target,1% Energy efficiency improvement by 2020The City of Probolinggo committed to increase its energy efficiency in Final energy and Local Government energy consumption by 1% by 2020 compared to 2010 levels. Final energy energy consumption: 171113864. 0 MwhThis target will be achieved in Electricity and Transport sectors2% Energy efficiency improvement by 2020The City of Probolinggo committed to increase its energy efficiency in Final energy and Local Government energy consumption by 2% by 2020 compared to 2010 levels. This target will be achieved in Electricity and Transport sectors,,,,,,,
503,"City of Semarang, Indonesia",Indonesia,GHG emission reduction target, The City of Semarang has committed to reduce its Community emissions by 4% by 2020 compared to Baseline scenario (BAU) reduction target emission level.,Community,2010,,2020,,4.0,
504,"City of Semarang, Indonesia",Indonesia,GHG emission reduction target, The City of Semarang has committed to reduce its Local Government emissions by 4% by 2020 compared to Baseline scenario (BAU) reduction target emission level.,Local Government,2010,,2020,,4.0,
507,"Special Capital Region of Jakarta, Indonesia",Indonesia,GHG emission reduction target," The Special Capital Region of Jakarta has committed to reduce its Local Government emissions by 30% by 2030 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy, Transport, Waste management, Industrial processes and product use (IPPU) and Agriculture, forest and other land use (AFOLU) sectors.",Local Government,2005,288125800.0,2030,288125800.0,,86437740.0
508,"Special Capital Region of Jakarta, Indonesia",Indonesia,Renewable energy target,"The Special Capital Region of Jakarta committed to increase its share of renewable energy in final energy mix in Local Government by 30% by 2030The target is going to be reached by activities in Electricity sectors. The Special Capital Region of Jakarta committed to increase its share of renewable energy in final energy mix in Local Government by 30% by 2030The target is going to be reached by activities in Electricity sectors. The Special Capital Region of Jakarta committed to increase its Share of renewable energy in primary energy mix in Local Government by 30% by 2030The target is going to be reached by activities in Electricity, Heating & cooling and Transport sectors.",,,,,,,
509,"Special Capital Region of Jakarta, Indonesia",Indonesia,Energy efficiency target,7% Energy efficiency improvement by 2030The Special Capital Region of Jakarta committed to increase its energy efficiency in Primary energy and Community energy consumption by 7% by 2030 compared to 2010 levels. This target will be achieved in Electricity sectors 0% Energy efficiency improvement by 2030The Special Capital Region of Jakarta committed to increase its energy efficiency in Final energy and Local Government energy consumption by 0% by 2030 compared to 2010 levels. This target will be achieved in Electricity sectors0% Energy efficiency improvement by 2030The Special Capital Region of Jakarta committed to increase its energy efficiency in Primary energy and Local Government energy consumption by 0% by 2030 compared to 2012 levels. This target will be achieved in Electricity and Heating & cooling sectors,,,,,,,
512,"Jerusalem Municipality, Israel",Israel,GHG emission reduction target, The Jerusalem Municipality has committed to reduce its Community emissions by 20% by 2020 compared to 2007 emission level.,Community,2007,,2020,,20.0,
515,"City of Bologna, Italy",Italy,GHG emission reduction target," The City of Bologna has committed to reduce its Community emissions by 20% by 2020 compared to 2005 emission level. The target is going to be reached by activities in Stationary energy, Transport and Agriculture, forest and other land use (AFOLU) sectors.",Community,2005,2283548.0,2020,1826838.0,,456709.0
518,"City of Forlì, Italy",Italy,GHG emission reduction target, The City of Forlì has committed to reduce its Community emissions by 25% by 2020 compared to 2000 emission level.,Community,2000,,2020,,25.0,
523,"Metropolitan City of Florence, Italy",Italy,GHG emission reduction target, The Metropolitan City of Florence has committed to reduce its Community emissions by 50% by 2050 compared to 2005 emission level.,Community,2005,,2050,,50.0,
524,"Metropolitan City of Florence, Italy",Italy,GHG emission reduction target, The Metropolitan City of Florence has committed to reduce its Local Government emissions by 50% by 2020 compared to 2005 emission level.,Local Government,2005,,2020,,50.0,
527,"Metropolitan City of Turin, Italy",Italy,GHG emission reduction target, The Metropolitan City of Turin has committed to reduce its Community emissions by 20% by 2020 compared to 1990 emission level.,Community,1990,,2020,,20.0,
532,"Municipality of Ancona, Italy",Italy,GHG emission reduction target, The Municipality of Ancona has committed to reduce its Community emissions by 20% by 2020 compared to 2005 emission level.,Community,2005,,2020,,20.0,
533,"Municipality of Ancona, Italy",Italy,GHG emission reduction target, The Municipality of Ancona has committed to reduce its Local Government emissions by 20% by 2020 compared to 2005 emission level.,Local Government,2005,,2020,,20.0,
536,"Municipality of Villa di Serio, Italy",Italy,GHG emission reduction target, The Municipality of Villa di Serio has committed to reduce its Community emissions by 20% by 2020 compared to 2005 emission level.,Community,2005,,2020,,20.0,
539,"Province of Siena, Italy",Italy,GHG emission reduction target, The Province of Siena has committed to reduce its Community emissions by 100% by 2015 compared to Baseline scenario (BAU) reduction target emission level.,Community,2006,,2015,,100.0,
540,"Province of Siena, Italy",Italy,GHG emission reduction target, The Province of Siena has committed to reduce its Local Government emissions by 100% by 2015 compared to Baseline scenario (BAU) reduction target emission level.,Local Government,2006,,2015,,100.0,
543,"Adachi City, Japan",Japan,GHG emission reduction target, The Adachi City has committed to reduce its Community emissions by 9% by 2016 compared to 2007 emission level.,Community,2007,,2016,,9.0,
546,"Aichi Prefecture, Japan",Japan,GHG emission reduction target, The Aichi Prefecture has committed to reduce its Community emissions by 15% by 2020 compared to 1990 emission level.,Community,1990,77011.0,2020,65459.0,,11551.0
547,"Aichi Prefecture, Japan",Japan,GHG emission reduction target, The Aichi Prefecture has committed to reduce its Local Government emissions by 5% by 2020 compared to 2014 emission level.,Local Government,2014,147814.0,2020,140423.0,,7390.0
549,"Aichi Prefecture, Japan",Japan,Energy efficiency target,6% Energy efficiency improvement by 2020The Aichi Prefecture committed to increase its energy efficiency in Final energy and Local Government energy consumption by 6% by 2020 compared to 2014 levels. Final energy energy consumption: 586060. 35 Mwh,,,,,,,
550,"Akashi City, Japan",Japan,GHG emission reduction target, The Akashi City has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level.,Community,1990,,2020,,25.0,
553,"Akita City, Japan",Japan,GHG emission reduction target, The Akita City has committed to reduce its Community emissions by 40% by 2050 compared to 1990 emission level.,Community,1990,,2050,,40.0,
554,"Akita City, Japan",Japan,GHG emission reduction target, The Akita City has committed to reduce its Local Government emissions by 4% by 2016 compared to 2012 emission level.,Local Government,2012,,2016,,4.0,
557,"Akita Prefecture, Japan",Japan,GHG emission reduction target, The Akita Prefecture has committed to reduce its Community emissions by 11% by 2020 compared to 1990 emission level.,Community,1990,,2020,,11.0,
560,"Amami City, Japan",Japan,GHG emission reduction target, The Amami City has committed to reduce its Local Government emissions by 9% by 2012 compared to 2006 emission level.,Local Government,2006,,2012,,9.0,
565,"Aomori Prefecture, Japan",Japan,GHG emission reduction target, The Aomori Prefecture has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level.,Community,1990,,2020,,25.0,
566,"Aomori Prefecture, Japan",Japan,GHG emission reduction target, The Aomori Prefecture has committed to reduce its Local Government emissions by 5% by 2014 compared to 2009 emission level.,Local Government,2009,,2014,,5.0,
571,"Atsugi City, Japan",Japan,GHG emission reduction target, The Atsugi City has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level.,Community,1990,,2020,,25.0,
574,"Chiba Prefecture, Japan",Japan,GHG emission reduction target, The Chiba Prefecture has committed to reduce its Community emissions by 1% by 2013 compared to 1990 emission level.,Community,1990,,2013,,1.0,
577,"Chigasaki City, Japan",Japan,GHG emission reduction target, The Chigasaki City has committed to reduce its Community emissions by 10% by 2012 compared to 2004 emission level.,Community,2004,,2012,,10.0,
578,"Chigasaki City, Japan",Japan,GHG emission reduction target, The Chigasaki City has committed to reduce its Local Government emissions by 8% by 2010 compared to 2005 emission level.,Local Government,2005,,2010,,8.0,
581,"Chiyoda City, Japan",Japan,GHG emission reduction target, The Chiyoda City has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level.,Community,1990,,2020,,25.0,
582,"Chiyoda City, Japan",Japan,GHG emission reduction target, The Chiyoda City has committed to reduce its Local Government emissions by 29% by 2017 compared to 2009 emission level.,Local Government,2009,,2017,,29.0,
585,"Chuo City, Japan",Japan,GHG emission reduction target, The Chuo City has committed to reduce its Community emissions by 5% by 2012 compared to 1990 emission level.,Community,1990,,2012,,5.0,
586,"Chuo City, Japan",Japan,GHG emission reduction target, The Chuo City has committed to reduce its Local Government emissions by 3% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,3.0,
589,"Edogawa City, Japan",Japan,GHG emission reduction target, The Edogawa City has committed to reduce its Community emissions by 14% by 2017 compared to 2004 emission level.,Community,2004,,2017,,14.0,
592,"Ehime Prefecture, Japan",Japan,GHG emission reduction target, The Ehime Prefecture has committed to reduce its Community emissions by 70% by 2050 compared to 1990 emission level.,Community,1990,,2050,,70.0,
593,"Ehime Prefecture, Japan",Japan,GHG emission reduction target, The Ehime Prefecture has committed to reduce its Local Government emissions by 6% by 2013 compared to 2008 emission level.,Local Government,2008,,2013,,6.0,
596,"Fuji City, Japan",Japan,GHG emission reduction target, The Fuji City has committed to reduce its Community emissions by 23% by 2020 compared to 1990 emission level.,Community,1990,,2020,,23.0,
597,"Fuji City, Japan",Japan,GHG emission reduction target, The Fuji City has committed to reduce its Local Government emissions by 10% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,10.0,
600,"Fujinomiya City, Japan",Japan,GHG emission reduction target, The Fujinomiya City has committed to reduce its Community emissions by 10% by 2015 compared to 2004 emission level.,Community,2004,,2015,,10.0,
601,"Fujinomiya City, Japan",Japan,GHG emission reduction target, The Fujinomiya City has committed to reduce its Local Government emissions by 10% by 2011 compared to 2003 emission level.,Local Government,2003,,2011,,10.0,
604,"Fujisawa City, Japan",Japan,GHG emission reduction target, The Fujisawa City has committed to reduce its Community emissions by 40% by 2022 compared to 1990 emission level.,Community,1990,,2022,,40.0,
607,"Fukui Prefecture, Japan",Japan,GHG emission reduction target, The Fukui Prefecture has committed to reduce its Community emissions by 3% by 2010 compared to 1990 emission level.,Community,1990,,2010,,3.0,
608,"Fukui Prefecture, Japan",Japan,GHG emission reduction target, The Fukui Prefecture has committed to reduce its Local Government emissions by 5% by 2010 compared to 2004 emission level.,Local Government,2004,,2010,,5.0,
615,"Funabashi City, Japan",Japan,GHG emission reduction target, The Funabashi City has committed to reduce its Community emissions by 1% by 2012 compared to 1990 emission level.,Community,1990,,2012,,1.0,
616,"Funabashi City, Japan",Japan,GHG emission reduction target, The Funabashi City has committed to reduce its Local Government emissions by 5% by 2014 compared to 2009 emission level.,Local Government,2009,,2014,,5.0,
619,"Gifu Prefecture, Japan",Japan,GHG emission reduction target, The Gifu Prefecture has committed to reduce its Community emissions by 80% by 2050 compared to 1990 emission level.,Community,1990,,2050,,80.0,
620,"Gifu Prefecture, Japan",Japan,GHG emission reduction target, The Gifu Prefecture has committed to reduce its Local Government emissions by 7% by 2015 compared to 2010 emission level.,Local Government,2010,,2015,,7.0,
625,"Gunma Prefecture, Japan",Japan,GHG emission reduction target, The Gunma Prefecture has committed to reduce its Community emissions by 28% by 2020 compared to 2007 emission level.,Community,2007,,2020,,28.0,
626,"Gunma Prefecture, Japan",Japan,GHG emission reduction target, The Gunma Prefecture has committed to reduce its Local Government emissions by 26% by 2020 compared to 2007 emission level.,Local Government,2007,,2020,,26.0,
629,"Hakodate City, Japan",Japan,GHG emission reduction target, The Hakodate City has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level.,Community,1990,,2020,,25.0,
630,"Hakodate City, Japan",Japan,GHG emission reduction target, The Hakodate City has committed to reduce its Local Government emissions by 10% by 2011 compared to 2005 emission level.,Local Government,2005,,2011,,10.0,
635,"Himeji City, Japan",Japan,GHG emission reduction target, The Himeji City has committed to reduce its Community emissions by 81% by 2050 compared to 2007 emission level.,Community,2007,,2050,,81.0,
636,"Himeji City, Japan",Japan,GHG emission reduction target, The Himeji City has committed to reduce its Local Government emissions by 16% by 2011 compared to 1999 emission level.,Local Government,1999,,2011,,16.0,
639,"Hirakata City, Japan",Japan,GHG emission reduction target, The Hirakata City has committed to reduce its Community emissions by 17% by 2012 compared to 2005 emission level.,Community,2005,,2012,,17.0,
640,"Hirakata City, Japan",Japan,GHG emission reduction target, The Hirakata City has committed to reduce its Local Government emissions by 17% by 2012 compared to 2005 emission level.,Local Government,2005,,2012,,17.0,
643,"Hiroshima City, Japan",Japan,GHG emission reduction target, The Hiroshima City has committed to reduce its Community emissions by 70% by 2050 compared to 1990 emission level.,Community,1990,,2050,,70.0,
644,"Hiroshima City, Japan",Japan,GHG emission reduction target, The Hiroshima City has committed to reduce its Local Government emissions by 8% by 2010 compared to 2004 emission level.,Local Government,2004,,2010,,8.0,
647,"Hiroshima Prefecture, Japan",Japan,GHG emission reduction target, The Hiroshima Prefecture has committed to reduce its Local Government emissions by 5% by 2010 compared to 2003 emission level.,Local Government,2003,,2010,,5.0,
650,"Hokkaido Prefecture, Japan",Japan,GHG emission reduction target, The Hokkaido Prefecture has committed to reduce its Local Government emissions by 11% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,11.0,
655,"Hyogo Prefecture, Japan",Japan,GHG emission reduction target, The Hyogo Prefecture has committed to reduce its Community emissions by 6% by 2010 compared to 1990 emission level.,Community,1990,,2010,,6.0,
656,"Hyogo Prefecture, Japan",Japan,GHG emission reduction target, The Hyogo Prefecture has committed to reduce its Local Government emissions by 6% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,6.0,
659,"Iida City, Japan",Japan,GHG emission reduction target, The Iida City has committed to reduce its Community emissions by 70% by 2050 compared to 1990 emission level.,Community,1990,,2050,,70.0,
660,"Iida City, Japan",Japan,GHG emission reduction target, The Iida City has committed to reduce its Local Government emissions by 2% by 2011 compared to 2007 emission level.,Local Government,2007,,2011,,2.0,
663,"Ishikawa Prefecture, Japan",Japan,GHG emission reduction target, The Ishikawa Prefecture has committed to reduce its Community emissions by 7% by 2010 compared to 2001 emission level.,Community,2001,,2010,,7.0,
664,"Ishikawa Prefecture, Japan",Japan,GHG emission reduction target, The Ishikawa Prefecture has committed to reduce its Local Government emissions by 8% by 2010 compared to 2003 emission level.,Local Government,2003,,2010,,8.0,
667,"Itabashi City, Japan",Japan,GHG emission reduction target, The Itabashi City has committed to reduce its Community emissions by 2% by 2020 compared to Baseline scenario (BAU) reduction target emission level.,Community,1990,,2020,,2.0,
672,"Kagawa Prefecture, Japan",Japan,GHG emission reduction target, The Kagawa Prefecture has committed to reduce its Community emissions by 8% by 2015 compared to 1990 emission level.,Community,1990,,2015,,8.0,
675,"Kakogawa City, Japan",Japan,GHG emission reduction target, The Kakogawa City has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level.,Community,1990,,2020,,25.0,
676,"Kakogawa City, Japan",Japan,GHG emission reduction target, The Kakogawa City has committed to reduce its Local Government emissions by 24% by 2015 compared to 2004 emission level.,Local Government,2004,,2015,,24.0,
679,"Kanagawa Prefecture, Japan",Japan,GHG emission reduction target, The Kanagawa Prefecture has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level.,Community,1990,,2020,,25.0,
680,"Kanagawa Prefecture, Japan",Japan,GHG emission reduction target, The Kanagawa Prefecture has committed to reduce its Local Government emissions by 13% by 2020 compared to 2008 emission level.,Local Government,2008,,2020,,13.0,
683,"Kasumigaura City, Japan",Japan,GHG emission reduction target, The Kasumigaura City has committed to reduce its Local Government emissions by 4% by 2011 compared to 2005 emission level.,Local Government,2005,,2011,,4.0,
686,"Kawagoe City, Japan",Japan,GHG emission reduction target, The Kawagoe City has committed to reduce its Community emissions by 0% by 2012 compared to 1990 emission level.,Community,1990,,2012,,0.0,
687,"Kawagoe City, Japan",Japan,GHG emission reduction target, The Kawagoe City has committed to reduce its Local Government emissions by 27% by 2050 compared to 2000 emission level.,Local Government,2000,,2050,,27.0,
690,"Kawaguchi City, Japan",Japan,GHG emission reduction target, The Kawaguchi City has committed to reduce its Community emissions by 60% by 2050 compared to 2008 emission level.,Community,2008,,2050,,60.0,
691,"Kawaguchi City, Japan",Japan,GHG emission reduction target, The Kawaguchi City has committed to reduce its Local Government emissions by 8% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,8.0,
694,"Kawasaki City, Japan",Japan,GHG emission reduction target," The Kawasaki City has committed to reduce its Community emissions by 25% by 2020 compared to 1990 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Community,1990,26706500.0,2020,20029875.0,,6676625.0
695,"Kawasaki City, Japan",Japan,GHG emission reduction target," The Kawasaki City has committed to reduce its Local Government emissions by 20% by 2020 compared to 2008 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Local Government,2008,390778.0,2020,312622.0,,78155.0
696,"Kawasaki City, Japan",Japan,Renewable energy target,The Kawasaki City committed to increase its Installed capacity of Renewable energy in Community to 110 MW by 2020Current Installed capacity of Renewable energy: 3. 07 MW 2018The target is going to be reached by activities in Electricity and Heating & cooling sector.,,,,,,,
698,"Kita City, Japan",Japan,GHG emission reduction target, The Kita City has committed to reduce its Community emissions by 3% by 2017 compared to 1990 emission level.,Community,1990,,2017,,3.0,
701,"Kitakyushu City, Japan",Japan,GHG emission reduction target, The Kitakyushu City has committed to reduce its Community emissions by 50% by 2050 compared to 2005 emission level.,Community,2005,,2050,,50.0,
702,"Kitakyushu City, Japan",Japan,GHG emission reduction target," The Kitakyushu City has committed to reduce its Local Government emissions by 30% by 2020 compared to 2005 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Local Government,2005,355000.0,2020,248500.0,50.0,106500.0
704,"Kitakyushu City, Japan",Japan,Energy efficiency target,"8% Energy efficiency improvement by 2020The Kitakyushu City committed to increase its energy efficiency in Final energy and Community energy consumption by 8% by 2020 compared to 2005 levels. This target will be achieved in Electricity, Transport, Heating & cooling and Industry sectors",,,,,,,
705,"Kitamoto City, Japan",Japan,GHG emission reduction target, The Kitamoto City has committed to reduce its Local Government emissions by 4% by 2013 compared to 2007 emission level.,Local Government,2007,,2013,,4.0,
708,"Kobe City, Japan",Japan,GHG emission reduction target, The Kobe City has committed to reduce its Local Government emissions by 30% by 2020 compared to 1990 emission level.,Local Government,1990,,2020,,30.0,
711,"Kochi Prefecture, Japan",Japan,GHG emission reduction target, The Kochi Prefecture has committed to reduce its Community emissions by 31% by 2020 compared to 1990 emission level.,Community,1990,,2020,,31.0,
712,"Kochi Prefecture, Japan",Japan,GHG emission reduction target, The Kochi Prefecture has committed to reduce its Local Government emissions by 10% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,10.0,
715,"Kochi-konan City, Japan",Japan,GHG emission reduction target, The Kochi-konan City has committed to reduce its Community emissions by 4% by 2030 compared to 2006 emission level.,Community,2006,,2030,,4.0,
716,"Kochi-konan City, Japan",Japan,GHG emission reduction target, The Kochi-konan City has committed to reduce its Local Government emissions by 5% by 2015 compared to 2009 emission level.,Local Government,2009,,2015,,5.0,
719,"Kofu City, Japan",Japan,GHG emission reduction target, The Kofu City has committed to reduce its Local Government emissions by 3% by 2015 compared to 2012 emission level.,Local Government,2012,,2015,,3.0,
722,"Komoro City, Japan",Japan,GHG emission reduction target, The Komoro City has committed to reduce its Local Government emissions by 6% by 2012 compared to 1990 emission level.,Local Government,1990,,2012,,6.0,
