,Unnamed: 0,city,country,plan_name,plan_type,start year
243,243,"City of Malmö, Sweden",Sweden,"City of Malmö, Sweden",Climate mitigation plan,2016.0
244,244,"City of Malmö, Sweden",Sweden,"City of Malmö, Sweden",Climate mitigation plan,2015.0
245,245,"City of Stockholm, Sweden",Sweden,"City of Stockholm, Sweden",Climate mitigation plan,2016.0
246,246,"City of Stockholm, Sweden",Sweden,"City of Stockholm, Sweden",Climate adaptation /resilience plan,2016.0
247,247,"City of Stockholm, Sweden",Sweden,"City of Stockholm, Sweden",Climate mitigation plan,2016.0
248,248,"Kristianstad Municipality, Sweden",Sweden,"Kristianstad Municipality, Sweden",Climate adaptation /resilience plan,2017.0
249,249,"Kristianstad Municipality, Sweden",Sweden,"Kristianstad Municipality, Sweden",Climate mitigation plan,2017.0
250,250,"Lund Municipality, Sweden",Sweden,"Lund Municipality, Sweden",Climate mitigation plan,2016.0
251,251,"Lund Municipality, Sweden",Sweden,"Lund Municipality, Sweden",Climate mitigation plan,2014.0
252,252,"Umeå Municipality, Sweden",Sweden,"Umeå Municipality, Sweden",,2008.0
253,253,"Umeå Municipality, Sweden",Sweden,"Umeå Municipality, Sweden",,2009.0
254,254,"Umeå Municipality, Sweden",Sweden,"Umeå Municipality, Sweden",Integrated climate plan,2012.0
255,255,"Umeå Municipality, Sweden",Sweden,"Umeå Municipality, Sweden",,2015.0
256,256,"Umeå Municipality, Sweden",Sweden,"Umeå Municipality, Sweden",,2010.0
257,257,"Uppsala Municipality, Sweden",Sweden,"Uppsala Municipality, Sweden",Climate mitigation plan,2014.0
258,258,"Uppsala Municipality, Sweden",Sweden,"Uppsala Municipality, Sweden",Integrated climate plan,2016.0
259,259,"Uppsala Municipality, Sweden",Sweden,"Uppsala Municipality, Sweden",Integrated climate plan,2017.0
260,260,"Växjö Municipality, Sweden",Sweden,"Växjö Municipality, Sweden",Climate mitigation plan,2019.0
261,261,"Växjö Municipality, Sweden",Sweden,"Växjö Municipality, Sweden",Climate adaptation /resilience plan,2013.0
262,262,"Vårgårda Municipality, Sweden",Sweden,"Vårgårda Municipality, Sweden",Climate mitigation plan,2017.0
263,263,"Vårgårda Municipality, Sweden",Sweden,"Vårgårda Municipality, Sweden",Integrated climate plan,2015.0
264,264,"Örebro Municipality, Sweden",Sweden,"Örebro Municipality, Sweden",Climate mitigation plan,2016.0
265,265,"Örebro Municipality, Sweden",Sweden,"Örebro Municipality, Sweden",Integrated climate plan,2014.0
266,266,"Dar Es Salaam City Council, Tanzania",Tanzania,"Dar Es Salaam City Council, Tanzania",Integrated climate plan,2011.0
267,267,"Bangchak Sub District Municipality, Thailand",Thailand,"Bangchak Sub District Municipality, Thailand",Integrated climate plan,2017.0
268,268,"Hat Siao Sub-District Municipality, Thailand",Thailand,"Hat Siao Sub-District Municipality, Thailand",Integrated climate plan,2017.0
269,269,"Hat Yai City Municipality, Thailand",Thailand,"Hat Yai City Municipality, Thailand",Integrated climate plan,2017.0
270,270,"Huai Khao Kam Municipality, Thailand",Thailand,"Huai Khao Kam Municipality, Thailand",Climate mitigation plan,2017.0
271,271,"Huai Khao Kam Municipality, Thailand",Thailand,"Huai Khao Kam Municipality, Thailand",Climate mitigation plan,2014.0
272,272,"Kalangnakorn Town Municipality, Thailand",Thailand,"Kalangnakorn Town Municipality, Thailand",Climate mitigation plan,2012.0
273,273,"Kalangnakorn Town Municipality, Thailand",Thailand,"Kalangnakorn Town Municipality, Thailand",Climate mitigation plan,2017.0
274,274,"Map Ammarit Municipality, Thailand",Thailand,"Map Ammarit Municipality, Thailand",,2016.0
275,275,"Map Ammarit Municipality, Thailand",Thailand,"Map Ammarit Municipality, Thailand",,2013.0
276,276,"Map Ammarit Municipality, Thailand",Thailand,"Map Ammarit Municipality, Thailand",,2015.0
277,277,"Patong Municipality, Thailand",Thailand,"Patong Municipality, Thailand",Climate adaptation /resilience plan,2017.0
278,278,"Prix Municipality, Thailand",Thailand,"Prix Municipality, Thailand",Integrated climate plan,2017.0
279,279,"Ranong Town Municipality, Thailand",Thailand,"Ranong Town Municipality, Thailand",Integrated climate plan,2017.0
280,280,"Ranong Town Municipality, Thailand",Thailand,"Ranong Town Municipality, Thailand",Integrated climate plan,2016.0
281,281,"Ubonratchathani Municipality, Thailand",Thailand,"Ubonratchathani Municipality, Thailand",Climate mitigation plan,2017.0
282,282,"Yasothon Town Municipality, Thailand",Thailand,"Yasothon Town Municipality, Thailand",Climate mitigation plan,2017.0
283,283,"City of Gaziantep, Turkey",Turkey,"City of Gaziantep, Turkey",,2016.0
284,284,"City of Gaziantep, Turkey",Turkey,"City of Gaziantep, Turkey",,2016.0
285,285,"City of Gaziantep, Turkey",Turkey,"City of Gaziantep, Turkey",,2016.0
286,286,"City of Gaziantep, Turkey",Turkey,"City of Gaziantep, Turkey",,2016.0
287,287,"City of Gaziantep, Turkey",Turkey,"City of Gaziantep, Turkey",,2016.0
288,288,"Izmir Metropolitan Municipality, Turkey",Turkey,"Izmir Metropolitan Municipality, Turkey",Climate mitigation plan,2016.0
289,289,"Kampala Capital City Authority, Uganda",Uganda,"Kampala Capital City Authority, Uganda",Integrated climate plan,2015.0
290,290,"Kampala Capital City Authority, Uganda",Uganda,"Kampala Capital City Authority, Uganda",Climate mitigation plan,2015.0
291,291,"Bristol City Council, United Kingdom",United Kingdom,"Bristol City Council, United Kingdom",Climate mitigation plan,2019.0
292,292,"Bristol City Council, United Kingdom",United Kingdom,"Bristol City Council, United Kingdom",Climate adaptation /resilience plan,2019.0
293,293,"Greater Manchester Combined Authority, United Kingdom",United Kingdom,"Greater Manchester Combined Authority, United Kingdom",Climate mitigation plan,2019.0
294,294,"City and County of San Francisco, CA, United States",United States,"City and County of San Francisco, CA, United States",Climate mitigation plan,2013.0
295,295,"City of Alton, IL, United States",United States,"City of Alton, IL, United States",,2011.0
296,296,"City of Atlanta, GA, United States",United States,"City of Atlanta, GA, United States",,
297,297,"City of Boston, MA, United States",United States,"City of Boston, MA, United States",Climate adaptation /resilience plan,2014.0
298,298,"City of Boston, MA, United States",United States,"City of Boston, MA, United States",Climate mitigation plan,2013.0
299,299,"City of Chicago, IL, United States",United States,"City of Chicago, IL, United States",Integrated climate plan,2019.0
300,300,"City of Fort Collins, CO, United States",United States,"City of Fort Collins, CO, United States",,2015.0
301,301,"City of Minneapolis, MN, United States",United States,"City of Minneapolis, MN, United States",,2013.0
302,302,"City of New York, NY, United States",United States,"City of New York, NY, United States",Climate adaptation /resilience plan,2013.0
303,303,"City of New York, NY, United States",United States,"City of New York, NY, United States",Climate mitigation plan,2019.0
304,304,"City of Oakland, CA, United States",United States,"City of Oakland, CA, United States",Climate mitigation plan,2019.0
305,305,"City of Oakland, CA, United States",United States,"City of Oakland, CA, United States",Climate adaptation /resilience plan,2019.0
306,306,"City of Olympia, WA, United States",United States,"City of Olympia, WA, United States",,2014.0
307,307,"City of Philadelphia, PA, United States",United States,"City of Philadelphia, PA, United States",Integrated climate plan,2019.0
308,308,"City of Portland, OR, United States",United States,"City of Portland, OR, United States",Climate mitigation plan,2019.0
309,309,"City of San Antonio, TX, United States",United States,"City of San Antonio, TX, United States",,
310,310,"City of San Antonio, TX, United States",United States,"City of San Antonio, TX, United States",,
311,311,"City of San Antonio, TX, United States",United States,"City of San Antonio, TX, United States",,
312,312,"City of San Antonio, TX, United States",United States,"City of San Antonio, TX, United States",,
313,313,"City of San Antonio, TX, United States",United States,"City of San Antonio, TX, United States",,
314,314,"City of Santa Barbara, CA, United States",United States,"City of Santa Barbara, CA, United States",Integrated climate plan,2012.0
315,315,"City of Santa Cruz, CA, United States",United States,"City of Santa Cruz, CA, United States",,2012.0
316,316,"City of Santa Monica, CA, United States",United States,"City of Santa Monica, CA, United States",,2013.0
317,317,"City of Santa Monica, CA, United States",United States,"City of Santa Monica, CA, United States",,2011.0
318,318,"City of Santa Monica, CA, United States",United States,"City of Santa Monica, CA, United States",,2016.0
319,319,"City of Santa Monica, CA, United States",United States,"City of Santa Monica, CA, United States",,2013.0
320,320,"City of Seattle, WA, United States",United States,"City of Seattle, WA, United States",Integrated climate plan,2013.0
321,321,"City of Tacoma, WA, United States",United States,"City of Tacoma, WA, United States",,2008.0
322,322,"City of Tacoma, WA, United States",United States,"City of Tacoma, WA, United States",,2016.0
323,323,"City of Urbana, IL, United States",United States,"City of Urbana, IL, United States",Climate mitigation plan,2015.0
324,324,"Miami-Dade County, FL, United States",United States,"Miami-Dade County, FL, United States",,2017.0
325,325,"Miami-Dade County, FL, United States",United States,"Miami-Dade County, FL, United States",,2010.0
326,326,"Da Nang Municipal People's Government, Vietnam",Vietnam,"Da Nang Municipal People's Government, Vietnam",Climate mitigation plan,2017.0
327,327,"Dong Ha City, Vietnam",Vietnam,"Dong Ha City, Vietnam",Integrated climate plan,2014.0
