,city,country,plan_name,plan_type,start year
263,"Växjö Municipality, Sweden",Sweden,"Växjö Municipality, Sweden",Climate mitigation plan,2018
264,"Växjö Municipality, Sweden",Sweden,"Växjö Municipality, Sweden",Climate adaptation /resilience plan,2013
265,"Vårgårda Municipality, Sweden",Sweden,"Vårgårda Municipality, Sweden",Climate mitigation plan,2017
266,"Vårgårda Municipality, Sweden",Sweden,"Vårgårda Municipality, Sweden",Integrated climate plan,2015
267,"Örebro Municipality, Sweden",Sweden,"Örebro Municipality, Sweden",Climate mitigation plan,2016
268,"Örebro Municipality, Sweden",Sweden,"Örebro Municipality, Sweden",Integrated climate plan,2014
269,"Dar Es Salaam City Council, Tanzania",Tanzania,"Dar Es Salaam City Council, Tanzania",Integrated climate plan,2011
270,"Bangchak Sub District Municipality, Thailand",Thailand,"Bangchak Sub District Municipality, Thailand",Integrated climate plan,2017
271,"Hat Siao Sub-District municipality, Thailand",Thailand,"Hat Siao Sub-District municipality, Thailand",Integrated climate plan,2017
272,"Hat Yai City Municipality, Thailand",Thailand,"Hat Yai City Municipality, Thailand",Integrated climate plan,2017
273,"Huai Khao Kam Municipality, Thailand",Thailand,"Huai Khao Kam Municipality, Thailand",Climate mitigation plan,2017
274,"Huai Khao Kam Municipality, Thailand",Thailand,"Huai Khao Kam Municipality, Thailand",Climate mitigation plan,2014
275,"Kalangnakorn Town Municipality, Thailand",Thailand,"Kalangnakorn Town Municipality, Thailand",Climate mitigation plan,2012
276,"Kalangnakorn Town Municipality, Thailand",Thailand,"Kalangnakorn Town Municipality, Thailand",Climate mitigation plan,2017
277,"Map Ammarit Municipality, Thailand",Thailand,"Map Ammarit Municipality, Thailand",,2016
278,"Map Ammarit Municipality, Thailand",Thailand,"Map Ammarit Municipality, Thailand",,2013
279,"Map Ammarit Municipality, Thailand",Thailand,"Map Ammarit Municipality, Thailand",,2015
280,"Patong Municipality, Thailand",Thailand,"Patong Municipality, Thailand",Climate adaptation /resilience plan,2017
281,"Prix Municipality, Thailand",Thailand,"Prix Municipality, Thailand",Integrated climate plan,2017
282,"Ranong Town Municipality, Thailand",Thailand,"Ranong Town Municipality, Thailand",Integrated climate plan,2017
283,"Ranong Town Municipality, Thailand",Thailand,"Ranong Town Municipality, Thailand",Integrated climate plan,2016
284,"Ubonratchathani Municipality, Thailand",Thailand,"Ubonratchathani Municipality, Thailand",Climate mitigation plan,2017
285,"Yasothon Town Municipality, Thailand",Thailand,"Yasothon Town Municipality, Thailand",Climate mitigation plan,2017
286,"City of Gaziantep, Turkey",Turkey,"City of Gaziantep, Turkey",,2016
287,"City of Gaziantep, Turkey",Turkey,"City of Gaziantep, Turkey",,2016
288,"City of Gaziantep, Turkey",Turkey,"City of Gaziantep, Turkey",,2016
289,"City of Gaziantep, Turkey",Turkey,"City of Gaziantep, Turkey",,2016
290,"City of Gaziantep, Turkey",Turkey,"City of Gaziantep, Turkey",,2016
291,"Izmir Metropolitan Municipality, Turkey",Turkey,"Izmir Metropolitan Municipality, Turkey",Climate mitigation plan,2016
292,"Kampala Capital City Authority, Uganda",Uganda,"Kampala Capital City Authority, Uganda",Integrated climate plan,2015
293,"Kampala Capital City Authority, Uganda",Uganda,"Kampala Capital City Authority, Uganda",Climate mitigation plan,2015
294,"Bristol City Council, United Kingdom",United Kingdom,"Bristol City Council, United Kingdom",Climate mitigation plan,2018
295,"Bristol City Council, United Kingdom",United Kingdom,"Bristol City Council, United Kingdom",Climate adaptation /resilience plan,2018
296,"Greater Manchester Combined Authority, United Kingdom",United Kingdom,"Greater Manchester Combined Authority, United Kingdom",Climate mitigation plan,2018
297,"City and County of San Francisco, CA, United States",United States,"City and County of San Francisco, CA, United States",Climate mitigation plan,2013
298,"City of Alton, IL, United States",United States,"City of Alton, IL, United States",,2011
299,"City of Atlanta, GA, United States",United States,"City of Atlanta, GA, United States",,
300,"City of Boston, MA, United States",United States,"City of Boston, MA, United States",Climate adaptation /resilience plan,2014
301,"City of Boston, MA, United States",United States,"City of Boston, MA, United States",Climate mitigation plan,2013
302,"City of Chicago, IL, United States",United States,"City of Chicago, IL, United States",Integrated climate plan,2018
303,"City of Fort Collins, CO, United States",United States,"City of Fort Collins, CO, United States",,2015
304,"City of Minneapolis, United States",United States,"City of Minneapolis, United States",,2013
305,"City of New York, NY, United States",United States,"City of New York, NY, United States",Climate adaptation /resilience plan,2013
306,"City of New York, NY, United States",United States,"City of New York, NY, United States",Climate mitigation plan,2018
307,"City of Oakland, CA, United States",United States,"City of Oakland, CA, United States",Climate mitigation plan,2018
308,"City of Oakland, CA, United States",United States,"City of Oakland, CA, United States",Climate adaptation /resilience plan,2018
309,"City of Olympia, WA, United States",United States,"City of Olympia, WA, United States",,2014
310,"City of Philadelphia, PA, United States",United States,"City of Philadelphia, PA, United States",Integrated climate plan,2018
311,"City of Portland, OR, United States",United States,"City of Portland, OR, United States",Climate mitigation plan,2018
312,"City of San Antonio, United States",United States,"City of San Antonio, United States",,
313,"City of San Antonio, United States",United States,"City of San Antonio, United States",,
314,"City of San Antonio, United States",United States,"City of San Antonio, United States",,
315,"City of San Antonio, United States",United States,"City of San Antonio, United States",,
316,"City of San Antonio, United States",United States,"City of San Antonio, United States",,
317,"City of Santa Barbara, CA, United States",United States,"City of Santa Barbara, CA, United States",Integrated climate plan,2012
318,"City of Santa Cruz, United States",United States,"City of Santa Cruz, United States",,2012
319,"City of Santa Monica, CA, United States",United States,"City of Santa Monica, CA, United States",,2013
320,"City of Santa Monica, CA, United States",United States,"City of Santa Monica, CA, United States",,2011
321,"City of Santa Monica, CA, United States",United States,"City of Santa Monica, CA, United States",,2016
322,"City of Santa Monica, CA, United States",United States,"City of Santa Monica, CA, United States",,2013
323,"City of Seattle, WA, United States",United States,"City of Seattle, WA, United States",Integrated climate plan,2013
324,"City of Tacoma, WA, United States",United States,"City of Tacoma, WA, United States",,2008
325,"City of Tacoma, WA, United States",United States,"City of Tacoma, WA, United States",,2016
326,"City of Urbana, IL, United States",United States,"City of Urbana, IL, United States",Climate mitigation plan,2015
