,country,emissions_baseline_year,emissions_factor,energy_consumption_baseline_year,mwh_energy_consumption_from_electricity,mwh_energy_consumption_from_fossil fuels,mwh_energy_consumption_from_heat/cold,mwh_energy_consumption_from_renewables,mwh_energy_consumption_industry,mwh_energy_consumption_municipal,mwh_energy_consumption_other,mwh_energy_consumption_public lighting,mwh_energy_consumption_residential,mwh_energy_consumption_tertiary,mwh_energy_consumption_transport,mwh_per_capita,name,percent_emissions_industry,percent_emissions_municipal,percent_emissions_non-energy related,percent_emissions_other,percent_emissions_public lighting,percent_emissions_residential,percent_emissions_tertiary,percent_emissions_transport,percent_energy_consumption_from_electricity,percent_energy_consumption_from_fossil fuels,percent_energy_consumption_from_heat/cold,percent_energy_consumption_from_renewables,percent_energy_consumption_industry,percent_energy_consumption_municipal,percent_energy_consumption_other,percent_energy_consumption_public lighting,percent_energy_consumption_residential,percent_energy_consumption_tertiary,percent_energy_consumption_transport,tons_co2_industry,tons_co2_municipal,tons_co2_non-energy related,tons_co2_other,tons_co2_per_capita,tons_co2_public lighting,tons_co2_residential,tons_co2_tertiary,tons_co2_transport
2005,Italy,2005,IPCC,2005,77924.15,284272.59,,4926.86,79194.24,12309.65,-1.86353E-11,2212.68,168437.06,43502.66,61467.35,16.44,Dalmine,24.23,3.55,,0.00,0.96,41.12,13.27,16.88,21.23,77.43,,1.34,21.57,3.35,-0.00,0.60,45.88,11.85,16.74,22451.27941,3285.22982,,0.0022699999999979,4.15,885.072,38105.36359,12297.39489,15638.3003
2006,Spain,2007,IPCC,2007,11630,48212.6,,1093.74,,,18269.71,,,,42666.62,15.38,Dalías,3.30,2.43,3.42,7.65,,10.63,12.26,60.31,19.09,79.12,,1.79,,,29.98,,,,70.02,603,445.05,625,1399.492,4.70,,1943.1,2242.35,11028.0342
2007,Italy,2005,IPCC,2005,42487.76,184170.22,,22689.33,,3709.22,,1257.82,132894.2,46138.67,65347.4,17.13,Darfo Boario Terme,,1.39,3.82,,0.84,43.18,22.27,28.51,17.04,73.86,,9.10,,1.49,,0.50,53.30,18.50,26.21,,839.297,2298.22,,4.14,503.128,26012.71887,13413.89144,17174.31311
2008,United Kingdom,,IPCC,2005,490773,2443956,,,125480,,1129322,,1026718,,653209,,Darlington,,,,,,,,,16.72,83.28,,,4.28,,38.48,,34.99,,22.26,,,,,,,,,
2009,Spain,2010,IPCC,2010,6311.33,13300.6,,508.73,,797.96,-1.8189894035459E-12,322.33,13749.37,,5250.98,8.57,Daroca,,4.81,,,2.41,69.22,,23.55,31.37,66.10,,2.53,,3.97,-0.00,1.60,68.33,,26.10,,283.0324,,,2.57,141.8252,4072.2908,,1385.6341
2010,Croatia,,,,,,,,,,,,,,,,Daruvar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Latvia,2010,IPCC,2010,233171,865817099,,,775119019,8934562,,5010,26883685,54912046,195948,"8,333.66",Daugavpils,89.50,1.03,,,0.00,3.10,6.34,0.03,0.03,99.97,,,89.50,1.03,,0.00,3.10,6.34,0.02,156566683.771,1799158.558,,,"1,683.30",546.09,5425065.265,11089801.714,51131.822
2012,Italy,2005,IPCC,2005,3215.8,20678.1,,542.2,,208.4,,63.4,17342.6,1591.6,5230.2,13.25,Davagna,,1.16,,0.00,0.49,70.21,7.36,20.77,13.16,84.62,,2.22,,0.85,,0.26,70.97,6.51,21.40,,73.5896,,1.3642420526594E-13,3.43,31.2562,4443.5479,465.8852,1314.4405
2013,Italy,2008,IPCC,2008,9852,35022,,3706.6,,976,,211,29530,8372,9491,14.74,Daverio,,1.84,,,0.82,50.22,27.87,19.26,20.28,72.09,,7.63,,2.01,,0.43,60.79,17.23,19.54,,228.343,,,4.08,101.913,6242.855,3464.81,2394.133
2014,Italy,2010,IPCC,2010,6874.71,38760.17,,,590,394.71,,900,33165.71,9.7,574.76,8.31,Davoli,2.12,1.26,,0.00,3.41,92.01,0.02,1.17,15.06,84.94,,,1.66,1.11,,2.53,93.07,0.03,1.61,276.32,163.258206,,1.0135408956557E-12,2.37,443.7,11967.900822,3.1816,152.479065
2015,Spain,2007,IPCC,2007,4536.81,2669.99,,2.09,,711.05,,521.97,4137.54,434.83,1403.49,4.09,Daya Nueva,,11.81,,,8.67,60.27,5.43,13.82,62.93,37.04,,0.03,,9.86,,7.24,57.40,6.03,19.47,,312.862,,,1.50,229.6668,1597.19335,143.96748,366.31284
2016,Spain,2007,IPCC,2007,1840.61,663.45,,,,85.01,,191.85,1444.09,443.49,339.63,5.46,Daya Vieja,,3.84,,0.00,8.68,59.37,18.93,9.18,73.51,26.49,,,,3.39,,7.66,57.67,17.71,13.56,,37.4044,,1.0004441719502E-13,2.12,84.414,577.57436,184.18305,89.32908
2017,Belgium,2011,IPCC,2011,32119,125379,,6891,,4218,6381,880,86152,12364,54394,15.98,De Pinte,,2.37,,4.11,0.45,48.90,6.66,37.50,19.54,76.27,,4.19,,2.57,3.88,0.54,52.41,7.52,33.09,,868.533,,1508.126,3.56,166.32,17926.358,2439.845,13746.787
2018,Hungary,2013,IPCC,2013,358707.4,1337778.13,350126,976.05,124165,43227,,7901,1014220,150197.05,707877.53,10.00,Debrecen Megyei Jogú Város Önkormányzata,8.52,2.42,,,0.72,49.33,8.72,30.29,17.52,65.33,17.10,0.05,6.06,2.11,,0.39,49.53,7.34,34.57,50750.42,14418.203,,,2.91,4258.639,293773.101,51931.846,180370.96721
2019,Italy,2005,IPCC,2005,17890.24,28391.85,,2867.21,,567.38,,778.23,19805.4,13262.85,14735.44,6.48,Decimomannu,,,,79.28,,,,20.72,36.40,57.77,,5.83,,1.15,,1.58,40.30,26.98,29.98,,,,14937.63587,2.64,,,,3903.41654
2020,Italy,2011,IPCC,2011,4566.26,15585.87,,,,508.63,,311,8208.2,210,10914.3,6.10,Decollatura,,2.74,,,2.43,48.54,1.43,44.86,22.66,77.34,,,,2.52,,1.54,40.73,1.04,54.16,,172.612222,,,1.91,153.323,3063.29738,90.152,2830.875398
2021,Spain,2007,IPCC,2007,10894,36451.77,,4295.54,,,25755.75,,,,25885.56,18.92,Deifontes,2.70,2.05,3.99,18.19,,12.86,15.30,44.90,21.10,70.59,,8.32,,,49.87,,,,50.13,402.3,306,594,2709.6,5.95,,1915.2,2278.8,6687.7208
2022,Belgium,2011,IPCC,2011,282908.2,569339,30885,31862,355928,10113,68304,2594,232801,105843,139411.2,30.80,Deinze,37.90,1.06,,6.46,0.26,24.49,11.14,18.70,30.92,62.22,3.38,3.48,38.90,1.11,7.46,0.28,25.44,11.57,15.24,71521.368,1997.226,,12186.118,6.35,482.484,46209.006,21020.135,35276.1262
2023,Italy,2008,IPCC,2008,3847.1296,6542.629,,919.97,12,93,,155,7600,2574,875,6.97,Deiva Marina,0.11,1.37,,0.00,2.27,57.36,32.07,6.82,34.02,57.85,,8.13,0.11,0.82,,1.37,67.20,22.76,7.74,3.69372,44.69712,,2.182787284255E-13,2.19,74.28,1876.973827,1049.23998,223.197594
2024,Netherlands,2010,IPCC,2010,396723,1493586,,19395,814420,19108,,,442868,75720,554423,20.02,Delft,45.50,0.39,,,0.29,21.22,3.74,28.87,20.77,78.21,,1.02,42.72,1.00,,,23.23,3.97,29.08,223095.715,1928.271,,,5.14,1411.59,104049.052,18320.659,141556.121
2025,Italy,2011,IPCC,2011,9099.4,94609.64,,2082.16,1557.38,455.32,1201.99,35.81,26433.89,4667.66,71439.15,24.18,Delia,2.05,0.39,,1.53,0.05,23.86,5.19,66.92,8.60,89.43,,1.97,1.47,0.43,1.14,0.03,24.99,4.41,67.53,549.46449,105.35164,,410.23786,6.13,14.21657,6400.20468,1391.71817,17947.42122
2026,Italy,2005,IPCC,2005,18745.06,21436.85,,11676.65,15027.98,611.17,7.2759576141835E-12,551.07,30375.5,3297.54,1995.28,9.71,Deliceto,49.35,1.12,,0.00,1.99,34.86,8.82,3.85,36.15,41.34,,22.52,28.98,1.18,0.00,1.06,58.57,6.36,3.85,6596.27167,150.02691,,6.8234840000514E-13,3.29,266.16681,4658.79501,1179.44554,514.58154
2027,Italy,2007,IPCC,2007,34883.91,141001.53,386.46,4983.93,116133.95,1069.5,,496.94,37830.31,14310.54,11414.59,35.40,Dello,64.12,0.43,,0.00,0.46,18.33,10.02,6.65,19.25,77.79,0.21,2.75,64.07,0.59,,0.27,20.87,7.90,6.30,27934.13888,186.3435,,2.5806912162808E-14,8.77,198.776,7984.06092,4365.74622,2898.38961
2028,Spain,2005,IPCC,2005,34680,190518,,783,,878,,509,50840,14522,159232,20.65,Deltebre,,0.51,5.89,,0.35,25.44,8.04,59.78,15.35,84.31,,0.35,,0.39,,0.23,22.50,6.43,70.46,,355.648,4143,,6.43,244.829,17906.962,5657.024,42078.831
2029,Belgium,,,,,,,,,,,,,,,,Denderleeuw,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,Belgium,2011,IPCC,2011,247975,629196,,31034,164494,25251,17092,2993,344162,158574,195639,20.51,Dendermonde,17.68,2.61,,1.96,0.31,35.23,16.92,25.29,27.30,69.28,,3.42,18.11,2.78,1.88,0.33,37.89,17.46,21.54,34600.921,5115.132,,3833.315,4.42,604.586,68943.224,33122.204,49489.579
2031,Ukraine,,,,,,,,,,,,,,,,Derhachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,Italy,2005,IPCC,2005,5189.25,34125.1,,3809.97,,912.42,,161.48,29804.48,4925.45,7320.49,14.33,Dervio,,2.08,,,0.78,62.60,15.73,18.81,12.03,79.13,,8.83,,2.12,,0.37,69.11,11.42,16.98,,208.04491,,,3.65,77.99484,6263.3046,1573.72057,1881.56655
2033,Cyprus,2009,IPCC,2009,20184,65354,,6801,3506,23,993,483,21299,12858,53177,16.30,Deryneia,6.70,0.06,,1.90,1.22,28.42,22.76,38.94,21.86,70.78,,7.37,3.80,0.02,1.08,0.52,23.07,13.92,57.59,2310.652,20.102,,654.418,6.09,422.142,9808.872,7854.464,13438.788
2034,Italy,2011,IPCC,2011,120385.4,251724.6,,157.7,,6274.4,,3915.1,197177.7,107464.4,57436.1,13.67,Desenzano del Garda,,1.51,,,1.52,47.06,35.58,14.34,32.34,67.62,,0.04,,1.69,,1.05,52.97,28.87,15.43,,1536.5096,,,3.73,1538.6343,47791.1272,36131.3486,14562.0232
2035,Belgium,2011,IPCC,2011,88086,131333,,16285,89082,3394,5772,499,87671,14373,34913,25.75,Dessel,37.66,1.38,,2.89,0.21,33.93,5.98,17.95,37.37,55.72,,6.91,37.79,1.44,2.45,0.21,37.20,6.10,14.81,18539.033,679.967,,1424.067,5.38,101.796,16701.896,2945.284,8836.51
2036,Italy,2008,IPCC,2008,3810.2,9075,,1120.5,,312.3,,464.3,8155.3,1447.5,3626.3,5.49,Desulo,,2.48,,,6.26,54.89,16.15,20.23,27.20,64.80,,8.00,,2.23,,3.32,58.23,10.34,25.89,,115.9815,,,1.83,292.509,2566.1974,755.085,945.6375
2037,Romania,2008,IPCC,2008,122351,535525,241866,,,130492,,3662,511019,117984,136585,13.46,Deva,,28.83,,,0.38,54.99,8.44,7.35,13.60,59.52,26.88,,,14.50,,0.41,56.80,13.11,15.18,,136548.365,,,7.08,1816.352,260429.366,39956.61,34821.249
2038,Italy,2005,IPCC,2005,1526,6181,,793,,72,1169,111,5419,185,1544,12.86,Diano Arentino,,0.87,,13.66,2.20,63.49,3.41,16.37,17.95,72.72,,9.33,,0.85,13.75,1.31,63.75,2.18,18.16,,21.168,,332.787,3.69,53.613,1546.852,83.043,398.856
2039,Italy,2011,IPCC,2011,6000,3977,,,688,541,371,255,4987,3094,41,4.42,Diano Castello,6.78,6.31,,3.65,3.33,49.15,30.49,0.28,60.14,39.86,,,6.90,5.42,3.72,2.56,49.98,31.01,0.41,251.095,233.765,,135.357,1.64,123.165,1820.307,1129.383,10.448
2040,Belgium,2011,IPCC,2011,59022.69,344792.54,321.43,23977.34,,5912.09,,794.17,162934.15,47509.4,210964.19,23.47,Diepenbeek,,1.21,,,0.15,34.25,9.83,54.55,13.79,80.54,0.08,5.60,,1.38,,0.19,38.06,11.10,49.28,,1186.9195,,,5.38,150.8923,33598.11795,9646.58443,53507.11399
2041,Belgium,2011,IPCC,2011,93930,312338,16228,13685,,5859,31581,2007,200232,92574,103928,18.81,Diest,,1.21,,7.59,0.39,44.79,19.04,26.99,21.53,71.61,3.72,3.14,,1.34,7.24,0.46,45.91,21.22,23.83,,1174.989,,7392.48,4.20,379.323,43649.716,18556.358,26302.885
2042,France,1990,LCA,1990,397836,172069059,102157,1503,149308,132392,,12135,1087255,722679,18435843,"1,105.28",Dijon,0.05,0.05,0.17,,0.00,0.49,0.33,98.91,0.23,99.71,0.06,0.00,0.73,0.64,,0.06,5.29,3.52,89.76,26491.656,24715.868,87346,,336.04,1771.71,256407.073,175760.564,51893704.07
2043,Belgium,2011,IPCC,2011,166039.1,1003730.82,,39951.93,119922.66,17381.58,,2017.49,330308.04,95776.22,644315.86,30.09,Dilbeek,8.83,1.25,,,0.14,24.50,7.00,58.28,13.73,82.97,,3.30,9.91,1.44,,0.17,27.30,7.92,53.26,24687.92442,3501.8471,,,6.96,403.498,68504.58061,19567.03363,162977.9121
2044,Belgium,2011,IPCC,2011,54198.58,175944.87,,17286.51,,1512.09,7100.87,1068.81,179968.74,36183.91,21595.54,12.47,Dilsen-Stokkem,,0.48,,3.48,0.34,71.93,13.07,10.71,21.90,71.11,,6.99,,0.61,2.87,0.43,72.74,14.62,8.73,,244.95858,,1778.86312,2.58,173.14722,36741.94868,6674.78773,5468.34684
2045,Italy,2007,IPCC,2007,10631.2,22189.5,,2260.8,,652.7,,310.7,11832.7,13722.5,8562.9,28.34,Dimaro,,1.87,,,1.37,26.71,49.79,20.26,30.30,63.25,,6.44,,1.86,,0.89,33.73,39.12,24.41,,204.3165,,,8.84,150.0681,2923.3277,5448.5395,2216.6291
2046,Bulgaria,2011,IPCC,2011,134502.84,121976.97,,38901,,6362.43,,2507.87,209555.87,36872.57,40082.07,5.52,Dimitrovgrad,,3.15,,,1.24,71.17,18.23,6.21,45.54,41.29,,13.17,,2.15,,0.85,70.94,12.48,13.57,,5236.27989,,,3.10,2063.97701,118323.12601,30301.42571,10325.49155
2047,Greece,2013,IPCC,2013,47041,130877.26,,,32755,5163.4,5374,486,39053.93,,95085.93,12.39,Dimos Mylopotamou,32.73,6.40,,7.01,0.63,25.47,,27.75,26.44,73.56,,,18.41,2.90,3.02,0.27,21.95,,53.44,28815.495,5632.5138,,6174.726,6.13,558.414,22425.24531,,24432.68295
2048,Greece,2014,IPCC,2014,159150,267395,,10265,,3544,,4654,155298,68191,205123,9.81,Dimos Papagou - Cholargou,,1.23,,,2.14,45.64,30.27,20.71,36.43,61.22,,2.35,,0.81,,1.07,35.55,15.61,46.96,,3068.433,,,5.60,5347.446,113937.584,75574.041,51709.827
2049,Greece,2010,IPCC,2010,101751.3,342785.1,,24300.7,,4550,,3371,178611,43908,238397,13.44,Dimos Pentelis,,1.20,,-0.00,1.84,49.32,19.38,28.26,21.70,73.11,,5.18,,0.97,,0.72,38.10,9.37,50.85,,2512.6881,,-7.3487171903252E-13,6.03,3873.6237,103663.6011,40727.5112,59404.3408
2050,Greece,2012,IPCC,2012,64026.6,244879.8,,,,3139.3,39738.3,2100.9,128588.2,23353.6,111986.1,13.92,Dimos Sidikis,,1.20,,12.47,0.82,43.83,8.90,32.78,20.73,79.27,,,,1.02,12.86,0.68,41.63,7.56,36.25,,1020.8626,,10624.2032,3.84,697.4988,37340.7009,7586.1762,27929.467
2051,Greece,,,,,,,,,,,,,,,,Dion Olympus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2052,Greece,2011,IPCC,2011,113453.52,670926,,,,5486.51,,3731.26,522546.63,5314.4,247300.72,19.52,Dionysos,,0.96,,,0.69,86.20,0.98,11.17,14.46,85.54,,,,0.70,,0.48,66.62,0.68,31.53,,679809364.5509,,,"1,756,208.07",486399926.8934,60845986835.012,692775033.496,7882299791.0384
2053,Italy,2008,IPCC,2008,5724,30187.07,,3289.31,,821.45,-7.2759576141835E-12,677.72,36972,729.21,,7.99,Dipignano,,2.35,,,1.17,94.75,1.74,,14.60,77.01,,8.39,,2.10,-0.00,1.73,94.32,1.86,,,3841372.5963,,,"36,403.43",1912417.4048,155038782.15,2840834.5309,
2054,Belgium,,,,,,,,,,,,,,,,Dison,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2055,Greece,2011,IPCC,2011,13880.7,94728.5,,,,2928.8,,700,44542,,60438.4,13.41,Distomo Arahova Antikira,,6.96,,,1.98,52.86,,38.20,12.78,87.22,,,,2.70,,0.64,41.01,,55.65,,2827.083,,,5.01,804.3,21472.998,,15519.9786
2056,Romania,,,,,,,,,,,,,,,,District 3 of Bucharest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2057,Italy,2005,IPCC,2005,9273,32563,,1758,,397,,651,26356,6686,9505,13.67,District of Sassello,,1.09,,,2.61,57.77,18.06,20.47,21.27,74.70,,4.03,,0.91,,1.49,60.46,15.34,21.80,,131.973,,,3.78,314.433,6970.915,2179.1,2469.597
2058,Slovenia,2010,IPCC,2010,7262,33806,,10668,,1103,,482,26203,332,23616,13.56,Divača,,2.69,,,2.11,45.73,1.12,48.35,14.04,65.34,,20.62,,2.13,,0.93,50.65,0.64,45.65,,338.035,,,3.30,265.1,5751.655,140.39,6081.12
2059,Ukraine,,,,,,,,,,,,,,,,Dnipro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060,Italy,2010,IPCC,2010,3032.1,8101.2,,9531.8,262,618,,248.6,17472.4,1352.6,711.5,14.13,Doberdò del Lago,1.96,3.06,,,1.96,80.74,8.55,3.72,14.67,39.20,,46.13,1.27,2.99,,1.20,84.55,6.55,3.44,95.778,149.8238,,,3.35,96.2082,3953.4092,418.8642,182.3025
2061,Bosnia-herzegovina,2013,IPCC,2013,148381,455587,,257868,10000,4951,,1812,567910,15846,261317,12.43,Doboj,3.15,0.80,,,0.57,65.57,2.82,27.09,17.22,52.86,,29.92,1.16,0.57,,0.21,65.90,1.84,30.32,8000,2030.3,,,3.67,1449.6,166768.34,7182.03,68892.915
2062,Bulgaria,2000,IPCC,2000,83843.57,234542.184,,4579.141,104724.55,9689.1,-9.0949470177293E-13,1209.54,93749.5,,113591.244,3.22,Dobrich,30.38,3.08,,0.10,0.56,41.15,,24.72,25.96,72.62,,1.42,32.43,3.00,-0.00,0.37,29.03,,35.17,38099.43065,3861.962557,,122.93931700001,1.25,703.048782,51602.97243,,31002.198894
2063,Ukraine,2012,IPCC,2012,134000,3650,108700,,24000,27150,,820,164700,26030,3650,8.02,Dobropillia,14.37,9.41,,,0.49,63.37,11.74,0.62,54.39,1.48,44.12,,9.74,11.02,,0.33,66.86,10.57,1.48,21888,14328,,,4.96,747.84,96496.8,17878.96,939.5
2064,Italy,2005,IPCC,2005,619.78,3726.78,,,,41.8,,110.46,2746,546,902.33,10.73,Dogliola,,0.93,5.29,,4.58,56.48,12.67,20.06,14.26,85.74,,,,0.96,,2.54,63.18,12.56,20.76,,10.78354,61.63,,2.88,53.35218,658.09192,147.665,233.74511
2065,Belarus,,,,,,,,,,,,,,,,Dokšycy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2066,Italy,2005,IPCC,2005,5234,12249,,247,,350,,344,8265,2950,5822,8.86,Dolceacqua,,1.81,,,2.89,47.87,20.57,26.86,29.52,69.09,,1.39,,1.97,,1.94,46.61,16.64,32.84,,104.25,,,2.88,166.152,2755.498,1183.831,1546.042
2067,Italy,2010,IPCC,2010,6166.02,26023.78,,7750,,765.73,1551,410.93,17490,6991,12731.14,15.24,Dolcè,,2.11,,4.63,1.82,41.16,19.65,30.63,15.44,65.16,,19.40,,1.92,3.88,1.03,43.79,17.50,31.88,,221.97727,,487.225,4.01,191.49338,4330.688,2067.43,3222.26886
2068,Italy,2005,IPCC,2005,37123.9,237606.5,,,,4411.5,,1282.5,126050.4,38537,104448.9,18.84,Dolo,,1.51,,,0.86,42.15,18.15,37.33,13.51,86.49,,,,1.61,,0.47,45.88,14.03,38.02,,1093.0496,,,4.96,619.4475,30478.5472,13122.7434,26987.4088
2069,Spain,2007,IPCC,2007,17387.6,5608.27,,93.52,,646.8,,587.65,14700.97,6946.69,207.28,3.32,Dolores,,3.07,,,2.89,60.71,32.70,0.62,75.31,24.29,,0.41,,2.80,,2.55,63.67,30.09,0.90,,274.67218,,,1.28,258.566,5423.85087,2921.77328,55.27788
2070,Ukraine,2010,LCA,2010,37804.9,273219.2,,7088.5,59143.7,16978.6,,975,116412.2,11213.1,113390.1,15.37,Dolyna,18.32,5.40,,,0.51,33.95,3.44,38.38,11.88,85.89,,2.23,18.59,5.34,,0.31,36.59,3.52,35.64,15944.254,4702.7884,,,4.21,440.7,29549.0815,2998.3532,33411.3492
2071,Italy,2013,IPCC,2013,5365,26299,9821,,2128,1183,17,424,23756,10936,3041,15.96,Domegge di Cadore,5.05,2.81,,0.05,1.80,57.44,25.97,6.88,12.93,63.39,23.67,,5.13,2.85,0.04,1.02,57.26,26.36,7.33,576.488,320.484,,6.188,4.39,204.792,6550.865,2962.173,784.209
2072,Italy,2009,IPCC,2009,44192,195207,,17752,,6282,,1448,116639,48610,84173,12.97,Domodossola,,2.24,,,1.06,39.36,25.86,31.48,17.19,75.91,,6.90,,2.44,,0.56,45.36,18.90,32.73,,1476.904,,,3.58,699.384,25984.469,17072.19,20782.342
2073,Italy,2011,IPCC,2011,4839,3279,,319,,326,,153,4051,2267,1640,5.05,Domus De Maria,,4.68,,,2.20,46.34,31.10,15.67,57.35,38.86,,3.78,,3.86,,1.81,48.01,26.87,19.44,,124.858,,,1.60,58.599,1236.11,829.623,418.064
2074,Spain,2011,IPCC,2011,98267.74,534772.64,,23019.97,,4058.3,,3725.63,136802.41,49572.78,461901.23,17.71,Don Benito,,0.74,,,0.90,20.43,10.66,67.27,14.98,81.51,,3.51,,0.62,,0.57,20.85,7.56,70.41,,1346.70814,,,4.90,1639.2772,37058.49323,19336.88953,122022.35296
2075,Belgium,1990,IPCC,1990,4600,36500,,,5300,78,,212,23600,2010,9900,13.88,Donceel,13.36,0.19,0.01,,0.50,56.50,4.99,24.44,11.19,88.81,,,12.90,0.19,,0.52,57.42,4.89,24.09,1406.6,20.163,1,,3.55,53,5946.2,525.637,2572.02
2076,"Moldova, Republic Of",,,,,,,,,,,,,,,,Dondusheni,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2077,Greece,2011,IPCC,2011,32573,111761,,8575,,3424,,1522,55582,21159,71222,11.22,Dorida,,5.28,,,2.61,42.40,21.90,27.81,21.30,73.09,,5.61,,2.24,,1.00,36.35,13.84,46.58,,3495.64,,,4.86,1727.47,28072.445,14498.713,18415
2078,Italy,2005,IPCC,2005,632.42,4159.5,,1601.11,,90.01,9.0949470177288E-13,44.94,4872.11,427.73,958.24,13.42,Dorio,,0.17,,-0.00,0.15,5.53,21.85,72.30,9.89,65.06,,25.04,,1.41,0.00,0.70,76.21,6.69,14.99,,23.8771,,-5.4910742619542E-14,39.78,21.70602,785.342,3102.77622,10267.42191
2079,Germany,2007,LCA,2007,243394,2007249,,334680,1477094.7,20516.7,-5.88E-12,3060.5,436031.9,106959,541664.7,40.69,Dormagen,46.19,1.00,,-0.00,0.27,22.20,5.34,25.00,9.41,77.64,,12.95,57.13,0.79,-0.00,0.12,16.87,4.14,20.95,302036.5714,6511.9861,,-0.74460000000595,10.29,1778.1505,145125.1639,34941.1627,163446.438
2080,Italy,,,,,,,,,,,,,,,,Dorno,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2081,Germany,1990,IPCC,1990,2314999.5,35771526.5,660657.5,10930.3,3483936,281676.8,-1.862645149231E-9,18035.5,5704880.4,1704477.4,4138107.7,64.70,Dortmund,10.49,0.75,,-0.00,0.10,15.05,4.68,68.92,5.97,92.29,1.70,0.03,22.72,1.84,-0.00,0.12,37.21,11.12,26.99,1271060.638203,91353.944087,,-3.5099219530821E-12,20.23,12049.51755,1824458.31615,567627.094028,8353399.26672
2082,Italy,2005,IPCC,2005,25915,59471,,10752,28524,441,,459,46401,11429,8884,25.95,Dosolo,41.09,0.52,,,0.86,35.90,12.85,8.77,26.96,61.86,,11.18,29.67,0.46,,0.48,48.26,11.89,9.24,10589.739,134.604,,,7.83,221.697,9251.171,3311.555,2260.235
2083,Spain,2005,IPCC,2005,26529.1,143270.5,,62.8,106754,652.4,,1148,15545.4,4022.7,41739.9,41.50,Dosrius,55.01,0.51,4.26,,1.18,11.96,3.58,23.50,15.62,84.35,,0.04,62.85,0.38,,0.68,9.15,2.37,24.57,25728.678,236.9957,1990.7,,11.43,552.188,5596.2918,1674.7777,10993.0813
2084,Italy,2005,IPCC,2005,1765.24,12864.754904,,6344.82,593.38,456.86,,,15581.99,1619.07,2723.97004,14.64,Dossena,4.55,3.06,,0.00,,61.41,11.81,19.16,8.42,61.33,,30.25,2.83,2.18,,,74.29,7.72,12.99,165.12874,111.103912,,9.5496943686159E-14,3.63,,2229.01537,428.638728,695.550333592
2085,Italy,2007,IPCC,2007,2873.9,42855.6,,982.9,,289.5,,131.9,16032.1,9302.3,20956.6,27.35,Dovadola,,0.62,,,0.44,31.63,18.61,48.70,6.15,91.74,,2.10,,0.62,,0.28,34.32,19.91,44.86,,68.8886,,,6.48,48.4073,3503.0311,2061.0622,5393.8078
2086,Greece,2012,IPCC,2012,212473,445932,,60967,,20347,,12263,419002,103716,164044,12.20,Drama,,4.22,,,3.58,52.57,27.65,11.98,29.54,61.99,,8.48,,2.83,,1.70,58.25,14.42,22.80,,14973.476,,,6.03,12709.3732,186734.3036,98223.8394,42560.97
2087,Italy,2005,IPCC,2005,7634.72,34683.3,,1294.34,2922.29,204.02,,,26517.1,6784.36,7184.59,16.71,Dresano,9.46,0.75,,0.00,,54.88,18.38,16.53,17.51,79.53,,2.97,6.70,0.47,,,60.80,15.56,16.47,1056.02373,83.64304,,4.0893155528465E-13,4.41,,6126.94252,2052.11297,1845.71698
2088,Germany,2005,LCA,2005,2649670,6329799,1421821,11000,3251643,230766,,19700,3055556,658255,3196370,21.03,Dresden,36.61,1.62,,,0.24,24.64,5.13,31.75,25.45,60.79,13.66,0.11,31.23,2.22,,0.19,29.35,6.32,30.70,1266382.88,56055.26,,,6.98,8293.9,852353.615,177579.152,1098011
2089,Italy,2010,IPCC,2010,1538.5,6698.7,,1141.1,,233.4,,102.8,6305.4,990.9,1745.8,16.60,Drizzona,,3.83,,,2.26,56.49,17.42,20.00,16.40,71.43,,12.17,,2.49,,1.10,67.23,10.57,18.62,,84.4074,,,3.90,49.6524,1243.3455,383.4551,440.2199
2090,"Moldova, Republic Of",2011,IPCC,2011,23432.1,60837.5,,,16178,328.1,,158.4,55234,12312.6,58.5,4.82,Drochia,33.40,0.40,,,0.38,56.23,9.54,0.05,27.81,72.19,,,19.20,0.39,,0.19,65.54,14.61,0.07,9459.246,112.5964,,,1.62,108.3456,15924.248,2700.4784,15.2343
2091,Ukraine,,,,,,,,,,,,,,,,Drohobych,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2092,Albania,,,,,,,,,,,,,,,,Dropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093,Italy,2000,IPCC,2000,11108,112963,,4710,,2087,,681,75411,9698,40904,15.67,Druento,,1.52,,,1.06,54.93,8.72,33.76,8.63,87.72,,3.66,,1.62,,0.53,58.56,7.53,31.76,,474.402,,,3.79,328.923,17090.766,2713.391,10504.456
2094,Italy,2005,IPCC,2005,2028,19494,,1581,,355,,214,10769,872,10893,24.19,Druogno,,1.55,,,1.89,42.92,5.42,48.21,8.78,84.38,,6.84,,1.54,,0.93,46.61,3.77,47.15,,86.16,,,5.81,105.074,2383.33,300.992,2677.154
