name,country,commitments,submission,year,region,population,sectors,target
Braives,Belgium,2020,2017-02-06				,2014			,Arr. Liège,5939,Municipal buildings equipment facilities; Transport; Local electricity production; Tertiary buildings equipment facilities; Residential buildings; Others; Public lighting; Industry,20%
Branzi,Italy,2020,2016-08-05				,2012			,"",731,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Public lighting; Residential buildings; Local heat cold production,48%
Bratislava,Slovakia,2020;ADAPT,2018-12-18				,2014			,Bratislavský kraj,465327,Municipal buildings equipment facilities; Transport; Others; Public lighting; Tertiary buildings equipment facilities; Residential buildings; Local electricity production; Local heat cold production,20%
Braşov,Romania,2020;2030;ADAPT,2017-02-22				,2010			,Braşov,289646,Others; Transport; Municipal buildings equipment facilities; Local heat cold production; Local electricity production; Residential buildings; Tertiary buildings equipment facilities; Public lighting,32%
Brebbia,Italy,2020,2015-02-23				,2013			,"",3360,Local electricity production; Transport; Municipal buildings equipment facilities; Others; Local heat cold production; Residential buildings; Tertiary buildings equipment facilities; Public lighting; Industry,25%
Brecht,Belgium,2020,2018-12-17				,2015			,Arr. Antwerpen,28174,Municipal buildings equipment facilities; Residential buildings; Local electricity production; Transport; Tertiary buildings equipment facilities; Public lighting; Industry; Others,20%
Breda,Netherlands,2020,2018-10-02				,2018			,"",184000,Municipal buildings equipment facilities; Industry; Public lighting; Residential buildings; Tertiary buildings equipment facilities,45%
Breda,Spain,2020,2017-04-25				,2014			,"",3783,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Others,20%
Bree,Belgium,2020;2030;ADAPT,2017-05-22				,2014			,"",15173,Residential buildings; Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Public lighting; Industry; Others,21%
Bregano,Italy,2020,2015-02-23				,2013			,"",842,Local heat cold production; Others; Local electricity production; Industry; Tertiary buildings equipment facilities; Public lighting; Municipal buildings equipment facilities; Transport; Residential buildings,30%
Bregenz,Austria,2020,2015-04-09				,2012			,"",27950,Transport; Local electricity production; Municipal buildings equipment facilities; Others; Industry; Local heat cold production; Residential buildings; Public lighting; Tertiary buildings equipment facilities,21%
Brembate,Italy,2020,2015-01-29				,2013			,"",8439,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,21%
Brembate di Sopra,Italy,2020,2015-11-06				,2011			,Bergamo,7832,Local heat cold production; Transport; Others; Public lighting; Local electricity production; Tertiary buildings equipment facilities; Municipal buildings equipment facilities; Residential buildings; Industry,21%
Bremen,Germany,2020;2030;ADAPT,2015-04-02				,2011			,"",546451,Transport; Municipal buildings equipment facilities; Local electricity production; Others; Industry; Residential buildings; Local heat cold production,40%
Brenes,Spain,2020,2016-08-02				,2012			,"",12696,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others,22%
Bressanone/Brixen,Italy,2020,2016-09-05				,2014			,"",20921,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others,24%
Brest Métropole,France,2020,2017-06-23				,2012			,"",215647,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Local heat cold production; Others,20%
Brinzio,Italy,2020,2015-02-23				,2013			,"",3937,Local electricity production; Transport; Local heat cold production; Tertiary buildings equipment facilities; Public lighting; Others; Municipal buildings equipment facilities; Residential buildings; Industry,20%
Brivio,Italy,2020,2016-03-18				,2014			,"",4700,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Local heat cold production; Others,20%
Brugge,Belgium,2020,2019-01-24				,2016			,Arr. Brugge,118000,Transport; Tertiary buildings equipment facilities; Residential buildings; Industry; Local electricity production; Municipal buildings equipment facilities,20%
Bruino,Italy,2020,2015-02-09				,2011			,Torino,8520,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,29%
Brusaporto,Italy,2020,2015-05-23				,2012			,"",5142,Others; Residential buildings; Transport; Local electricity production; Public lighting; Tertiary buildings equipment facilities; Municipal buildings equipment facilities,20%
Bruxelles-Capitale,Belgium,2020,2017-11-23				,2011			,"",1048491,Transport; Municipal buildings equipment facilities; Residential buildings; Tertiary buildings equipment facilities; Others; Local heat cold production; Industry; Local electricity production; Public lighting,20%
"Budapest Főváros XIX. Kerület, Kispest Önkormányzata",Hungary,2020;2030;ADAPT,2018-12-11				,2019			,Budapest,60904,Transport; Municipal buildings equipment facilities; Industry; Residential buildings; Local heat cold production; Tertiary buildings equipment facilities; Public lighting; Local electricity production; Others,20%
Budrio,Italy,2020,2017-06-28				,2014			,Bologna,18239,Others; Industry; Municipal buildings equipment facilities; Public lighting; Transport; Residential buildings; Local electricity production,52%
Bugnara,Italy,2020,2015-12-15				,2015			,L'Aquila,1117,Local electricity production; Municipal buildings equipment facilities; Residential buildings,21%
Bujalance,Spain,2020,2018-08-23				,2011			,"",7941,Others; Local electricity production; Transport; Public lighting; Residential buildings; Tertiary buildings equipment facilities; Municipal buildings equipment facilities,20%
Bulciago,Italy,2020,2015-11-20				,2013			,"",3034,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others,21%
Bullas,Spain,2020;ADAPT,2017-09-26				,2013			,"",11500,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Others,20%
Burago di Molgora,Italy,2020,2014-09-18				,2011			,"",4300,Local electricity production; Local heat cold production; Others; Transport; Municipal buildings equipment facilities; Public lighting,25%
Burdinne,Belgium,2020,2017-01-27				,2014			,Arr. Huy,3010,Residential buildings; Transport; Others; Municipal buildings equipment facilities; Local electricity production; Tertiary buildings equipment facilities; Public lighting; Industry,20%
Burgas,Bulgaria,2020;ADAPT,2017-02-16				,2011			,Бургас (Burgas),226000,Others; Transport; Local electricity production; Residential buildings; Municipal buildings equipment facilities; Industry,25%
Burguillos,Spain,2020,2016-08-02				,2012			,"",3284,Others; Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting,21%
Busot,Spain,2020,2018-02-28				,2013			,Alicante / Alacant,2904,Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting,22%
Bussento Lambro e Mingardo,Italy,2020,2016-09-20				,2013			,"",25511,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,25%
Buttigliera Alta,Italy,2020,2015-12-28				,2011			,Torino,6537,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Others,33%
Böhl-Iggelheim,Germany,2020,2015-11-04				,2011			,"",11000,Transport; Local electricity production; Others; Municipal buildings equipment facilities; Public lighting,25%
CAERANO DI SAN MARCO,Italy,2020,2018-09-04				,2014			,"",8050,Others; Local electricity production; Transport; Public lighting; Municipal buildings equipment facilities,45%
CARTIGLIANO,Italy,2020,2019-04-10				,2016			,"",3797,Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Transport; Local electricity production; Others,20%
CAVERNAGO,Italy,2020;2030;ADAPT,2017-03-01				,2015			,Bergamo,2598,Transport; Municipal buildings equipment facilities; Residential buildings; Public lighting; Industry,20%
CITTA' DI PREGANZIOL,Italy,2020,2017-12-06				,2015			,"",16918,Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,23%
CODOGNO,Italy,2020,2017-01-30				,2014			,"",15000,Transport; Residential buildings; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Public lighting; Industry; Local heat cold production; Others,20%
COSTABISSARA,Italy,2020,2017-06-14				,2015			,"",7367,Others; Public lighting; Municipal buildings equipment facilities,20%
Cabeceiras de Basto,Portugal,2020,2015-02-23				,2011			,"",17000,Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Local electricity production; Others,22%
Cabiate,Italy,2020,2016-12-14				,2014			,Como,7526,Transport; Local electricity production; Municipal buildings equipment facilities; Others; Public lighting; Tertiary buildings equipment facilities; Residential buildings,21%
Cabra,Spain,2020,2018-08-23				,2011			,"",19523,Others; Local electricity production; Transport; Industry; Public lighting; Residential buildings; Tertiary buildings equipment facilities; Municipal buildings equipment facilities; Local heat cold production,20%
Cabrera de Mar,Spain,2020,2016-04-29				,2010			,"",4408,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Others; Residential buildings; Tertiary buildings equipment facilities,20%
Cabrils,Spain,2020,2016-04-29				,2011			,"",6964,Municipal buildings equipment facilities; Public lighting; Others; Residential buildings; Transport; Tertiary buildings equipment facilities; Local electricity production,20%
Caccamo,Italy,2020;2030;ADAPT,2017-11-30				,2015			,Palermo,8650,Residential buildings; Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Public lighting; Local heat cold production; Others,20%
Cadorago,Italy,2020,2016-07-08				,2013			,"",7812,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Others,21%
Cadrezzate,Italy,2020,2015-02-23				,2013			,"",1779,Others; Local electricity production; Transport; Municipal buildings equipment facilities; Industry; Local heat cold production; Public lighting; Tertiary buildings equipment facilities; Residential buildings,30%
Cagliari,Italy,2020;2030;ADAPT,2016-08-12				,2014			,Cagliari,157000,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Others,26%
Cagnano Amiterno,Italy,2020,2015-12-15				,2015			,"",1439,Transport; Local electricity production; Residential buildings; Public lighting,22%
Calaf,Spain,2020,2015-12-03				,2013			,"",3522,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,21%
Calarasi,Romania,2020,2016-11-24				,2014			,Călăraşi,73908,Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production,41%
Calascio,Italy,2020,2015-12-03				,2015			,L'Aquila,127,Transport; Municipal buildings equipment facilities; Residential buildings; Public lighting,28%
Calcio,Italy,2020,2015-02-09				,2012			,"",5410,Tertiary buildings equipment facilities; Municipal buildings equipment facilities; Transport; Others; Local electricity production; Residential buildings; Public lighting,20%
Calco,Italy,2020,2016-07-19				,2014			,"",4039,Transport; Local electricity production; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Local heat cold production; Others; Municipal buildings equipment facilities,20%
Calders,Spain,2020,2015-12-16				,2011			,"",899,Residential buildings; Municipal buildings equipment facilities; Public lighting; Transport; Local electricity production; Local heat cold production; Others,20%
Caldes d'Estrac,Spain,2020,2017-11-29				,2010			,"",2799,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,20%
Caldes de Malavella,Spain,2020,2017-06-06				,2014			,"",7107,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others; Local heat cold production,22%
Calella,Spain,2020,2016-03-11				,2010			,"",18627,Local electricity production; Transport; Municipal buildings equipment facilities; Public lighting; Others; Residential buildings,20%
Calldetenes,Spain,2020,2015-07-07				,2013			,"",2436,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others; Local heat cold production,28%
Callús,Spain,2020,2016-12-14				,2011			,"",1759,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,26%
Calore e Alburni,Italy,2020,2016-09-20				,2014			,"",22855,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,22%
Calp,Spain,2020,2015-02-18				,2012			,Alicante / Alacant,22437,Residential buildings; Municipal buildings equipment facilities; Transport; Tertiary buildings equipment facilities; Public lighting,43%
Calusco d'Adda,Italy,2020,2015-05-26				,2012			,"",8296,Tertiary buildings equipment facilities; Municipal buildings equipment facilities; Public lighting; Residential buildings; Transport; Others; Local electricity production; Local heat cold production,21%
Calvenzano,Italy,2020,2015-10-07				,2012			,"",4030,Municipal buildings equipment facilities; Transport,20%
Calvià,Spain,2020;2030;ADAPT,2015-04-09				,2012			,Mallorca,50328,Others; Transport; Municipal buildings equipment facilities; Local heat cold production; Residential buildings; Tertiary buildings equipment facilities; Local electricity production; Public lighting,20%
Camas,Spain,2020,2016-08-03				,2011			,"",25706,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others,20%
Camastra,Italy,2020,2017-10-31				,2015			,"",2128,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,22%
Cambiago,Italy,2020,2015-10-16				,2012			,"",4852,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Public lighting; Others,20%
Camerata Cornello,Italy,2020,2016-08-05				,2011			,Bergamo,624,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others,30%
Caminha,Portugal,2020,2017-02-23				,2011			,"",16298,Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,20%
Campillos,Spain,2020,2018-01-10				,2012			,"",7760,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others,44%
Campitello di Fassa,Italy,2020,2017-02-20				,2013			,"",746,Others; Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting,39%
Campllong,Spain,2020,2017-02-08				,2014			,"",534,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,22%
Campo di Giove,Italy,2020,2016-06-23				,2015			,L'Aquila,859,Local electricity production; Residential buildings; Public lighting,21%
Campobello di Licata,Italy,2020;2030;ADAPT,2017-09-05				,2015			,"",10328,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,26%
Campodoro,Italy,2020,2018-08-02				,2016			,"",2747,Others; Local electricity production; Transport; Public lighting; Residential buildings; Tertiary buildings equipment facilities; Municipal buildings equipment facilities,20%
Campofranco,Italy,2020;2030;ADAPT,2017-10-30				,2015			,Caltanissetta,3200,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting,27%
Camponogara,Italy,2020,2015-11-13				,2013			,"",13082,Transport; Municipal buildings equipment facilities; Local electricity production; Others; Public lighting; Tertiary buildings equipment facilities; Residential buildings,27%
Campotosto,Italy,2020,2015-12-03				,2015			,L'Aquila,562,Local electricity production; Residential buildings; Public lighting,22%
Campotéjar,Spain,2020,2018-09-28				,2011			,"",1362,Others; Local electricity production; Transport; Public lighting; Residential buildings; Municipal buildings equipment facilities,20%
Camprodon,Spain,2020,2018-02-14				,2014			,"",2450,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Others,24%
Canale Monterano,Italy,2020,2014-11-18				,2012			,"",3805,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,23%
Canazei,Italy,2020,2016-09-21				,2013			,"",1910,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Others,34%
Canegrate,Italy,2020,2015-02-20				,2011			,"",12415,Local electricity production; Others; Municipal buildings equipment facilities; Public lighting; Local heat cold production; Transport,23%
Canet d'Adri,Spain,2020,2017-12-11				,2015			,"",650,Municipal buildings equipment facilities; Transport; Local electricity production; Residential buildings; Public lighting; Others,20%
Caniles,Spain,2020,2018-09-27				,2011			,"",4849,Transport; Municipal buildings equipment facilities; Local electricity production; Residential buildings,35%
Canillas de Aceituno,Spain,2020,2018-01-10				,2011			,"",2300,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,21%
Canistro,Italy,2020,2015-12-04				,2015			,L'Aquila,10003,Local electricity production; Municipal buildings equipment facilities; Residential buildings,21%
Canjáyar,Spain,2020,2018-11-07				,2011			,"",1573,Public lighting; Others; Local electricity production; Transport; Residential buildings; Municipal buildings equipment facilities,24%
Cannero Riviera,Italy,2020,2015-12-22				,2015			,"",1084,Transport; Municipal buildings equipment facilities; Public lighting; Residential buildings; Tertiary buildings equipment facilities; Local electricity production,20%
Canonica d'Adda,Italy,2020,2016-01-25				,2012			,"",4455,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,29%
Cansano,Italy,2020,2015-12-04				,2015			,L'Aquila,263,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Local heat cold production,21%
Cantallops,Spain,2020,2018-12-11				,2016			,Girona,333,Municipal buildings equipment facilities; Transport; Residential buildings; Others; Public lighting; Tertiary buildings equipment facilities; Local electricity production,23%
Cantello,Italy,2020,2018-02-17				,2013			,"",4566,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting,30%
Cantiano,Italy,2020,2017-01-24				,2015			,Pesaro e Urbino,2420,Residential buildings; Local electricity production; Municipal buildings equipment facilities; Transport; Tertiary buildings equipment facilities; Public lighting,20%
Cantillana,Spain,2020,2016-08-03				,2012			,"",9411,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others; Local heat cold production,23%
Caorle,Italy,2020;2030;ADAPT,2015-10-16				,2013			,"",12000,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,39%
Capellades,Spain,2020,2015-12-11				,2013			,"",5000,Transport; Municipal buildings equipment facilities; Local electricity production; Residential buildings; Public lighting; Others; Tertiary buildings equipment facilities,20%
Capestrano,Italy,2020,2015-12-04				,2015			,L'Aquila,874,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Others,23%
Capistrello,Italy,2020,2015-12-04				,2015			,L'Aquila,5309,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting,20%
Capitignano,Italy,2020,2015-12-04				,2015			,L'Aquila,678,Transport; Local electricity production; Residential buildings; Public lighting; Local heat cold production,25%
Capmany,Spain,2020,2017-05-26				,2014			,"",633,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,43%
Caporciano,Italy,2020,2015-12-04				,2015			,L'Aquila,230,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production,20%
Capovalle,Italy,2020,2018-12-09				,2012			,"",452,Others; Local electricity production; Transport; Public lighting; Residential buildings; Tertiary buildings equipment facilities; Municipal buildings equipment facilities,20%
Cappadocia,Italy,2020,2015-12-04				,2015			,L'Aquila,550,Transport; Local electricity production; Residential buildings; Public lighting; Local heat cold production,22%
Cappella Cantone,Italy,2020,2015-02-23				,2013			,"",590,Local electricity production; Public lighting; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Transport; Industry; Others; Residential buildings; Local heat cold production,40%
Capriate San Gervasio,Italy,2020,2015-05-20				,2012			,"",7819,Residential buildings; Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Public lighting; Others,20%
Caprino Bergamasco,Italy,2020,2015-10-01				,2012			,"",3122,Transport; Others; Residential buildings; Public lighting; Local heat cold production; Local electricity production; Tertiary buildings equipment facilities; Municipal buildings equipment facilities,21%
Capriolo,Italy,2020,2017-03-27				,2014			,"",9305,Transport; Others; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production,20%
Carano,Italy,2020,2016-12-22				,2014			,"",1106,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Others,28%
Carapelle Calvisio,Italy,2020,2015-12-04				,2015			,L'Aquila,82,Local electricity production; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production,22%
Caravaggio,Italy,2020,2014-10-14				,2012			,"",16112,Tertiary buildings equipment facilities; Transport; Residential buildings; Others; Municipal buildings equipment facilities; Local heat cold production; Local electricity production; Public lighting; Industry,21%
Carbonera,Italy,2020,2017-12-05				,2014			,"",11187,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Local heat cold production; Others,27%
Carboneras,Spain,2020,2018-11-28				,2011			,"",7267,Others; Residential buildings; Transport; Municipal buildings equipment facilities,20%
Cardano al Campo,Italy,2020,2015-11-22				,2013			,"",14677,Others; Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Local heat cold production,20%
Cardedeu,Spain,2020,2015-04-09				,2011			,"",16596,Transport; Public lighting; Others; Local electricity production; Residential buildings; Tertiary buildings equipment facilities; Municipal buildings equipment facilities,31%
Cardiff,United Kingdom,2020,2017-08-02				,2011			,"",336200,Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Others; Industry; Local heat cold production; Local electricity production; Public lighting,26%
Cargeghe						,Italy,2020,2016-02-23				,2013			,Sassari,629,Transport; Others; Municipal buildings equipment facilities; Local electricity production; Residential buildings; Public lighting,20%
Carmagnola,Italy,2020,2016-09-08				,2014			,Torino,28653,Local electricity production; Residential buildings; Public lighting; Others; Local heat cold production; Tertiary buildings equipment facilities; Municipal buildings equipment facilities; Transport,27%
Carmona,Spain,2020,2016-08-03				,2011			,"",27221,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Industry; Others,21%
Carnate,Italy,2020,2015-11-27				,2011			,"",7335,Others; Tertiary buildings equipment facilities; Transport; Residential buildings; Public lighting; Municipal buildings equipment facilities; Local electricity production; Local heat cold production,20%
Carona,Italy,2020,2016-08-05				,2012			,"",383,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Local heat cold production,89%
Caronno Pertusella,Italy,2020;2030;ADAPT,2017-11-22				,2012			,Varese,16263,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,22%
Carpineto Romano,Italy,2020,2014-11-18				,2012			,"",4799,Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,22%
Carrazeda de Ansiães,Portugal,2020,2018-03-13				,2015			,Douro,6297,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,21%
Carrión de los Céspedes,Spain,2020,2016-08-03				,2011			,"",2274,Local electricity production; Municipal buildings equipment facilities; Public lighting; Others; Residential buildings; Transport; Local heat cold production,20%
Carsoli,Italy,2020,2015-11-19				,2015			,L'Aquila,5518,Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting,20%
Cartajima,Spain,2020,2018-01-10				,2011			,"",250,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Others; Public lighting,20%
Cartaya,Spain,2020,2017-07-31				,2011			,"",17905,Transport; Local electricity production; Public lighting; Others,24%
Carugate,Italy,2020,2015-02-19				,2011			,"",12635,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Others,23%
Carvico,Italy,2020,2016-01-14				,2012			,"",4633,Municipal buildings equipment facilities; Public lighting; Transport; Others; Tertiary buildings equipment facilities; Residential buildings; Local electricity production; Local heat cold production,20%
Casabermeja,Spain,2020,2018-01-09				,2011			,"",3200,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Others,21%
Casalbuttano ed Uniti,Italy,2020,2015-02-23				,2013			,"",4112,Others; Industry; Transport; Local heat cold production; Municipal buildings equipment facilities; Local electricity production; Tertiary buildings equipment facilities; Residential buildings; Public lighting,23%
Casale sul Sile,Italy,2020,2017-12-05				,2015			,Treviso,12958,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,27%
Casalgrande,Italy,2020;2030;ADAPT,2017-03-03				,2015			,"",18635,Residential buildings; Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Local heat cold production; Others,21%
Casalmaiocco,Italy,2020,2015-05-19				,2012			,"",3085,Local electricity production; Residential buildings; Transport; Others; Local heat cold production; Municipal buildings equipment facilities; Industry; Tertiary buildings equipment facilities; Public lighting,22%
Casalmorano,Italy,2020,2015-02-23				,2013			,"",1681,Others; Municipal buildings equipment facilities; Local heat cold production; Local electricity production; Transport; Public lighting; Tertiary buildings equipment facilities; Industry; Residential buildings,25%
Casalmoro,Italy,2020,2015-08-20				,2012			,"",2228,Others; Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry,20%
Casares,Spain,2020,2018-01-09				,2011			,"",4051,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Others,20%
Casariche,Spain,2020,2016-08-03				,2012			,"",5602,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Others; Residential buildings,22%
Casazza,Italy,2020,2017-07-06				,2011			,"",3478,Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Others; Local electricity production,22%
Casier,Italy,2020,2017-12-05				,2015			,Treviso,11230,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,26%
Casirate d’Adda,Italy,2020,2015-11-19				,2012			,"",3818,Local electricity production; Others; Tertiary buildings equipment facilities; Transport; Residential buildings; Municipal buildings equipment facilities; Public lighting,21%
Casnigo,Italy,2020,2015-05-07				,2013			,"",3453,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Others,22%
Casorate Sempione ,Italy,2020,2015-07-14				,2013			,"",5774,Local electricity production; Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Local heat cold production; Others,25%
Cassano Valcuvia,Italy,2020,2015-02-23				,2012			,"",663,Others; Tertiary buildings equipment facilities; Local electricity production; Local heat cold production; Municipal buildings equipment facilities; Transport; Public lighting; Residential buildings,20%
Cassano d'Adda,Italy,2020,2015-10-22				,2013			,"",18788,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Others,31%
Casserres,Spain,2020,2018-11-29				,2015			,"",1596,Residential buildings; Others; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Transport; Public lighting,20%
Cassiglio,Italy,2020,2016-08-05				,2012			,"",120,Transport; Municipal buildings equipment facilities; Public lighting; Residential buildings; Local electricity production; Local heat cold production,79%
Cassola,Italy,2020,2017-03-01				,2015			,"",14556,Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Transport; Local electricity production; Others,20%
Cassolnovo,Italy,2020,2016-10-20				,2014			,"",7116,Public lighting; Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Industry; Local heat cold production; Others,30%
Castegnato,Italy,2020,2015-07-13				,2012			,"",7987,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting,25%
Castel Rozzone,Italy,2020,2015-05-22				,2012			,"",2918,Transport; Residential buildings; Municipal buildings equipment facilities; Others; Tertiary buildings equipment facilities; Public lighting; Local electricity production,24%
Castel d'Ario,Italy,2020,2016-10-28				,2014			,Mantova,4787,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Local heat cold production; Others,20%
