,organization,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,most_prevalent_topic,entity_type,coordinator,city,country,constituency
271,"Corn Refiners Association, Inc.",2.7398873498896137e-05,6.730648692609975e-06,6.868960099382093e-06,0.3157600164413452,5.237564619164914e-05,9.907721505442169e-06,0.042611222714185715,0.14671894907951355,0.00870806910097599,0.00028278373065404594,0.0001510961155872792,2.8163252864032984e-05,0.32552751898765564,0.15383468568325043,0.0005622878670692444,0.004655350465327501,6.676195425825426e-06,0.001049952581524849,13,Non-governmental organizations,Mr. Justin Fulton Maroccia,"Washington, D. C.",United States of America,Constituency - Business and Industry2
272,Cornell University,3.9134383769123815e-06,9.613526117391302e-07,9.811079735300154e-07,0.24429427087306976,7.480922704417026e-06,1.4151405594020616e-06,0.01644785888493061,0.035038139671087265,0.6181073784828186,4.057822297909297e-05,0.0014695957070216537,4.022615939902607e-06,8.512887143297121e-05,0.0640886202454567,0.0018547095824033022,0.018533118069171906,9.535749541100813e-07,2.0866287741228007e-05,9,Non-governmental organizations,Ms. Allison Morrill Chatrchyan,Ithaca,United States of America,Constituency - Research and independent
273,Corporación Andina de Fomento,1.5047276065160986e-05,3.696426801980124e-06,3.7723866626038216e-06,0.041733916848897934,2.876435246434994e-05,5.441253961180337e-06,0.00261534727178514,0.0018315252382308245,0.01856948249042034,0.24563243985176086,0.19591496884822845,1.546706880617421e-05,0.2196124643087387,0.009811201132833958,0.10164950042963028,0.007779316511005163,3.6665214793174528e-06,0.15477396547794342,10,Intergovernmental organizations,Mr. Ubaldo Elizondo,Caracas,Venezuela (Bolivarian Republic of),
274,Corporación Fiscalía del Medio Ambiente,7.928912054921966e-06,1.947770670085447e-06,1.9877963950420963e-06,0.09787756949663162,1.5156897461565677e-05,2.867178409360349e-06,4.111525777261704e-05,0.013649488799273968,0.037712328135967255,0.3693222105503082,4.372301555122249e-05,8.150114808813669e-06,0.00017150257190223783,0.3190231919288635,0.046878915280103683,0.11519767343997955,1.9320125375088537e-06,4.2274739826098084e-05,10,Non-governmental organizations,Sra. Gabriela Burdiles Perucci,Santiago,Chile,Constituency - Environmental
275,Corporate Accountability International,1.1530367373779882e-05,2.832483232850791e-06,2.8906895295222057e-06,0.047425705939531326,2.2041433112462983e-05,4.1695025174703915e-06,5.978456465527415e-05,0.05071865767240524,0.00023767148377373815,0.01851150393486023,6.357950042001903e-05,1.1852043826365843e-05,0.0002469438477419317,0.8756940364837646,0.006663734558969736,0.0002587552007753402,2.8095676043449203e-06,6.148269312689081e-05,14,Non-governmental organizations,Ms. Kelle Louaillier,Boston,United States of America,Constituency - Environmental
276,Corporate Europe Observatory Foundation,5.965154286968755e-06,1.4653652442575549e-06,1.4954778180253925e-06,0.005739311687648296,1.1402979907870758e-05,2.1570626813627314e-06,0.004230129532516003,0.04790234938263893,0.004894692450761795,0.0032213821541517973,3.289440428488888e-05,6.131571353762411e-06,0.2733893394470215,0.3791811764240265,0.06299328058958054,0.07393191754817963,1.4535099808199448e-06,0.14445343613624573,14,Non-governmental organizations,Mr. Pascoe Sabido,Brussels,Belgium,Constituency - Research and independent
277,Council of Europe,7.3899104791053105e-06,1.8153625660488615e-06,1.8526674239183194e-06,0.1449654996395111,1.4126541827863548e-05,2.6722696020442527e-06,3.831701178569347e-05,8.502174023305997e-05,0.014588129706680775,7.661478593945503e-05,0.004422667436301708,7.596075192850549e-06,0.6940073370933533,0.005986941047012806,0.00014899615780450404,0.13560383021831512,1.800675704544119e-06,3.940728129236959e-05,13,Intergovernmental organizations,Ms. Marité Moras Rodriguez,Strasbourg,France,
278,Council of Europe Development Bank,2.6562041966826655e-05,6.525077424157644e-06,6.659164682787377e-06,0.0004568889853544533,5.0775961426552385e-05,9.60511442826828e-06,0.00013772388047073036,0.00030620896723121405,0.004729458596557379,0.052014753222465515,0.06398560106754303,2.730307460296899e-05,0.45786944031715393,0.024674318730831146,0.17998695373535156,0.07550396025180817,6.472287168435287e-06,0.14020082354545593,13,Intergovernmental organizations,Ms. Isabelle Marie Madeleine Brun,Paris,France,
279,"Council on Energy, Environment and Water",0.002011992735788226,2.1552498310484225e-06,2.199539039793308e-06,0.007019117008894682,1.6771429727668874e-05,3.1725940061733127e-06,4.5495395170291886e-05,0.31224969029426575,0.03211262449622154,9.169943950837478e-05,4.838348104385659e-05,9.018275704875123e-06,0.07721031457185745,0.157444566488266,0.32808518409729004,0.00020512247283477336,2.137812998626032e-06,0.083440400660038,15,Non-governmental organizations,Mr. Arunabha Ghosh,New Delhi,India,Constituency - Research and independent
280,CropLife International,8.402368621318601e-06,2.0640770799218444e-06,2.106492956954753e-06,0.22452136874198914,1.6061954738688655e-05,3.038385102627217e-06,0.11496011167764664,9.748396405484527e-05,0.0024494926910847425,0.004365515895187855,0.009531392715871334,8.63677905726945e-06,0.22073236107826233,0.16095231473445892,0.01980343461036682,0.20841090381145477,2.047378075076267e-06,0.03413322567939758,4,Non-governmental organizations,Ms. Deb Shih Carstoiu,Brussels,Belgium,Constituency - Business and Industry
281,"Cámara Oficial de Comercio, Industria, Servicios y Navegación de España",0.00048226950457319617,1.0693247531889938e-06,1.0912989409916918e-06,0.0008449556189589202,0.037752993404865265,1.5740789649498765e-06,2.2572490706807002e-05,0.003924180753529072,0.0763317197561264,0.20498591661453247,2.4004721126402728e-05,4.4744074330083095e-06,0.014536513015627861,0.09229803085327148,0.02841520495712757,0.14151105284690857,1.0606736395857297e-06,0.3988613486289978,18,Non-governmental organizations,Mr. Andres Pereda,MADRID,Spain,Constituency - Business and Industry
282,DRIS/Desarrollo Rural Sustentable,1.8063537936541252e-05,4.437384177435888e-06,4.528570116235642e-06,0.04678117483854294,0.006486951839178801,6.531965937028872e-06,0.11264164745807648,0.005058469250798225,0.0003894331166520715,0.5538482666015625,9.962229523807764e-05,1.856747803685721e-05,0.008340642787516117,0.031522106379270554,0.10072259604930878,0.12142115086317062,4.401484147820156e-06,0.012631400488317013,10,Non-governmental organizations,Mr. Renato Ríos,Lima,Peru,Constituency - Environmental
283,Danish 92 Group - Forum for Sustainable Development,1.2745832464133855e-05,3.1310673875850625e-06,3.195409362888313e-06,0.00022145877301227301,2.436491377011407e-05,4.609027655533282e-06,6.609064439544454e-05,0.0001461660722270608,0.00026387599064037204,0.0585082583129406,9.95001319097355e-05,1.3101417607686017e-05,0.30721601843833923,0.16537480056285858,0.33800920844078064,0.12996244430541992,3.1057359137776075e-06,6.796332309022546e-05,15,Non-governmental organizations,Mr. Troels Dam Christensen,Copenhagen,Denmark,Constituency - Environmental CAN
284,Danish Association of Consulting Engineers,1.0529956853133626e-05,2.586728214737377e-06,2.6398843147035223e-06,0.019529661163687706,2.0129049516981468e-05,3.8077434965089196e-06,5.460314787342213e-05,0.14240792393684387,0.08413401246070862,0.01729697734117508,0.003044774057343602,0.0038949805311858654,0.028869885951280594,0.04816168174147606,0.18476207554340363,0.373867005109787,2.565800741649582e-06,0.09393414855003357,16,Non-governmental organizations,Mr. Henrik Garver,Copenhagen,Denmark,Constituency - ENGO
285,Danish Energy Association,8.350169991899747e-06,2.0512543414952233e-06,2.0934066924382932e-06,0.00014804791135247797,0.007476790342479944,3.019509676960297e-06,4.3297826778143644e-05,0.5087160468101501,0.001709464588202536,8.663765765959397e-05,4.604696005117148e-05,8.58312523632776e-06,0.11639627069234848,0.0643182247877121,0.08533875644207001,0.21564970910549164,2.034659019045648e-06,4.452378925634548e-05,8,Non-governmental organizations,Mr. Carsten Edem Chachah,Fredriksberg C,Denmark,Constituency - Business and Industry
286,Danish Society of Engineers,7.841316801204812e-06,1.9262524801888503e-06,1.9658359633467626e-06,0.002650042064487934,0.0196523480117321,2.835502755260677e-06,0.004011158831417561,0.0011277085868641734,0.10750596225261688,8.102963329292834e-05,4.323971734265797e-05,8.060074833338149e-06,0.1882605105638504,0.36248040199279785,0.0296048391610384,0.23532548546791077,1.9106685158476466e-06,0.04923269525170326,14,Non-governmental organizations,Ms. Pernille Hagedorn-Rasmussen,Copenhagen V,Denmark,Constituency - Trade Unions
287,Dartmouth College,5.084990334580652e-06,1.249149249815673e-06,1.2748187145916745e-06,0.7529780864715576,9.72046018432593e-06,1.8387861473456724e-06,0.01804719865322113,0.0036019079852849245,0.16293035447597504,0.0045501054264605045,0.0024665105156600475,0.003121794667094946,0.0002710935368668288,0.012955629266798496,0.008604188449680805,0.027085913345217705,1.2390431720632478e-06,0.003366810502484441,4,Non-governmental organizations,Ms. Hannah Payson,Hanover,United States of America,Constituency - Research and independent
288,David Suzuki Foundation,1.9793513274635188e-05,4.862360128754517e-06,4.9622790356806945e-06,0.3031105697154999,3.783725333050825e-05,7.157543223001994e-06,0.00010263528383802623,0.0507473424077034,0.15138275921344757,0.00020587681501638144,0.00010914568701991811,2.034571662079543e-05,0.00043477487633936107,0.46436476707458496,0.014264222234487534,0.015072562731802464,4.823021754418733e-06,0.0001055405882652849,14,Non-governmental organizations,Mr. Ian Bruce,Vancouver,Canada,Constituency - Environmental CAN
289,David and Lucile Packard Foundation,3.1059011234901845e-05,7.629776519024745e-06,7.786565220158082e-06,0.0843593031167984,5.937235982855782e-05,1.1231265489186626e-05,0.0001610507461009547,0.0020667233038693666,0.20730391144752502,0.03089275024831295,0.013339105993509293,3.192550138919614e-05,0.23411516845226288,0.41111546754837036,0.0006592050776816905,0.0030282388906925917,7.568049113615416e-06,0.01280249934643507,14,Non-governmental organizations,Mr. Walter Reid,Los Altos,United States of America,Constituency - Environmental
290,"Deep South Center for Environmental Justice, Inc.",4.797245310328435e-06,1.1784634352807188e-06,1.2026803233311512e-06,0.023766424506902695,9.17040688364068e-06,1.7347344964946387e-06,0.000354447984136641,0.001240880461409688,0.21255441009998322,0.02045821025967598,2.645583481353242e-05,4.931079729431076e-06,0.00010299216955900192,0.6189402937889099,0.12164806574583054,0.0008580567082390189,1.168929316008871e-06,2.557828338467516e-05,14,Non-governmental organizations,Ms. Celeste Ann Cooper,New Orleans,United States of America,Constituency - Environmental CAN
291,Delta Electronics Foundation,0.006317820865660906,2.0157397102593677e-06,2.057162191704265e-06,0.00015067914500832558,1.5685809557908215e-05,2.9672310120076872e-06,4.2548825149424374e-05,0.14533191919326782,0.060392580926418304,8.468730811728165e-05,0.09339642524719238,8.434520168520976e-06,0.0792166218161583,0.11934953182935715,0.3042837679386139,0.17062518000602722,1.9994317881355528e-06,0.020775072276592255,15,Non-governmental organizations,Mr. Wenkai Hsieh,Taipei,China,Constituency - Environmental
292,Derecho Ambiente y Recursos Naturales,8.311074452649336e-06,2.0416503048181767e-06,2.083605295410962e-06,0.00014615702093578875,1.588743725733366e-05,3.0053720365685876e-06,0.03246244415640831,0.00487971818074584,0.00017458514776080847,0.5284274220466614,4.582946712616831e-05,8.542938303435221e-06,0.00035997002851217985,0.08828270435333252,0.31184515357017517,0.03328976035118103,2.025132744165603e-06,4.4313947000773624e-05,10,Non-governmental organizations,Ms. Aída Mercedes Gamboa Balbín,Pueblo Libre,Peru,Constituency - Environmental CAN
293,DesertNet International,7.672043466300238e-06,1.8846697003027657e-06,1.9233987131883623e-06,0.00013625415158458054,1.4665866729046684e-05,2.7742919428419555e-06,0.23850636184215546,8.8744011009112e-05,0.029146237298846245,0.046615902334451675,0.007084333803504705,7.88607940194197e-06,0.08986828476190567,0.2059115320444107,0.22318489849567413,0.1593778133392334,1.8694221353143803e-06,4.090918446308933e-05,7,Non-governmental organizations,Mr. Pietro Arras,Hamburg,Germany,Constituency - Environmental
294,Designated Operational Entities and Independent Entities Association,2.2677240849588998e-05,5.570759640249889e-06,5.685235919372644e-06,0.00039576509152539074,4.334978075348772e-05,8.200329830287956e-06,0.0001175877041532658,0.22835305333137512,0.00047426510718651116,0.05385657772421837,0.00012504769256338477,2.3309894459089264e-05,0.06042755767703056,0.003208511509001255,0.4732002317905426,0.17960619926452637,5.525690539798234e-06,0.000120922239148058,15,Non-governmental organizations,Mr. Werner Betzenbichler,Geneva,Switzerland,Constituency - Business and Industry
295,Deutsche Gesellschaft für Internationale Zusammenarbeit,5.681669335899642e-06,1.3957260307506658e-06,1.4244075146052637e-06,0.15869544446468353,1.0861071132239886e-05,2.0545514871628257e-06,0.025728171691298485,0.091866135597229,0.005876537412405014,0.05920938402414322,0.07218816131353378,5.84017743676668e-06,0.040517859160900116,0.019371794536709785,0.2887169122695923,0.2192855030298233,1.3844340855939663e-06,0.018515465781092644,15,Non-governmental organizations,Mr. Bernd-Markus Liss,Eschborn,Germany,Constituency - Environmental
296,Development Alternatives,3.2586819997959537e-06,8.005089853213576e-07,8.169590728357434e-07,0.35433995723724365,6.229292011994403e-06,1.1783738500525942e-06,0.020591888576745987,0.03332195058465004,0.053166501224040985,0.045872557908296585,0.008743373677134514,3.3495934985694475e-06,0.05262954533100128,0.1932269036769867,0.15435735881328583,0.031412143260240555,7.940325872368703e-07,0.0523214265704155,4,Non-governmental organizations,Ms. K. Vijaya Lakshmi,New Delhi,India,Constituency - Environmental CAN
297,Dharma Drum Mountain Buddhist Association,1.2089322808606084e-05,2.9697930585825816e-06,3.0308208351925714e-06,0.16623756289482117,2.3109931134968065e-05,4.3716268010030035e-06,6.26839610049501e-05,0.0001380472822347656,0.08488725870847702,0.06460399925708771,6.66609630570747e-05,1.2426593457348645e-05,0.04628615826368332,0.5690711140632629,0.0002571307704783976,0.06826402246952057,2.9457664822984952e-06,6.445567851187661e-05,14,Non-governmental organizations,,Elmhurst,United States of America,Constituency - Environmental
298,Diakonia,8.421748134423979e-06,2.0688380573119503e-06,2.1113517050252995e-06,0.1595918983221054,1.6099002095870674e-05,3.0453929866780527e-06,4.366740176919848e-05,0.012687108479440212,0.0732373297214508,0.0716409832239151,4.643764623324387e-05,8.656699719722383e-06,0.4011693596839905,0.2811163067817688,0.00017380635836161673,0.00020573791698552668,2.0521003989415476e-06,4.490342689678073e-05,13,Non-governmental organizations,Ms. Anna Axelsson,Bromma,Sweden,Constituency - Environmental
299,Dickinson College,3.611247848311905e-06,8.871182330949523e-07,9.0534808805387e-07,0.2832765579223633,6.9032562350912485e-06,1.305865339418233e-06,0.00359917338937521,0.048933498561382294,0.5283775329589844,3.740975080290809e-05,1.991326644201763e-05,3.711995077537722e-06,0.041681040078401566,0.09128864854574203,0.00035333060077391565,0.002395421266555786,8.799411830295867e-07,1.925524338730611e-05,9,Non-governmental organizations,Mr. Cornelius Leary,Carlisle,United States of America,Constituency - Research and independent
300,Domestic and Foreign Missionary Society of the Protestant Episcopal Church in the USA,1.0224892321275547e-05,2.5117876703006914e-06,2.5634037683630595e-06,0.2591167390346527,1.954588879016228e-05,3.697428837767802e-06,5.301671626511961e-05,0.00011705673387041315,0.06264714151620865,0.00010563516843831167,5.638334550894797e-05,1.0510148058529012e-05,0.4900120198726654,0.107185497879982,0.00020302586199250072,0.08039739727973938,2.4914666028053034e-06,5.4520758567377925e-05,13,Non-governmental organizations,Ms. Lynnaia Main,New York City,United States of America,Constituency - Research and independent
301,Dominicans for Justice and Peace,7.598599040647969e-06,1.8666278265300207e-06,1.904986106637807e-06,0.045840952545404434,1.4525470760418102e-05,2.7477335606818087e-06,3.939997259294614e-05,8.656188583699986e-05,0.03198358044028282,0.45560938119888306,4.1904786485247314e-05,7.810585884726606e-06,0.20254191756248474,0.19923660159111023,0.005171089433133602,0.05936981737613678,1.8515262354412698e-06,4.05129358114209e-05,10,Non-governmental organizations,Mr. Michael Deeb,Geneva,Switzerland,
302,Drexel University,3.508583176881075e-06,8.618982292318833e-07,8.79609842741047e-07,0.08358549326658249,6.707002739858581e-06,1.2687406751865637e-06,1.819519093260169e-05,0.005272310692816973,0.7646843791007996,3.638159250840545e-05,1.9348055502632633e-05,3.606466407291009e-06,0.013844916597008705,0.10084355622529984,0.0014242191100493073,0.02282000333070755,8.549251901968091e-07,0.007433468475937843,9,Non-governmental organizations,Mr. Adam Zahn,Philadelphia,United States of America,Constituency - Research and independent
303,Duke University,4.705823357653571e-06,1.15600528260984e-06,1.1797607157859602e-06,0.34312090277671814,8.995644748210907e-06,1.7016753872667323e-06,2.440242315060459e-05,0.001580525771714747,0.508897066116333,0.004217531997710466,2.5952169380616397e-05,4.83710709886509e-06,0.019167862832546234,0.09902071207761765,0.0011083066929131746,0.011294993571937084,1.1466528349046712e-06,0.011518032290041447,9,Non-governmental organizations,Mr. David Bjorkback,Durham,United States of America,Constituency - Research and independent
304,"ETC Group (Action Group on Erosion, Technology and Concentration)",1.0075648788188118e-05,2.4751254841248738e-06,2.525988065826823e-06,0.041477493941783905,1.926059485413134e-05,3.6434607864066493e-06,0.04211092367768288,0.0777803286910057,0.022502170875668526,0.04093568027019501,5.556024188990705e-05,1.0356740858696867e-05,0.12096555531024933,0.6062665581703186,0.001211691414937377,0.04658950865268707,2.4551009119022638e-06,5.372349914978258e-05,14,Non-governmental organizations,Ms. Justine Lisette Rastello,Ottawa,Canada,Constituency - Research and independent
305,Earth Child Institute,7.958447895362042e-06,1.9550261640688404e-06,1.9952010461565806e-06,0.000146295758895576,1.5213357983157039e-05,2.877858833016944e-06,0.07489635795354843,9.139726898865774e-05,0.05277787894010544,0.11974622309207916,4.3889853259315714e-05,8.180474651453551e-06,0.00017336595919914544,0.6862702965736389,0.0655764788389206,0.0001952844759216532,1.939209369083983e-06,4.243196235620417e-05,14,Non-governmental organizations,Ms. Donna Goodman,New York,United States of America,Constituency - Youth
306,Earth Day Network,1.0186441613768693e-05,2.502342340449104e-06,2.5537642613926437e-06,0.18192361295223236,1.94723870663438e-05,3.6835249375144485e-06,5.281852281768806e-05,0.01098690927028656,0.03715455159544945,0.00010574483894743025,0.008973270654678345,0.0009692118037492037,0.002681609010323882,0.7535601258277893,0.00021983815531712025,0.0032771385740488768,2.4820974431349896e-06,5.431736644823104e-05,14,Non-governmental organizations,Ms. Susan Bass,Washington,United States of America,Constituency - Environmental CAN
307,Earth Innovation Institute,6.982159447943559e-06,1.7151968449979904e-06,1.7504434026704985e-06,0.028816571459174156,1.3347085769055411e-05,2.524822548366501e-06,0.08488498628139496,0.05887587368488312,0.01023620180785656,0.06485598534345627,3.850316352327354e-05,7.176949111453723e-06,0.00014988459588494152,0.5634833574295044,0.13356542587280273,0.04972582310438156,1.7013204569593654e-06,0.005332122091203928,14,Non-governmental organizations,Ms. Constance Visser Witman,San Francisco,United States of America,Constituency - Research and independent
308,"Earth Island Institute, Inc.",4.06114804718527e-06,9.976381534215761e-07,1.0181391871810774e-06,0.09237173944711685,7.7632848842768e-06,1.4685540463688085e-06,0.011667943559587002,0.02167677879333496,0.01789662055671215,0.0274267066270113,2.2396552594727837e-05,4.17444698541658e-06,0.006830862257629633,0.8082287311553955,0.011724173091351986,0.0021118924487382174,9.8956695637753e-07,2.1653735529980622e-05,14,Non-governmental organizations,Mr. Terry Kelley-Farias,Berkeley,United States of America,Constituency - Environmental
309,Earthjustice,3.5204595860705012e-06,8.648157177049143e-07,8.825873010209762e-07,0.3298547565937042,6.729705546604237e-06,1.2730353091683355e-06,1.825579056458082e-05,0.11395610123872757,0.013230378739535809,0.0449720174074173,1.9414150301599875e-05,3.6186740999255562e-06,7.988663855940104e-05,0.48371297121047974,0.004000263288617134,0.010119490325450897,8.578190886510129e-07,1.877142312878277e-05,14,Non-governmental organizations,Mr. Martin Wagner,Oakland,United States of America,Constituency - Environmental CAN
310,Earthworks,1.4349448065331671e-05,3.525002512105857e-06,3.5974394450022373e-06,0.19518323242664337,2.7430383852333762e-05,5.1889119276893325e-06,0.08050599694252014,0.11024060845375061,0.06112334132194519,0.00014817692863289267,7.911840657470748e-05,1.4749772162758745e-05,0.06186763942241669,0.4750780165195465,0.00028824032051488757,0.008646829053759575,3.496483941489714e-06,0.006766489706933498,14,Non-governmental organizations,Ms. Jennifer Krill,Washington,United States of America,Constituency - Environmental
311,East African Community,5.632820830214769e-06,1.3837261576554738e-06,1.4121610547590535e-06,0.17337928712368011,1.0767692401714157e-05,2.0368875084386673e-06,2.9208013074821793e-05,0.013635941781103611,0.01608957163989544,0.06075107306241989,0.3250860571861267,5.789966508018551e-06,0.047992315143346786,0.05028945580124855,0.05108022317290306,0.24621987342834473,1.3725314147450263e-06,0.015418578870594501,11,Intergovernmental organizations,Mr. Ladislaus Leonidas Kyaruzi,Arusha,United Republic of Tanzania,
312,Eberswalde University for Sustainable Development,8.307262760354206e-06,2.0407139800227014e-06,2.082649643853074e-06,0.001129631418734789,1.5880150385783054e-05,3.0039936973480508e-06,0.018686262890696526,0.005612242966890335,0.5794786810874939,0.0029848741833120584,0.009337099269032478,8.539020200259984e-06,0.11850833892822266,0.002014582045376301,0.1351494938135147,0.12701261043548584,2.0242039227014175e-06,4.429593536769971e-05,9,Non-governmental organizations,Mr. Martin Welp,Eberswalde,Germany,Constituency - Environmental
313,EcoArts Connections,1.5930494555504993e-05,3.913393356924644e-06,3.993811787950108e-06,0.14113281667232513,3.045271114388015e-05,5.7606353038863745e-06,8.260158210759982e-05,0.0024882671423256397,0.23529444634914398,0.044748734682798386,0.016183579340577126,1.6374928236473352e-05,0.01296851597726345,0.5037403702735901,0.031834542751312256,0.006452660076320171,3.8817324821138754e-06,0.004993124399334192,14,Non-governmental organizations,Ms. Marda Kirn,Boulder,United States of America,Constituency - Research and independent
314,EcoClub,1.579395575390663e-05,3.879851647070609e-06,3.95958113585948e-06,0.19401441514492035,3.0191702535375953e-05,5.711261110263877e-06,0.047838009893894196,0.03386317938566208,0.06763450801372528,0.014184268191456795,8.709221583558246e-05,1.623457865207456e-05,0.00032682024175301194,0.62930828332901,0.00032675822149030864,0.012252875603735447,3.848462711175671e-06,8.421209349762648e-05,14,Non-governmental organizations,Mr. Illia Yeremenko,Rivne,Ukraine,Constituency - Environmental
315,Ecole Nationale Supérieure des Mines de Paris,2.90861567009415e-06,7.145136464714597e-07,7.291965857803007e-07,0.1079583540558815,5.56010536456597e-06,1.0517860573600046e-06,1.5082006939337589e-05,0.028515445068478584,0.36796456575393677,3.0112385502434336e-05,0.00103868474252522,2.9897607873863308e-06,6.304806447587907e-05,0.032799866050481796,6.296824722085148e-05,0.45519861578941345,7.087330118338286e-07,0.006338624283671379,16,Non-governmental organizations,Mme Sandrine Selosse,Paris,France,Constituency - Research and independent
316,Ecole Normale Supérieure,8.060243999352679e-06,1.9800329482677625e-06,2.0207216948620044e-06,0.07151556015014648,1.540795165055897e-05,2.9146692668291507e-06,4.1795679862843826e-05,9.446103649679571e-05,0.4583842158317566,0.005744460970163345,4.445117519935593e-05,8.285110197903123e-06,0.10114142298698425,0.029879329726099968,0.000165078992722556,0.332905650138855,1.9640137907117605e-06,4.297736813896336e-05,9,Non-governmental organizations,Mr. Lucas Paoli,Paris,France,Constituency - Research and independent
317,Ecolo Info,0.09823313355445862,4.293603979022009e-06,4.381835424283054e-06,0.06003931164741516,3.3411382901249453e-05,6.320316970231943e-06,0.03651263937354088,0.18408828973770142,0.00038732841494493186,0.06885046511888504,0.06001298874616623,1.7965854567592032e-05,0.0003663702227640897,0.4052756726741791,0.0003621121868491173,0.07744822651147842,4.258867193129845e-06,0.008352881297469139,14,Non-governmental organizations,Mr. Sami Cheikh Moussa,Vincennes,France,Constituency - Environmental
318,Ecologic Institute,6.151640718599083e-06,1.5111763786990196e-06,1.5422303931700299e-06,0.00011330308188917115,1.1759467270167079e-05,2.224498075520387e-06,0.00596440676599741,0.010742598213255405,0.06993424147367477,0.0046600583009421825,3.392251892364584e-05,6.32326009508688e-06,0.03523651883006096,0.3402597904205322,0.475227952003479,0.0522405169904232,1.498950496170437e-06,0.005555660463869572,15,Non-governmental organizations,Mr. Matthias Duwe,Berlin,Germany,Constituency - Research and independent
319,Ecologica Institute,1.6955100363702513e-05,4.165091468166793e-06,4.2506821955612395e-06,0.0003305177087895572,3.241134254494682e-05,6.1311429817578755e-06,0.09442736208438873,0.013552783988416195,0.05885022133588791,0.041715532541275024,9.349801257485524e-05,1.742811582516879e-05,0.000359234370989725,0.2089090198278427,0.5293599963188171,0.0522259958088398,4.131394689466106e-06,9.040290024131536e-05,15,Non-governmental organizations,Ms. Heloisa Garcia Mota,Sao Paulo,Brazil,Constituency - Business and Industry
320,Ecological Society of America,7.771869604766835e-06,1.909192405946669e-06,1.9484255062707234e-06,0.01096318382769823,0.06986066699028015,2.8103900149289984e-06,0.06832282990217209,0.01377326063811779,0.15279342234134674,8.067693852353841e-05,4.285613977117464e-05,7.988690413185395e-06,0.03959285840392113,0.5038549900054932,0.07331602275371552,0.06443127244710922,1.8937464574264595e-06,0.0029436058830469847,14,Non-governmental organizations,Ms. Catherine O'Riordan,Washington,United States of America,Constituency - Research and independent
321,Ecology Center,5.478579623741098e-06,1.3458361536322627e-06,1.3734925232711248e-06,0.1706356257200241,1.0472845133335795e-05,1.9811122911050916e-06,0.019870145246386528,0.06527484953403473,0.13803045451641083,0.002132527530193329,3.0208471798687242e-05,5.631422027363442e-06,0.004263598006218672,0.5328359007835388,0.04431577026844025,0.022554021328687668,1.3349479104363127e-06,2.9213473681011237e-05,14,Non-governmental organizations,Mr. Neil Tangri,Berkeley,United States of America,Constituency - Environmental CAN
322,Economic Community of Central African States,1.10905903056846e-05,2.7244502689427463e-06,2.7804364890471334e-06,0.0046968888491392136,2.1200756236794405e-05,4.01047464038129e-06,0.008582397364079952,0.011940349824726582,0.003389911726117134,0.07370705902576447,0.3624499440193176,1.1399997674743645e-05,0.05963265523314476,0.046102676540613174,0.10315492004156113,0.32622814178466797,2.7024086648452794e-06,5.913731729378924e-05,11,Intergovernmental organizations,Mr. Dominique Kuitsouc,Libreville,Gabon,
323,Economic Community of West African States,3.840199497062713e-06,9.433611580789147e-07,9.627467534301104e-07,0.1741577833890915,7.34091963749961e-06,1.3886566421206226e-06,0.010788865387439728,0.01542559452354908,0.0005652485997416079,0.0371217206120491,0.23919802904129028,3.947333880205406e-06,0.1491643488407135,0.05478286370635033,0.0033429726026952267,0.30547910928726196,9.357290196021495e-07,0.009954064153134823,16,Intergovernmental organizations,Mr. Johnson Boanuh,Abuja,Nigeria,
324,Economic Justice Network of the Fellowship of Christian Councils of Southern Africa,9.907165804179385e-06,2.4337368813576177e-06,2.4837490855134092e-06,0.0017893743934109807,1.8938522771350108e-05,3.5825355553242844e-06,0.006206865422427654,0.00011439560330472887,0.005407941993325949,0.05889197811484337,0.1145930364727974,1.0183557606069371e-05,0.4342966377735138,0.2602406144142151,0.10704557597637177,0.0008314407314173877,2.4140472305589356e-06,0.010532197542488575,13,Non-governmental organizations,Mr. Mandlenkosi Hadebe,Cape Town,South Africa,Constituency - Research and independent
325,Economic Research Institute for Northeast Asia,1.540028279123362e-05,3.783144165936392e-06,3.860885954054538e-06,0.006847597658634186,2.9439157515298575e-05,5.5689047258056235e-06,7.985270349308848e-05,0.00017905076674651355,0.10798487812280655,0.00016260315896943212,0.1771271973848343,1.5829922631382942e-05,0.004183975514024496,0.08993043005466461,0.20961567759513855,0.13819941878318787,3.7525373954849783e-06,0.2656117379665375,18,Non-governmental organizations,Ms. Enkhbayar Shagdar,Niigata,Japan,Constituency - Research and independent
326,Ecumenical Advocacy Alliance,9.152435268333647e-06,2.248334112664452e-06,2.2945364435145166e-06,0.0031112690921872854,1.7495782230980694e-05,3.3096171137003694e-06,4.746090417029336e-05,0.00010446785017848015,0.009894554503262043,0.08994928002357483,0.004359036218374968,9.407771358382888e-06,0.39307114481925964,0.3383045792579651,0.1607976257801056,0.0002656563592609018,2.2301444460026687e-06,4.8797312047099695e-05,13,Non-governmental organizations,Ms. Christine Campeau,Geneva,Switzerland,Constituency - Environmental
