Official Name,City,Country,Constituency,Phone,Fax,Email,Coordinator
Colegio de Abogados Especialistas en Derecho Ambiental de Colombia (CAEDAC),Bogotá,Colombia,Constituency - Research and independent,(57-310) 861-2035,(57-1) 676-0568,ceidcorp_gr@ceidcolombia.org,Mr. Gilberto Rincon
Collège des Directeurs du Développement Durable (C3D),Paris,France,Constituency - Environmental,33144560956,,contact@cddd.fr,Mme Sylvianne Villaudière
College of Saint Benedict (CSB),St. Joseph,United States of America,Constituency - Research and independent,(1 320) 363 5011,(1 320) 363 6091,copcsb@csbsju.edu,Ms. Corrie Grosse
College of the Atlantic (COA),Bar Harbor,United States of America,Constituency - Research and independent,(1-207) 288-5015,(1-207) 288-3780,dcollins@coa.edu,Ms. Doreen Stabinsky
Cologne Institute for Economic Research (IW Koeln),Cologne,Germany,Constituency - Research and independent,(49-221) 4-9810,,welcome@iwkoeln.de,Mr. Hubertus Bardt
Colorado College,Colorado Springs,United States of America,Constituency - Youth,+1 719 389 6000,+1 719 389 6927,msmith@ColoradoCollege.edu,Mr. Mark Smith
Colorado State University,Fort Collins,United States of America,Constituency - Research and independent,(1-970) 492-4160,,aleta.weller@colostate.edu,Ms. Aleta Rudeen Weller
Columbia University,New York,United States of America,Constituency - Research and independent,(1-845) 680 4418,(1-845) 680 4864,pamela@iri.columbia.edu,Ms. Pamela Ann Henderson
"Comisión Interparlamentaria Centroamericana de Ambiente y Desarollo, Panama (CICAD)",Panama,Panama,Constituency - ENGO,(502-2)60-5426,(507-2)62-8083,,
Comité 21 / Club France Développement Durable,Paris,France,Constituency - ENGO,+33155347528,+33155347520,schonfeld@comite21.org,Mme Sarah Schönfeld
Comité Catholique contre la Faim et pour le Développement 13 Terre solidaire (CCFD-Terre Solidaire),Paris,France,Constituency - Environmental,00 33 (0)1 44 82 80 00,,jm.jorand@ccfd-terresolidaire.org,Mme Jeanne-Maureen Jorand
Comité permanent des industries du verre européennes (CPIV),Brussels,Belgium,Constituency - Business and Industry,(32-2) 538-4446,(32-2) 537-8469,info@cpivglass.be,Mr. Frédéric Van Houte
Comité pour le développement durable en santé (C2DS),AMBOISE,France,Constituency - Environmental,02 47 30 60 34,02 47 30 60 34,contact@c2ds.eu,Ms. Karine Chagnes
Comite pour les relations Nationales et internationales des Associations de Jeunesse et d'Education Populaire (CNAJEP),Paris,France,Constituency - Youth,(33) 140 21 14 21,(33) 1 1 40 21 07 06,cnajep@cnajep.asso.fr,Ms. Irene Pequerul
Committee for a Constructive Tomorrow (CFACT),Washington,United States of America,Constituency - Research and independent,(1-202) 429-2737,,crucker@cfact.org,Mr. Craig Rucker
Commonwealth Club of California,San Francisco,United States of America,Constituency - ENGO,(1-415) 597-6700,(1-415) 597-6729,gdalton@commonwealthclub.org,Mr. Greg Dalton
Community Forestry International (CFI),Antioch,United States of America,Constituency - Research and independent,(1-925) 706-2906,(1-925) 706-2906,mpoffen@aol.com,Mr. Mark Poffenberger
Community of European Railways and Infrastructure Companies (CER),Brussels,Belgium,Constituency - Business and Industry,(32-2) 213-0870,(32-2) 512-5231,contact@cer.be,Mr. Matthew Ledbury
Community Research and Development Center (CREDC),Benin City,Nigeria,Constituency - Environmental,2348063505709,,info@credcent.org,Mr. Godfrey Ogbemudia
Compagnon d'Action pour le Développement Familial (CADF-ONGD),Kinshasa,Democratic Republic of the Congo,Constituency - Women and Gender,+243 816850204,,cadfongd@gmail.com,Mr. Dieudy Makano Kyalondawa
Compassion in World Farming International (CIWF),Godalming,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental CAN,(44-14) 8352-1950,(44-14) 8386-1639,compassion@ciwf.org,Mr. Nicholas Douglas Palmer
Competitive Enterprise Institute (CEI),Washington,United States of America,Constituency - Research and independent,(1-202) 331-2256,(1-202) 331-0640,mebell@cei.org,Mr. Myron Ebell
Concordia University,Montreal,Canada,Constituency - Research and independent,(1)-514-848-2424 x. 4989,(1) -514-848-2888,andrew.lang@concordia.ca,Mr. Andrew Lang
Confederación de Nacionalidades Amazónicas del Perú (CONAP),Lima,Peru,Constituency - ENGO,(511) 261 4579,,conap@conap.org.pe,Mr. Gustavo Enrique Bustamante
Confederación Española de Organizaciones Empresariales (CEOE),Madrid,Spain,Constituency - Business and Industry,(34-91) 566-3400,(34-91) 5639700,cristina.rivero@ceoe.es,Ms. Cristina Rivero Fernández
Confederación Nacional Agraria (CNA),Lima,Peru,Constituency - Indigenous peoples,(511) 428 3805,(511) 428 3805,cna@cna.org.pe,Ms. Erika Chavez
Confederación Sindical de Comisiones Obreras - European Trade Union Confederation (CC.OO - ETUC),Madrid,Spain,Constituency - ENGO,(34-91) 702-8060,(34-91) 310-4804,ilo@ilo.org,Ms. Joaquín Nieto Sainz
Confédération européenne des propriétaires forestiers (CEPF),Brussels,Belgium,Constituency - Business and Industry,(32-2)2392310,(32-2)219-2191,office@cepf-eu.org,Mr. Aljoscha Requardt
Confédération Générale des Entreprises du Maroc (CGEM),Casablanca,Morocco,Constituency - Business and Industry2,212522997000,,cgem@cgem.ma,Mme Houda Bouchtia
Confederation of Danish Industry (DI),Copenhagen V.,Denmark,Constituency - Business and Industry,(45)3377-3377,(45)3377-3300,LABJ@di.dk,Mr. Lars Bach Jensen
Confederation of European Paper Industries (CEPI),Brussels,Belgium,Constituency - Business and Industry,(32-2) 627-4911,(32-2) 646-8137,mail@cepi.org,Mr. Jori Ringman
Confederation of European Waste-to-Energy Plants e.V. (CEWEP e.V),Würzburg,Germany,Constituency - Business and Industry,(32-2) 770-6311,(32-2) 770-6814,ella.stengler@cewep.eu,Ms. Ella Stengler
Confederation of Indian Industry (CII),New Delhi,India,Constituency - Business and Industry,(91-11) 24-6299-9497,(91-11) 2462-6149 / 2463-3168,ciico@cii.in,Ms. Seema Arora
Confédération Paysanne,Bagnolet,France,Constituency - Trade Unions,(33) 1-4362-0404,(33) 1-4362-8003,contact@confederationpaysanne.fr,Mme Suzie Emilie Jean Guichard
Conférence des Régions Périphériques Maritimes dEurope (CRPM),Rennes,France,Constituency - Local government and Municipal authorities,(33)29 935-4050,(33)29 935-0919,secretariat@crpm.org,Mr. Gregg Jones
Congregation of Our Lady of Mount Carmel (Carmelite NGO),New Orleans,United States of America,Constituency - Research and independent,+1 504 458 3029,+1 504 864 7438,jremson@carmelitengo.org,Mr. Eduardo Agosta Scarel
Congrès Mondial Amazigh (CMA),Paris,Algeria,Constituency - Indigenous peoples,0033616841043,0033476258586,congres.mondial.amazigh@wanadoo.fr,Mme Kamira Nait Sid
Conseil de la Jeunesse de la Communauté Française de Belgique (CJCF),Brussels,Belgium,Constituency - Youth,(32-2) 413-2930,,conseil.jeunesse@cfwb.be,Ms. Charline Cauwe
Conseil des Communes et Régions d'Europe (CCRE / CEMR),Brussels,Belgium,Constituency - Local government and Municipal authorities,003225000545,003225110949,eva.banos@eurocities.eu,Ms. Eva Banos de Guisasola
Conseil du Patronat du Québec Inc. (CPQ),Montreal,Canada,Constituency - Business and Industry,5142885161,5142885165,blaplatte@cpq.qc.ca,M. Arnaud Champalbert
"Consejo Civil Mexicano para la Silvicultura Sostinible, A. C. (CCMSS)",Mexico,Mexico,Constituency - Environmental,(52-55) 5661-8574,(52-55) 5662-8157,ccmss@prodigy.net.mx,Mr. José Iván Zúñiga Pérez Tejada
Consejo Empresario Argentino para el Desarrollo Sostenible (CEADS),Buenos Aires,Argentina,Constituency - Business and Industry,(54-11) 4328-9593,(54-11) 4328-4512 Ext. 105,sbigorito@ceads.org.ar,Sr. Sebastián Aníbal Bigorito
Consejo Nacional para la Ética Pública (PROETICA),Lima,Peru,Constituency - Youth,(511) 446 8943,(511) 446 8589,proetica@proetica.org.pe,Sra. Magaly Avila Huanca
Conservation International (CI),Arlington,United States of America,Constituency - Environmental CAN,(1-703) 341-2400,(1-703) 5530654,inquiry@conservation.org,Ms. Carly Siege
Conservation Law Foundation (CLF),Boston,United States of America,Constituency - Environmental CAN,(1-617)350-0990,(1-617)350-4030,skaplan@clf.org,Ms. Alva N. Cedeno
Conservation South Africa (CSA),Cape Town,South Africa,Constituency - Environmental,(27-21) 799-8655,(27-21) 762-6838,smarais@conservation.org,Ms. Sarshen Gwynneth Marais
Consorcio para el Desarrollo Sostenible de la Ecorregión Andina (CONDESAN),Lima,Peru,,(511) 618 9400,,condesan@condesan.org,Ms. María Argüello
Consortium for the Empowerment and Development of Marginalised Communities (CEDMAC),Nairobi,Kenya,Constituency - Indigenous peoples,(254-20) 218-0303,,info@cedmac.org,Mr. Abubakar Kipoma Said
Consortium for Trade and Development (CENTAD),New Delhi,India,Constituency - Research and independent,(91-11) 4145-9226,(91-11) 4145-9227,jayashree.gopalan@centad.org,Ms. Jayashree Gopalan
"Construction, Forestry, Mining and Energy Union (CFMEU)",Sydney,Australia,Constituency - Trade Unions,(61-2) 9267-1035,(61-2) 9267-3198,info@cfmeu.com.au,Mr. Peter Colley
Consultative Group on Biological Diversity (CGBD),San Francisco,United States of America,Constituency - Environmental,(1-415) 561-6575,(1-415) 561-6490,pbrown@cgbd.org,Ms. Paige Brown
Consumer Alert (CA),Washington,United States of America,Constituency - ENGO,(1-202)467-5809,(1-202)467-5814,info@consumeralert.org,Ms. Frances Smith
Consumer Associations Federation (TÜDEF),Ankara,Turkey,Constituency - Environmental,(90-312) 425-7377,(90-312) 419-0667,tudef@tudef.org.tr,Mr. Onder Algedik
Consumer Unity and Trust Society (CUTS),Jaipur,India,Constituency - Environmental,(91-141) 228-2821,(91-141) 228-2485,cuts@cuts.org,Ms. Shruti Mittal
Consumers International (CI),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,(44-20) 7226-6663,(44-20) 7354-0607,consint@consint.org,Ms. Amber Louise Marshall
Convergences,Paris,France,Constituency - Environmental,(33) 14 265 7884,,fanny.roussey@convergences.org,Ms. Emilie Poisson
Cooperation for the Development of Emerging Countries Onlus (COSPE),Firenze,Italy,Constituency - Environmental,+39.055.473556,,marirosa.iannelli@cospe.org,Ms. Marirosa Iannelli
Cooperation Internationale pour le Développement et la Solidarité (CIDSE),Brussels,Belgium,Constituency - Environmental CAN,(32-2) 230-7722,(32-2) 230-7082,postmaster@cidse.org,Ms. Lydia Lehlogonolo Mogano Machaka
Coopération pour le développement et l'amélioration des transports urbains et périurbains (CODATU),Lyon,France,Constituency - Local government and Municipal authorities,+ 33 (0)4 786 223 09,+33 (0)4 786 232 99,contact@codatu.org,Mr. Mael Martinie
Coordinadora Andina de Organizaciones Indígenas (CAOI),Lima,Peru,Constituency - Indigenous peoples,+51 1 2656250,+51 1 2656250,secretariacaoi@gmail.com,Ms. Norma Aguilar Alvarado
Coordinadora de Desarrollo y Defensa de los Pueblos Indígenas de la Región San Martín (CODEPISAM),Lamas,Peru,Constituency - Indigenous peoples,,,ferisham.kanpupiyapi@gmail.com,Sr. Ely Tangoa
Coordinadora de Organizaciones Campesinas e Instituciones Agrarias del Perú (COORU),Lima,Peru,Constituency - Environmental,(511) 471 3237,,cooru@cooru.org.pe,Sr. Ricardo Chuquin
Coordinadora de Organizaciones de Agricutores y Ganaderos (COAG),Madrid,Spain,Constituency - Environmental CJN,(34-91) 534-6391,(34-91) 534-6537,coagmadrid@coag.org,Sr. Andoni Garcìa Arrìola
Coordinadora Rural de la Papa - Perú (CORPAPA PERU),Ayacucho,Peru,Constituency - Business and Industry,(51) 997 207170,,irjayacucho@hotmail.com,Mr. Eduardo Calderón de la Barca Quiroz
Coordinating Body of Indigenous Organizations of the Amazon Basin (COICA),Quito,Ecuador,Constituency - Indigenous peoples,(593-2) 322-6744,,coica@coica.org.ec,Mr. Edwin Vasquez Campos
Coordination SUD (CSUD),Paris,France,Constituency - Environmental,0144729372,0142094861,sud@coordinationsud.org,Ms. Bénédicte Hermelin
"Corn Refiners Association, Inc. (CRA)","Washington, D. C.",United States of America,Constituency - Business and Industry2,+1-202-331-1634,+1-202-331-2054,cra@corn.org,Mr. Justin Fulton Maroccia
Cornell University,Ithaca,United States of America,Constituency - Research and independent,1 607-254-8808,(1-607) 254-8325,amc256@cornell.edu,Ms. Allison Morrill Chatrchyan
"Corporación Centro de Estudios de Derecho, Justicia y Sociedad (DEJUSTICIA)",Bogotá,Colombia,Constituency - Research and independent,(57 1) 232 7858,(57 1) 285 3078,info@dejusticia.org,Ms. Vivian Newman
Corporación Educativa para el Desarrollo Costarricense SC (CEDECO),San José,Costa Rica,Constituency - Farmers,(506) 2236 1695/5198,,tony@cedeco.or.cr,Mr. Tony Nello
Corporación Fiscalía del Medio Ambiente (FIMA),Santiago,Chile,Constituency - Environmental,(56 2) 2222 1670,,fima@fima.cl,Sra. Gabriela Burdiles Perucci
Corporación Grupo Tayrona,Bogotá,Colombia,Constituency - Environmental,(57-1) 613-7359,(57-1) 613-7359,juandiegoval@gmail.com,Sr. Juan Diego Valenzuela
Corporate Accountability International,Boston,United States of America,Constituency - Environmental,617-695-2525,617-695-2626,climate@stopcorporateabuse.org,Ms. Kelle Louaillier
Corporate Europe Observatory Foundation (CEO),Brussels,Belgium,Constituency - Research and independent,(32-2) 893-0930,,ceo@corporateeurope.org,Mr. Pascoe Sabido
Corporation des entreprises en traitement de l'air et du froid (CETAF),Montréal,Canada,Constituency - Business and Industry,(1-514)735-1131,(1-514)735-3509,cetaf@cetaf.qc.ca,Mme Eliane Héry
Council for Green Revolution (CGR),Hyderabad,India,Constituency - Environmental,+ 91 40 9676957000,,greenrevolutionap@gmail.com,Ms. Leela Laxma Reddy
Council for Republican Environmental Advocacy (CREA),Washington,United States of America,Constituency - Environmental,(1-202)625-7110,(1-202)833-4152,info@crea-online.org,
Council for Scientific and Industrial Research (CSIR),Pretoria,South Africa,Constituency - Research and independent,+27 18412672,,jmphepya@csir.co.za,Mr. Jonas Mphepya
Council of European Energy Regulators (CEER),Brussels,Belgium,Constituency - Research and independent,(32-2) 788-7330,(32-2) 788-7350,fay.geitona@ceer.eu,Ms. Fay Geitona
Council of German Forest Owners Association (AGDW),Berlin,Germany,Constituency - Environmental,+4930311667620,+4930311667629,info@waldeigentuemer.de,Mr. Guido Schwichtenberg
Council of State Governments (CSG),Lexington,United States of America,Constituency - Local government and Municipal authorities,(1-859)244-8000,(1-859)244-8001,srichards@csg.org,Mr. Scott Richards
"Council on Energy, Environment and Water (CEEW)",New Delhi,India,Constituency - Research and independent,011-40733300,,ceo.office@ceew.in,Mr. Arunabha Ghosh
Council on Foreign Relations (CFR),New York,United States of America,Constituency - Research and independent,(1-212) 434-9400,(1-212) 434-9893,humanresources@cfr.org,Mr. Varun Srinivasan Sivaram
Counterpart International (CI),Washington,United States of America,Constituency - ENGO,(1-202)296-9676,(1-202)296-9679,raymond@tebtebba.org,Mr. Raymond de Chavez
CropLife International,Brussels,Belgium,Constituency - Business and Industry,(32-2) 542-0410,(32-2) 542-0419,croplife@croplife.org,Ms. Deb Shih Carstoiu
"Cultural Survival, Inc. (CS)",Cambridge,United States of America,Constituency - Indigenous peoples,6174415400,6174415400,agnes@cs.org,Ms. Miriam Anne Frank
Curtin University of Technology,Perth,Australia,Constituency - Research and independent,(618) 9266-9266,(618) 9266-3331,vc@curtin.edu.au,Mr. Peter Newman
CUTS International,Geneva,Switzerland,Constituency - Research and independent,(41) 22 734 60 80,(41) 22 734 39 14,geneva@cuts.org,Ms. Leslie Debornes
Cyberdodo Global,Geneva,Switzerland,Constituency - Youth,+41 78 836 70 11,,contact@cyberdodo.org,Mr. Maxence Jean Martin
Dalhousie University - Marine and Environmental Law Institute,Halifax,Canada,Constituency - Research and independent,(1-902) 494-1030,(1-902) 494-1316,Mdoelle@dal.ca,Mr. Meinhard Doelle
Dalit Welfare Association (DWA),Kathmandu,Nepal,Constituency - ENGO,+977-1-4333004,,akbksalyan@gmail.com,Mr. Anupkamal Bishwakarma
Danish 92 Group - Forum for Sustainable Development,Copenhagen,Denmark,Constituency - Environmental CAN,(45-35) 24-5090,(45-35) 36-8878,tdc@92grp.dk,Mr. Troels Dam Christensen
Danish Association of Consulting Engineers (FRI),Copenhagen,Denmark,Constituency - ENGO,(45) 3525-3737,(45) 3525-3738,fri@frinet.dk,Mr. Henrik Garver
Danish Chamber of Commerce,Copenhagen,Denmark,Constituency - Business and Industry,(45) 3374-6000,(45) 3374-6080,info@danskerhverv.dk,Mr. Jens Klarskov
Danish District Heating Association,Kolding,Denmark,Constituency - Business and Industry,+4576308000,,bl@danskfjernvarme.dk,Mr. Birger Lauersen
Danish Energy Association (DE),Fredriksberg C,Denmark,Constituency - Business and Industry,(45) 3-5300 400,(45) 3-5300 401,info@danskenergi.dk,Mr. Carsten Edem Chachah
Danish Society of Engineers,Copenhagen V,Denmark,Constituency - Trade Unions,(45) 3318-4848,(45) 3318-4899,phr@ida.dk,Ms. Pernille Hagedorn-Rasmussen
Danish Wind Industry Association (DWIA),Frederiksberg C,Denmark,Constituency - Business and Industry,(45) 3373-0330,(45) 3373-0333,danish@windpower.org,Mr. Jakob Lau Holst
Danish Youth Association of Science (UNF),Copenhagen,Denmark,Constituency - Environmental,(45) 3131-6353,,rje@unf.dk,Mr. Rune Jensen
Dartmouth College,Hanover,United States of America,Constituency - Research and independent,(1-603) 646-1110,(1-603) 646-1308,Hannah.K.Payson@tuck.dartmouth.edu,Ms. Hannah Payson
David and Lucile Packard Foundation,Los Altos,United States of America,Constituency - Environmental,(1-650) 948-7658,(1-650) 948-2957,wreid@packard.org,Mr. Walter Reid
David Suzuki Foundation (DSF),Vancouver,Canada,Constituency - Environmental CAN,(1-604) 732-4228,(1-604) 732-0752,contact@davidsuzuki.org,Mr. Ian Bruce
De Montfort University (DMU),Leicester,United Kingdom of Great Britain and Northern Ireland,Constituency - ENGO,(44-116)255-1551,,subhesb@dmu.ac.uk,Mr. Subhes Bhattacharyya
Débarrasser l' Environnement des Plastiques (DEP-PVC),Bamako,Mali,Constituency - Environmental,+22379131025,,primadist@gmail.com,Mr. Aliou Diaby
"Deep South Center for Environmental Justice, Inc. (DSCEJ, INC.)",New Orleans,United States of America,Constituency - Environmental CAN,+1 504 816 4005,+1 504 816 4032,bhwright@aol.com,Ms. Celeste Ann Cooper
Defenders of Wildlife (Defenders),Washington,United States of America,Constituency - Environmental,(1-202) 682-9400,(1-202) 682-1331,climate@defenders.org,Mr. Noah Matson
Delta Electronics Foundation (DEF),Taipei,China,Constituency - Environmental,+886 2 87972088,+886 2 87972434,lowestc@gmail.com,Mr. Wenkai Hsieh
Demand Response and Smart Grid Coalition (DRSG),Washington,United States of America,Constituency - Business and Industry,(1-202) 441-1420,(1-202) 467-6379,dan.delurey@drsgcoalition.org,Mr. Dan Delurey
DePaul University,Chicago,United States of America,Constituency - Research and independent,(1-312) 362-8000,(1-773) 325-4960,hbartlin@depaul.edu,Mr. Hugh Bartling
Derecho Ambiente y Recursos Naturales (DAR),Pueblo Libre,Peru,Constituency - Environmental CAN,+51 994691943,,dar@dar.org.pe,Ms. Aída Mercedes Gamboa Balbín
DesertNet International (DNI),Hamburg,Germany,Constituency - Environmental,,,nrd@uniss.it,Mr. Pietro Arras
Designated Operational Entities and Independent Entities Association (DIA),Geneva,Switzerland,Constituency - Business and Industry,+49 8161 234 6502,+49 8161 234 6503,werner.betzenbichler@bece-experts.com,Mr. Werner Betzenbichler
Deutsche Forschungsgemeinschaft (DFG),Bonn,Germany,Constituency - ENGO,(49-228)8850,(49-228)885-2777,johannes.karte@dfg.de,Ms. Christiane Joerk
Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),Eschborn,Germany,Constituency - Environmental,(49) 619 6790,(49) 61 9679 1115,info@giz.de,Mr. Bernd-Markus Liss
Deutsche Gesellschaft für seltene Kulturpflanzen (DGSK),Niedereschach,Germany,Constituency - Environmental,(49-7728)7530,,dgsk@lycos.de,Mr. Thomas Schauer
Deutsche Gesellschaft für Vereinten Nationen e.V. (DGVN),Berlin,Germany,Constituency - Environmental,(49-30) 259 3750,(49-30) 259 37529,info@dgvn.de,Mr. Oliver Hasenkamp
Deutsches Institut für Normung e.V (DIN),Berlin,Germany,Constituency - Business and Industry,(49-30)2601-0,(49-30)2601-1231,postmaster@din.de,Mr. Markus Weber
Development Alternatives (DA),New Delhi,India,Constituency - Environmental CAN,(91-11) 2613-4103 / 2689-0380,(91-11) 2613-0817,kvijayalakshmi@devalt.org,Ms. K. Vijaya Lakshmi
Development Fund Norway,Oslo,Norway,Constituency - Environmental CAN,(47) 2310-9600,(47) 2310-9601,post@utviklingsfondet.no,Sra. Rosalba Ortiz
Development Reality Institute (DRI),Harare,Zimbabwe,Constituency - Youth,+26 34 2433455,,info@driafrica.org,Ms. Adjoa Sika Edzodzinam Ahawo
Dharma Drum Mountain Buddhist Association (DDMBA) Chang Ji,Elmhurst,United States of America,Constituency - Environmental,(1-914) 584-8756,(1-718) 592-0717,cjis@ddmba.org,
Diakonia,Bromma,Sweden,Constituency - Environmental,(46-8) 453-6900,(46-8) 453-6929,diakonia@diakonia.se,Ms. Anna Axelsson
Dickinson College,Carlisle,United States of America,Constituency - Research and independent,(1-717) 245-1322,(1-717) 245-1941,learyn@dickinson.edu,Mr. Cornelius Leary
Domestic and Foreign Missionary Society of the Protestant Episcopal Church in the USA,New York City,United States of America,Constituency - Research and independent,(1-212) 716-6000,,unrep@episcopalchurch.org,Ms. Lynnaia Main
Dominicans for Justice and Peace,Geneva,Switzerland,,022 779 4010,,mike.deed@un.op.org,Mr. Michael Deeb
Doshisha University,Kyoto,Japan,Constituency - Youth,(81-774) 65 7772,(81-774) 65 7776,jt-hozen@mail.doshisha.ac.jp,Mr. Yukio Nishiyama
Dossiers et Débats pour le Développement Durable (4D),Paris,France,Constituency - Environmental CAN,0033 (0)1 44 93 00 70,,international@association4d.org,Mme Vaia Tuuhia
Drexel University,Philadelphia,United States of America,Constituency - Research and independent,215-895-1204,215-895-2142,heidiwest@drexel.edu,Mr. Adam Zahn
DRIS/Desarrollo Rural Sustentable (DRIS),Lima,Peru,Constituency - Environmental,0051-1-3402304,0051-1-3402304,renato.rios@drisperu.org,Mr. Renato Ríos
Duke University,Durham,United States of America,Constituency - Research and independent,+1 (919) 684-2424,+1 (919) 684-3050,president@duke.edu,Mr. David Bjorkback
E+Co,Bloomfield,United States of America,Constituency - Business and Industry,(1-973) 680-9100,(1-973) 680-8066,chris.eibs-singer@eandco.net,Ms. Diana Elizabeth Van Der Jagt
Earth Child Institute (ECI),New York,United States of America,Constituency - Youth,(1-203) 376-9177,(1-203) 248-8489,info@earthchildinstitute.org,Ms. Donna Goodman
Earth Council (EC),Geneva,Switzerland,Constituency - Environmental,(49-69) 9686-4080,(49-69) 9686-4081,daniel@stauffacherconsulting.ch,Mr. Daniel Stauffacher
Earth Day Network (EDN),Washington,United States of America,Constituency - Environmental CAN,(1-202) 518-0044,(1-202) 518-8794,Rogers@earthday.org,Ms. Susan Bass
Earth Innovation Institute (EII),San Francisco,United States of America,Constituency - Research and independent,+1 415 449 9900,+1 415 626 1775,info@earthinnovation.org,Ms. Constance Visser Witman
"Earth Island Institute, Inc. (EII)",Berkeley,United States of America,Constituency - Environmental,(1-510) 859-9100,(1-510) 859-9091,terry@earthisland.org,Mr. Terry Kelley-Farias
Earth Savers Movement (ESM),Manila,Philippines,Constituency - Environmental,(63-2) 524 6662,,cecilealvarez@icloud.com,Ms. Resurreccion Palma Marinas
Earth Science and Technology Organization (ESTO),Tokyo,Japan,Constituency - ENGO,(81-3)5418-7175,(81-3)5418-7170,horishin@hq.esto.or.jp,
Earth University,San Jose,Costa Rica,Constituency - Environmental,(506)713-0000,(506)713-0001,r-russo@earth.ac.cr,Sr. Ricardo Russo Andrade
EarthAction,Amherst,United States of America,Constituency - Environmental,(1-413)5498-118,(1-413)5490-544,info@earthaction.org,Ms. Lois Barber
Earthjustice,Oakland,United States of America,Constituency - Environmental CAN,(1-510) 550-6700,(1-510) 550-6740,mwagner@earthjustice.org,Mr. Martin Wagner
Earthlife Africa Johannesburg (ELA JHB),Johannesburg,South Africa,Constituency - Environmental,(27-11) 339-3662,,makoma@earthlife.org.za,Ms. Phillipine Makoma Lekakalakala
Earthwatch Institute,Oxford,United Kingdom of Great Britain and Northern Ireland,Constituency - Research and independent,(44-1865) 31-8838,(44-1865) 31-1383,info@earthwatch.org,Mr. Daniel Bebber
Earthworks,Washington,United States of America,Constituency - Environmental,2028871872,2028871875,jkrill@earthworkaction.org,Ms. Jennifer Krill
East Asia & Pacific Parliamentarians' Conference on Environment and Development (EAPPCED),Manila,Philippines,Constituency - ENGO,(63-2)527-7771,(63-2)527-1409/477-248,,
Eberhard Karls Universitat Tubingen (EKU),Tübingen,Germany,Constituency - Research and independent,(49-7071) 290,(49-7071) 29-5990,info@uni-tuebingen.de,Mr. Frank Michael Grunwaldt
Eberswalde University for Sustainable Development (HNE Eberswalde),Eberswalde,Germany,Constituency - Environmental,033 34/ 657-0,,info@hnee.de,Mr. Martin Welp
Eco Valley Foundation for Applied Sustainability (Eco Valley),Somogyvámos,Hungary,Constituency - Environmental,(36-85) 54-0002,(36-85) 54-0003,info@okovolgy.hu,Mr. Zoltan Hosszu
Eco-Accord,Moscow,Russian Federation,Constituency - Environmental,(7-495)514-3748,,accord@leadnet.ru,Ms. Olga Speranskaya
EcoArts Connections (EAC),Boulder,United States of America,Constituency - Research and independent,(1-303) 449-2128,(1-303) 440-7104,info.ecoarts@gmail.com,Ms. Marda Kirn
EcoCarbon Incorporated,Fremantle,Australia,Constituency - Business and Industry,(61-402) 82-4832,(61-8) 9433-1255,david.hodgkinson@ecocarbon.org.au,Mr. David Hodgkinson
EcoClub,Rivne,Ukraine,Constituency - Environmental,,,office@ecoclubrivne.org,Mr. Illia Yeremenko
Ecole Nationale Supérieure des Mines de Paris (Mines ParisTech),Paris,France,Constituency - Research and independent,(33) 140519000,,sandrine.selosse@paristech.fr,Mme Sandrine Selosse
Ecole Normale Supérieure (ENS),Paris,France,Constituency - Research and independent,,,bureau@refedd.org,Mr. Lucas Paoli
Ecolo Info (P2B),Vincennes,France,Constituency - Environmental,(33) 681429511,,annesophie@placetob.org,Mr. Sami Cheikh Moussa
EcoLogic Development Fund,Cambridge,United States of America,Constituency - Environmental,(617) 441-6300,(617) 441-6307,bvallarino@ecologic.org,Ms. Barbara Marie Vallarino
Ecologic Foundation (ECOLOGIC),Nelson,New Zealand,Constituency - Environmental,(64-3)548-3336,(64-3)548-7525,info@ecologic.org.nz,Mr. Guy Salmon
Ecologic Institute,Berlin,Germany,Constituency - Research and independent,(49-30) 86-8800,(49-30) 8688-0100,berlin@ecologic.eu,Mr. Matthias Duwe
Ecologica Institute (EI),Sao Paulo,Brazil,Constituency - Business and Industry,(55-11) 26490036,(55-11) 26490042,info@socialcarbon.org,Ms. Heloisa Garcia Mota
Ecological Society of America (ESA),Washington,United States of America,Constituency - Research and independent,202-833-8773,202-833-8775,esahq@esa.org,Ms. Catherine O'Riordan
Ecological Youth of Angola (JEA),Luanda,Angola,Constituency - Environmental,(244-912) 529713,,jea.ambiente@gmail.com,Mr. António Armando Manuel
Ecology Center,Berkeley,United States of America,Constituency - Environmental CAN,(1-510) 548-3333,(1-510) 548-2240,neil@no-burn.org,Mr. Neil Tangri
ECONEXUS,London,United Kingdom of Great Britain and Northern Ireland,Constituency - Research and independent,(44-20)7431-4357,,h.paul@econexus.info,Ms. Helena Rachel Paul
Economic Development Foundation (IKV),Istanbul,Turkey,Constituency - Research and independent,(90-212) 270-9300,(90-212) 270-3022,ikivilcim@ikv.org.tr,Ms. Ilge Kıvılcım
Economic Justice Network of the Fellowship of Christian Councils of Southern Africa (EJN),Cape Town,South Africa,Constituency - Research and independent,(27-21) 424-9563,(27-21) 424-9564,admin@ejn.org.za,Mr. Mandlenkosi Hadebe
