,name,entity_type,TotalMembers,MaleMembers,FemaleMembers,constituency,coordinator,city,country,const
184,Church’s Auxiliary for Social Action,Non-governmental organizations,5,5,0,Constituency - Environmental,Mr. Jayant Kumar,New Delhi,India,ENGO
185,Citizens Alliance for Saving the Atmosphere and the Earth,Non-governmental organizations,6,3,3,Constituency - Environmental CAN,Ms. Michiyo Tsuchida,Osaka,Japan,ENGO
186,Citizens’ Climate Education Corp.,Non-governmental organizations,17,9,8,Constituency - ENGO,Mr. Joseph Robertson,Coronado,United States of America,ENGO
187,Civic Exchange,Non-governmental organizations,2,2,0,Constituency - Environmental,Mr. John So,Hong Kong,China,ENGO
188,Civicus World Alliance for Citizen Participation,Non-governmental organizations,3,0,3,Constituency - Research and independent,Mr. Mandeep Tiwana,Johannesburg,South Africa,RINGO
189,Clark University,Non-governmental organizations,7,3,4,Constituency - Research and independent,Mr. Robert Johnston,Worcester,United States of America,RINGO
190,"Clean Air Initiative for Asian Cities Center, Inc.",Non-governmental organizations,3,2,1,Constituency - Environmental,Ms. Maria Glynda Bathan-Baterina,Pasig City,Philippines,ENGO
191,Clean Energy and Safe Environment Initiative,Non-governmental organizations,2,1,1,Constituency - Environmental,Mr. Ishaku Huzi Mshelia,Abuja,Nigeria,ENGO
192,Clean Energy Nepal,Non-governmental organizations,1,1,0,Constituency - Environmental CAN,Mr. Manjeet Dhakal,Kathmandu,Nepal,ENGO
193,ClientEarth,Non-governmental organizations,3,2,1,Constituency - Environmental CAN,Ms. Eleanor Gold,London,United Kingdom of Great Britain and Northern Ireland,ENGO
194,Climate Action Network - Europe,Non-governmental organizations,56,24,32,Constituency - Environmental CAN,Mr. Tom Boyle,Brussels,Belgium,ENGO
195,Climate Action Network - Latin America,Non-governmental organizations,58,28,30,Constituency - Environmental CAN,Mr. Enrique Gabriel Maurtua Konstantinidis,La Plata,Argentina,ENGO
196,Climate Action Network Australia,Non-governmental organizations,4,2,2,Constituency - Environmental CAN,Mr. Oliver Paget Toohey,Ultimo,Australia,ENGO
197,Climate Action Network Canada,Non-governmental organizations,19,8,11,Constituency - Environmental CAN,Mr. Christian Holz,Ottawa,Canada,ENGO
198,Climate Action Network International,Non-governmental organizations,119,52,67,Constituency - Environmental CAN,Mme Tashneem Essop,Beirut,Lebanon,ENGO
199,Climate Action Network South-East Asia,Non-governmental organizations,5,4,1,Constituency - Environmental CAN,Mr. Nithiyananthan Nesadurai,Kuala Lumpur,Malaysia,ENGO
200,Climate Action Reserve,Non-governmental organizations,5,3,2,Constituency - Environmental,Mr. Craig Douglas Ebert,Los Angeles,United States of America,ENGO
201,Climate Advisers Trust,Non-governmental organizations,3,2,1,Constituency - Environmental,Ms. Claire Langley,Washington,United States of America,ENGO
202,Climate Aid Initiative,Non-governmental organizations,6,4,2,Constituency - Environmental,Mr. Oluwatosin Kolawole,Ikeja,Nigeria,ENGO
203,Climate Alliance (Klima-Bündnis),Non-governmental organizations,4,3,1,Constituency - Local government and Municipal authorities,Ms. Silke Lunnebach,Frankfurt am Main,Germany,LGMA
204,Climate Alliance Austria,Non-governmental organizations,4,2,2,Constituency - Local government and Municipal authorities,Mr. Markus Hafner-Auinger,Vienna,Austria,LGMA
205,Climate Alliance Italy,Non-governmental organizations,3,2,1,Constituency - Local government and Municipal authorities,Mr. Karl-Ludwig Schibel,Città di Castello,Italy,LGMA
206,Climate Analytics GmbH,Non-governmental organizations,7,2,5,Constituency - Research and independent,Ms. Mavis Durowaa Mainu,Berlin,Germany,RINGO
207,Climate and Health Alliance Inc.,Non-governmental organizations,4,0,4,Constituency - Research and independent,Ms. Fiona Armstrong,Melbourne,Australia,RINGO
208,Climate and Sustainable Development Network of Nigeria,Non-governmental organizations,7,7,0,Constituency - Environmental,Mr. Atayi Ezekiel Opaluwah,Ibadan,Nigeria,ENGO
209,Climate Chance Association,Non-governmental organizations,5,2,3,Constituency - Local government and Municipal authorities,M. Ronan Dantec,Paris,France,LGMA
210,Climate Change Center,Non-governmental organizations,9,5,4,Constituency - ENGO,Ms. Hyeji Shin,Seoul,Republic of Korea,ENGO
211,Climate Consortium Denmark,Non-governmental organizations,2,1,1,Constituency - Business and Industry,Mr. Iver Hoj Nielsen,Copenhagen,Denmark,BINGO
212,Climate Equity Reference Project Canada,Non-governmental organizations,5,2,3,Constituency - Environmental,Mr. Christian Holz,Ottawa,Canada,ENGO
213,Climate Generation: A Will Steger Legacy,Non-governmental organizations,4,1,3,Constituency - Environmental CAN,Ms. Nicole Barbara Rom,Minneapolis,United States of America,ENGO
214,Climate Justice Program,Non-governmental organizations,6,1,5,Constituency - Environmental CAN,Mr. Stephen Leonard,Stanwell Tops,Australia,ENGO
215,"Climate Leadership Council, Inc.",Non-governmental organizations,1,1,0,Constituency - Business and Industry,Mr. Wynn Tucker,Washington,United States of America,BINGO
216,Climate Markets and Investment Association Limited,Non-governmental organizations,2,1,1,Constituency - Business and Industry,Ms. Margaret-Ann Splawn,London,United Kingdom of Great Britain and Northern Ireland,BINGO
217,Climate Outreach Information Network,Non-governmental organizations,1,1,0,Constituency - Environmental,Mr. James William Charles Clarke,Oxford,United Kingdom of Great Britain and Northern Ireland,ENGO
218,Climate Parliament,Non-governmental organizations,7,4,3,Constituency - Environmental,Mr. James Corre,Copenhagen,Denmark,ENGO
219,Climate Policy Center,Non-governmental organizations,8,4,4,Constituency - Environmental,Ms. Pamela Jean Pearson,Washington DC,United States of America,ENGO
220,"Climate Policy Initiative, Inc",Non-governmental organizations,6,2,4,Constituency - Research and independent,Ms. Kaye Michelle Bettney,San Francisco,United States of America,RINGO
221,Climate Strategies,Non-governmental organizations,3,1,2,Constituency - Environmental,Mr. Scott Williamson,Washington,United States of America,ENGO
222,Climate Tracker Incorporated,Non-governmental organizations,3,2,1,Constituency - Youth,Mr. Christopher Wright,Sydney,Australia,Youth
223,ClimateNet,Non-governmental organizations,5,5,0,Constituency - Research and independent,Mr. Björn Dransfeld,Hamburg,Germany,RINGO
224,Climatepolicy.net e.V.,Non-governmental organizations,12,9,3,Constituency - Research and independent,M. Niklas Eberhard Hohne,Cologne,Germany,RINGO
225,CliMates,Non-governmental organizations,7,2,5,Constituency - Youth,Ms. Sarah Bittner,Paris,France,Youth
226,ClimateWorks Foundation,Non-governmental organizations,7,3,4,Constituency - ENGO,Mr. Charles McElwee,San Francisco,United States of America,ENGO
227,CO2GeoNet - The European Network of Excellence on Geological Storage of CO2,Non-governmental organizations,6,2,4,Constituency - Research and independent,Mr. Sergio Persoglia,Orleans,France,RINGO
228,Coalition for Green Capital,Non-governmental organizations,4,2,2,Constituency - Environmental,Mr. Robert Youngs,Washington,United States of America,ENGO
229,Coastal Association for Social Transformation Trust,Non-governmental organizations,5,5,0,Constituency - Environmental CAN,Mr. Syed Aminul Hoque,Dhaka,Bangladesh,ENGO
230,Coastal Development Partnership,Non-governmental organizations,2,2,0,Constituency - Environmental CAN,Mr. Md. Atiqurrahman Tipu,Dhaka,Bangladesh,ENGO
231,College of Saint Benedict,Non-governmental organizations,12,0,12,Constituency - Research and independent,Ms. Corrie Grosse,St. Joseph,United States of America,RINGO
232,College of the Atlantic,Non-governmental organizations,6,4,2,Constituency - Research and independent,Ms. Doreen Stabinsky,Bar Harbor,United States of America,RINGO
233,Colorado College,Non-governmental organizations,8,4,4,Constituency - Youth,Mr. Mark Smith,Colorado Springs,United States of America,Youth
234,Colorado State University,Non-governmental organizations,6,1,5,Constituency - Research and independent,Ms. Aleta Rudeen Weller,Fort Collins,United States of America,RINGO
235,Columbia University,Non-governmental organizations,7,5,2,Constituency - Research and independent,Ms. Pamela Ann Henderson,New York,United States of America,RINGO
236,Comité 21 / Club France Développement Durable,Non-governmental organizations,2,1,1,Constituency - ENGO,Mme Sarah Schönfeld,Paris,France,ENGO
237,Comité Catholique contre la Faim et pour le Développement - Terre solidaire,Non-governmental organizations,2,1,1,,Mr. Guy Aurenche,Paris,France,not yet affiliated/no data
238,Committee for a Constructive Tomorrow,Non-governmental organizations,4,4,0,Constituency - Research and independent,Mr. Craig Rucker,Washington,United States of America,RINGO
239,Compassion in World Farming,Non-governmental organizations,1,1,0,Constituency - Environmental CAN,Mr. Nicholas Douglas Palmer,Godalming,United Kingdom of Great Britain and Northern Ireland,ENGO
240,Competitive Enterprise Institute,Non-governmental organizations,5,3,2,Constituency - Research and independent,Mr. Myron Ebell,Washington,United States of America,RINGO
241,Confederación Española de Organizaciones Empresariales,Non-governmental organizations,22,13,9,Constituency - Business and Industry,Ms. Cristina Rivero Fernández,Madrid,Spain,BINGO
242,Confederation of Danish Industry,Non-governmental organizations,3,3,0,Constituency - Business and Industry,Mr. Lars Bach Jensen,Copenhagen V.,Denmark,BINGO
243,Confederation of Indian Industry,Non-governmental organizations,2,1,1,Constituency - Business and Industry,Ms. Seema Arora,New Delhi,India,BINGO
244,Confédération Paysanne,Non-governmental organizations,1,1,0,Constituency - Trade Unions,Mme Suzie Emilie Jean Guichard,Bagnolet,France,TUNGO
245,Conférence des Régions Périphériques Maritimes d’Europe,Non-governmental organizations,3,3,0,,Mr. Cees Loggen,Rennes,France,not yet affiliated/no data
246,Conseil de la Jeunesse de la Communauté Française de Belgique,Non-governmental organizations,0,0,0,Constituency - Youth,Ms. Charline Cauwe,Brussels,Belgium,Youth
247,Conseil des Communes et Régions d’Europe,Non-governmental organizations,4,2,2,Constituency - Local government and Municipal authorities,Ms. Eva Banos de Guisasola,Brussels,Belgium,LGMA
248,Consejo Empresario Argentino para el Desarrollo Sostenible,Non-governmental organizations,2,1,1,Constituency - Business and Industry,Sr. Sebastián Aníbal Bigorito,Buenos Aires,Argentina,BINGO
249,Consejo Nacional para la Ética Pública,Non-governmental organizations,1,0,1,Constituency - Youth,Sra. Magaly Avila Huanca,Lima,Peru,Youth
250,Conservation International,Non-governmental organizations,13,6,7,Constituency - Environmental CAN,Ms. Carly Siege,Arlington,United States of America,ENGO
251,Cooperation Internationale pour le Développement et la Solidarité,Non-governmental organizations,9,4,5,Constituency - Environmental CAN,Ms. Lydia Lehlogonolo Mogano Machaka,Brussels,Belgium,ENGO
252,Coopération pour le développement et l’amélioration des transports urbains et périurbains,Non-governmental organizations,3,3,0,Constituency - Local government and Municipal authorities,Mr. Mael Martinie,Lyon,France,LGMA
253,Coordinadora de Desarrollo y Defensa de los Pueblos Indígenas de la Región San Martín,Non-governmental organizations,4,2,2,Constituency - Indigenous peoples,Sr. Ely Tangoa,Lamas,Peru,IPO
254,Coordinadora de Organizaciones de Agricutores y Ganaderos,Non-governmental organizations,4,3,1,Constituency - Environmental CJN,Sr. Andoni Garcìa Arrìola,Madrid,Spain,ENGO
255,Coordinadora Rural de la Papa - Perú,Non-governmental organizations,3,1,2,Constituency - Business and Industry,Mr. Eduardo Calderón de la Barca Quiroz,Ayacucho,Peru,BINGO
256,Coordinating Body of Indigenous Organizations of the Amazon Basin,Non-governmental organizations,7,5,2,Constituency - Indigenous peoples,Mr. Edwin Vasquez Campos,Quito,Ecuador,IPO
257,"Corn Refiners Association, Inc.",Non-governmental organizations,4,2,2,Constituency - Business and Industry2,Mr. Justin Fulton Maroccia,"Washington, D. C.",United States of America,BINGO
258,Cornell University,Non-governmental organizations,10,5,5,Constituency - Research and independent,Ms. Allison Morrill Chatrchyan,Ithaca,United States of America,RINGO
259,Corporación Fiscalía del Medio Ambiente,Non-governmental organizations,2,1,1,Constituency - Environmental,Sra. Gabriela Burdiles Perucci,Santiago,Chile,ENGO
260,Corporate Accountability International,Non-governmental organizations,6,2,4,Constituency - Environmental,Ms. Kelle Louaillier,Boston,United States of America,ENGO
261,Corporate Europe Observatory Foundation,Non-governmental organizations,11,4,7,Constituency - Research and independent,Mr. Pascoe Sabido,Brussels,Belgium,RINGO
262,"Council on Energy, Environment and Water",Non-governmental organizations,2,1,1,Constituency - Research and independent,Mr. Arunabha Ghosh,New Delhi,India,RINGO
263,CropLife International,Non-governmental organizations,3,2,1,Constituency - Business and Industry,Ms. Deb Shih Carstoiu,Brussels,Belgium,BINGO
264,CUTS International,Non-governmental organizations,1,1,0,Constituency - Research and independent,Ms. Leslie Debornes,Geneva,Switzerland,RINGO
265,Danish 92 Group - Forum for Sustainable Development,Non-governmental organizations,3,2,1,Constituency - Environmental CAN,Mr. Troels Dam Christensen,Copenhagen,Denmark,ENGO
266,Danish Association of Consulting Engineers,Non-governmental organizations,1,1,0,Constituency - ENGO,Mr. Henrik Garver,Copenhagen,Denmark,ENGO
267,Danish Energy Association,Non-governmental organizations,1,1,0,Constituency - Business and Industry,Mr. Carsten Edem Chachah,Fredriksberg C,Denmark,BINGO
268,Danish Society of Engineers,Non-governmental organizations,4,2,2,Constituency - Trade Unions,Ms. Pernille Hagedorn-Rasmussen,Copenhagen V,Denmark,TUNGO
269,Dartmouth College,Non-governmental organizations,12,5,7,Constituency - Research and independent,Ms. Hannah Payson,Hanover,United States of America,RINGO
270,David and Lucile Packard Foundation,Non-governmental organizations,2,1,1,Constituency - Environmental,Mr. Walter Reid,Los Altos,United States of America,ENGO
271,David Suzuki Foundation,Non-governmental organizations,3,2,1,Constituency - Environmental CAN,Mr. Ian Bruce,Vancouver,Canada,ENGO
272,"Deep South Center for Environmental Justice, Inc.",Non-governmental organizations,7,3,4,Constituency - Environmental CAN,Ms. Celeste Ann Cooper,New Orleans,United States of America,ENGO
273,Delta Electronics Foundation,Non-governmental organizations,10,1,9,Constituency - Environmental,Mr. Wenkai Hsieh,Taipei,China,ENGO
274,Derecho Ambiente y Recursos Naturales,Non-governmental organizations,4,3,1,Constituency - Environmental CAN,Ms. Aída Mercedes Gamboa Balbín,Pueblo Libre,Peru,ENGO
275,DesertNet International,Non-governmental organizations,1,0,1,Constituency - Environmental,Mr. Pietro Arras,Hamburg,Germany,ENGO
276,Designated Operational Entities and Independent Entities Association,Non-governmental organizations,11,10,1,Constituency - Business and Industry,Mr. Werner Betzenbichler,Geneva,Switzerland,BINGO
277,Deutsche Gesellschaft für Internationale Zusammenarbeit,Non-governmental organizations,33,16,17,Constituency - Environmental,Mr. Bernd-Markus Liss,Eschborn,Germany,ENGO
278,Development Alternatives,Non-governmental organizations,5,2,3,Constituency - Environmental CAN,Ms. K. Vijaya Lakshmi,New Delhi,India,ENGO
279,Dharma Drum Mountain Buddhist Association,Non-governmental organizations,3,1,2,Constituency - Environmental,,Elmhurst,United States of America,ENGO
280,Diakonia,Non-governmental organizations,2,2,0,Constituency - Environmental,Ms. Anna Axelsson,Bromma,Sweden,ENGO
281,Dickinson College,Non-governmental organizations,4,1,3,Constituency - Research and independent,Mr. Cornelius Leary,Carlisle,United States of America,RINGO
282,Domestic and Foreign Missionary Society of the Protestant Episcopal Church in the USA,Non-governmental organizations,4,1,3,Constituency - Research and independent,Ms. Lynnaia Main,New York City,United States of America,RINGO
283,Dominicans for Justice and Peace,Non-governmental organizations,7,2,5,,Mr. Michael Deeb,Geneva,Switzerland,not yet affiliated/no data
284,Drexel University,Non-governmental organizations,8,3,5,Constituency - Research and independent,Mr. Adam Zahn,Philadelphia,United States of America,RINGO
285,DRIS/Desarrollo Rural Sustentable,Non-governmental organizations,2,1,1,Constituency - Environmental,Mr. Renato Ríos,Lima,Peru,ENGO
286,Duke University,Non-governmental organizations,12,6,6,Constituency - Research and independent,Mr. David Bjorkback,Durham,United States of America,RINGO
287,Earth Child Institute,Non-governmental organizations,3,2,1,Constituency - Youth,Ms. Donna Goodman,New York,United States of America,Youth
288,Earth Day Network,Non-governmental organizations,3,1,2,Constituency - Environmental CAN,Ms. Susan Bass,Washington,United States of America,ENGO
289,Earth Innovation Institute,Non-governmental organizations,12,8,4,Constituency - Research and independent,Ms. Constance Visser Witman,San Francisco,United States of America,RINGO
290,"Earth Island Institute, Inc.",Non-governmental organizations,1,0,1,Constituency - Environmental,Mr. Terry Kelley-Farias,Berkeley,United States of America,ENGO
291,Earthjustice,Non-governmental organizations,1,1,0,Constituency - Environmental CAN,Mr. Martin Wagner,Oakland,United States of America,ENGO
292,Earthworks,Non-governmental organizations,2,1,1,Constituency - Environmental,Ms. Jennifer Krill,Washington,United States of America,ENGO
293,Eberswalde University for Sustainable Development,Non-governmental organizations,6,1,5,Constituency - Environmental,Mr. Martin Welp,Eberswalde,Germany,ENGO
294,EcoArts Connections,Non-governmental organizations,10,4,6,Constituency - Research and independent,Ms. Marda Kirn,Boulder,United States of America,RINGO
295,EcoClub,Non-governmental organizations,19,8,11,Constituency - Environmental,Mr. Illia Yeremenko,Rivne,Ukraine,ENGO
296,Ecole Nationale Supérieure des Mines de Paris,Non-governmental organizations,1,0,1,Constituency - Research and independent,Mme Sandrine Selosse,Paris,France,RINGO
297,Ecole Normale Supérieure,Non-governmental organizations,3,2,1,Constituency - Research and independent,Mr. Lucas Paoli,Paris,France,RINGO
298,Ecolo Info,Non-governmental organizations,4,1,3,Constituency - Environmental,Mr. Sami Cheikh Moussa,Vincennes,France,ENGO
299,Ecologic Institute,Non-governmental organizations,7,5,2,Constituency - Research and independent,Mr. Matthias Duwe,Berlin,Germany,RINGO
300,Ecologica Institute,Non-governmental organizations,3,2,1,Constituency - Business and Industry,Ms. Heloisa Garcia Mota,Sao Paulo,Brazil,BINGO
301,Ecological Society of America,Non-governmental organizations,5,1,4,Constituency - Research and independent,Ms. Catherine O'Riordan,Washington,United States of America,RINGO
302,Ecology Center,Non-governmental organizations,6,3,3,Constituency - Environmental CAN,Mr. Neil Tangri,Berkeley,United States of America,ENGO
303,Economic Justice Network of the Fellowship of Christian Councils of Southern Africa,Non-governmental organizations,4,3,1,Constituency - Research and independent,Mr. Mandlenkosi Hadebe,Cape Town,South Africa,RINGO
304,Economic Research Institute for Northeast Asia,Non-governmental organizations,2,0,2,Constituency - Research and independent,Ms. Enkhbayar Shagdar,Niigata,Japan,RINGO
305,Ecumenical Advocacy Alliance,Non-governmental organizations,5,2,3,Constituency - Environmental,Ms. Christine Campeau,Geneva,Switzerland,ENGO
306,Edison Electric Institute,Non-governmental organizations,3,2,1,Constituency - Business and Industry,Mr. Eric Holdsworth,Washington,United States of America,BINGO
307,Electric Power Research Institute,Non-governmental organizations,1,1,0,Constituency - Research and independent,Mr. Tom Wilson,Palo Alto,United States of America,RINGO
308,Emory University,Non-governmental organizations,10,4,6,Constituency - Research and independent,Ms. Stefanie Ebelt Sarnat,Atlanta,United States of America,RINGO
309,Energies 2050,Non-governmental organizations,5,4,1,Constituency - Environmental,Mr. Stéphane Jacques Henri Pouffary,Biot,France,ENGO
310,Energy and Climate Intelligence Unit Limited,Non-governmental organizations,5,2,3,Constituency - Environmental,Mr. George Smeeton,London,United Kingdom of Great Britain and Northern Ireland,ENGO
311,Energy and Climate Policy Institute for Just Transition,Non-governmental organizations,4,1,3,Constituency - Environmental CJN,Mr. Jin-Woo Lee,Seoul,Republic of Korea,ENGO
312,Energy Research Centre of the Netherlands,Non-governmental organizations,3,3,0,Constituency - Research and independent,Mr. Paul van Tilburg,Petten,Netherlands,RINGO
313,Energypedia UG,Non-governmental organizations,1,0,1,Constituency - Research and independent,Ms. Johanna Hartmann,Eschborn,Germany,RINGO
314,Environment-People-Law,Non-governmental organizations,2,1,1,Constituency - Environmental CAN,Ms. Olena Kravchenko,Lviv,Ukraine,ENGO
315,Environmental and Energy Study Institute,Non-governmental organizations,5,0,5,Constituency - Environmental CAN,Ms. Anna Elizabeth McGinn,Washington DC,United States of America,ENGO
316,Environmental Defence Canada Inc.,Non-governmental organizations,4,0,4,Constituency - Environmental,Mr. Dale Marshall,Toronto,Canada,ENGO
317,Environmental Defense Fund,Non-governmental organizations,16,6,10,Constituency - Environmental CAN,Mr. Alex George Hanafi,Washington,United States of America,ENGO
318,Environmental Law Institute,Non-governmental organizations,5,1,4,Constituency - Research and independent,Mr. Meinhard Doelle,Halifax,Canada,RINGO
319,Environmental Law Research Institute LTD/GTE,Non-governmental organizations,2,1,1,Constituency - Environmental,,Ikoyi,Nigeria,ENGO
320,Environmental Management for Livelihood Improvement Bwaise Facility,Non-governmental organizations,5,2,3,Constituency - Environmental CAN,Mr. Robert Bakiika,Kampala,Uganda,ENGO
321,Environmental Quality Protection Foundation,Non-governmental organizations,3,2,1,Constituency - Environmental,Mr. Ying-Shih Hsieh,Taipei,China,ENGO
322,Environnement et Developpement du Tiers-Monde,Non-governmental organizations,3,2,1,Constituency - Environmental CAN,Mr. Libasse Ba,Dakar,Senegal,ENGO
323,Environnement Jeunesse,Non-governmental organizations,9,4,5,Constituency - Environmental CAN,Mme Catherine Gauthier,Montréal,Canada,ENGO
324,Equiterre,Non-governmental organizations,3,1,2,Constituency - Environmental CAN,Ms. Alice Feuillet,Montréal,Canada,ENGO
325,"ETC Group (Action Group on Erosion, Technology and Concentration)",Non-governmental organizations,2,1,1,Constituency - Research and independent,Ms. Justine Lisette Rastello,Ottawa,Canada,RINGO
326,Euro Chambres,Non-governmental organizations,2,2,0,Constituency - Business and Industry,Mr. Clemens Andreas Rosenmayr,Brussels,Belgium,BINGO
327,Euro-Mediterranean Center on Climate Change,Non-governmental organizations,3,1,2,Constituency - Research and independent,Ms. Lorella Reda,Lecce,Italy,RINGO
328,European Association of Environmental and Resource Economists,Non-governmental organizations,4,2,2,Constituency - Environmental,Ms. Monica Eberle,Marghera-Venice,Italy,ENGO
329,European Business Council for Sustainable Energy,Non-governmental organizations,17,14,3,Constituency - Business and Industry,Mr. Kolja Kuse,Muenchen,Germany,BINGO
330,European Chemical Industry Council,Non-governmental organizations,4,2,2,Constituency - Business and Industry,Mr. Peter Botschek,Brussels,Belgium,BINGO
331,European Climate Foundation,Non-governmental organizations,6,3,3,Constituency - Environmental,Mr. Jorge Aguado Sánchez,The Hague,Netherlands,ENGO
332,European Federation for Transport and Environment,Non-governmental organizations,1,1,0,,Mr. Jeppe Juul,Brussels,Belgium,not yet affiliated/no data
333,European Network for Community-Led Initiatives on Climate Change and Sustainability,Non-governmental organizations,8,3,5,Constituency - Environmental,Mr. Robert Hall,Brussels,Belgium,ENGO
334,European Nuclear Society,Non-governmental organizations,9,5,4,Constituency - Business and Industry,Ms. Emilia Janisz,Brussels,Belgium,BINGO
335,European Partnership for Energy and the Environment,Non-governmental organizations,1,0,1,Constituency - Business and Industry,Ms. Jo Dardenne,Brussels,Belgium,BINGO
336,European Petroleum Refiners Association,Non-governmental organizations,1,1,0,Constituency - Business and Industry2,Mr. Nicolai Romanowski,Brussels,Belgium,BINGO
337,European Round Table of Industrialists,Non-governmental organizations,1,1,0,Constituency - Business and Industry,Mr. Bert D'Hooghe,Brussels,Belgium,BINGO
338,European Union Chamber of Commerce in China,Non-governmental organizations,1,0,1,Constituency - Business and Industry,Ms. Cecilia Rovelli,Beijing,China,BINGO
339,European Youth Forum,Non-governmental organizations,5,3,2,Constituency - Youth,Ms. Stephanie Anne Beecroft,Brussels,Belgium,Youth
340,Evagelical Environmental Network,Non-governmental organizations,2,1,1,,Mr. Jeremy Summers,New Freedom,United States of America,not yet affiliated/no data
341,Evangelical Lutheran Church in America,Non-governmental organizations,12,5,7,Constituency - Research and independent,Ms. Ruth Ivory-Moore,Chicago,United States of America,RINGO
342,Fachhochschule Muenster,Non-governmental organizations,2,1,1,Constituency - ENGO,Mr. Günter Witzsch,Muenster/Westfalen,Germany,ENGO
343,Fairtrade Labelling Organizations International e.V.,Non-governmental organizations,2,1,1,Constituency - Research and independent,Ms. Lannette Kambole Chiti,Bonn,Germany,RINGO
344,Fauna & Flora International,Non-governmental organizations,3,1,2,Constituency - Environmental,Ms. Charlotte Alexandra Fisher,Cambridge,United Kingdom of Great Britain and Northern Ireland,ENGO
345,Feasta Ltd,Non-governmental organizations,1,1,0,Constituency - Research and independent,Mr. Michael Sandler,Cloughjordan Co. Tipperary,Ireland,RINGO
346,Federación de Pueblos Indígenas Kechwas de la Región de San Martín,Non-governmental organizations,1,1,0,Constituency - Indigenous peoples,Mr. Janio Sangama Apagüeño,Lamas,Peru,IPO
347,Federación Nativa del Río Madre de Dios y Afluentes,Non-governmental organizations,6,4,2,Constituency - Indigenous peoples,Mr. Julio Cusurichi Palacios,Puerto Maldonado,Peru,IPO
348,Federación Regional Indígena Shawi de San Martín,Non-governmental organizations,4,1,3,Constituency - Indigenous peoples,Ms. Reydelinda Pizango Yumbato,Tarapoto,Peru,IPO
349,Fédération Internationale des Ingénieurs-Conseils,Non-governmental organizations,3,2,1,Constituency - Business and Industry,Mr. Jean Felix,Geneva,Switzerland,BINGO
350,"Federation of American Women’s Clubs Overseas, Inc.",Non-governmental organizations,1,0,1,Constituency - Women and Gender,Ms. Laurie Glenn Richardson,New York,United States of America,Women and Gender
351,Federation of Electric Power Companies,Non-governmental organizations,5,3,2,Constituency - Business and Industry,Mr. Shohei Hasebe,Tokyo,Japan,BINGO
352,Federation of German Industries,Non-governmental organizations,8,5,3,Constituency - Business and Industry,Mr. Joachim Dieter Erwin Hein,Berlin,Germany,BINGO
353,Federation of Indian Chambers of Commerce and Industry,Non-governmental organizations,4,1,3,Constituency - Business and Industry,Ms. Rita Roy Choudhury,New Delhi,India,BINGO
354,Federation of Young European Greens,Non-governmental organizations,7,1,6,Constituency - Environmental,Mr. Markus Drake,Brussels,Belgium,ENGO
355,FERN,Non-governmental organizations,3,1,2,Constituency - Environmental CJN,Ms. Hannah Mowat,Moreton-in-Marsh,United Kingdom of Great Britain and Northern Ireland,ENGO
356,Fia Foundation for the Automobile and Society,Non-governmental organizations,2,0,2,Constituency - Research and independent,Ms. Sheila Watson,London,United Kingdom of Great Britain and Northern Ireland,RINGO
357,Fondation BNP Paribas,Non-governmental organizations,7,2,5,Constituency - ENGO,M. Sylvain Taboni,Paris,France,ENGO
358,Fondation Mohammed VI pour la Protection de l’Environnement,Non-governmental organizations,2,1,1,Constituency - Research and independent,Mme Nouzha Alaoui,Rabat,Morocco,RINGO
359,Fondazione Centro Studi Enel,Non-governmental organizations,3,3,0,Constituency - Research and independent,Mr. Mariano Morazzo,Rome,Italy,RINGO
360,Fondo de Promoción de la Areas Naturales Protegidas del Perú,Non-governmental organizations,1,0,1,,Mr. Anton Willems,Lima,Peru,not yet affiliated/no data
361,Food & Water Watch,Non-governmental organizations,1,1,0,Constituency - Environmental,Mr. David Sánchez Carpio,"Washington, D. C.",United States of America,ENGO
362,Ford Foundation,Non-governmental organizations,3,2,1,Constituency - Indigenous peoples,Ms. Penny Davies,New York,United States of America,IPO
363,Forest Stewardship Council,Non-governmental organizations,4,3,1,Constituency - ENGO,Ms. Pina Gervassi,Bonn,Germany,ENGO
364,Forest Trends Association,Non-governmental organizations,5,5,0,Constituency - Environmental,Ms. Julia Sue Granfors,Washington DC,United States of America,ENGO
365,Forestry and Forest Products Research Institute,Non-governmental organizations,2,2,0,Constituency - Research and independent,Mr. Yasumasa Hirata,Tsukuba,Japan,RINGO
366,Forests of the World,Non-governmental organizations,4,3,1,Constituency - Environmental,Ms. Gry Helene Bossen,Aarhus,Denmark,ENGO
367,Forests Philanthropy Action Network,Non-governmental organizations,1,1,0,Constituency - Environmental,Mr. Edward Rumsey,Horbling,United Kingdom of Great Britain and Northern Ireland,ENGO
368,Foro Ciudades para la Vida,Non-governmental organizations,1,0,1,Constituency - Environmental,Ms. Liliana Miranda Sara,Lima,Peru,ENGO
369,Foro Soria 21 para el Desarrollo Sostenible,Non-governmental organizations,1,1,0,Constituency - Environmental,Mr. Amalio Joaquín Marichalar,Madrid,Spain,ENGO
370,Forum Atomique Européen,Non-governmental organizations,7,5,2,Constituency - ENGO,Ms. Daphné Charleton,Brussels,Belgium,ENGO
371,Forum for Environment,Non-governmental organizations,1,1,0,Constituency - Environmental,Mr. Najib Saab,Beirut,Lebanon,ENGO
