,name,entity_type,constituency,coordinator,city,country,remarks,const
200,Columbia University,Non-governmental organizations,Constituency - Research and independent,Ms. Pamela Ann Henderson,New York,United States of America,,RINGO
201,Comité 21 / Club France Développement Durable,Non-governmental organizations,Constituency - ENGO,Mme Sarah Schönfeld,Paris,France,,ENGO
202,Committee for a Constructive Tomorrow,Non-governmental organizations,Constituency - Research and independent,Mr. Craig Rucker,Washington,United States of America,,RINGO
203,Competitive Enterprise Institute,Non-governmental organizations,Constituency - Research and independent,Mr. Myron Ebell,Washington,United States of America,,RINGO
204,Concordia University,Non-governmental organizations,Constituency - Research and independent,Mr. Andrew Lang,Montreal,Canada,,RINGO
205,Confederación Española de Organizaciones Empresariales,Non-governmental organizations,Constituency - Business and Industry,Ms. Cristina Rivero Fernández,Madrid,Spain,,BINGO
206,Confédération Générale des Entreprises du Maroc,Non-governmental organizations,Constituency - Business and Industry2,Mme Houda Bouchtia,Casablanca,Morocco,,BINGO
207,Confederation of Danish Industry,Non-governmental organizations,Constituency - Business and Industry,Mr. Lars Bach Jensen,Copenhagen V.,Denmark,,BINGO
208,Confederation of European Paper Industries,Non-governmental organizations,Constituency - Business and Industry,Mr. Jori Ringman,Brussels,Belgium,,BINGO
209,Confederation of Indian Industry,Non-governmental organizations,Constituency - Business and Industry,Ms. Seema Arora,New Delhi,India,,BINGO
210,Confédération Paysanne,Non-governmental organizations,Constituency - Trade Unions,Mme Suzie Emilie Jean Guichard,Bagnolet,France,,TUNGO
211,Congregation of Our Lady of Mount Carmel,Non-governmental organizations,Constituency - Research and independent,Mr. Eduardo Agosta Scarel,New Orleans,United States of America,,RINGO
212,Congrès Mondial Amazigh,Non-governmental organizations,Constituency - Indigenous peoples,Mme Kamira Nait Sid,Paris,Algeria,,IPO
213,Conseil de la Jeunesse de la Communauté Française de Belgique,Non-governmental organizations,Constituency - Youth,Ms. Charline Cauwe,Brussels,Belgium,,Youth
214,Conseil des Communes et Régions d'Europe,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Eva Banos de Guisasola,Brussels,Belgium,,LGMA
215,"Consejo Civil Mexicano para la Silvicultura Sostinible, A. C.",Non-governmental organizations,Constituency - Environmental,Mr. José Iván Zúñiga Pérez Tejada,Mexico,Mexico,,ENGO
216,Conservation International,Non-governmental organizations,Constituency - Environmental CAN,Ms. Carly Siege,Arlington,United States of America,,ENGO
217,Cooperation for the Development of Emerging Countries Onlus,Non-governmental organizations,Constituency - Environmental,Ms. Marirosa Iannelli,Firenze,Italy,,ENGO
218,Cooperation Internationale pour le Développement et la Solidarité,Non-governmental organizations,Constituency - Environmental CAN,Ms. Lydia Lehlogonolo Mogano Machaka,Brussels,Belgium,,ENGO
219,Coopération pour le développement et l'amélioration des transports urbains et périurbains,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Mael Martinie,Lyon,France,,LGMA
220,Coordinadora Andina de Organizaciones Indígenas,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Norma Aguilar Alvarado,Lima,Peru,,IPO
221,Coordinadora de Desarrollo y Defensa de los Pueblos Indígenas de la Región San Martín,Non-governmental organizations,Constituency - Indigenous peoples,Sr. Ely Tangoa,Lamas,Peru,,IPO
222,Coordinating Body of Indigenous Organizations of the Amazon Basin,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Edwin Vasquez Campos,Quito,Ecuador,,IPO
223,"Corn Refiners Association, Inc.",Non-governmental organizations,Constituency - Business and Industry2,Mr. Justin Fulton Maroccia,"Washington, D. C.",United States of America,,BINGO
224,Cornell University,Non-governmental organizations,Constituency - Research and independent,Ms. Allison Morrill Chatrchyan,Ithaca,United States of America,,RINGO
225,Corporación Fiscalía del Medio Ambiente,Non-governmental organizations,Constituency - Environmental,Sra. Gabriela Burdiles Perucci,Santiago,Chile,,ENGO
226,Corporate Accountability International,Non-governmental organizations,Constituency - Environmental,Ms. Kelle Louaillier,Boston,United States of America,,ENGO
227,Corporate Europe Observatory Foundation,Non-governmental organizations,Constituency - Research and independent,Mr. Pascoe Sabido,Brussels,Belgium,,RINGO
228,"Council on Energy, Environment and Water",Non-governmental organizations,Constituency - Research and independent,Mr. Arunabha Ghosh,New Delhi,India,,RINGO
229,"Cultural Survival, Inc.",Non-governmental organizations,Constituency - Indigenous peoples,Ms. Miriam Anne Frank,Cambridge,United States of America,,IPO
230,CUTS International,Non-governmental organizations,Constituency - Research and independent,Ms. Leslie Debornes,Geneva,Switzerland,,RINGO
231,Dalhousie University - Marine and Environmental Law Institute,Non-governmental organizations,Constituency - Research and independent,Mr. Meinhard Doelle,Halifax,Canada,,RINGO
232,Danish 92 Group - Forum for Sustainable Development,Non-governmental organizations,Constituency - Environmental CAN,Mr. Troels Dam Christensen,Copenhagen,Denmark,,ENGO
233,Danish District Heating Association,Non-governmental organizations,Constituency - Business and Industry,Mr. Birger Lauersen,Kolding,Denmark,,BINGO
234,Danish Energy Association,Non-governmental organizations,Constituency - Business and Industry,Mr. Carsten Edem Chachah,Fredriksberg C,Denmark,,BINGO
235,Danish Society of Engineers,Non-governmental organizations,Constituency - Trade Unions,Ms. Pernille Hagedorn-Rasmussen,Copenhagen V,Denmark,,TUNGO
236,Dartmouth College,Non-governmental organizations,Constituency - Research and independent,Ms. Hannah Payson,Hanover,United States of America,,RINGO
237,David and Lucile Packard Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Walter Reid,Los Altos,United States of America,,ENGO
238,De Montfort University,Non-governmental organizations,Constituency - ENGO,Mr. Subhes Bhattacharyya,Leicester,United Kingdom of Great Britain and Northern Ireland,,ENGO
239,Delta Electronics Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Wenkai Hsieh,Taipei,China,,ENGO
240,Demand Response and Smart Grid Coalition,Non-governmental organizations,Constituency - Business and Industry,Mr. Dan Delurey,Washington,United States of America,,BINGO
241,Derecho Ambiente y Recursos Naturales,Non-governmental organizations,Constituency - Environmental CAN,Ms. Aída Mercedes Gamboa Balbín,Pueblo Libre,Peru,,ENGO
242,DesertNet International,Non-governmental organizations,Constituency - Environmental,Mr. Pietro Arras,Hamburg,Germany,,ENGO
243,Designated Operational Entities and Independent Entities Association,Non-governmental organizations,Constituency - Business and Industry,Mr. Werner Betzenbichler,Geneva,Switzerland,,BINGO
244,Deutsche Gesellschaft für Internationale Zusammenarbeit,Non-governmental organizations,Constituency - Environmental,Mr. Bernd-Markus Liss,Eschborn,Germany,,ENGO
245,Deutsche Gesellschaft für Vereinten Nationen e.V.,Non-governmental organizations,Constituency - Environmental,Mr. Oliver Hasenkamp,Berlin,Germany,,ENGO
246,Development Alternatives,Non-governmental organizations,Constituency - Environmental CAN,Ms. K. Vijaya Lakshmi,New Delhi,India,,ENGO
247,Dharma Drum Mountain Buddhist Association,Non-governmental organizations,Constituency - Environmental,,Elmhurst,United States of America,,ENGO
248,Diakonia,Non-governmental organizations,Constituency - Environmental,Ms. Anna Axelsson,Bromma,Sweden,,ENGO
249,Dickinson College,Non-governmental organizations,Constituency - Research and independent,Mr. Cornelius Leary,Carlisle,United States of America,,RINGO
250,Domestic and Foreign Missionary Society of the Protestant Episcopal Church in the USA,Non-governmental organizations,Constituency - Research and independent,Ms. Lynnaia Main,New York City,United States of America,,RINGO
251,Drexel University,Non-governmental organizations,Constituency - Research and independent,Mr. Adam Zahn,Philadelphia,United States of America,,RINGO
252,Duke University,Non-governmental organizations,Constituency - Research and independent,Mr. David Bjorkback,Durham,United States of America,,RINGO
253,Earth Child Institute,Non-governmental organizations,Constituency - Youth,Ms. Donna Goodman,New York,United States of America,,Youth
254,Earth Council,Non-governmental organizations,Constituency - Environmental,Mr. Daniel Stauffacher,Geneva,Switzerland,,ENGO
255,Earth Day Network,Non-governmental organizations,Constituency - Environmental CAN,Ms. Susan Bass,Washington,United States of America,,ENGO
256,Earth Innovation Institute,Non-governmental organizations,Constituency - Research and independent,Ms. Constance Visser Witman,San Francisco,United States of America,,RINGO
257,"Earth Island Institute, Inc.",Non-governmental organizations,Constituency - Environmental,Mr. Terry Kelley-Farias,Berkeley,United States of America,,ENGO
258,Earth Savers Movement,Non-governmental organizations,Constituency - Environmental,Ms. Resurreccion Palma Marinas,Manila,Philippines,,ENGO
259,Earthjustice,Non-governmental organizations,Constituency - Environmental CAN,Mr. Martin Wagner,Oakland,United States of America,,ENGO
260,Eberhard Karls Universitat Tubingen,Non-governmental organizations,Constituency - Research and independent,Mr. Frank Michael Grunwaldt,Tübingen,Germany,,RINGO
261,EcoArts Connections,Non-governmental organizations,Constituency - Research and independent,Ms. Marda Kirn,Boulder,United States of America,,RINGO
262,Ecole Nationale Supérieure des Mines de Paris,Non-governmental organizations,Constituency - Research and independent,Mme Sandrine Selosse,Paris,France,,RINGO
263,Ecolo Info,Non-governmental organizations,Constituency - Environmental,Mr. Sami Cheikh Moussa,Vincennes,France,,ENGO
264,Ecologic Institute,Non-governmental organizations,Constituency - Research and independent,Mr. Matthias Duwe,Berlin,Germany,,RINGO
265,Economic Research Institute for Northeast Asia,Non-governmental organizations,Constituency - Research and independent,Ms. Enkhbayar Shagdar,Niigata,Japan,,RINGO
266,Ecumenical Advocacy Alliance,Non-governmental organizations,Constituency - Environmental,Ms. Christine Campeau,Geneva,Switzerland,,ENGO
267,Edison Electric Institute,Non-governmental organizations,Constituency - Business and Industry,Mr. Eric Holdsworth,Washington,United States of America,,BINGO
268,Ejecutor de Contrato de Administración de la Reserva Comunal Amarakaeri,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Walter Quertehuari,Puerto Maldonado,Peru,,IPO
269,Emory University,Non-governmental organizations,Constituency - Research and independent,Ms. Stefanie Ebelt Sarnat,Atlanta,United States of America,,RINGO
270,Energiaklub Climate Policy Institute and Applied Communications Association,Non-governmental organizations,Constituency - Research and independent,Mr. István László Bart,Budapest,Hungary,,RINGO
271,Energies 2050,Non-governmental organizations,Constituency - Environmental,Mr. Stéphane Jacques Henri Pouffary,Biot,France,,ENGO
272,Energy and Climate Intelligence Unit Limited,Non-governmental organizations,Constituency - Environmental,Mr. George Smeeton,London,United Kingdom of Great Britain and Northern Ireland,,ENGO
273,Energy Research Centre of the Netherlands,Non-governmental organizations,Constituency - Research and independent,Mr. Paul van Tilburg,Petten,Netherlands,,RINGO
274,Environment-People-Law,Non-governmental organizations,Constituency - Environmental CAN,Ms. Olena Kravchenko,Lviv,Ukraine,,ENGO
275,Environmental Defense Fund,Non-governmental organizations,Constituency - Environmental CAN,Mr. Alex George Hanafi,Washington,United States of America,,ENGO
276,Environmental Investigation Agency,Non-governmental organizations,Constituency - Environmental CAN,Ms. Jilian Claire Kuklinski,Washington,United States of America,,ENGO
277,Environmental Law Research Institute LTD/GTE,Non-governmental organizations,Constituency - Environmental,,Ikoyi,Nigeria,,ENGO
278,Environmental Management for Livelihood Improvement Bwaise Facility,Non-governmental organizations,Constituency - Environmental CAN,Mr. Robert Bakiika,Kampala,Uganda,,ENGO
279,Environmental Quality Protection Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Ying-Shih Hsieh,Taipei,China,,ENGO
280,Environnement et Developpement du Tiers-Monde,Non-governmental organizations,Constituency - Environmental CAN,Mr. Libasse Ba,Dakar,Senegal,,ENGO
281,Environnement Jeunesse,Non-governmental organizations,Constituency - Environmental CAN,Mme Catherine Gauthier,Montréal,Canada,,ENGO
282,Equiterre,Non-governmental organizations,Constituency - Environmental CAN,Ms. Alice Feuillet,Montréal,Canada,,ENGO
283,Erklärung von Bern,Non-governmental organizations,Constituency - ENGO,Mr. Andreas Missbach,Zürich,Switzerland,,ENGO
284,"ETC Group (Action Group on Erosion, Technology and Concentration)",Non-governmental organizations,Constituency - Research and independent,Ms. Justine Lisette Rastello,Ottawa,Canada,,RINGO
285,EURELECTRIC,Non-governmental organizations,Constituency - Business and Industry,Mr. Henning Hader,Brussels,Belgium,completed manually from UNFCCC website,BINGO
286,Euro-Mediterranean Center on Climate Change,Non-governmental organizations,Constituency - Research and independent,Ms. Lorella Reda,Lecce,Italy,,RINGO
287,Eurocities A.S.B.L.,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Joana Cruz,Brussels,Belgium,,LGMA
288,European Association for Solar Energy,Non-governmental organizations,Constituency - Business and Industry,Ms. Irm Scheer-Pontenagel,Bonn,Germany,,BINGO
289,European Bureau for Conservation and Development,Non-governmental organizations,Constituency - Environmental,Mr. Paolo Mattana,Brussels,Belgium,,ENGO
290,European Business Council for Sustainable Energy,Non-governmental organizations,Constituency - Business and Industry,Mr. Kolja Kuse,Muenchen,Germany,,BINGO
291,European Chemical Industry Council,Non-governmental organizations,Constituency - Business and Industry,Mr. Peter Botschek,Brussels,Belgium,,BINGO
292,European Climate Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Jorge Aguado Sánchez,The Hague,Netherlands,,ENGO
293,European Federation for Transport and Environment,Non-governmental organizations,,Mr. Jeppe Juul,Brussels,Belgium,completed manually,not yet affiliated/no data
294,European Forum European Energy Award e.V.,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Thekla Heinel,Berlin,Germany,,LGMA
295,European Heat Pump Association,Non-governmental organizations,Constituency - Business and Industry,Mr. Thomas Nowak,Brussels,Belgium,,BINGO
296,European Network for Community-Led Initiatives on Climate Change and Sustainability,Non-governmental organizations,Constituency - Environmental,Mr. Robert Hall,Brussels,Belgium,,ENGO
297,European Nuclear Society,Non-governmental organizations,Constituency - Business and Industry,Ms. Emilia Janisz,Brussels,Belgium,,BINGO
298,European Round Table of Industrialists,Non-governmental organizations,Constituency - Business and Industry,Mr. Bert D'Hooghe,Brussels,Belgium,,BINGO
299,European Union Chamber of Commerce in China,Non-governmental organizations,Constituency - Business and Industry,Ms. Cecilia Rovelli,Beijing,China,,BINGO
300,European Wind Energy Association,Non-governmental organizations,,Mr. Markus Tacke,Brussels,Belgium,completed manually,not yet affiliated/no data
301,European Youth Forum,Non-governmental organizations,Constituency - Youth,Ms. Stephanie Anne Beecroft,Brussels,Belgium,,Youth
302,Ev-K2-CNR Committee,Non-governmental organizations,Constituency - Environmental,Ms. Elisa Maria Vuillermoz,Bergamo,Italy,,ENGO
303,FACE Foundation,Non-governmental organizations,Constituency - Business and Industry,Mr. Martijn Snoep,Utrecht,Netherlands,,BINGO
304,Fachhochschule Muenster,Non-governmental organizations,Constituency - ENGO,Mr. Günter Witzsch,Muenster/Westfalen,Germany,,ENGO
305,Fairtrade Labelling Organizations International e.V.,Non-governmental organizations,Constituency - Research and independent,Ms. Lannette Kambole Chiti,Bonn,Germany,,RINGO
306,Fairwatch Association,Non-governmental organizations,Constituency - Environmental CJN,Mr. Alberto Zoratti,Pisa,Italy,,ENGO
307,Farm Africa Limited,Non-governmental organizations,Constituency - Farmers,Mr. Yvan Biot,London,United Kingdom of Great Britain and Northern Ireland,,Farmers
308,Fauna & Flora International,Non-governmental organizations,Constituency - Environmental,Ms. Charlotte Alexandra Fisher,Cambridge,United Kingdom of Great Britain and Northern Ireland,,ENGO
309,Federación de Pueblos Indígenas Kechwas de la Región de San Martín,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Janio Sangama Apagüeño,Lamas,Peru,,IPO
310,Federación Nativa del Río Madre de Dios y Afluentes,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Julio Cusurichi Palacios,Puerto Maldonado,Peru,,IPO
311,Federación Regional Indígena Shawi de San Martín,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Reydelinda Pizango Yumbato,Tarapoto,Peru,,IPO
312,"Federation of American Women's Clubs Overseas, Inc.",Non-governmental organizations,Constituency - Women and Gender,Ms. Laurie Glenn Richardson,New York,United States of America,,Women and Gender
313,Federation of Canadian Municipalities,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Sylvie Yvette Marie Delaquis,Ottawa,Canada,,LGMA
314,Federation of Electric Power Companies,Non-governmental organizations,Constituency - Business and Industry,Mr. Shohei Hasebe,Tokyo,Japan,,BINGO
315,Federation of German Industries,Non-governmental organizations,Constituency - Business and Industry,Mr. Joachim Dieter Erwin Hein,Berlin,Germany,,BINGO
316,Federation of Indian Chambers of Commerce and Industry,Non-governmental organizations,Constituency - Business and Industry,Ms. Rita Roy Choudhury,New Delhi,India,,BINGO
317,Federation of Young European Greens,Non-governmental organizations,Constituency - Environmental,Mr. Markus Drake,Brussels,Belgium,,ENGO
318,FERN,Non-governmental organizations,Constituency - Environmental CJN,Ms. Hannah Mowat,Moreton-in-Marsh,United Kingdom of Great Britain and Northern Ireland,,ENGO
319,Fia Foundation for the Automobile and Society,Non-governmental organizations,,,London,United Kingdom of Great Britain and Northern Ireland,completed manually,not yet affiliated/no data
320,Finnish Institute of International Affairs,Non-governmental organizations,Constituency - Research and independent,Mr. Antto Vihma,Helsinki,Finland,,RINGO
321,Fondation BNP Paribas,Non-governmental organizations,Constituency - ENGO,M. Sylvain Taboni,Paris,France,,ENGO
322,Fondation Deserts du Monde,Non-governmental organizations,Constituency - Environmental,Ms. Sihem Medani,Ghardaia,Algeria,,ENGO
323,Fondation Jean-Jaurès,Non-governmental organizations,Constituency - ENGO,Mr. Alexandre Cyrille Minet,Paris,France,,ENGO
324,Fondation Nicolas Hulot,Non-governmental organizations,,Mr. Alain Grandjean,Boulogne-Billancourt,France,completed manually,not yet affiliated/no data
325,Fondation pour le Développement Durable des Régions de Montagne,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Eric Alain Nanchen,Sion,Switzerland,,LGMA
326,Fondazione Centro Studi Enel,Non-governmental organizations,Constituency - Research and independent,Mr. Mariano Morazzo,Rome,Italy,,RINGO
327,Fondazione Eni Enrico Mattei,Non-governmental organizations,Constituency - Research and independent,Ms. Martina Marian,Milan,Italy,,RINGO
328,Fondo de Promoción de la Areas Naturales Protegidas del Perú,Non-governmental organizations,,Mr. Antom Willems,Lima,Peru,completed manually,not yet affiliated/no data
329,Food & Water Watch,Non-governmental organizations,Constituency - Environmental,Mr. David Sánchez Carpio,"Washington, D. C.",United States of America,,ENGO
330,Ford Foundation,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Penny Davies,New York,United States of America,,IPO
331,Forest Stewardship Council,Non-governmental organizations,Constituency - ENGO,Ms. Pina Gervassi,Bonn,Germany,,ENGO
332,Forest Trends Association,Non-governmental organizations,Constituency - Environmental,Ms. Julia Sue Granfors,Washington DC,United States of America,,ENGO
333,Forestry and Forest Products Research Institute,Non-governmental organizations,Constituency - Research and independent,Mr. Yasumasa Hirata,Tsukuba,Japan,,RINGO
334,Forests of the World,Non-governmental organizations,Constituency - Environmental,Ms. Gry Helene Bossen,Aarhus,Denmark,,ENGO
335,Forests Philanthropy Action Network,Non-governmental organizations,Constituency - Environmental,Mr. Edward Rumsey,Horbling,United Kingdom of Great Britain and Northern Ireland,,ENGO
336,Foro Ciudades para la Vida,Non-governmental organizations,Constituency - Environmental,Ms. Liliana Miranda Sara,Lima,Peru,,ENGO
337,Foro Soria 21 para el desarrollo sostenible,Non-governmental organizations,Constituency - Environmental,Mr. Amalio Joaquin Marichalar,Madrid,Spain,completed manually from UNFCCC website,ENGO
338,Forum Atomique Européen,Non-governmental organizations,Constituency - ENGO,Ms. Daphné Charleton,Brussels,Belgium,,ENGO
339,Forum des Alternatives Maroc,Non-governmental organizations,Constituency - Research and independent,Mr. Abderrahim Kassou,Rabat,Morocco,,RINGO
340,Forum for Environment,Non-governmental organizations,Constituency - Environmental,Mr. Najib Saab,Beirut,Lebanon,,ENGO
341,Forum for Reforms and Entrepreneurship,Non-governmental organizations,Constituency - Research and independent,Ms. Anna Halla,Stockholm,Sweden,,RINGO
342,Foundation 2°,Non-governmental organizations,Constituency - Business and Industry,Mr. Till Koetter,Berlin,Germany,,BINGO
343,Foundation DLO,Non-governmental organizations,,,Wageningen,Netherlands,completed manually,not yet affiliated/no data
344,Foundation Environment - Law Society,Non-governmental organizations,Constituency - Research and independent,Mr. Michael Mehling,Greifswald,Germany,,RINGO
345,Foundation for Environmental Education,Non-governmental organizations,Constituency - Environmental,Ms. Kristina Madsen,Copenhagen,Denmark,,ENGO
346,Foundation for Promoting Personal Mobility and Ecological Transportation,Non-governmental organizations,Constituency - Environmental,Mr. Masaru Kumai,Tokyo,Japan,,ENGO
347,Foundation for Renewable Energy and the Environment,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. John Michael Byrne,New York,United States of America,,LGMA
348,Foundation for Sustainability,Non-governmental organizations,Constituency - Environmental,Mr. Klaus Milke,Bonn,Germany,,ENGO
349,Foundation for the Global Compact,Non-governmental organizations,Constituency - Business and Industry,Ms. Claire Kells,New York,United States of America,,BINGO
350,Foundation for the Rights of Future Generations,Non-governmental organizations,Constituency - Research and independent,Ms. Anna Braam,Stuttgart,Germany,,RINGO
351,Foundation Myclimate The Climate Protection Partnership,Non-governmental organizations,Constituency - Environmental,Mr. Florian Raess,Zurich,Switzerland,completed manually from UNFCCC website,ENGO
352,Foundation of Taiwan Industry Service,Non-governmental organizations,Constituency - Environmental,Ms. Chen-Yu Yeh,"Taiwan, Province of China",China,,ENGO
353,France Libertes - Fondation Danielle Mitterrand,Non-governmental organizations,Constituency - Indigenous peoples,Mme Justine Richer,Paris,France,,IPO
354,Franciscans International,Non-governmental organizations,Constituency - Environmental,Mr. Antonius Budi Tjahjono,Geneva 20,Switzerland,,ENGO
355,Frankfurt School of Finance and Management gGmbH,Non-governmental organizations,Constituency - Research and independent,Mr. Karsten Loeffler,Frankfurt am Main,Germany,,RINGO
356,Fraunhofer Institute for Systems and Innovation Research,Non-governmental organizations,Constituency - Research and independent,Ms. Vicki Duscha,Munic,Germany,,RINGO
357,"Free University Amsterdam, Institute for Environmental Studies",Non-governmental organizations,Constituency - Environmental,Mr. Oscar Widerberg,Amsterdam,Netherlands,completed manually from UNFCCC website,ENGO
358,Freedom from Debt Coalition Inc.,Non-governmental organizations,Constituency - Research and independent,Mr. Samuel Cesar Gamboa,Quezon City,Philippines,,RINGO
359,Freie Universität Berlin,Non-governmental organizations,Constituency - Research and independent,Mr. Stephan Pfahl,Berlin,Germany,,RINGO
360,Fresh Energy,Non-governmental organizations,Constituency - Environmental,Ms. Janet Drake Hamilton,Saint Paul,United States of America,,ENGO
361,Friedrich Schiller University Jena,Non-governmental organizations,Constituency - Research and independent,Mr. Martin Herold,Jena,Germany,,RINGO
362,Friedrich-Ebert-Stiftung e.V.,Non-governmental organizations,Constituency - Research and independent,Ms. Yvonne Blos,Berlin,Germany,,RINGO
363,Friends of the Earth International,Non-governmental organizations,Constituency - Environmental CJN,Ms. Sara Shaw,Amsterdam,Netherlands,,ENGO
364,Friends World Committee for Consultation,Non-governmental organizations,Constituency - Research and independent,Ms. Lindsey Fielder Cook,London,United Kingdom of Great Britain and Northern Ireland,,RINGO
365,Fundação Getúlio Vargas,Non-governmental organizations,Constituency - Research and independent,Mr. Mario Prestes Monzoni,Sao Paulo,Brazil,,RINGO
366,Fundación Ambiente y Recursos Naturales,Non-governmental organizations,Constituency - Environmental,Mr. Enrique Gabriel Maurtua Konstantinidis,Buenos Aires,Argentina,,ENGO
367,Fundación Amigos de la Naturaleza,Non-governmental organizations,Constituency - Research and independent,Ms. Natalia Valentina Calderón Angeleri,Santa Cruz,Bolivia (Plurinational State of),,RINGO
368,Fundación Avina,Non-governmental organizations,Constituency - Environmental,Ms. Paula Ellinger da Fonseca,"Panama City,",Panama,,ENGO
369,Fundación Biosfera,Non-governmental organizations,Constituency - Environmental CAN,Mr. Horacio Pablo de Belaustegui,La Plata,Argentina,,ENGO
370,Fundación Defensores de la Naturaleza,Non-governmental organizations,Constituency - Environmental,Sr. Oscar Manuel Nuñez Saravia,Guatemala,Guatemala,,ENGO
371,Fundación Despacio,Non-governmental organizations,Constituency - Research and independent,Ms. Aura Patricia Calderon Peña,Bogota,Colombia,,RINGO
372,Fundación Ecología y Desarrollo,Non-governmental organizations,Constituency - Environmental,Sra. Christina Monge Lasierra,Zaragoza,Spain,,ENGO
373,Fundación Futuro Latinoamericano,Non-governmental organizations,Constituency - Environmental,Ms. Lucia Gabriela Villamarin Jurado,Quito,Ecuador,,ENGO
374,Fundación Natura,Non-governmental organizations,Constituency - Environmental,Ms. Romina Paola Villegas,Santa Cruz de la Sierra,Bolivia (Plurinational State of),,ENGO
375,Fundación para la Promoción del Conocimiento Indígena,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Onel Masardule,Panamá,Panama,,IPO
376,Fundación Privada Empresa & Clima,Non-governmental organizations,,Mr. Joan Planes Vila,Barcelona,Spain,completed manually,not yet affiliated/no data
377,"Fundación Red Colombiana Para la Defensa de los Derechos Humanos, el Medio Ambiente y la Paz",Non-governmental organizations,Constituency - Youth,Mr. Jean Carlos Jimenez Fuentes,Santa Marta,Colombia,,Youth
378,Fundación TierraVida,Non-governmental organizations,Constituency - Environmental,Ms. Marina Mansilla Hermann,Córdoba,Argentina,,ENGO
379,Future Earth International,Non-governmental organizations,Constituency - Research and independent,Mr. Clément Brousse,Montreal,Canada,,RINGO
380,Gana Unnayan Kendra,Non-governmental organizations,Constituency - Women and Gender,Mr. M Abdus Salam,Gaibandha,Bangladesh,,Women and Gender
381,GenderCC - Women for Climate Justice e.V.,Non-governmental organizations,Constituency - Women and Gender,Ms. Gotelind Alber,Berlin,Germany,,Women and Gender
382,George Mason University,Non-governmental organizations,Constituency - Research and independent,Mr. Paul Schopf,Fairfax VA,United States of America,,RINGO
383,Georgetown University,Non-governmental organizations,Constituency - Research and independent,Ms. Joanna Lewis,Washington,United States of America,,RINGO
384,German Advisory Council on Global Change,Non-governmental organizations,Constituency - Research and independent,Ms. Astrid Schulz,Berlin,Germany,,RINGO
385,German Association of Energy and Water Industries,Non-governmental organizations,Constituency - Business and Industry,Mr. Tilman Schwencke,Berlin,Germany,,BINGO
386,German Climate Association,Non-governmental organizations,Constituency - Research and independent,Ms. Marie-Luise Beck,Berlin,Germany,,RINGO
387,German Committee for Disaster Reduction,Non-governmental organizations,Constituency - Research and independent,Ms. Sina Marx,Bonn,Germany,,RINGO
388,German Development Institute,Non-governmental organizations,Constituency - Research and independent,Mr. Steffen Bauer,Bonn,Germany,,RINGO
389,German Emissions Trading Association,Non-governmental organizations,Constituency - Business and Industry,Mr. Robert Tippmann,Berlin,Germany,,BINGO
390,German Institute for Economic Research,Non-governmental organizations,Constituency - Research and independent,Ms. Olga Zhylenko,Berlin,Germany,,RINGO
391,German NGO Forum on Environment and Development,Non-governmental organizations,Constituency - Environmental CAN,Ms. Ramona Bruck,Berlin,Germany,,ENGO
392,Germanwatch,Non-governmental organizations,Constituency - Environmental CAN,Ms. Katharina Anita Hierl,Bonn,Germany,,ENGO
393,Gherush92 Committee for Human Rights,Non-governmental organizations,Constituency - Research and independent,Ms. Valentina Jappelli,Rome,Italy,,RINGO
394,Global Alert for Defence of Youth and the Less Privileged,Non-governmental organizations,Constituency - Youth,Mr. Kennedy Christian Ezedinbu,Festac Town,Nigeria,,Youth
395,Global Buildings Performance Network,Non-governmental organizations,Constituency - Research and independent,Ms. Claire Brule,Paris,France,,RINGO
396,Global Call for Climate Action,Non-governmental organizations,Constituency - Environmental,Ms. Karen Barkley,Montreal,Canada,,ENGO
397,Global Canopy Programme,Non-governmental organizations,,,Oxford,United Kingdom of Great Britain and Northern Ireland,completed manually,not yet affiliated/no data
398,Global Carbon Capture and Storage Institute Ltd,Non-governmental organizations,Constituency - Business and Industry,Ms. Eve Tamme,Canberra,Australia,,BINGO
399,Global Ecovillage Network,Non-governmental organizations,Constituency - Environmental,Ms. Anja Kosha Joubert,Forres,United Kingdom of Great Britain and Northern Ireland,,ENGO
400,Global Environment Centre,Non-governmental organizations,Constituency - Environmental CAN,Mr. Faizal Parish,Selangor,Malaysia,,ENGO
