,name,entity_type,constituency,coordinator,city,country,remarks,const
373,Congregation of our Lady of Mount Carmel,Non-governmental organizations,Constituency - Research and independent,Mr. Eduardo Agosta Scarel,New Orleans,United States of America,completed manually from the UNFCCC website,RINGO
374,Connecticut State University System,Non-governmental organizations,Constituency - Research and independent,Ms. Miriah Kelly,New Haven,United States of America,,RINGO
375,Conseil des Communes et Régions d’Europe,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Eva Banos de Guisasola,Brussels,Belgium,completed manually from the UNFCCC website,LGMA
376,Conseil Patronal de l’environnement du Québec,Non-governmental organizations,Constituency - Business and Industry,Mme Anik Leclerc,Montreal,Canada,completed manually from the UNFCCC website,BINGO
377,"Consejo Civil Mexicano para la Silvicultura Sostinible, A. C.",Non-governmental organizations,Constituency - Environmental,Mr. José Iván Zúñiga Pérez Tejada,Mexico,Mexico,,ENGO
378,Conservation International,Non-governmental organizations,Constituency - Environmental CAN,Ms. Carly Siege,Arlington,United States of America,,ENGO
379,Conservative Environment Network,Non-governmental organizations,Constituency - Environmental,Ms. Lois Toole,Ipswich,United Kingdom of Great Britain and Northern Ireland,,ENGO
380,Consultative Group on Biological Diversity,Non-governmental organizations,Constituency - Environmental,Ms. Paige Brown,San Francisco,United States of America,,ENGO
381,Consumers International,Non-governmental organizations,Constituency - Environmental,Mr. Peter Andrews,London,United Kingdom of Great Britain and Northern Ireland,,ENGO
382,Cooperation Internationale pour le Développement et la Solidarité,Non-governmental organizations,Constituency - Environmental CAN,Ms. Lydia Lehlogonolo Mogano Machaka,Brussels,Belgium,,ENGO
383,Coordinadora Andina de Organizaciones Indígenas,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Norma Aguilar Alvarado,Lima,Peru,,IPO
384,Coordinadora de Desarrollo y Defensa de los Pueblos Indígenas de la Región San Martín,Non-governmental organizations,Constituency - Indigenous peoples,Sr. Ely Tangoa,Lamas,Peru,,IPO
385,Coordinadora de Organizaciones de Agricutores y Ganaderos,Non-governmental organizations,Constituency - Environmental CJN,Sr. Andoni Garcìa Arrìola,Madrid,Spain,,ENGO
386,Coordinadora Rural de la Papa - Perú,Non-governmental organizations,Constituency - Business and Industry,Mr. Eduardo Calderón de la Barca Quiroz,Ayacucho,Peru,,BINGO
387,Coordinating Body of Indigenous Organizations of the Amazon Basin,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Edwin Vasquez Campos,Quito,Ecuador,,IPO
388,Coordination SUD,Non-governmental organizations,Constituency - Environmental,Ms. Mélanie Pelascini,Paris,France,,ENGO
389,"Corn Refiners Association, Inc.",Non-governmental organizations,Constituency - Business and Industry,Mr. Justin Fulton Maroccia,"Washington, D. C.",United States of America,,BINGO
390,Cornell University,Non-governmental organizations,Constituency - Research and independent,Ms. Allison Chatrchyan,Ithaca,United States of America,,RINGO
391,Corporación de Estudios y Desarrollo Norte Grande,Non-governmental organizations,Constituency - Environmental,Ms. Maria Anna Sujkowska,Iquique,Chile,,ENGO
392,Corporación Fiscalía del Medio Ambiente,Non-governmental organizations,Constituency - Environmental,Sra. Gabriela Burdiles Perucci,Santiago,Chile,,ENGO
393,Corporate Accountability International,Non-governmental organizations,Constituency - Environmental,Ms. Kelle Louaillier,Boston,United States of America,,ENGO
394,Corporate Europe Observatory Foundation,Non-governmental organizations,Constituency - Research and independent,Mr. Pascoe Sabido,Brussels,Belgium,,RINGO
395,Coshare Environment,Non-governmental organizations,Constituency - Environmental,Ms. Ying Li,Taiyuan,China,,ENGO
396,"Council on Energy, Environment and Water",Non-governmental organizations,Constituency - Research and independent,Mr. Arunabha Ghosh,New Delhi,India,,RINGO
397,Council on Foreign Relations,Non-governmental organizations,Constituency - Research and independent,Ms. Alice Hill,New York,United States of America,,RINGO
398,Creative Carbon Scotland,Non-governmental organizations,Constituency - Environmental,Mr. Ben Twist,Edinburgh,United Kingdom of Great Britain and Northern Ireland,,ENGO
399,CropLife International,Non-governmental organizations,Constituency - Business and Industry,Ms. Gloria Jaconelli,Brussels,Belgium,,BINGO
400,"Cultural Survival, Inc.",Non-governmental organizations,Constituency - Indigenous peoples,Ms. Miriam Anne Frank,Cambridge,United States of America,,IPO
401,Dalhousie University - Marine and Environmental Law Institute,Non-governmental organizations,Constituency - Research and independent,Mr. Meinhard Doelle,Halifax,Canada,,RINGO
402,Dalit Welfare Association,Non-governmental organizations,Constituency - Research and independent,Mr. Anupkamal Bishwakarma,Kathmandu,Nepal,,RINGO
403,Danish 92 Group - Forum for Sustainable Development,Non-governmental organizations,Constituency - Environmental CAN,Mr. Troels Dam Christensen,Copenhagen,Denmark,,ENGO
404,Danish Association of Consulting Engineers,Non-governmental organizations,Constituency - Business and Industry,Mr. Henrik Garver,Copenhagen V,Denmark,,BINGO
405,Danish Energy Association,Non-governmental organizations,Constituency - Business and Industry,Mr. Carsten Edem Chachah,Fredriksberg C,Denmark,,BINGO
406,Danish Society of Engineers,Non-governmental organizations,Constituency - Trade Unions,Ms. Pernille Hagedorn-Rasmussen,Copenhagen V,Denmark,,TUNGO
407,Dartmouth College,Non-governmental organizations,Constituency - Research and independent,Ms. Hannah Payson,Hanover,United States of America,,RINGO
408,David Shepherd Wildlife Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Theo Bromfield,Guildford,United Kingdom of Great Britain and Northern Ireland,,ENGO
409,David Suzuki Foundation,Non-governmental organizations,Constituency - Environmental CAN,Mr. Ian Bruce,Vancouver,Canada,,ENGO
410,"Deep South Center for Environmental Justice, Inc.",Non-governmental organizations,Constituency - Environmental CAN,Ms. Beverly Lillian Wright,New Orleans,United States of America,,ENGO
411,Delta Electronics Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Wenkai Hsieh,Taipei,China,,ENGO
412,Demand Response and Smart Grid Coalition,Non-governmental organizations,Constituency - Business and Industry,Mr. Dan Delurey,Washington,United States of America,,BINGO
413,Derecho Ambiente y Recursos Naturales,Non-governmental organizations,Constituency - Environmental CAN,Ms. Aída Mercedes Gamboa Balbín,Pueblo Libre,Peru,,ENGO
414,Designated Operational Entities and Independent Entities Association,Non-governmental organizations,Constituency - Business and Industry,Mr. Werner Betzenbichler,Geneva,Switzerland,,BINGO
415,Detroit Zoological Society,Non-governmental organizations,Constituency - Youth,Ms. Sarah Sutton,Royal Oak,United States of America,,Youth
416,Deutsche Gesellschaft für Internationale Zusammenarbeit,Non-governmental organizations,Constituency - Environmental,Mr. Bernd-Markus Liss,Eschborn,Germany,,ENGO
417,Deutsche Gesellschaft für Vereinten Nationen e.V.,Non-governmental organizations,Constituency - Environmental,Mr. Oliver Hasenkamp,Berlin,Germany,,ENGO
418,Development Alternatives,Non-governmental organizations,Constituency - Environmental CAN,Ms. K. Vijaya Lakshmi,New Delhi,India,,ENGO
419,Dickinson College,Non-governmental organizations,Constituency - Research and independent,Mr. Cornelius Leary,Carlisle,United States of America,,RINGO
420,Digital Storytellers,Non-governmental organizations,Constituency - Business and Industry,,Darlinghurst,Australia,,BINGO
421,Digo Bikas Institute,Non-governmental organizations,Constituency - Environmental,Mr. Abhishek Shrestha,Kathmandu,Nepal,,ENGO
422,Dominicans for Justice and Peace,Non-governmental organizations,,Mr. Aniedi Okure,Geneva,Switzerland,,not yet affiliated/no data
423,Dossiers et Débats pour le Développement Durable,Non-governmental organizations,Constituency - Environmental CAN,Mme Vaia Tuuhia,Paris,France,,ENGO
424,Drawdown Europe Research Association,Non-governmental organizations,Constituency - Environmental,Mr. Roy Straver,Amsterdam,Netherlands,,ENGO
425,Drexel University,Non-governmental organizations,Constituency - Research and independent,Mr. Adam Zahn,Philadelphia,United States of America,,RINGO
426,DRIS/Desarrollo Rural Sustentable,Non-governmental organizations,Constituency - Environmental,Mr. Renato Ríos,Lima,Peru,,ENGO
427,Duke Kunshan University,Non-governmental organizations,Constituency - Research and independent,Mr. Guozhen Shen,Kunshan,China,,RINGO
428,Duke University,Non-governmental organizations,Constituency - Research and independent,Mr. David Bjorkback,Durham,United States of America,,RINGO
429,Earth Child Institute,Non-governmental organizations,Constituency - Youth,Ms. Donna Goodman,New York,United States of America,,Youth
430,Earth Council,Non-governmental organizations,Constituency - Environmental,Mr. Daniel Stauffacher,Geneva,Switzerland,,ENGO
431,Earth Day Network,Non-governmental organizations,Constituency - Environmental CAN,Ms. Susan Bass,Washington,United States of America,,ENGO
432,Earth Innovation Institute,Non-governmental organizations,Constituency - Research and independent,Ms. Claudia Margret Stickler,San Francisco,United States of America,,RINGO
433,"Earth Island Institute, Inc.",Non-governmental organizations,Constituency - Environmental,Mr. Terry Kelley-Farias,Berkeley,United States of America,,ENGO
434,Earthworks,Non-governmental organizations,Constituency - Environmental,Ms. Jennifer Krill,Washington,United States of America,,ENGO
435,Eberswalde University for Sustainable Development,Non-governmental organizations,Constituency - Environmental,Mr. Martin Welp,Eberswalde,Germany,,ENGO
436,Eco-Congregation Scotland,Non-governmental organizations,Constituency - Environmental,Ms. Mary Sweetland,Edinburgh,United Kingdom of Great Britain and Northern Ireland,,ENGO
437,EcoArts Connections,Non-governmental organizations,Constituency - Research and independent,Ms. Marda Kirn,Boulder,United States of America,,RINGO
438,EcoClub,Non-governmental organizations,Constituency - Environmental,Mr. Illia Yeremenko,Rivne,Ukraine,,ENGO
439,Ecole Nationale Supérieure des Mines de Paris,Non-governmental organizations,Constituency - Research and independent,Mme Sandrine Selosse,Paris,France,,RINGO
440,Ecole Normale Supérieure,Non-governmental organizations,Constituency - Research and independent,Mr. Lucas Paoli,Paris,France,,RINGO
441,Ecologic Institute,Non-governmental organizations,Constituency - Research and independent,Mr. Matthias Duwe,Berlin,Germany,,RINGO
442,Ecologica Institute,Non-governmental organizations,Constituency - Business and Industry,Ms. Yara Fernandes da Silva,"Palmas, TO",Brazil,,BINGO
443,Ecological Society of America,Non-governmental organizations,Constituency - Research and independent,Ms. Catherine O'Riordan,Washington,United States of America,,RINGO
444,Ecological Youth of Angola,Non-governmental organizations,Constituency - Environmental,Mr. António Armando Manuel,Luanda,Angola,,ENGO
445,Ecology Center,Non-governmental organizations,Constituency - Environmental CAN,Mr. Neil Tangri,Berkeley,United States of America,,ENGO
446,Economic Justice Network of the Fellowship of Christian Councils of Southern Africa,Non-governmental organizations,Constituency - Research and independent,Mr. Mandlenkosi Hadebe,Cape Town,South Africa,,RINGO
447,Economic Research Institute for Northeast Asia,Non-governmental organizations,Constituency - Research and independent,Ms. Enkhbayar Shagdar,Niigata,Japan,,RINGO
448,Écotech Québec,Non-governmental organizations,Constituency - Environmental,M. Denis Leclerc,Montreal,Canada,,ENGO
449,Ecumenical Advocacy Alliance,Non-governmental organizations,Constituency - Environmental,Ms. Christine Campeau,Geneva,Switzerland,,ENGO
450,Edison Electric Institute,Non-governmental organizations,Constituency - Business and Industry,Mr. Eric Holdsworth,Washington,United States of America,,BINGO
451,Eficor,Non-governmental organizations,Constituency - Environmental,Mr. Ramesh Babu Mangalapudi,New Delhi,India,,ENGO
452,Ejecutor de Contrato de Administración de la Reserva Comunal Amarakaeri,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Walter Quertehuari,Puerto Maldonado,Peru,,IPO
453,El Puente de Williamsburg Inc.,Non-governmental organizations,Constituency - Environmental,Ms. Amy Orta-Rivera,Brooklyn,United States of America,,ENGO
454,Electric Power Research Institute,Non-governmental organizations,Constituency - Research and independent,Mr. Tom Wilson,Palo Alto,United States of America,,RINGO
455,Electriciens sans frontières,Non-governmental organizations,Constituency - Environmental,Mr. Jeremy Francois Gallet,Pantin Cedex,France,,ENGO
456,Emory University,Non-governmental organizations,Constituency - Research and independent,Ms. Stefanie Ebelt Sarnat,Atlanta,United States of America,,RINGO
457,Energiaklub Climate Policy Institute and Applied Communications Association,Non-governmental organizations,Constituency - Research and independent,Mr. István László Bart,Budapest,Hungary,,RINGO
458,Energies 2050,Non-governmental organizations,Constituency - Environmental,Mr. Stéphane Jacques Henri Pouffary,Biot,France,,ENGO
459,Energy and Climate Intelligence Unit Limited,Non-governmental organizations,Constituency - Environmental,Mr. George Smeeton,London,United Kingdom of Great Britain and Northern Ireland,,ENGO
460,Energy and Climate Policy Institute for Just Transition,Non-governmental organizations,Constituency - Environmental CJN,Mr. Jin-Woo Lee,Seoul,Republic of Korea,,ENGO
461,Energy Saving Trust,Non-governmental organizations,Constituency - Environmental,Ms. Kirsty McIver,London,United Kingdom of Great Britain and Northern Ireland,,ENGO
462,Energy Strategies,Non-governmental organizations,Constituency - Environmental,Mr. Dominique Neuman,Montréal,Canada,,ENGO
463,Engajamundo Youth Association,Non-governmental organizations,Constituency - Youth,Ms. Larissa Moraes,São Paulo,Brazil,,Youth
464,Engineering Association for Development and Environment,Non-governmental organizations,Constituency - Environmental,Mr. Mohammed Abdulmawjood,Mosul,Iraq,,ENGO
465,Engineering Institute of Canada - Institut Canadien des ingenieurs,Non-governmental organizations,Constituency - Research and independent,Mr. Guy Gosselin,Ottawa,Canada,,RINGO
466,Environment Association for Universities and Colleges,Non-governmental organizations,Constituency - Environmental,Ms. Fiona Goodwin,Cheltenham,United Kingdom of Great Britain and Northern Ireland,,ENGO
467,Environmental and Energy Study Institute,Non-governmental organizations,Constituency - Environmental CAN,Ms. Anna Elizabeth McGinn,Washington DC,United States of America,,ENGO
468,Environmental Defence Canada Inc.,Non-governmental organizations,Constituency - Environmental,Mr. Dale Marshall,Toronto,Canada,,ENGO
469,Environmental Defense Fund,Non-governmental organizations,Constituency - Environmental CAN,Mr. Alex George Hanafi,Washington,United States of America,,ENGO
470,Environmental Funders Network,Non-governmental organizations,Constituency - Environmental,Ms. Florence Miller,Aylesbury,United Kingdom of Great Britain and Northern Ireland,,ENGO
471,Environmental Investigation Agency,Non-governmental organizations,Constituency - Environmental CAN,Ms. Jilian Claire Kuklinski,Washington,United States of America,,ENGO
472,Environmental Justice Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Stephan Jermendy,London,United Kingdom of Great Britain and Northern Ireland,,ENGO
473,Environmental Law Collaborative,Non-governmental organizations,Constituency - Environmental,Mr. Keith Hirokawa,Des Moines,United States of America,,ENGO
474,Environmental Law Institute,Non-governmental organizations,Constituency - Research and independent,Mr. Meinhard Doelle,Halifax,Canada,,RINGO
475,Environmental Law Research Institute LTD/GTE,Non-governmental organizations,Constituency - Environmental,,Ikoyi,Nigeria,,ENGO
476,Environmental Management for Livelihood Improvement Bwaise Facility,Non-governmental organizations,Constituency - Environmental,Mr. Robert Bakiika,Kampala,Uganda,,ENGO
477,Environmental Protection and Development Association,Non-governmental organizations,Constituency - Environmental,Mr. Godwin Ade Tanda,Limbe,Cameroon,,ENGO
478,Environnement et Developpement du Tiers-Monde,Non-governmental organizations,Constituency - Environmental CAN,Mr. Libasse Ba,Dakar,Senegal,,ENGO
479,Environnement Jeunesse,Non-governmental organizations,Constituency - Environmental CAN,Mme Catherine Gauthier,Montréal,Canada,,ENGO
480,Environnement sans Frontière,Non-governmental organizations,Constituency - Environmental,Mr. Alain Alexis Bavoua,Douala,Cameroon,,ENGO
481,EPOTEC,Non-governmental organizations,Constituency - Environmental,Mr. Alan Reed,Albuquerque,United States of America,,ENGO
482,Equidad de Género Ciudadanía Trabajo y Familia,Non-governmental organizations,Constituency - Women and Gender,Sra. Luisa Emilia Reyes Zuñiga,Mexico D.F.,Mexico,,Women and Gender
483,Equiterre,Non-governmental organizations,Constituency - Environmental CAN,Ms. Alice Feuillet,Montréal,Canada,,ENGO
484,Erasmus University Rotterdam,Non-governmental organizations,Constituency - Research and independent,Mr. Steven Kennedy,Rotterdam,Netherlands,,RINGO
485,"ESCR-Net- International Network for Economic, Social and Cultural Rights",Non-governmental organizations,,Ms. Joie Chowdhury,New York City,United States of America,,not yet affiliated/no data
486,Ethex,Non-governmental organizations,Constituency - Environmental,Ms. Isona Shibata,Oxford,United Kingdom of Great Britain and Northern Ireland,,ENGO
487,Euro Chambres,Non-governmental organizations,Constituency - Business and Industry,Ms. Stefanie Sieberer,Brussels,Belgium,,BINGO
488,Eurocities ASBL,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Maria Smirnova,Brussels,Belgium,,LGMA
489,Eurogroup for Animals,Non-governmental organizations,Constituency - Environmental,Ms. Iwona Mertin,Brussels,Belgium,,ENGO
490,EuroHealthNet,Non-governmental organizations,,Ms. Alexandra Latham,Brussels,Belgium,,not yet affiliated/no data
491,EURONATURA - Centre for Environmental Law and Sustainable Development,Non-governmental organizations,Constituency - Environmental,Ms. Rita Mafalda Dionísio de Sousa,Lisboa,Portugal,,ENGO
492,European Association of Environmental and Resource Economists,Non-governmental organizations,Constituency - Environmental,Ms. Monica Eberle,Marghera-Venice,Italy,,ENGO
493,European Bureau for Conservation and Development,Non-governmental organizations,Constituency - Environmental,Ms. Despina Symons Pirovolidou,Brussels,Belgium,,ENGO
494,European Business Council for Sustainable Energy,Non-governmental organizations,Constituency - Business and Industry,Mr. Kolja Kuse,Muenchen,Germany,,BINGO
495,European Chemical Industry Council,Non-governmental organizations,Constituency - Business and Industry,Mr. Peter Botschek,Brussels,Belgium,,BINGO
496,European Climate Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Jorge Aguado Sánchez,The Hague,Netherlands,,ENGO
497,European Cyclists’ Federation,Non-governmental organizations,Constituency - Environmental,Ms. Jill Warren,Brussels,Belgium,completed manually from the UNFCCC website,ENGO
498,European Disability Forum,Non-governmental organizations,,M. Gordon Rattray,Brussels,Belgium,,not yet affiliated/no data
499,European Federation of Transport and Environment,Non-governmental organizations,Constituency - Environmental,Ms. Lucy Gilliam,Brussels,Belgium,,ENGO
500,European Heat Pump Association,Non-governmental organizations,Constituency - Business and Industry,Mr. Thomas Nowak,Brussels,Belgium,,BINGO
501,European Landowners Organisation,Non-governmental organizations,Constituency - Environmental,Mr. Thierry de l'Escaille,Brussels,Belgium,,ENGO
502,European Marine Energy Centre,Non-governmental organizations,Constituency - Research and independent,Ms. Eileen Linklater,Stromness,United Kingdom of Great Britain and Northern Ireland,,RINGO
503,European Network on Debt and Development asbl/vzw,Non-governmental organizations,Constituency - Environmental,Ms. Leia Achampong,Ixelles,Belgium,,ENGO
504,European Nuclear Society,Non-governmental organizations,Constituency - Business and Industry,Ms. Emilia Janisz,Brussels,Belgium,,BINGO
505,European Round Table of Industrialists,Non-governmental organizations,Constituency - Business and Industry,Mr. Bert D'Hooghe,Brussels,Belgium,,BINGO
506,European Roundtable on Climate Change and Sustainable Transition,Non-governmental organizations,Constituency - Environmental,Mr. Andrei Marcu,Brussels,Belgium,,ENGO
507,European Union Chamber of Commerce in China,Non-governmental organizations,Constituency - Business and Industry,Ms. Cecilia Rovelli,Beijing,China,,BINGO
508,European Youth Forum,Non-governmental organizations,Constituency - Youth,Ms. Stephanie Anne Beecroft,Brussels,Belgium,,Youth
509,Evangelical Environmental Network,Non-governmental organizations,Constituency - Environmental,Mr. Kyle James Meyaard-Schaap,Westfield,United States of America,,ENGO
510,Evangelical Lutheran Church in America,Non-governmental organizations,Constituency - Research and independent,Ms. Ruth Ivory-Moore,Chicago,United States of America,,RINGO
511,Evangelisches Studienwerk,Non-governmental organizations,Constituency - Youth,Mr. Peter Kainz,Schwerte,Germany,,Youth
512,FACE Foundation,Non-governmental organizations,Constituency - Business and Industry,Mr. Martijn Snoep,Utrecht,Netherlands,,BINGO
513,Fachhochschule Muenster,Non-governmental organizations,Constituency - ENGO,Mr. Günter Witzsch,Muenster/Westfalen,Germany,,ENGO
514,Faculty of Public Health of the Royal Colleges of Physicians of the United Kingdom,Non-governmental organizations,Constituency - Environmental,Ms. Helen Ross,London,United Kingdom of Great Britain and Northern Ireland,,ENGO
515,Fairtrade Labelling Organizations International e.V.,Non-governmental organizations,Constituency - Research and independent,Mr. Juan Solis,Bonn,Germany,,RINGO
516,Faith Association of the Rehabilitation of Street Children and Orphans,Non-governmental organizations,Constituency - Youth,Mr. David Edusah,Tema,Ghana,,Youth
517,Family Health International,Non-governmental organizations,Constituency - Research and independent,Mr. Nicholas Wedeman,Durham,United States of America,,RINGO
518,FareShare,Non-governmental organizations,Constituency - Environmental,Mr. James Persad,London,United Kingdom of Great Britain and Northern Ireland,,ENGO
519,Farm Africa Limited,Non-governmental organizations,Constituency - Farmers,Mr. Yvan Biot,London,United Kingdom of Great Britain and Northern Ireland,,Farmers
520,Fashion Revolution,Non-governmental organizations,Constituency - Business and Industry,Ms. Sarah Ditty,Ashbourne,United Kingdom of Great Britain and Northern Ireland,,BINGO
521,Fauna & Flora International,Non-governmental organizations,Constituency - Environmental,Ms. Charlotte Alexandra Fisher,Cambridge,United Kingdom of Great Britain and Northern Ireland,,ENGO
522,Feasta Ltd,Non-governmental organizations,Constituency - Research and independent,Mr. Michael Sandler,Cloughjordan Co. Tipperary,Ireland,,RINGO
523,Federación Nativa del Río Madre de Dios y Afluentes,Non-governmental organizations,Constituency - Indigenous peoples,Sr. Julio Cusurichi Palacios,Puerto Maldonado,Peru,,IPO
524,Federación Regional Indígena Shawi de San Martín,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Reydelinda Pizango Yumbato,Tarapoto,Peru,,IPO
525,Federal Council of the Brazilian Bar Association,Non-governmental organizations,Constituency - Research and independent,Ms. Ana Barbosa de Oliveira,Brasilia,Brazil,,RINGO
526,Federal University of Rio de Janeiro,Non-governmental organizations,Constituency - Research and independent,Sr. Jorge Alison Santos da Silva,Rio de Janeiro,Brazil,,RINGO
527,Fédération Bancaire Française,Non-governmental organizations,Constituency - Business and Industry,Ms. Laurence Duflo,PARIS,France,,BINGO
528,Fédération des travailleurs et des travailleuses du Québec,Non-governmental organizations,Constituency - Trade Unions,M. Patrick Rondeau,Montreal,Canada,,TUNGO
529,Fédération Française de l’Assurance,Non-governmental organizations,Constituency - Business and Industry,Mr. Christian Pierotti,Paris,France,completed manually from the UNFCCC website,BINGO
530,Fédération Internationale des Ingénieurs-Conseils,Non-governmental organizations,Constituency - Business and Industry,Mr. Jean Felix,Geneva,Switzerland,,BINGO
531,Fédération Internationale des Mouvements Catholiques d’Action Paroissiale,Non-governmental organizations,Constituency - Youth,Mr. Bernd Hirschberger,Antwerp,Belgium,completed manually from the UNFCCC website,Youth
532,"Federation of American Women’s Clubs Overseas, Inc.",Non-governmental organizations,Constituency - Women and Gender,Ms. Laurie Glenn Richardson,New York,United States of America,completed manually from the UNFCCC website,Women and Gender
533,Federation of Canadian Municipalities,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Sylvie Yvette Marie Delaquis,Ottawa,Canada,,LGMA
534,Federation of German Industries,Non-governmental organizations,Constituency - Business and Industry,Mr. Joachim Dieter Erwin Hein,Berlin,Germany,,BINGO
535,Federation of Indian Chambers of Commerce and Industry,Non-governmental organizations,Constituency - Business and Industry,Ms. Rita Roy Choudhury,New Delhi,India,,BINGO
536,Federation of Industries of the State of Sao Paulo,Non-governmental organizations,Constituency - Business and Industry,Mr. Nelson Pereira dos Reis,São Paulo,Brazil,,BINGO
537,Federation of Young European Greens,Non-governmental organizations,Constituency - Environmental,Mr. Markus Drake,Brussels,Belgium,,ENGO
538,FERN,Non-governmental organizations,Constituency - Environmental CJN,Ms. Hannah Mowat,Moreton-in-Marsh,United Kingdom of Great Britain and Northern Ireland,,ENGO
539,FIA Foundation,Non-governmental organizations,Constituency - Research and independent,Ms. Sheila Watson,London,United Kingdom of Great Britain and Northern Ireland,,RINGO
540,Films 4 Sustainable World,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Shrey Goyal,Paris,France,,LGMA
541,Focus on the Global South,Non-governmental organizations,Constituency - Environmental CJN,Mr. Joseph Alan Fournier Purugganan,Quezon City,Philippines,,ENGO
542,Fondation BNP Paribas,Non-governmental organizations,Constituency - ENGO,,Paris,France,,ENGO
543,Fondation Mohammed VI pour la Protection de l’Environnement,Non-governmental organizations,Constituency - Research and independent,Mme Nouzha Alaoui,Rabat,Morocco,completed manually from the UNFCCC website,RINGO
544,Fondation Prince Albert II de Monaco,Non-governmental organizations,Constituency - Environmental,Mme Sylvie Goyet,Monaco,Monaco,,ENGO
545,Fondazione Centro Studi Enel,Non-governmental organizations,Constituency - Research and independent,Mr. Nicolò Sartori,Rome,Italy,,RINGO
546,Food and Water Watch,Non-governmental organizations,Constituency - Environmental,Mr. David Sanchez Carpio,Washington DC,United States of America,completed manually from the UNFCCC website,ENGO
547,Ford Foundation,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Kevin Currey,New York,United States of America,,IPO
548,Forest Peoples’ Programme,Non-governmental organizations,Constituency - Research and independent,Ms. Julia Overton,Moreton-in-Marsh,United Kingdom of Great Britain and Northern Ireland,completed manually from the UNFCCC website,RINGO
549,Forest Stewardship Council,Non-governmental organizations,Constituency - Environmental,Ms. Pina Gervassi,Bonn,Germany,,ENGO
550,"Forestry, Agriculture, Hunting and Fishing Workers Trade Union",Non-governmental organizations,Constituency - Trade Unions,Ms. Benul Sozer,Ankara,Turkey,,TUNGO
551,Forests of the World,Non-governmental organizations,Constituency - Environmental,Ms. Gry Helene Bossen,Aarhus,Denmark,,ENGO
552,Forests Philanthropy Action Network,Non-governmental organizations,Constituency - Environmental,Mr. Edward Rumsey,Horbling,United Kingdom of Great Britain and Northern Ireland,,ENGO
553,Forum Atomique Européen,Non-governmental organizations,Constituency - ENGO,Ms. Ann Jessica Johnson,Brussels,Belgium,,ENGO
554,Forum for Environment,Non-governmental organizations,Constituency - Environmental,Mr. Najib Saab,Beirut,Lebanon,,ENGO
555,Forum for the Future,Non-governmental organizations,Constituency - Environmental,Mr. William Henry Dawson,London,United Kingdom of Great Britain and Northern Ireland,,ENGO
556,FORUMCC Limited,Non-governmental organizations,Constituency - Environmental,Ms. Rebecca John Muna,Dar es Salaam,United Republic of Tanzania,,ENGO
557,Foundation 2°,Non-governmental organizations,Constituency - Business and Industry,Mr. Till Koetter,Berlin,Germany,,BINGO
558,Foundation Environment - Law Society,Non-governmental organizations,Constituency - Research and independent,Mr. Michael Mehling,Greifswald,Germany,,RINGO
559,Foundation for Environmental Education,Non-governmental organizations,Constituency - Environmental,Ms. Kristina Madsen,Copenhagen,Denmark,,ENGO
560,Foundation for GAIA,Non-governmental organizations,Constituency - Environmental,Ms. Vita de Waal,London,United Kingdom of Great Britain and Northern Ireland,,ENGO
561,Foundation for Strategic Environmental Research,Non-governmental organizations,Constituency - Environmental,Mr. Thomas Nilsson,Stockholm,Sweden,,ENGO
562,Foundation for Sustainability,Non-governmental organizations,Constituency - Environmental,Mr. Klaus Milke,Bonn,Germany,,ENGO
563,Foundation for the Global Compact,Non-governmental organizations,Constituency - Business and Industry,Ms. Claire Kells,New York,United States of America,,BINGO
564,Foundation for the Rights of Future Generations,Non-governmental organizations,Constituency - Research and independent,Ms. Anna Braam,Stuttgart,Germany,,RINGO
565,Foundation Myclimate - the Climate Protection Partnership,Non-governmental organizations,Constituency - Environmental,Mr. Florian Raess,Zurich,Switzerland,completed manually from the UNFCCC website,ENGO
566,Foundation of Taiwan Industry Service,Non-governmental organizations,Constituency - Environmental,Ms. Chen-Yu Yeh,"Taiwan, Province of China",China,,ENGO
567,FRANCE URBAINE,Non-governmental organizations,Constituency - Local government and Municipal authorities,M. Philippe Angotti,Paris,France,,LGMA
568,Franciscans International,Non-governmental organizations,Constituency - Environmental,Mr. Antonius Budi Tjahjono,Geneva 20,Switzerland,,ENGO
569,Frankfurt School of Finance and Management gGmbH,Non-governmental organizations,Constituency - Research and independent,Mr. Karsten Loeffler,Frankfurt am Main,Germany,,RINGO
570,Fraunhofer Institute for Systems and Innovation Research,Non-governmental organizations,Constituency - Research and independent,Ms. Vicki Duscha,Munic,Germany,,RINGO
571,Free University Amsterdam,Non-governmental organizations,Constituency - Environmental,Mr. Oscar Widerberg,Amsterdam,Netherlands,,ENGO
