,organization,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,most_prevalent_topic,entity_type,coordinator,city,country,constituency,const
308,"Earth Island Institute, Inc.",4.06114804718527e-06,9.97638153421576e-07,1.0181391871810774e-06,0.0923717394471168,7.7632848842768e-06,1.4685540463688085e-06,0.011667943559587,0.0216767787933349,0.0178966205567121,0.0274267066270113,2.239655259472784e-05,4.17444698541658e-06,0.0068308622576296,0.8082287311553955,0.0117241730913519,0.0021118924487382,9.8956695637753e-07,2.1653735529980626e-05,14,Non-governmental organizations,Mr. Terry Kelley-Farias,Berkeley,United States of America,Constituency - Environmental,ENGO
309,Earthjustice,3.520459586070501e-06,8.648157177049143e-07,8.825873010209762e-07,0.3298547565937042,6.729705546604237e-06,1.2730353091683355e-06,1.825579056458082e-05,0.1139561012387275,0.0132303787395358,0.0449720174074173,1.9414150301599875e-05,3.618674099925556e-06,7.988663855940104e-05,0.4837129712104797,0.0040002632886171,0.0101194903254508,8.578190886510129e-07,1.877142312878277e-05,14,Non-governmental organizations,Mr. Martin Wagner,Oakland,United States of America,Constituency - Environmental CAN,ENGO
310,Earthworks,1.4349448065331671e-05,3.525002512105857e-06,3.5974394450022373e-06,0.1951832324266433,2.743038385233376e-05,5.1889119276893325e-06,0.0805059969425201,0.1102406084537506,0.0611233413219451,0.0001481769286328,7.911840657470748e-05,1.4749772162758744e-05,0.0618676394224166,0.4750780165195465,0.0002882403205148,0.0086468290537595,3.496483941489714e-06,0.0067664897069334,14,Non-governmental organizations,Ms. Jennifer Krill,Washington,United States of America,Constituency - Environmental,ENGO
311,East African Community,5.632820830214769e-06,1.3837261576554738e-06,1.4121610547590535e-06,0.1733792871236801,1.0767692401714156e-05,2.0368875084386677e-06,2.9208013074821796e-05,0.0136359417811036,0.0160895716398954,0.0607510730624198,0.3250860571861267,5.789966508018551e-06,0.0479923151433467,0.0502894558012485,0.051080223172903,0.2462198734283447,1.3725314147450265e-06,0.0154185788705945,11,Intergovernmental organizations,Mr. Ladislaus Leonidas Kyaruzi,Arusha,United Republic of Tanzania,,not yet affiliated/no data
312,Eberswalde University for Sustainable Development,8.307262760354206e-06,2.040713980022701e-06,2.082649643853074e-06,0.0011296314187347,1.5880150385783054e-05,3.0039936973480508e-06,0.0186862628906965,0.0056122429668903,0.5794786810874939,0.002984874183312,0.0093370992690324,8.539020200259984e-06,0.1185083389282226,0.0020145820453763,0.1351494938135147,0.1270126104354858,2.024203922701417e-06,4.429593536769971e-05,9,Non-governmental organizations,Mr. Martin Welp,Eberswalde,Germany,Constituency - Environmental,ENGO
313,EcoArts Connections,1.5930494555504993e-05,3.913393356924644e-06,3.993811787950108e-06,0.1411328166723251,3.045271114388015e-05,5.760635303886375e-06,8.260158210759982e-05,0.0024882671423256,0.2352944463491439,0.0447487346827983,0.0161835793405771,1.6374928236473352e-05,0.0129685159772634,0.5037403702735901,0.0318345427513122,0.0064526600763201,3.8817324821138754e-06,0.0049931243993341,14,Non-governmental organizations,Ms. Marda Kirn,Boulder,United States of America,Constituency - Research and independent,RINGO
314,EcoClub,1.579395575390663e-05,3.879851647070609e-06,3.95958113585948e-06,0.1940144151449203,3.0191702535375956e-05,5.711261110263877e-06,0.0478380098938941,0.033863179385662,0.0676345080137252,0.0141842681914567,8.709221583558246e-05,1.623457865207456e-05,0.000326820241753,0.62930828332901,0.0003267582214903,0.0122528756037354,3.848462711175671e-06,8.421209349762648e-05,14,Non-governmental organizations,Mr. Illia Yeremenko,Rivne,Ukraine,Constituency - Environmental,ENGO
315,Ecole Nationale Supérieure des Mines de Paris,2.90861567009415e-06,7.145136464714597e-07,7.291965857803007e-07,0.1079583540558815,5.56010536456597e-06,1.0517860573600046e-06,1.5082006939337589e-05,0.0285154450684785,0.3679645657539367,3.0112385502434336e-05,0.0010386847425252,2.9897607873863308e-06,6.304806447587907e-05,0.0327998660504817,6.296824722085148e-05,0.4551986157894134,7.087330118338286e-07,0.0063386242836713,16,Non-governmental organizations,Mme Sandrine Selosse,Paris,France,Constituency - Research and independent,RINGO
316,Ecole Normale Supérieure,8.060243999352679e-06,1.9800329482677625e-06,2.0207216948620044e-06,0.0715155601501464,1.540795165055897e-05,2.9146692668291507e-06,4.179567986284383e-05,9.446103649679571e-05,0.4583842158317566,0.0057444609701633,4.445117519935593e-05,8.285110197903123e-06,0.1011414229869842,0.0298793297260999,0.0001650789927225,0.332905650138855,1.9640137907117605e-06,4.297736813896336e-05,9,Non-governmental organizations,Mr. Lucas Paoli,Paris,France,Constituency - Research and independent,RINGO
317,Ecolo Info,0.0982331335544586,4.293603979022009e-06,4.381835424283054e-06,0.0600393116474151,3.3411382901249453e-05,6.320316970231943e-06,0.0365126393735408,0.1840882897377014,0.0003873284149449,0.068850465118885,0.0600129887461662,1.7965854567592032e-05,0.000366370222764,0.4052756726741791,0.0003621121868491,0.0774482265114784,4.258867193129845e-06,0.0083528812974691,14,Non-governmental organizations,Mr. Sami Cheikh Moussa,Vincennes,France,Constituency - Environmental,ENGO
318,Ecologic Institute,6.151640718599083e-06,1.5111763786990196e-06,1.54223039317003e-06,0.0001133030818891,1.175946727016708e-05,2.224498075520387e-06,0.0059644067659974,0.0107425982132554,0.0699342414736747,0.0046600583009421,3.392251892364584e-05,6.32326009508688e-06,0.0352365188300609,0.3402597904205322,0.475227952003479,0.0522405169904232,1.498950496170437e-06,0.0055556604638695,15,Non-governmental organizations,Mr. Matthias Duwe,Berlin,Germany,Constituency - Research and independent,RINGO
319,Ecologica Institute,1.6955100363702513e-05,4.165091468166793e-06,4.25068219556124e-06,0.0003305177087895,3.241134254494682e-05,6.131142981757876e-06,0.0944273620843887,0.0135527839884161,0.0588502213358879,0.041715532541275,9.349801257485524e-05,1.742811582516879e-05,0.0003592343709897,0.2089090198278427,0.5293599963188171,0.0522259958088398,4.131394689466106e-06,9.040290024131536e-05,15,Non-governmental organizations,Ms. Heloisa Garcia Mota,Sao Paulo,Brazil,Constituency - Business and Industry,BINGO
320,Ecological Society of America,7.771869604766835e-06,1.909192405946669e-06,1.9484255062707234e-06,0.0109631838276982,0.0698606669902801,2.8103900149289984e-06,0.068322829902172,0.0137732606381177,0.1527934223413467,8.067693852353841e-05,4.285613977117464e-05,7.988690413185395e-06,0.0395928584039211,0.5038549900054932,0.0733160227537155,0.0644312724471092,1.8937464574264595e-06,0.0029436058830469,14,Non-governmental organizations,Ms. Catherine O'Riordan,Washington,United States of America,Constituency - Research and independent,RINGO
321,Ecology Center,5.478579623741098e-06,1.3458361536322627e-06,1.3734925232711248e-06,0.1706356257200241,1.0472845133335795e-05,1.981112291105092e-06,0.0198701452463865,0.0652748495340347,0.1380304545164108,0.0021325275301933,3.020847179868724e-05,5.631422027363442e-06,0.0042635980062186,0.5328359007835388,0.0443157702684402,0.0225540213286876,1.3349479104363129e-06,2.921347368101124e-05,14,Non-governmental organizations,Mr. Neil Tangri,Berkeley,United States of America,Constituency - Environmental CAN,ENGO
322,Economic Community of Central African States,1.10905903056846e-05,2.7244502689427463e-06,2.7804364890471334e-06,0.0046968888491392,2.1200756236794405e-05,4.01047464038129e-06,0.0085823973640799,0.0119403498247265,0.0033899117261171,0.0737070590257644,0.3624499440193176,1.1399997674743643e-05,0.0596326552331447,0.0461026765406131,0.1031549200415611,0.3262281417846679,2.7024086648452794e-06,5.913731729378924e-05,11,Intergovernmental organizations,Mr. Dominique Kuitsouc,Libreville,Gabon,,not yet affiliated/no data
323,Economic Community of West African States,3.840199497062713e-06,9.433611580789148e-07,9.627467534301104e-07,0.1741577833890915,7.34091963749961e-06,1.3886566421206226e-06,0.0107888653874397,0.015425594523549,0.0005652485997416,0.0371217206120491,0.2391980290412902,3.947333880205406e-06,0.1491643488407135,0.0547828637063503,0.0033429726026952,0.3054791092872619,9.357290196021496e-07,0.0099540641531348,16,Intergovernmental organizations,Mr. Johnson Boanuh,Abuja,Nigeria,,not yet affiliated/no data
324,Economic Justice Network of the Fellowship of Christian Councils of Southern Africa,9.907165804179384e-06,2.4337368813576177e-06,2.483749085513409e-06,0.0017893743934109,1.8938522771350108e-05,3.5825355553242844e-06,0.0062068654224276,0.0001143956033047,0.0054079419933259,0.0588919781148433,0.1145930364727974,1.0183557606069373e-05,0.4342966377735138,0.2602406144142151,0.1070455759763717,0.0008314407314173,2.414047230558936e-06,0.0105321975424885,13,Non-governmental organizations,Mr. Mandlenkosi Hadebe,Cape Town,South Africa,Constituency - Research and independent,RINGO
325,Economic Research Institute for Northeast Asia,1.540028279123362e-05,3.783144165936392e-06,3.860885954054538e-06,0.0068475976586341,2.9439157515298572e-05,5.568904725805624e-06,7.985270349308848e-05,0.0001790507667465,0.1079848781228065,0.0001626031589694,0.1771271973848343,1.5829922631382942e-05,0.0041839755140244,0.0899304300546646,0.2096156775951385,0.1381994187831878,3.7525373954849775e-06,0.2656117379665375,18,Non-governmental organizations,Ms. Enkhbayar Shagdar,Niigata,Japan,Constituency - Research and independent,RINGO
326,Ecumenical Advocacy Alliance,9.152435268333647e-06,2.248334112664452e-06,2.294536443514517e-06,0.0031112690921872,1.7495782230980694e-05,3.3096171137003694e-06,4.746090417029336e-05,0.0001044678501784,0.009894554503262,0.0899492800235748,0.0043590362183749,9.407771358382888e-06,0.3930711448192596,0.3383045792579651,0.1607976257801056,0.0002656563592609,2.2301444460026687e-06,4.8797312047099695e-05,13,Non-governmental organizations,Ms. Christine Campeau,Geneva,Switzerland,Constituency - Environmental,ENGO
327,Edison Electric Institute,9.076122296391986e-06,2.229587607871508e-06,2.2754045403416967e-06,0.0551419779658317,0.0203578528016805,3.28202145283285e-06,4.706497566075996e-05,0.3799759447574615,0.0113497553393244,0.0037804767489433,5.0054368330165744e-05,9.329329259344377e-06,0.1715486049652099,0.2291778922080993,0.0266530811786651,0.0339879356324672,2.2115493720775703e-06,0.0679009556770324,8,Non-governmental organizations,Mr. Eric Holdsworth,Washington,United States of America,Constituency - Business and Industry,BINGO
328,Electric Power Research Institute,2.661258440639358e-05,6.537493391078897e-06,6.671835762972478e-06,0.0828405320644378,5.087257886771113e-05,9.623391633795109e-06,0.0001379921013722,0.352351039648056,0.1773787587881088,0.0002744736266322,0.0001467433030484,2.7355026759323664e-05,0.2529572248458862,0.080383151769638,0.052584234625101,0.0006698050419799,6.484603090939345e-06,0.0001419028703821,8,Non-governmental organizations,Mr. Tom Wilson,Palo Alto,United States of America,Constituency - Research and independent,RINGO
329,Emory University,4.542792794381967e-06,1.11595613816462e-06,1.1388884786356357e-06,0.4175417125225067,8.683995474711992e-06,1.6427218270109734e-06,2.3555023290100507e-05,0.0107406051829457,0.3519316613674164,4.704088132712059e-05,2.50518733082572e-05,4.66952860733727e-06,9.77963863988407e-05,0.1936025619506836,9.50218818616122e-05,0.0235417038202285,1.1069276979469578e-06,0.0023304023779928,4,Non-governmental organizations,Ms. Stefanie Ebelt Sarnat,Atlanta,United States of America,Constituency - Research and independent,RINGO
330,Energies 2050,7.338601335504791e-06,1.8027583337243411e-06,1.839804099290632e-06,0.00340056582354,1.402845919074025e-05,2.653715682754409e-06,3.805084998020902e-05,0.079794704914093,0.0046998998150229,0.0487117692828178,4.0467435610480607e-05,7.543334959336789e-06,0.0219839289784431,0.1792760044336319,0.4177405834197998,0.2434593588113784,1.7881733356261975e-06,0.0008176585542969,15,Non-governmental organizations,Mr. Stéphane Jacques Henri Pouffary,Biot,France,Constituency - Environmental,ENGO
331,Energy Research Centre of the Netherlands,5.938247340964153e-06,1.4587553778255824e-06,1.4887322095091804e-06,0.0001099445071304,1.1351545254001394e-05,2.1473329070431646e-06,3.0792820325586945e-05,0.3038736581802368,0.0713348239660263,6.172293069539592e-05,3.274465416325256e-05,6.103913619881496e-06,0.0821547135710716,0.082925945520401,0.303111732006073,0.1563023328781128,1.4469536608885392e-06,3.1664472771808505e-05,8,Non-governmental organizations,Mr. Paul van Tilburg,Petten,Netherlands,Constituency - Research and independent,RINGO
332,Energy and Climate Intelligence Unit Limited,9.00910163181834e-06,2.2131237074063392e-06,2.258602307847468e-06,0.0761810764670372,1.722178603813518e-05,3.2577861475147074e-06,4.671670831157826e-05,0.1435475200414657,0.0468531772494316,9.339895041193812e-05,0.073306106030941,9.260439583158586e-06,0.1178379654884338,0.3078269064426422,0.2313576340675354,0.0028560359496623,2.1952189399598865e-06,4.803926276508719e-05,14,Non-governmental organizations,Mr. George Smeeton,London,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,ENGO
333,Energy and Climate Policy Institute for Just Transition,7.032661869743606e-06,1.7276030348511997e-06,1.7631044784138794e-06,0.0303934589028358,1.3443625903164502e-05,2.5430847472307505e-06,0.0016976085025817,0.120819017291069,0.0030563967302441,0.0202606860548257,0.0226635318249464,7.228860340546817e-06,0.0036697892937809,0.3624827861785888,0.4154435992240906,0.0073692593723535,1.7136261476480286e-06,0.0121084777638316,15,Non-governmental organizations,Mr. Jin-Woo Lee,Seoul,Republic of Korea,Constituency - Environmental CJN,ENGO
334,Energypedia UG,6.9521411205641925e-06,1.7078227756428532e-06,1.7429176750738409e-06,0.0001242595608346,1.3289703019836452e-05,2.513967729100841e-06,3.604826633818448e-05,0.2931533455848694,0.0004571023746393,0.1722356379032135,0.052903939038515,7.146093594201375e-06,0.035331342369318,0.1934951245784759,0.234834536910057,0.0173565596342086,1.6940059595071943e-06,3.706986171891913e-05,8,Non-governmental organizations,Ms. Johanna Hartmann,Eschborn,Germany,Constituency - Research and independent,RINGO
335,Environment-People-Law,4.5644837882719e-06,1.121284640248632e-06,1.1443264611443738e-06,0.0063598356209695,8.725460247660521e-06,1.6505655366927383e-06,0.0481906533241272,0.0112376967445015,0.0017007199348881,0.1571659296751022,0.0016794477123767,0.0016986173577606,0.0009337391238659,0.2513494789600372,0.1384515464305877,0.3811896443367004,1.1122131127194734e-06,2.4338662115042094e-05,16,Non-governmental organizations,Ms. Olena Kravchenko,Lviv,Ukraine,Constituency - Environmental CAN,ENGO
336,Environmental Defence Canada Inc.,4.538733264780603e-06,1.1149589909109636e-06,1.1378708677511895e-06,0.1210807338356971,8.676236575411167e-06,1.641253902562312e-06,2.353552008571569e-05,0.1499563455581665,0.0344142392277717,0.0010084582027047,2.5030092729139145e-05,0.0257001835852861,0.0413438118994236,0.5965924859046936,0.0297006238251924,0.0001121722234529,1.1059386224587795e-06,2.420115015411284e-05,14,Non-governmental organizations,Mr. Dale Marshall,Toronto,Canada,Constituency - Environmental,ENGO
337,Environmental Defense Fund,5.834114745084662e-06,1.4331748161566793e-06,1.4626258462158148e-06,0.0692224279046058,1.1152485058119057e-05,2.1096773252793355e-06,3.0253702789195813e-05,0.1579877436161041,0.026657598093152,6.058039434719831e-05,3.217440462321974e-05,5.996876097924542e-06,0.000396545859985,0.6909546852111816,0.0411853902041912,0.003044522833079,1.4215800092642894e-06,0.01039863191545,14,Non-governmental organizations,Mr. Alex George Hanafi,Washington,United States of America,Constituency - Environmental CAN,ENGO
338,Environmental Law Institute,6.55458779874607e-06,1.6101620303743402e-06,1.6432501297458655e-06,0.0001144097623182,1.2529740160971414e-05,2.3702079943177523e-06,3.398781336727552e-05,7.507282862206921e-05,0.2524078786373138,0.0054932688362896,3.614439265220426e-05,6.73744852974778e-06,0.0303315892815589,0.372203528881073,0.3304620087146759,0.0087741259485483,1.5971353377608466e-06,3.494713382679038e-05,14,Non-governmental organizations,Mr. Meinhard Doelle,Halifax,Canada,Constituency - Research and independent,RINGO
339,Environmental Law Research Institute LTD/GTE,2.0659274014178663e-05,5.075037734059151e-06,5.1793272177746985e-06,0.0231135599315166,3.94922390114516e-05,7.470611308235675e-06,0.0594370104372501,0.027109183371067,0.0699308812618255,0.0372185409069061,0.0001139289161073,2.1235629901639182e-05,0.0004471816937439,0.5101906061172485,0.1387798935174942,0.0005400496302172,5.033979050494963e-06,0.1330150514841079,14,Non-governmental organizations,,Ikoyi,Nigeria,Constituency - Environmental,ENGO
340,Environmental Management for Livelihood Improvement Bwaise Facility,8.834734217089135e-06,2.1702896901842905e-06,2.2148881271277787e-06,0.0031643193215131,1.6888465324882418e-05,3.19473338095122e-06,0.0088123362511396,0.0033876372035592,0.0323511213064193,0.1427342295646667,0.0042412728071212,0.0005171431694179,0.0003021678130608,0.3684027194976806,0.4191927015781402,0.014097205363214,2.1527314402192133e-06,0.0027617516461759,15,Non-governmental organizations,Mr. Robert Bakiika,Kampala,Uganda,Constituency - Environmental CAN,ENGO
341,Environmental Quality Protection Foundation,7.888425898272544e-06,1.9378251181478845e-06,1.9776464341703104e-06,0.0247437171638011,1.5079503100423608e-05,2.852538045772235e-06,0.0828957557678222,0.0305939950048923,0.0111141763627529,0.0366635359823703,4.350873859948479e-05,8.108499059744645e-06,0.0034711882472038,0.6368658542633057,0.1219334155321121,0.0515929460525512,1.922147475852398e-06,4.206040830467828e-05,14,Non-governmental organizations,Mr. Ying-Shih Hsieh,Taipei,China,Constituency - Environmental,ENGO
342,Environmental and Energy Study Institute,5.58584179088939e-06,1.3721855793846771e-06,1.4003833257447695e-06,0.054972194135189,1.0677887075871697e-05,2.0198995116516016e-06,0.0027621260378509,0.3251944482326507,0.0921996384859085,5.775295721832663e-05,3.080111855524592e-05,5.741676886827918e-06,0.0580551624298095,0.3356108367443084,0.1309289783239364,0.0001301190641243,1.361084173367999e-06,2.9784509024466388e-05,14,Non-governmental organizations,Ms. Anna Elizabeth McGinn,Washington DC,United States of America,Constituency - Environmental CAN,ENGO
343,Environnement Jeunesse,3.3846890801214613e-06,8.314630690620106e-07,8.485492912768677e-07,0.015228047966957,6.470166681538103e-06,1.2239391935509047e-06,0.032123077660799,3.89061970054172e-05,0.0677292197942733,0.112604409456253,0.0014320352347567,3.479115548543632e-06,7.328171341214329e-05,0.21160888671875,0.2234237343072891,0.3357032537460327,8.247362757174415e-07,1.804658859327901e-05,16,Non-governmental organizations,Mme Catherine Gauthier,Montréal,Canada,Constituency - Environmental CAN,ENGO
344,Environnement et Developpement du Tiers-Monde,0.0078262705355882,2.2063309188524727e-06,2.2516699118568795e-06,0.0207961089909076,1.7168926206068136e-05,3.2477869353897404e-06,0.0531477443873882,0.0001035325039993,0.0071564074605703,0.2478699535131454,0.0603081509470939,9.23201605473878e-06,0.1329073458909988,0.1420104652643203,0.1539106369018554,0.1738791763782501,2.1884809484618017e-06,4.788727528648451e-05,10,Non-governmental organizations,Mr. Libasse Ba,Dakar,Senegal,Constituency - Environmental CAN,ENGO
345,Equiterre,2.1409456167020835e-05,5.259322733763838e-06,5.367399353417568e-06,0.1151819676160812,4.092628296348266e-05,7.741885383438785e-06,0.0666760131716728,0.0804923921823501,0.0004820592293981,0.0002217623259639,0.0001180573162855,2.200674134655856e-05,0.2156008630990982,0.2971735894680023,0.01556096971035,0.2082702815532684,5.216773388383444e-06,0.0001141513712354,14,Non-governmental organizations,Ms. Alice Feuillet,Montréal,Canada,Constituency - Environmental CAN,ENGO
346,Euro Chambres,0.0031874901615083,3.308738087071106e-06,3.376731001480948e-06,0.0002333699521841,2.57474875979824e-05,4.87056422571186e-06,6.98519143043086e-05,0.000156649359269,0.0081064188852906,0.0069178189150989,0.0121157448738813,1.3844850400346331e-05,0.529822826385498,0.0655963942408561,0.087108165025711,0.0759267583489418,3.2819691568874987e-06,0.2107041031122207,13,Non-governmental organizations,Mr. Clemens Andreas Rosenmayr,Brussels,Belgium,Constituency - Business and Industry,BINGO
347,Euro-Mediterranean Center on Climate Change,1.0064494745165575e-05,2.472385631335783e-06,2.523191824366222e-06,0.0001729992218315,0.1019380092620849,3.639427632151637e-06,0.0118636209517717,0.0311952326446771,0.0424401462078094,0.0099996915087103,5.549674460780807e-05,1.0345275768486316e-05,0.109547734260559,0.127575471997261,0.3944731652736664,0.1706532835960388,2.452383114359691e-06,5.366350887925364e-05,15,Non-governmental organizations,Ms. Lorella Reda,Lecce,Italy,Constituency - Research and independent,RINGO
348,European Association of Environmental and Resource Economists,0.0001056494875228,2.5953240765375085e-05,2.648656845849473e-05,0.0017518954118713,0.000201959410333,3.820396887022071e-05,0.0005478122620843,0.0012219522614032,0.0727842673659324,0.0541683137416839,0.0005825357511639,0.0001085969197447,0.4050466120243072,0.1524505317211151,0.0589032210409641,0.1655528247356414,2.574327118054498e-05,0.0864574238657951,13,Non-governmental organizations,Ms. Monica Eberle,Marghera-Venice,Italy,Constituency - Environmental,ENGO
349,European Bank for Reconstruction and Development,0.0066117970272898,1.5415984080391354e-06,1.5732775864307769e-06,0.0130620077252388,1.1996201465080958e-05,2.2692804577673087e-06,3.254006151109934e-05,0.0331600047647953,0.0074771279469132,0.0075909309089183,0.163331538438797,6.450556156778475e-06,0.1035367473959922,0.2149379253387451,0.1334144473075866,0.0783008337020874,1.5291263935068855e-06,0.2385187298059463,18,Intergovernmental organizations,Ms. Beatriz De Lorenzi,London,United Kingdom of Great Britain and Northern Ireland,,not yet affiliated/no data
350,European Business Council for Sustainable Energy,1.3213905731390696e-05,3.2460516194987576e-06,3.312756234663538e-06,0.0002335309254704,0.0066819787025451,4.77828780276468e-06,6.852654769318178e-05,0.0581844337284565,0.0002814319741446,0.0693930312991142,0.0870013833045959,1.3582549399870912e-05,0.2809228003025055,0.0120925055816769,0.3089944720268249,0.0451496094465255,3.2197899599850643e-06,0.1309549659490585,15,Non-governmental organizations,Mr. Kolja Kuse,Muenchen,Germany,Constituency - Business and Industry,BINGO
351,European Chemical Industry Council,3.665584245027276e-06,9.004662047118472e-07,9.189703860101872e-07,0.0024288673885166,7.007125532254577e-06,1.3255139492684975e-06,1.900691131595522e-05,0.2173715084791183,0.0008043912239372,0.0005764639936387,2.021256113948766e-05,0.0488639287650585,0.099867083132267,0.1670975238084793,0.2208563089370727,0.050916850566864,8.931811521506461e-07,0.1911631375551223,15,Non-governmental organizations,Mr. Peter Botschek,Brussels,Belgium,Constituency - Business and Industry,BINGO
352,European Climate Foundation,2.31572976190364e-05,5.6886874517658725e-06,5.805587534268852e-06,0.0003905558842234,0.016182916238904,8.373923265025951e-06,0.0001200771002913,0.1069749742746353,0.0083379326388239,0.0076195965521037,0.0001276948169106,2.3803344447514974e-05,0.1333947926759719,0.2538373470306396,0.3589625060558319,0.1138556599617004,5.642664291372057e-06,0.0001234795490745,15,Non-governmental organizations,Mr. Jorge Aguado Sánchez,The Hague,Netherlands,Constituency - Environmental,ENGO
353,European Federation for Transport and Environment,8.291076483146753e-06,2.0367378965602256e-06,2.078591933241114e-06,0.0006516347639262,1.584920937602874e-05,2.998140644194791e-06,4.299671127228066e-05,0.3060610890388489,0.0001692165824351,0.0034444152843207,4.57190144516062e-05,8.522382813680451e-06,0.2293967306613922,0.1328902542591095,0.1796033978462219,0.1476085186004638,2.020259898927179e-06,4.420894038048573e-05,8,Non-governmental organizations,Mr. Jeppe Juul,Brussels,Belgium,,not yet affiliated/no data
354,European Forest Institute,1.587954284332227e-05,3.900876436091494e-06,3.981037480116356e-06,0.0002963364240713,3.035530971828848e-05,5.742209850723157e-06,0.2066536992788314,0.013839116320014,0.0333068743348121,0.0001644280127948,0.0042155510745942,1.6322552255587652e-05,0.3046943545341491,0.0640829354524612,0.2414202094078064,0.1219356656074523,3.869316969939973e-06,0.0093107372522354,13,Intergovernmental organizations,Mr. Jerker Brolén,Joensuu,Finland,,not yet affiliated/no data
355,European Investment Bank,4.138243639317807e-06,1.0165770163439447e-06,1.037467200148967e-06,0.0097181275486946,0.0073920027352869,1.4964325600885786e-06,2.1457863113028e-05,0.0131882075220346,0.0100521044805645,0.0136207360774278,0.0761512443423271,4.253693077771459e-06,0.0323627218604087,0.225846379995346,0.1042916774749755,0.1675148010253906,1.0083525694426498e-06,0.3398275971412658,18,Intergovernmental organizations,Mr. Ambroise Fayolle,Luxembourg,Luxembourg,,not yet affiliated/no data
356,European Network for Community-Led Initiatives on Climate Change and Sustainability,6.292835223575821e-06,1.5458614370800206e-06,1.5776281543367077e-06,0.0120288683101534,0.1426406502723693,2.275555516462191e-06,3.2634434319334105e-05,7.19806703273207e-05,0.0094567313790321,0.0677709951996803,3.470454248599708e-05,6.468393621616997e-06,0.1365309655666351,0.2594625949859619,0.2916794121265411,0.0802371874451637,1.5333548617491033e-06,3.355192529852502e-05,15,Non-governmental organizations,Mr. Robert Hall,Brussels,Belgium,Constituency - Environmental,ENGO
357,European Nuclear Society,8.405735570704564e-06,2.064904265353107e-06,2.1073371954116737e-06,0.0001447597751393,0.1212147176265716,0.0008263962226919,0.0129705611616373,0.2638111710548401,0.0338655263185501,0.0025711415801197,4.6349097829079255e-05,8.640240594104398e-06,0.2567955255508423,0.0505076944828033,0.0936388000845909,0.1635392606258392,2.0481984392972663e-06,4.481768701225519e-05,8,Non-governmental organizations,Ms. Emilia Janisz,Brussels,Belgium,Constituency - Business and Industry,BINGO
358,European Partnership for Energy and the Environment,6.252129878703272e-06,1.535861997581378e-06,1.5674232827223022e-06,0.0066132792271673,1.195156255562324e-05,2.2608360268350225e-06,3.24185130011756e-05,0.4188912808895111,0.0238455682992935,0.00011632071255,3.44790933013428e-05,6.426552772609284e-06,0.0511246845126152,0.0881816074252128,0.2750368416309356,0.1158904358744621,1.5234363672789186e-06,0.0202015955001115,8,Non-governmental organizations,Ms. Jo Dardenne,Brussels,Belgium,Constituency - Business and Industry,BINGO
359,European Petroleum Refiners Association,6.775471774744801e-06,1.6644231664031397e-06,1.6986263062790383e-06,0.0001183091226266,0.0069728037342429,2.4500820927642053e-06,3.513327828841284e-05,0.4379484355449676,0.0001531219313619,7.036889292066917e-05,3.736188591574319e-05,6.964495241845725e-06,0.1033426150679588,0.1313991099596023,0.1942426115274429,0.0973490104079246,1.650957415222365e-06,0.0283098611980676,8,Non-governmental organizations,Mr. Nicolai Romanowski,Brussels,Belgium,Constituency - Business and Industry2,BINGO
360,European Round Table of Industrialists,5.211749794398202e-06,1.2802883020412992e-06,1.3065975963399978e-06,0.0393251031637191,0.0903490334749221,1.8846237708203264e-06,2.702398160181474e-05,0.0555667839944362,0.0364526361227035,5.399434303399176e-05,2.8739057597704232e-05,5.357148438633885e-06,0.2776554822921753,0.1474658995866775,0.050558466464281,0.123560145497322,1.2699304079433205e-06,0.1789404153823852,13,Non-governmental organizations,Mr. Bert D'Hooghe,Brussels,Belgium,Constituency - Business and Industry,BINGO
361,European Space Agency,9.6916664915625e-06,2.380798832746222e-06,2.4297230538650183e-06,0.0291212331503629,1.852657624112908e-05,0.00097184733022,5.025459540775046e-05,0.0307607930153608,0.1056219935417175,0.0001002578937914,0.0026352843269705,9.962046533473767e-06,0.1855482161045074,0.2907219231128692,0.000206139680813,0.3541650474071502,2.3615373265784e-06,5.1677521696547046e-05,16,Intergovernmental organizations,Mr. Frank Martin Seifert,Paris,France,,not yet affiliated/no data
362,European Union Chamber of Commerce in China,7.863114660722204e-06,1.9316071302455384e-06,1.9713008896360407e-06,0.0102553684264421,1.503111889178399e-05,2.843385118467268e-06,4.07714833272621e-05,0.0310655608773231,0.0073751523159444,0.0054221986792981,4.336453275755048e-05,8.082481144811027e-06,0.2223685979843139,0.1252709031105041,0.0473991259932518,0.2432533353567123,1.9159799649060005e-06,0.3074659705162048,18,Non-governmental organizations,Ms. Cecilia Rovelli,Beijing,China,Constituency - Business and Industry,BINGO
